company,month,n_agents,avg_task_fulfillment,ar_score,reasoning_quality,logical_alignment,quantitative_grounding,fallacy_avoidance
AAPL,2026-01,7,0.9,85.0,0.85,,,
AAPL,2026-02,7,0.9142857142857143,88.0,0.88,,,
AAPL,2026-03,7,0.8642857142857143,70.0,0.7,,,
AAPL,2026-04,7,0.9,80.0,0.8,,,
AAPL,2026-05,7,0.9285714285714286,88.0,0.88,,,
AAPL,2026-06,7,0.8857142857142857,85.0,0.85,,,
AAPL,2026-07,7,0.9857142857142857,80.0,0.8,,,
AAPL,2026-08,7,0.9142857142857143,80.0,0.8,,,
AAPL,2026-09,7,0.9142857142857143,80.0,0.8,,,
AAPL,2026-10,7,0.8857142857142857,80.0,0.8,,,
AAPL,2026-11,7,0.9142857142857143,75.0,0.75,,,
AAPL,2026-12,7,0.95,90.0,0.9,,,
