company,month,n_agents,avg_task_fulfillment,ar_score,reasoning_quality,logical_alignment,quantitative_grounding,fallacy_avoidance
NVDA,2026-01,7,0.95,75.0,0.75,,,
NVDA,2026-02,7,0.9357142857142857,83.0,0.83,,,
NVDA,2026-03,7,0.9357142857142857,90.0,0.9,,,
NVDA,2026-04,7,0.9642857142857143,75.0,0.75,,,
NVDA,2026-05,7,0.9714285714285714,80.0,0.8,,,
NVDA,2026-06,7,0.8642857142857143,,,,,
NVDA,2026-07,7,0.95,80.0,0.8,,,
NVDA,2026-08,7,0.9571428571428572,80.0,0.8,,,
NVDA,2026-09,7,0.9214285714285715,70.0,0.7,,,
NVDA,2026-10,7,0.9785714285714285,70.0,0.7,,,
NVDA,2026-11,7,0.95,80.0,0.8,,,
NVDA,2026-12,7,0.9785714285714285,85.0,0.85,,,
