Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.43604368744460814,-0.440735980135057,-0.4455626466223027,-0.449732414159805,-0.4541815019674419,-0.45711048010723293,-0.46219997004314717,-0.4661889537476175,-0.46944809060148784,-0.4730650532009505,-0.474827475476183,-0.4800192500863514
NVDA,-0.3739553244092128,-0.3815324155556483,-0.3883288971825697,-0.3951714046971009,-0.40223561007794917,-0.4078987751095789,-0.4140909811819594,-0.4192943347600363,-0.42372665267947374,-0.428211226158547,-0.4318150643561215,-0.4365627377411112
AMZN,-0.38602954299513076,-0.389562761684889,-0.3932318756618892,-0.3966133114917689,-0.3998741124292029,-0.4025536948090897,-0.4065251354105861,-0.4100391641070773,-0.41239057373276666,-0.415120723765511,-0.41695478285904464,-0.4205902152084925
INTC,-0.29708849521432207,-0.2979891267443422,-0.2989183772759544,-0.29990295976050996,-0.3009651956360193,-0.3019385778273153,-0.30276851135046334,-0.3035056634797031,-0.30411074629391766,-0.30474846634203323,-0.30571196209868556,-0.30660387082075147
AMD,-0.13040466865305272,-0.1383414629113665,-0.14694408397929581,-0.15460468526963522,-0.1626559398577253,-0.16756784899586913,-0.17673174638298894,-0.18323902108632817,-0.18753552823136832,-0.19420024216453302,-0.1969794231728641,-0.20435950014816895
TSM,-0.1272072661473707,-0.13121356292209652,-0.13496374555085588,-0.1385718962705924,-0.1421951813067832,-0.14538471007888648,-0.14883341690853225,-0.15195545296383528,-0.1546904258178181,-0.1570064526365197,-0.15894872654187853,-0.1621593670838286
IBM,-0.08772136860596697,-0.09392909401093896,-0.09884819796011446,-0.10385514805533025,-0.10875495896279319,-0.11356239141460905,-0.11805780822400225,-0.12456219771008525,-0.12942243839745293,-0.13261182462271814,-0.1357388040660077,-0.14012904627243217
META,-0.03577817059264715,-0.050747079648496674,-0.06411775114314061,-0.07656835358369463,-0.08849257284294121,-0.09882811361191063,-0.11124637019658645,-0.1261059345208999,-0.13656455525249067,-0.14519199129431914,-0.15165097790579207,-0.16401905194299293
MU,-0.09994710771194032,-0.09822315877034282,-0.09613596317784634,-0.09404906980727712,-0.09201565908610687,-0.0904892810597287,-0.08785595405992497,-0.08565878148219142,-0.08404153985461771,-0.08217189705883132,-0.08064623145939809,-0.07816629241946782
GOOGL,-0.004460925536688143,-0.01083674102841109,-0.015748388620136222,-0.02117673009754234,-0.025777721936986853,-0.030954792329560554,-0.03575638762471428,-0.04252256310069541,-0.04790170101372032,-0.05133229459978056,-0.054793701052178734,-0.059528079240504406
NOW,-0.001931787114743122,-0.007198568088234936,-0.010820524829776634,-0.014375694669176153,-0.018165369467739056,-0.021807562249913814,-0.02425133743748309,-0.027590904334481636,-0.030589246619858956,-0.032383835916411696,-0.033589816683500695,-0.03530010734220679
AVGO,0.034943997187209086,0.02336780160884694,0.013279262352824561,0.0033261362281865603,-0.006188378600436195,-0.015435220082085699,-0.024732530411777587,-0.03497494112711602,-0.043786511394602934,-0.050268384790958964,-0.05588608024970404,-0.06495344320534058
QCOM,-0.03364955767690664,-0.029645730069600862,-0.02546665720576291,-0.02193119715860392,-0.018165836707150662,-0.015679606493110898,-0.011539678794923625,-0.009060777350258398,-0.007107525383275526,-0.004337873777719103,-0.004204690230941943,-0.0017823473741557239
CRM,0.02141219922697235,0.015172374504453467,0.009186354197840418,0.0028244968162369766,-0.0036813367891906368,-0.009603856167030522,-0.016658951998118177,-0.023358323115608204,-0.028249763969193875,-0.032989696565850546,-0.03802142544171294,-0.04435939295022168
SAP,-0.010452246464735693,-0.011006485006968658,-0.010955741584631085,-0.010634347329340321,-0.010319125805755391,-0.010332469413836864,-0.009459348984180993,-0.009473308746480835,-0.009653826037116842,-0.008901939714981544,-0.008290876950718729,-0.007687327064666849
AMAT,0.01055986353157573,0.014368004883289265,0.018730425514560944,0.021972662526086872,0.02560730583954285,0.02734199882147703,0.03137590285977537,0.03319825643275642,0.034495216919567806,0.03712473564172947,0.03649915064319731,0.038624175818497086
ADI,0.018081961714447037,0.020788512629640765,0.023864699472950446,0.02666903526898229,0.02957932859835094,0.03155708022022097,0.03489889439589455,0.03724818674483665,0.039086579552603085,0.04143921052932115,0.04257566698171483,0.04537878751759761
CSCO,0.05235676308459569,0.05019680682507288,0.047769120831907985,0.04570903967328627,0.043723722582481805,0.042522645696708994,0.04008992473250533,0.03824642464763328,0.03690475374284641,0.035207516706858455,0.03460117592336481,0.03217220442984864
TSLA,0.051102798504763014,0.05121549677861581,0.05123097452240866,0.05135535540229924,0.05079510572793089,0.05070660615490108,0.050412290509217694,0.05003121428936225,0.05032926350331973,0.050224302155492395,0.049892369420167504,0.04946995917098307
