Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.5012560033100621,-0.5035876572768491,-0.5063107269738242,-0.5087174564155676,-0.5111242789538273,-0.5125589910580592,-0.5156989289553855,-0.5173372774188469,-0.519078915120118,-0.5214650796005206,-0.5223679035421215,-0.52517932144303
NVDA,-0.4391676402746668,-0.4443840926974404,-0.44907697753409115,-0.45415644695286345,-0.4591783870643346,-0.4633472860604052,-0.46758994009419774,-0.47044265843126576,-0.47335747719810384,-0.4766112525581171,-0.47935549242206,-0.48172280909778986
AMZN,-0.45124185886058477,-0.4524144388266811,-0.4539799560134107,-0.4555983537475315,-0.45681688941558835,-0.458002205759916,-0.46002409432282443,-0.46118748777830676,-0.46202139825139676,-0.4635207501650811,-0.46449521092498314,-0.46575028656517115
INTC,-0.3623008110797761,-0.36084080388613426,-0.35966645762747584,-0.3588880020162725,-0.35790797262240476,-0.3573870887781416,-0.35626747026270167,-0.35465398715093255,-0.35374157081254776,-0.3531484927416033,-0.35325239016462406,-0.3517639421774301
AMD,-0.19561698451850673,-0.20119314005315858,-0.20769216433081727,-0.2135897275253978,-0.21959871684411075,-0.22301635994669544,-0.23023070529522727,-0.23438734475755763,-0.23716635274999842,-0.2426002685641031,-0.2445198512388026,-0.2495195715048476
TSM,-0.19241958201282472,-0.1940652400638886,-0.19571182590237735,-0.19755693852635497,-0.19913795829316866,-0.2008332210297128,-0.20233237582077057,-0.20310377663506474,-0.2043212503364482,-0.20540647903608977,-0.20648915460781703,-0.20731943844050726
IBM,-0.15293368447142097,-0.15678077115273104,-0.15959627831163592,-0.16284019031109281,-0.16569773594917864,-0.16901090236543537,-0.17155676713624057,-0.1757105213813147,-0.17905326291608303,-0.18101185102228823,-0.1832792321319462,-0.18528911762911082
META,-0.10099048645810116,-0.11359875679028875,-0.12486583149466207,-0.1355533958394572,-0.14543534982932665,-0.15427662456273694,-0.16474532910882478,-0.17725425819212937,-0.18619537977112077,-0.19359201769388923,-0.19919140597173057,-0.2091791232996716
MU,-0.16515942357739433,-0.1610748359121349,-0.1568840435293678,-0.15303411206303968,-0.14895843607249232,-0.145937792010555,-0.1413549129721633,-0.13680710515342087,-0.1336723643732478,-0.1305719234584014,-0.1281866595253366,-0.12332636377614647
GOOGL,-0.06967324140214215,-0.07368841817020316,-0.07649646897165768,-0.0801617723533049,-0.0827204989233723,-0.08640330328038687,-0.0892553465369526,-0.09367088677192487,-0.09753252553235042,-0.09973232099935064,-0.10233412911811723,-0.10468815059718306
NOW,-0.06714410298019713,-0.07005024523002701,-0.0715686051812981,-0.07336073692493872,-0.0751081464541245,-0.07725607320074013,-0.07775029634972142,-0.07873922800571109,-0.08022007113848906,-0.08078386231598178,-0.0811302447494392,-0.08046017869888544
AVGO,-0.03026831867824492,-0.039483875532945134,-0.0474688179986969,-0.055658906027576005,-0.06313115558682164,-0.07088373103291201,-0.07823148932401591,-0.08612326479834548,-0.09341733591323303,-0.09866841119052905,-0.10342650831564254,-0.11011351456201923
