Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.4541256491590552,-0.46152449276469776,-0.46942734609525316,-0.4764014494287873,-0.48376083056579283,-0.4886675603274539,-0.4970988644390417,-0.5034371404924541,-0.5085346701540909,-0.5145042637302717,-0.5174031424578978,-0.525398037603949
NVDA,-0.39203728612365984,-0.4023209281852891,-0.41219359665552013,-0.42184043996608317,-0.4318149386763001,-0.43945585532979986,-0.44898987557785397,-0.45654252150487296,-0.4628132322320768,-0.46965043668786816,-0.4743907313378363,-0.4819415252587088
AMZN,-0.4041115047095778,-0.4103512743145298,-0.41709657513483966,-0.4232823467607512,-0.42945344102755384,-0.43411077502931067,-0.44142402980648066,-0.44728735085191396,-0.45147715328536975,-0.45655993429483216,-0.45953044984075947,-0.4659690027260901
INTC,-0.3151704569287691,-0.31877763937398296,-0.32278307674890483,-0.32657199502949225,-0.33054452423437025,-0.3334956580475363,-0.3376674057463579,-0.34075385022453974,-0.34319732584652074,-0.3461876768713544,-0.3482876290804004,-0.3519826583383491
AMD,-0.14848663036749976,-0.15912997554100727,-0.17080878345224626,-0.1812737205386175,-0.19223526845607625,-0.1991249292160901,-0.2116306407788835,-0.22048720783116482,-0.2266221077839714,-0.23563945269385417,-0.23955509015457893,-0.24973828766576656
TSM,-0.14528922786181775,-0.15200207555173728,-0.15882844502380633,-0.1652409315395747,-0.17177450990513415,-0.17694179029910745,-0.1837323113044268,-0.18920363970867193,-0.1937770053704212,-0.19844566316584084,-0.20152439352359336,-0.20753815460142622
IBM,-0.105803330320414,-0.11471760664057973,-0.1227128974330649,-0.13052418332431254,-0.13833428756114413,-0.14511947163483002,-0.1529567026198968,-0.1618103844549219,-0.16850901795005602,-0.1740510351520393,-0.17831447104772252,-0.18550783379002977
META,-0.05386013230709419,-0.07153559227813744,-0.08798245061609106,-0.10323738885267691,-0.11807190144129215,-0.1303851938321316,-0.146145264592481,-0.16335412126573656,-0.17565113480509376,-0.1866312018236403,-0.1942266448875069,-0.20939783946059054
MU,-0.11802906942638736,-0.11901167139998359,-0.12000066265079679,-0.12071810507625941,-0.12159498768445781,-0.12204636127994967,-0.12275484845581952,-0.12290696822702807,-0.12312811940722079,-0.12361110758815247,-0.12322189844111292,-0.12354507993706543
GOOGL,-0.02254288725113518,-0.031625253658051855,-0.03961308809308667,-0.04784576536652463,-0.05535705053533779,-0.06251187254978152,-0.07065528202060883,-0.07977074984553206,-0.0869882805663234,-0.0927715051291017,-0.09736936803389357,-0.10490686675810201
NOW,-0.02001374882919016,-0.0279870807178757,-0.03468522430272708,-0.04104472993815844,-0.04774469806609,-0.05336464247013478,-0.05915023183337764,-0.06483909107931829,-0.06967582617246204,-0.07382304644573284,-0.07616548366521553,-0.0806788948598044
AVGO,0.01686203547276205,0.0025792889792061735,-0.010585437120125885,-0.023342899040795728,-0.035767707198787135,-0.04699230030230667,-0.05963142480767214,-0.07222312787195267,-0.08287309094720602,-0.09170759532028011,-0.09846174723141887,-0.11033223072293818
QCOM,-0.051731519391353675,-0.05043424269924163,-0.049331356678713356,-0.04860023242758621,-0.0477451653055016,-0.047236686713331866,-0.04643857319081818,-0.04630896409509505,-0.04619410493587861,-0.04577708430704025,-0.046780357212656776,-0.04716113489175333
CRM,0.0033302375125253136,-0.005616138125187298,-0.014678345275110027,-0.023844538452745312,-0.03326066538754158,-0.04116093638725149,-0.05155784639401273,-0.06060650986044486,-0.06733634352179696,-0.07442890709517169,-0.08059709242342777,-0.08973818046781928
SAP,-0.02853420817918273,-0.03179499763660942,-0.03482044105758153,-0.03730338259832261,-0.03989845440410633,-0.04188954963405783,-0.044358243380075546,-0.04672149549131749,-0.048740405589719926,-0.05034115024430269,-0.05086654393243356,-0.053066114582264456
AAPL,-0.018081961714447037,-0.020788512629640765,-0.023864699472950446,-0.02666903526898229,-0.02957932859835094,-0.03155708022022097,-0.03489889439589455,-0.03724818674483665,-0.039086579552603085,-0.04143921052932115,-0.04257566698171483,-0.04537878751759761
AMAT,-0.007522098182871306,-0.0064205077463515,-0.005134273958389501,-0.004696372742895416,-0.003972022758808091,-0.004215081398743936,-0.00352299153611918,-0.00404993031208023,-0.004591362633035279,-0.004314474887591679,-0.006076516338517524,-0.006754611699100521
CSCO,0.034274801370148655,0.029408294195432116,0.02390442135895754,0.01904000440430398,0.014144393984130865,0.010965565476488026,0.00519103033661078,0.0009982379027966282,-0.0021818258097566767,-0.006231693822462692,-0.00797449105835002,-0.013206583087748969
TSLA,0.03302083679031598,0.030426984148975045,0.02736627504945821,0.024686320133316952,0.02121577712957995,0.01914952593468011,0.015513396113323141,0.012783027544525594,0.011242683950716648,0.008785091626171249,0.007316702438452671,0.004091171653385461
ADBE,0.04713035415100697,0.04206316451215131,0.036883380878571015,0.03231600698678028,0.027363448388034506,0.023891430730605345,0.018600064516343773,0.013900136926392803,0.010544244966027017,0.0069608158702489376,0.004964761084223668,-0.00021871616091895252
ASML,0.05267213484698968,0.04817212148009131,0.043661899473167565,0.039737930320674186,0.035620309844383136,0.03276374894741446,0.028845431623559792,0.026042611727636666,0.023646789394922985,0.02093554239396528,0.019838484758169905,0.01705912997396869
PANW,0.06472365289268583,0.06176259915626514,0.05863448849227487,0.055790319332637506,0.05284662728696782,0.0506909382623274,0.04752035465831933,0.045460542395616255,0.04353364509087354,0.04134714054363864,0.04048731770267544,0.03795912550981223
ORCL,0.1399581872655536,0.1255507891309735,0.11034897388466575,0.09628830728342613,0.08173959227760269,0.07106341224813817,0.05442349270798219,0.04230197049745488,0.03268505205287392,0.020287086493799622,0.013266330413187088,-0.002367843411064885
TXN,0.07713686472915388,0.07569556044537445,0.07422653894144238,0.07300710156290674,0.07167322413741428,0.07090179773028948,0.0696396742345432,0.06850144724461132,0.06769217989336329,0.06685915754857208,0.06670060332647054,0.06553626478362107
ADSK,0.10137324457840463,0.10067618949985446,0.09988453543746306,0.09929348558558027,0.09862033015660837,0.09819941802824983,0.09746111881362385,0.09695152721638645,0.09646292427717462,0.09599166078352744,0.09582879898149949,0.09506671423357271
STX,0.12053100496828201,0.1182124795328312,0.11571785689331587,0.1134699463188949,0.11112940783795527,0.10927401055503771,0.10664854168302756,0.10484749672119498,0.10326432579653644,0.10144802125960484,0.10055905961849815,0.09841812275464845
LRCX,0.160694111532694,0.15736433967719024,0.15389621812036391,0.15088791630400636,0.14766134732282435,0.14531333450447043,0.14209693413065427,0.14008208690943857,0.13823104733108232,0.1359001076061211,0.13501841312001178,0.1325095079899794
KLAC,0.2628982050501882,0.2626569682809191,0.26246415434587644,0.26213115220093774,0.26179697602250357,0.26140648550459344,0.26124985444978543,0.2610575121837288,0.26066982412523165,0.2604325534849874,0.2598570555705837,0.2592670464318245
