Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.5554988937374599,-0.5622006822645522,-0.5693118815327163,-0.5756949350143676,-0.5823811607224012,-0.5868669783557037,-0.5945599832526656,-0.6003886677088406,-0.6049975944312656,-0.6104959245137991,-0.6132319414393973,-0.6204647518375217
NVDA,-0.4934105307020645,-0.5029971176851435,-0.5120781320929833,-0.5211339255516634,-0.5304352688329085,-0.5376552733580497,-0.5464509943914778,-0.5534940487212594,-0.5592761565092514,-0.5656420974713956,-0.5702195303193358,-0.5770082394922815
AMZN,-0.5054847492879824,-0.5110274638143842,-0.5169811105723028,-0.5225758323463314,-0.5280737711841622,-0.5323101930575604,-0.5388851486201045,-0.5442388780683004,-0.5479400775625444,-0.5525515950783596,-0.555359248822259,-0.5610357169596628
INTC,-0.41654370150717374,-0.4194538288738374,-0.4226676121863679,-0.4258654806150725,-0.4291648543909786,-0.4316950760757861,-0.43512852455998174,-0.4377053774409262,-0.43966025012369536,-0.4421793376548818,-0.4441164280618999,-0.4470493725719218
AMD,-0.2498598749459044,-0.25980616504086174,-0.2706933188897093,-0.2805672061241978,-0.2908555986126846,-0.2973243472443399,-0.30909175959250734,-0.31743873504755127,-0.323085032061146,-0.3316311134773816,-0.3353838891360784,-0.34480500189933927
TSM,-0.24666247244022238,-0.25267826505159174,-0.2587129804612694,-0.26453441712515496,-0.2703948400617425,-0.2751412083273573,-0.28119343011805065,-0.2861551669250584,-0.2902399296475958,-0.2944373239493683,-0.29735319250509284,-0.30260486883499893
IBM,-0.20717657489881863,-0.2153937961404342,-0.22259743287052797,-0.2298176689098928,-0.2369546177177525,-0.24331888966307985,-0.25041782143352065,-0.25876191167130835,-0.26497194222723064,-0.27004269593556673,-0.274143270029222,-0.2805745480236025
META,-0.15523337688549882,-0.1722117817779919,-0.18786698605355412,-0.20253087443825718,-0.21669223159790052,-0.22858461186038143,-0.24360638340610485,-0.260305648482123,-0.2721140590822684,-0.28262286260716774,-0.2900554438690064,-0.30446455369416325
MU,-0.219402314004792,-0.21968786089983805,-0.21988519808825985,-0.22001159066183967,-0.22021531784106618,-0.2202457793081995,-0.22021596726944337,-0.21985849544341451,-0.21959104368439541,-0.2196027683716799,-0.2190506974226124,-0.21861179417063814
GOOGL,-0.12391613182953981,-0.13230144315790632,-0.13949762353054973,-0.1471392509521049,-0.15397738069194616,-0.16071129057803135,-0.16811640083423268,-0.1767222770619185,-0.18345120484349803,-0.18876316591262915,-0.19319816701539305,-0.19997358099167473
NOW,-0.12138699340759479,-0.12866327021773016,-0.13456975974019014,-0.1403382155237387,-0.14636502822269837,-0.1515640604983846,-0.1566113506470015,-0.16179061829570474,-0.16613875044963666,-0.1698147072292603,-0.171994282646715,-0.1757456090933771
AVGO,-0.08451120910564258,-0.09809690052064829,-0.11046997255758895,-0.122636384626376,-0.1343880373553955,-0.1451917183305565,-0.157092543621296,-0.16917465508833912,-0.17933601522438064,-0.18769925610380755,-0.19429054621291836,-0.2053989449565109
QCOM,-0.1531047639697583,-0.1511104321990961,-0.14921589211617642,-0.14789371801316648,-0.14636549546210997,-0.1454361047415817,-0.14389969200444203,-0.1432604913114815,-0.14265702921305323,-0.1417687450905677,-0.14260915619415626,-0.14222784912532604
CRM,-0.09804300706587932,-0.10629232762504176,-0.11456288071257309,-0.12313802403832558,-0.13188099554414995,-0.13936035441550132,-0.14901896520763658,-0.1575580370768313,-0.16379926779897158,-0.17042056787869914,-0.17642589140492726,-0.184804894701392
SAP,-0.12990745275758736,-0.13247118713646389,-0.1347049764950446,-0.13659686818390288,-0.1385187845607147,-0.14008896766230766,-0.1418193621936994,-0.14367302270770393,-0.14520332986689455,-0.14633281102783013,-0.14669534291393305,-0.14813282881583717
AAPL,-0.11945520629285167,-0.12146470212949523,-0.12374923491041351,-0.12596252085456255,-0.1281996587549593,-0.1297564982484708,-0.1323600132095184,-0.1341997139612231,-0.1355495038297777,-0.1374308713128486,-0.13840446596321432,-0.14044550175117032
AMAT,-0.10889534276127594,-0.10709669724620596,-0.10501880939585256,-0.10398985832847568,-0.10259235291541646,-0.10241449942699377,-0.10098411034974303,-0.10100145752846668,-0.1010542869102099,-0.10030613567111912,-0.10190531532001701,-0.10182132593267323
ADI,-0.10137324457840463,-0.10067618949985446,-0.09988453543746306,-0.09929348558558027,-0.09862033015660837,-0.09819941802824983,-0.09746111881362385,-0.09695152721638645,-0.09646292427717462,-0.09599166078352744,-0.09582879898149949,-0.09506671423357271
CSCO,-0.06709844320825598,-0.07126789530442235,-0.07598011407850552,-0.08025348118127629,-0.0844759361724775,-0.0872338525517618,-0.09227008847701307,-0.09595328931358982,-0.0986447500869313,-0.10222335460599014,-0.1038032900398495,-0.10827329732132168
TSLA,-0.06835240778808865,-0.07024920535087942,-0.07251826038800485,-0.07460716545226331,-0.07740455302702842,-0.07904989209356972,-0.0819477227003007,-0.08416849967186085,-0.08522024032645797,-0.0872065691573562,-0.08851209654304681,-0.09097554258018725
ADBE,-0.05424289042739766,-0.058613024987703155,-0.06300115455889205,-0.06697747859879999,-0.07125688176857387,-0.07430798729764448,-0.07886105429728008,-0.08305139028999364,-0.0859186793111476,-0.0890308449132785,-0.09086403789727582,-0.09528543039449167
ASML,-0.04870110973141495,-0.05250406801976315,-0.0562226359642955,-0.05955555526490608,-0.06300002031222524,-0.06543566908083537,-0.06861568719006406,-0.07090891548874978,-0.07281613488225164,-0.07505611838956217,-0.07599031422332958,-0.07800758425960402
PANW,-0.036649591685718796,-0.03891359034358932,-0.04125004694518819,-0.04350316625294276,-0.04577370286964055,-0.04750847976592243,-0.04994076415530452,-0.05149098482077019,-0.05292927918630108,-0.054644520239888805,-0.055341481278824045,-0.05710758872376048
ORCL,0.03858494268714896,0.024874599631119043,0.010464438447202684,-0.0030051783021541323,-0.01688073787900568,-0.02713600578011166,-0.04303762610564166,-0.05464955671893157,-0.0637778722243007,-0.07570457428972782,-0.0825624685683124,-0.0974345576446376
TXN,-0.024236379849250755,-0.024980629054480008,-0.025657996496020685,-0.026286384022673526,-0.02694710601919409,-0.027297620297960346,-0.027821444579080645,-0.028450079971775122,-0.02877074438381133,-0.029132503234955365,-0.029128195655028943,-0.029530449449951646
STX,0.019157760389877376,0.017536290032976742,0.01583332145585281,0.014176460733314633,0.012509077681346903,0.011074592526787885,0.009187422869403716,0.007895969504808531,0.006801401519361816,0.005456360476077393,0.004730260636998662,0.0033514085210757383
LRCX,0.05932086695428937,0.05668815017733578,0.05401168268290085,0.05159443071842609,0.04904101716621598,0.047113916476220596,0.044635815317030425,0.04313055969305213,0.0417681230539077,0.039908446822593646,0.039189614138512296,0.03744279375640669
KLAC,0.16152496047178355,0.16198077878106465,0.16257961890841335,0.1628376666153575,0.1631766458658952,0.16320706747634361,0.16378873563616156,0.16410598496734236,0.16420689984805703,0.16444089270145998,0.16402825658908418,0.16420033219825184
INTU,0.18840756164665157,0.18951107019707691,0.19046281578941737,0.19144421445665952,0.19231423940348955,0.19323285483033426,0.1940688118818979,0.19510569946988982,0.19600589483765948,0.19661391170019135,0.19760739555976004,0.19854292378395944
