Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.44660355097618387,-0.45510398501834626,-0.46429307213686366,-0.4717050766858919,-0.47978880780698474,-0.48445247892870996,-0.49357587290292254,-0.4993872101803739,-0.5039433075210557,-0.51018978884268,-0.5113266261193803,-0.5186434259048485
NVDA,-0.38451518794078854,-0.3959004204389376,-0.40705932269713063,-0.41714406722318775,-0.427842915917492,-0.4352407739310559,-0.4454668840417348,-0.4524925911927927,-0.45822186959904154,-0.4653359618002765,-0.4683142149993188,-0.4751869135596083
AMZN,-0.3965894065267065,-0.4039307665681783,-0.41196230117645016,-0.4185859740178558,-0.42548141826874575,-0.42989569363056673,-0.4379010382703615,-0.4432374205398337,-0.44688579065233447,-0.4522454594072405,-0.45345393350224195,-0.4592143910269896
INTC,-0.3076483587458978,-0.31235713162763146,-0.3176488027905153,-0.32187562228659683,-0.32657250147556216,-0.32928057664879234,-0.3341444142102387,-0.3367039199124595,-0.33860596321348546,-0.3418732019837627,-0.3422111127418829,-0.34522804663924855
AMD,-0.14096453218462845,-0.15270946779465577,-0.16567450949385676,-0.1765773477957221,-0.18826324569726816,-0.19490984781734616,-0.20810764924276431,-0.2164372775190846,-0.22203074515093613,-0.2313249778062625,-0.2334785738160614,-0.24298367596666604
TSM,-0.13776712967894644,-0.14558156780538578,-0.15369417106541683,-0.16054455879667928,-0.16780248714632606,-0.1727267089003635,-0.18020931976830762,-0.1851537093965917,-0.18918564273738592,-0.19413118827824916,-0.19544787718507584,-0.2007835429023257
IBM,-0.0982812321375427,-0.10829709889422823,-0.1175786234746754,-0.12582781058141712,-0.13436226480233604,-0.14090439023608609,-0.14943371108377762,-0.15776045414284168,-0.16391765531702074,-0.1697365602644476,-0.172237954709205,-0.17875322209092925
META,-0.04633803412422288,-0.06511508453178594,-0.08284817665770156,-0.0985410161097815,-0.11409987868248406,-0.12617011243338766,-0.14262227305636183,-0.15930419095365633,-0.17105977217205848,-0.1823167269360486,-0.18815012854898938,-0.20264322776149002
MU,-0.11050697124351605,-0.11259116365363209,-0.11486638869240728,-0.11602173233336399,-0.11762296492564972,-0.11783127988120573,-0.11923185691970034,-0.11885703791494784,-0.11853675677418551,-0.11929663270056079,-0.1171453821025954,-0.1167904682379649
GOOGL,-0.015020789068263873,-0.025204745911700355,-0.03447881413469717,-0.04314939262362921,-0.0513850277765297,-0.058296791151037586,-0.06713229048448965,-0.07572081953345183,-0.08239691793328813,-0.08845703024151003,-0.09129285169537604,-0.09815225505900149
NOW,-0.012491650646318853,-0.0215665729715242,-0.02955095034433758,-0.036348357195263026,-0.043772675307281905,-0.049149561071390846,-0.05562724029725846,-0.06078916076723806,-0.06508446353942676,-0.06950857155814116,-0.070088967326698,-0.07392428316070387
AVGO,0.024384133655633355,0.008999796725557674,-0.005451163161736383,-0.018646526297900312,-0.031795684439979044,-0.04277721890356273,-0.05610843327155296,-0.06817319755987244,-0.07828172831417074,-0.08739312043268843,-0.09238523089290135,-0.10357761902383766
QCOM,-0.04420942120848237,-0.04401373495289013,-0.044197082720323855,-0.043903859684690794,-0.04377314254669351,-0.04302160531458793,-0.042915581654699,-0.04225903378301482,-0.04160274230284333,-0.04146260941944857,-0.04070384087413925,-0.04040652319265281
CRM,0.01085233569539662,0.0008043696211642026,-0.009544071316720526,-0.019148165709849896,-0.029288642628733486,-0.036945854988507554,-0.04803485485789355,-0.05655657954836463,-0.06274498088876168,-0.07011443220758001,-0.07452057608491025,-0.08298356876871876
SAP,-0.021012109996311423,-0.025374489890257923,-0.02968616709919203,-0.032607009855427194,-0.03592643164529824,-0.037674468235313896,-0.040835251843956366,-0.04267156517923726,-0.04414904295668465,-0.04602667535671101,-0.04479002759391604,-0.046311502883163935
AAPL,-0.01055986353157573,-0.014368004883289265,-0.018730425514560944,-0.021972662526086872,-0.02560730583954285,-0.02734199882147703,-0.03137590285977537,-0.03319825643275642,-0.034495216919567806,-0.03712473564172947,-0.03649915064319731,-0.038624175818497086
ADI,0.007522098182871306,0.0064205077463515,0.005134273958389501,0.004696372742895416,0.003972022758808091,0.004215081398743936,0.00352299153611918,0.00404993031208023,0.004591362633035279,0.004314474887591679,0.006076516338517524,0.006754611699100521
CSCO,0.04179689955301996,0.03582880194178362,0.02903869531734704,0.023736377147199395,0.018116416742938957,0.015180646875231962,0.00871402187272996,0.005048168214876858,0.002409536823278602,-0.0019172189348710122,-0.0018979747198324959,-0.0064519713886484475
TSLA,0.04054293497318728,0.036847491895326545,0.03250054900784771,0.02938269287621237,0.02518779988838804,0.023364607333424048,0.01903638764944232,0.016832957856605824,0.015834046583751926,0.013099566513762928,0.013393218776970195,0.010845783352485983
ADBE,0.054652452333878276,0.04848367225850281,0.042017654836960516,0.03701237972967569,0.0313354711468426,0.02810651212934928,0.022123056052462953,0.017950067238473033,0.015135607599062295,0.011275290757840617,0.011041277422741191,0.006535895538181569
ASML,0.06019423302986099,0.05459262922644281,0.048796173431557066,0.0444343030635696,0.03959233260319123,0.0369788303461584,0.03236842315967897,0.030092542039716896,0.028238152027958263,0.025250017281556958,0.02591500109668743,0.02381374167306921
PANW,0.07224575107555714,0.06818310690261664,0.06376876245066437,0.06048669207553292,0.05681865004577591,0.05490601966107134,0.05104334619443851,0.049510472707696485,0.04812500772390882,0.04566161543123032,0.046563834041192964,0.04471373720891275
