Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.3056390187915554,-0.3023945172236905,-0.2986185626430069,-0.2951277288901698,-0.2915255621097166,-0.2895426311113638,-0.2854682236601582,-0.2829499326612893,-0.2819125623701195,-0.27886481103641747,-0.2778480523033189,-0.27565974993818243
NVDA,-0.24355065575616008,-0.2431909526442818,-0.24138481320327387,-0.24056671942746566,-0.23957967022022386,-0.24033092611370976,-0.23735923479897048,-0.23605531367370813,-0.23619112444810542,-0.234010983994014,-0.2348356411832574,-0.23220323759294226
AMZN,-0.25562487434207803,-0.2512212987735225,-0.2462877916825934,-0.2420086262221337,-0.2372181725714776,-0.23498584581322057,-0.22979338902759716,-0.22680014302074913,-0.22485504550139834,-0.220920481600978,-0.21997535968618054,-0.21623071506032354
INTC,-0.16668382656126934,-0.15964766383297568,-0.15197429329665857,-0.14529827449087473,-0.138309255778294,-0.13437072883144618,-0.1260367649674744,-0.12026664239337492,-0.11657521806254934,-0.11054822417750021,-0.10873253892582146,-0.10224437067258252
TSM,0.003197402505682012,0.007127899989269992,0.01198033842843993,0.016032788999042813,0.020460758550942093,0.022183138916982648,0.027898329474456696,0.03128356812249289,0.03284510241355021,0.03719378952801333,0.03803069663098557,0.04220013306434034
IBM,0.04268330004708576,0.044412368900427546,0.048095886019181355,0.050749537214304974,0.053900980894932116,0.054005457581260075,0.058673938158986694,0.058676823376242915,0.05811308983391539,0.06158841754181488,0.06124061910685641,0.06423045387573678
META,0.09462649806040557,0.08759438326286983,0.0828263328361552,0.0780363316859406,0.0741633670147841,0.0687397353839585,0.06548537618640249,0.05713308656542826,0.05097097297887765,0.049008250870213876,0.045328445267072026,0.040340448205176016
MU,0.030457560941112405,0.040118304141023686,0.050808120801449475,0.0605556154623581,0.07064028077161844,0.07707856793614043,0.08887579232306397,0.09758023960413675,0.10349398837675061,0.1120283451057017,0.11633319171346601,0.12619320772870113
GOOGL,0.12594374311636458,0.12750472188295542,0.1311956953591596,0.13342795517209288,0.13687821792073845,0.13661305666630857,0.14097535875827466,0.14071645798563276,0.139633827217648,0.14286794756475246,0.14218572212068536,0.14483142090766454
NOW,0.1284728815383096,0.13114289482313157,0.13612355914951918,0.14022899060045907,0.14449057038998625,0.14576028674595531,0.15248040894550585,0.15564811675184653,0.15694628161150936,0.16181640624812133,0.1633896064893634,0.16905939280596216
