Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.05001414444947738,-0.05117321845016798,-0.0523307709604135,-0.0531191026680361,-0.05430738953823899,-0.05455678529814323,-0.055674834632561065,-0.05614978964054018,-0.05705751686872118,-0.05794432943543948,-0.057872692617138344,-0.05942903487785889
NVDA,0.01207421858591795,0.008030346129240695,0.004902978479319531,0.0014419067946680464,-0.002361497648746269,-0.005345080300489191,-0.007565845771373314,-0.009255170652959,-0.011336078946707073,-0.013090502393035996,-0.014860281497076855,-0.015972522532618716
INTC,0.08894104778080869,0.09157363494054682,0.09431349838593484,0.09671035173125897,0.09890891679318359,0.10061511698177439,0.10375662406012276,0.10653350062737421,0.10827982743884901,0.11037225742347778,0.11124282076035907,0.11398634438774102
AMD,0.25562487434207803,0.2512212987735225,0.2462877916825934,0.2420086262221337,0.2372181725714776,0.23498584581322057,0.22979338902759716,0.22680014302074913,0.22485504550139834,0.220920481600978,0.21997535968618054,0.21623071506032354
TSM,0.25882227684776005,0.2583491987627925,0.25826813011103333,0.2580414152211765,0.2576789311224197,0.2571689847302032,0.25769171850205386,0.258083711143242,0.25770014791494855,0.2581142711289913,0.2580060563171661,0.2584308481246639
IBM,0.2983081743891638,0.29563366767395005,0.29438367770177476,0.2927581634364387,0.2911191534664097,0.28899130339448065,0.28846732718658386,0.28547696639699205,0.28296813533531373,0.28250889914279287,0.28121597879303695,0.2804611689360603
META,0.3502513724024836,0.33881568203639234,0.3291141245187486,0.3200449579080743,0.3113815395862617,0.3037255811971791,0.29527876521399965,0.2839332295861774,0.275826018480276,0.26992873247119187,0.26530380495325256,0.25657116326549956
MU,0.28608243528319044,0.2913396029145462,0.2970959124840429,0.3025642416844918,0.30785845334309603,0.312064413749361,0.31866918135066113,0.3243803826248859,0.32834903387814895,0.3329488267066797,0.33630855139964655,0.34242392278902467
GOOGL,0.3815686174584426,0.3787260206564779,0.377483487041753,0.3754365813942266,0.37409639049221605,0.37159890247952915,0.3707687477858718,0.3675166010063819,0.36448887271904634,0.36378842916573045,0.3621610818068659,0.3610621359679881
NOW,0.38409775588038764,0.3823641935966541,0.3824113508321126,0.3822376168225928,0.38170874296146384,0.3807461325591759,0.382273797973103,0.38244825977259567,0.3818013271129077,0.3827368878490993,0.38336496617554394,0.3852901078662857
AVGO,0.42097354018233984,0.41293056329373595,0.4065111380147138,0.3999394477199555,0.3936857338287667,0.387118474727004,0.3817926049988085,0.3750642229799613,0.36860406233816373,0.36485233897455205,0.3610687026093406,0.3556367720031519
QCOM,0.3523799853182241,0.35991703161528815,0.3677652184561263,0.374682114333165,0.38170827572205224,0.3868740883159788,0.3949854566156625,0.4009783867568189,0.40528304834949114,0.4107828499877919,0.4127500926281027,0.41880786783433677
CRM,0.4074417422221031,0.4047351361893425,0.40241822985972964,0.3994378083080059,0.39619277564001226,0.3929498386420592,0.3898661834124679,0.3866808409914691,0.3841408097635728,0.38213102719966047,0.3789333574173317,0.3762308222582708
SAP,0.37557729653039507,0.37855627667792036,0.38227613407725813,0.3859789641624286,0.3895549866234475,0.39222122539525284,0.3970657864264051,0.40056585536059647,0.4027367476956498,0.40621878405052947,0.4086639059083259,0.41290288814382564
AAPL,0.38602954299513076,0.389562761684889,0.3932318756618892,0.3966133114917689,0.3998741124292029,0.4025536948090897,0.4065251354105861,0.4100391641070773,0.41239057373276666,0.415120723765511,0.41695478285904464,0.4205902152084925
AMAT,0.3965894065267065,0.4039307665681783,0.41196230117645016,0.4185859740178558,0.42548141826874575,0.42989569363056673,0.4379010382703615,0.4432374205398337,0.44688579065233447,0.4522454594072405,0.45345393350224195,0.4592143910269896
ADI,0.4041115047095778,0.4103512743145298,0.41709657513483966,0.4232823467607512,0.42945344102755384,0.43411077502931067,0.44142402980648066,0.44728735085191396,0.45147715328536975,0.45655993429483216,0.45953044984075947,0.4659690027260901
CSCO,0.43838630607972645,0.4397595685099619,0.4410009964937972,0.4423223511650552,0.4435978350116847,0.4450763405057987,0.44661506014309144,0.4482855887547106,0.44929532747561307,0.45032824047236947,0.45155595878240945,0.45276241963834113
TSLA,0.4371323414998938,0.4407782584635048,0.4444628501842979,0.44796866689406817,0.4506692181571338,0.4532603009639908,0.4569374259198038,0.46007037839643955,0.4627198372360864,0.4653450259210034,0.46684715227921214,0.47006017437947556
ADBE,0.45124185886058477,0.4524144388266811,0.4539799560134107,0.4555983537475315,0.45681688941558835,0.458002205759916,0.46002409432282443,0.46118748777830676,0.46202139825139676,0.4635207501650811,0.46449521092498314,0.46575028656517115
ASML,0.4567836395565675,0.4585233957946211,0.46075847460800723,0.4630202770814254,0.465073750871937,0.46687452397672513,0.47026946143004045,0.4733299625795506,0.47512394268029273,0.47749547668879744,0.4793689345989294,0.4830281327000588
PANW,0.46883515760226363,0.4721138734707949,0.47573106362711454,0.4790726660933887,0.48230006831452166,0.48480171329163807,0.4889443844648,0.4927478932475302,0.4950107983762433,0.4979070748384708,0.500017767543435,0.5039281282359023
ORCL,0.5440696919751313,0.5359020634455033,0.5274455490195054,0.5195706540441773,0.5111930333051565,0.5051741872774489,0.49584752251446285,0.48958932134936883,0.48416220533824367,0.4768470207886318,0.47279678025394656,0.4636011593150252
TXN,0.48124836943873167,0.48604683475990423,0.49132311407628204,0.49628944832365796,0.5011266651649682,0.5050125727596002,0.5110637040410239,0.5157887980965252,0.519169333178733,0.5234190918434043,0.5262310531672301,0.5315052675097112
ADSK,0.5054847492879824,0.5110274638143842,0.5169811105723028,0.5225758323463314,0.5280737711841622,0.5323101930575604,0.5388851486201045,0.5442388780683004,0.5479400775625444,0.5525515950783596,0.555359248822259,0.5610357169596628
STX,0.5246425096778597,0.528563753847361,0.5328144320281556,0.5367522930796461,0.5405828488655091,0.5433847855843483,0.5480725714895083,0.5521348475731089,0.5547414790819062,0.558007955554437,0.5600895094592576,0.5643871254807385
LRCX,0.5648056162422718,0.56771561399172,0.5709927932552036,0.5741702630647576,0.5771147883503782,0.5794241095337811,0.5835209639371349,0.5873694377613525,0.589708200616452,0.5924600419009532,0.5945488629607713,0.5984785107160695
KLAC,0.667009709759766,0.6730082425954489,0.6795607294807161,0.685413498961689,0.6912504170500574,0.6955172605339042,0.7026738842562661,0.7083448630356428,0.7121469774106014,0.7169924877798196,0.7193875054113431,0.7252360491579146
INTU,0.693892310934634,0.7005385340114612,0.70744392636172,0.714020046802991,0.7203880105876518,0.7255430478878948,0.7329539605020023,0.7393445775381902,0.7439459724002039,0.749165506778551,0.752966644382019,0.7595786407436222
