Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.5067977840060449,-0.5096966142447891,-0.5130892455684207,-0.5161393797494616,-0.519381140410176,-0.5214313092748684,-0.5259442960626015,-0.5294797522200908,-0.532181459549014,-0.5354398061242369,-0.5372416272160677,-0.5424571675779177
NVDA,-0.4447094209706495,-0.4504930496653804,-0.4558554961286877,-0.46157837028675736,-0.46743524852068324,-0.4722196042772143,-0.47783530720141376,-0.4825851332325096,-0.4864600216269998,-0.49058597908183343,-0.49422921609600623,-0.4990006552326775
AMZN,-0.4567836395565675,-0.4585233957946211,-0.46075847460800723,-0.4630202770814254,-0.465073750871937,-0.46687452397672513,-0.47026946143004045,-0.4733299625795506,-0.47512394268029273,-0.47749547668879744,-0.4793689345989294,-0.4830281327000588
INTC,-0.3678425917757588,-0.36694976085407427,-0.3664449762220724,-0.36630992535016643,-0.3661648340787534,-0.36625940699495074,-0.3665128373699177,-0.3667964619521764,-0.3668441152414437,-0.36712321926531966,-0.3681261138385703,-0.36904178831231776
AMD,-0.20115876521448944,-0.20730209702109859,-0.21447068292541382,-0.2210116508592917,-0.22785557830045938,-0.23188867816350456,-0.24047607240244329,-0.2465298195588015,-0.2502688971788944,-0.25657499508781945,-0.25939357491274884,-0.26679741763973525
TSM,-0.19796136270880743,-0.2001741970318286,-0.2024903444969739,-0.20497886186024888,-0.2073948197495173,-0.2097055392465219,-0.2125777429279866,-0.2152462514363086,-0.21742379476534418,-0.21938120555980611,-0.22136287828176326,-0.2245972845753949
IBM,-0.15847546516740368,-0.16288972812067104,-0.16637479690623247,-0.17026211364498672,-0.17395459740552727,-0.17788322058224448,-0.1818021342434566,-0.18785299618255857,-0.192155807344979,-0.19498657754600457,-0.19815295580589243,-0.20256696376399846
META,-0.10653226715408387,-0.11970771375822875,-0.13164435008925862,-0.1429753191733511,-0.15369221128567528,-0.16314894277954606,-0.1749906962160408,-0.18939673299337323,-0.19929792420001674,-0.20756674421760557,-0.2140651296456768,-0.22645696943455923
MU,-0.17070120427337704,-0.1671837928800749,-0.16366256212396435,-0.1604560353969336,-0.15721529752884095,-0.15481011022736413,-0.1516002800793793,-0.14894957995466473,-0.14677490880214378,-0.14454664998211775,-0.14306038319928283,-0.14060420991103412
GOOGL,-0.07521502209812486,-0.07979737513814317,-0.08327498756625423,-0.08758369568719881,-0.09097736037972093,-0.09527562149719598,-0.09950071364416863,-0.10581336157316873,-0.11063506996124639,-0.11370704752306698,-0.11720785279206347,-0.1219659967320707
