Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.4709876846318172,-0.46410378174390393,-0.4588419089751273,-0.4530585503879916,-0.4479931233670057,-0.44167526002514723,-0.4374674396313696,-0.43121401262050146,-0.4256615792068849,-0.4227966684099915,-0.41894139522647894,-0.4150658068810108
NVDA,-0.4088993215964219,-0.40490021716449526,-0.40160815953539425,-0.39849754092528744,-0.396047231477513,-0.3924635550274932,-0.38935845077018183,-0.3843193936329203,-0.3799401412848708,-0.37794284136758804,-0.37592898410641745,-0.37160929453577063
AMZN,-0.42097354018233984,-0.41293056329373595,-0.4065111380147138,-0.3999394477199555,-0.3936857338287667,-0.387118474727004,-0.3817926049988085,-0.3750642229799613,-0.36860406233816373,-0.36485233897455205,-0.3610687026093406,-0.3556367720031519
INTC,-0.33203249240153115,-0.32135692835318913,-0.31219763962877894,-0.3032290959886965,-0.2947768170355831,-0.2865033577452296,-0.27803598093868576,-0.26853072235258707,-0.2603242348993147,-0.25448008155107427,-0.24982588184898152,-0.2416504276154109
AMD,-0.1653486658402618,-0.16170926452021345,-0.16022334633212038,-0.15793082149782178,-0.1564675612572891,-0.15213262891378343,-0.15199921597121135,-0.14826407995921215,-0.1437490168367654,-0.14393185737357406,-0.14109334292316006,-0.13940605694282837
TSM,-0.1621512633345798,-0.15458136453094345,-0.14824300790368045,-0.14189803249877897,-0.13600680270634702,-0.12994948999680078,-0.12410088649675466,-0.11698051183671926,-0.11090391442321518,-0.10673806784556072,-0.10306264629217449,-0.09720592387848803
IBM,-0.12266536579317605,-0.1172968956197859,-0.11212746031293902,-0.10718128428351681,-0.102566580362357,-0.09812717133252336,-0.09332527781222466,-0.08958725658296923,-0.08563592700285,-0.08234343983175918,-0.07985272381630365,-0.07517560306709159
META,-0.07072216777985624,-0.07411488125734361,-0.07739701349596517,-0.07989448981188119,-0.08230419424250501,-0.08339289352982493,-0.08651383978480887,-0.09113099339378389,-0.09277804385788774,-0.09492360650336018,-0.09576489765608803,-0.09906560873765236
MU,-0.1348911048991494,-0.12159096037918976,-0.1094152255306709,-0.09737520603546368,-0.08582728048567068,-0.075054060977643,-0.06312342364814738,-0.050683840355075394,-0.040255028460014775,-0.03190351226787236,-0.024760151209694048,-0.013212849214127242
GOOGL,-0.03940492272389723,-0.03420454263725803,-0.029027650972960783,-0.0245028663257289,-0.019589343336550658,-0.015519572247474855,-0.011023857212936694,-0.007547621973579388,-0.0041151896191173876,-0.0010639098088215948,0.001092379197525306,0.005425363964836172
NOW,-0.03687578430195221,-0.030566369697081874,-0.024099787182601196,-0.017701830897362714,-0.011976990867302861,-0.006372342167828116,0.0004811929742944976,0.007384036792634385,0.013197264774743978,0.017884548874547268,0.022296263566203345,0.02965333586313379
QCOM,-0.06859355486411572,-0.0530135316784478,-0.03874591955858747,-0.02525733338679048,-0.011977458106714467,-0.0002443864110251992,0.013192851616853962,0.025914163776857624,0.03667898601132741,0.04593051101323986,0.0516813900187621,0.06317109583118485
CRM,-0.013531797960236736,-0.008195427104393471,-0.004092908154984143,-0.0005016394119495837,0.0025070418112455584,0.005831363915055177,0.00807357841365941,0.011616618011507818,0.015536747425409059,0.01727868822510842,0.0178646548079911,0.0205940502551189
SAP,-0.04539624365194478,-0.0343742866158156,-0.024235003937455646,-0.013960483557526882,-0.004130747205319196,0.005102750668248834,0.015273181427596594,0.025501632380635186,0.03413268535748609,0.04136644507597742,0.04759520329898531,0.05726611614067373
AAPL,-0.034943997187209086,-0.02336780160884694,-0.013279262352824561,-0.0033261362281865603,0.006188378600436195,0.015435220082085699,0.024732530411777587,0.03497494112711602,0.043786511394602934,0.050268384790958964,0.05588608024970404,0.06495344320534058
AMAT,-0.024384133655633355,-0.008999796725557674,0.005451163161736383,0.018646526297900312,0.031795684439979044,0.04277721890356273,0.05610843327155296,0.06817319755987244,0.07828172831417074,0.08739312043268843,0.09238523089290135,0.10357761902383766
ADI,-0.01686203547276205,-0.0025792889792061735,0.010585437120125885,0.023342899040795728,0.035767707198787135,0.04699230030230667,0.05963142480767214,0.07222312787195267,0.08287309094720602,0.09170759532028011,0.09846174723141887,0.11033223072293818
CSCO,0.017412765897386606,0.026829005216225943,0.034489858479083424,0.04238290344509971,0.049912101182918,0.05795786577879469,0.06482245514428292,0.0732213657747493,0.08069126513744934,0.08547590149781742,0.09048725617306885,0.09712564763518922
TSLA,0.016158801317553928,0.02784769516976887,0.037951712169584095,0.04802921917411268,0.056983484328367084,0.06614182623698678,0.07514482092099528,0.08500615541647827,0.09411577489792267,0.10049268694645136,0.10577844966987154,0.11442340237632365
ADBE,0.03026831867824492,0.039483875532945134,0.0474688179986969,0.055658906027576005,0.06313115558682164,0.07088373103291201,0.07823148932401591,0.08612326479834548,0.09341733591323303,0.09866841119052905,0.10342650831564254,0.11011351456201923
ASML,0.03581009937422763,0.04559283250088514,0.05424733659329345,0.06308082936146991,0.07138801704317027,0.07975604924972113,0.08847685643123193,0.09826573959958934,0.106519880342129,0.11264313771424539,0.11830023198958878,0.12739136069690687
PANW,0.047861617419923785,0.05918331017705897,0.06921992561240076,0.07913321837343323,0.08861433448575495,0.09768323856463407,0.10715177946599147,0.11768367026756893,0.12640673603807956,0.13305473586391875,0.1389490649340943,0.14829135623275042
ORCL,0.12309615179279154,0.12297150015176733,0.12093441100479163,0.11963120632422186,0.11750729947638983,0.11805571255044484,0.11405491751565433,0.11452509836940755,0.11555814300007994,0.11199468181407973,0.11172807764460596,0.1079643873118733
TXN,0.060274829256391826,0.07311627146616828,0.08481197606156826,0.09635000060370247,0.10744093133620142,0.11789409803259615,0.12927109904221534,0.140724575116564,0.1505652708405693,0.1585667528688522,0.16516235055788941,0.17586849550655925
ADSK,0.08451120910564258,0.09809690052064829,0.11046997255758895,0.122636384626376,0.1343880373553955,0.1451917183305565,0.157092543621296,0.16917465508833912,0.17933601522438064,0.18769925610380755,0.19429054621291836,0.2053989449565109
STX,0.10366896949551996,0.11563319055362503,0.12630329401344176,0.13681284535969063,0.1468971150367424,0.15626631085734438,0.1662799664906997,0.17707062459314765,0.18613741674374246,0.19315561657988495,0.19902080684991702,0.20875035347758664
LRCX,0.14383207605993195,0.15478505069798407,0.1644816552404898,0.1742308153448021,0.18342905452161148,0.1923056348067771,0.2017283589383264,0.21230521478139125,0.22110413827828834,0.2276077029264012,0.23348016035143065,0.2428417387129176
KLAC,0.24603616957742613,0.26007767930171294,0.2730495914660023,0.28547405124173353,0.2975646832212907,0.3083987858069001,0.3208812792574576,0.3332806400556815,0.34354291507243767,0.35214014880526756,0.35831880280200257,0.3695992771547627
INTU,0.27291877075229415,0.2876079707177252,0.3009327883470063,0.31408059908303554,0.3267022767588851,0.33842457316089075,0.3511613555031939,0.36428035455822894,0.3753419100620401,0.38431316780399893,0.3918979417726784,0.40394186874047033
