Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.48840045052920383,-0.4909327869601299,-0.4933317674542107,-0.4954414538330913,-0.4979052245499237,-0.4996331258039419,-0.5022898947756524,-0.5044353783952508,-0.5063528443443343,-0.508272569907809,-0.5094286513995478,-0.5121914545162001
NVDA,-0.4263120874938085,-0.4317292223807212,-0.4360980180144777,-0.44088044437038715,-0.445959332660431,-0.4504214208062879,-0.45418090591446475,-0.4575407594076696,-0.46063140642232014,-0.46341874286540546,-0.4664162402794863,-0.46873494217095985
AMZN,-0.43838630607972645,-0.4397595685099619,-0.4410009964937972,-0.4423223511650552,-0.4435978350116847,-0.4450763405057987,-0.44661506014309144,-0.4482855887547106,-0.44929532747561307,-0.45032824047236947,-0.45155595878240945,-0.45276241963834113
INTC,-0.34944525829891776,-0.3481859335694151,-0.34668749810786237,-0.3456119994337962,-0.3446889182185011,-0.3444612235240243,-0.3428584360829687,-0.3417520881273364,-0.34101550003676406,-0.3399559830488917,-0.3403131380220504,-0.3387760752506001
AMD,-0.18276143173764842,-0.1885382697364394,-0.1947132048112038,-0.2003137249429215,-0.2063796624402071,-0.21009049469257812,-0.21682167111549427,-0.22148544573396145,-0.22444028197421473,-0.22940775887139148,-0.2315805990962289,-0.2365317045780176
TSM,-0.1795640292319664,-0.1814103697471694,-0.18273286638276387,-0.18428093594387868,-0.18591890388926502,-0.18790735577559547,-0.18892334164103758,-0.19020187761146856,-0.19159517956066452,-0.19221396934337814,-0.19354990246524334,-0.19433157151367725
IBM,-0.14007813169056266,-0.14412590083601184,-0.14661731879202244,-0.14956418772861652,-0.152478681545275,-0.15608503711131805,-0.15814773295650758,-0.16280862235771854,-0.16632719214029934,-0.1678193413295766,-0.1703399799893725,-0.1723012507022808
META,-0.08813493367724284,-0.10094388647356956,-0.1118868719750486,-0.12227739325698089,-0.132216295425423,-0.14135075930861962,-0.15133629492909179,-0.1643523591685332,-0.17346930899533708,-0.1803995080011776,-0.18625215382915689,-0.19619125637284157
MU,-0.152303870796536,-0.1484199655954157,-0.14390508400975432,-0.13975810948056339,-0.13573938166858868,-0.1330119267564377,-0.1279458787924303,-0.1239052061298247,-0.12094629359746412,-0.11737941376568978,-0.1152474073827629,-0.11033849684931646
GOOGL,-0.056817688621283835,-0.06103354785348397,-0.06351750945204421,-0.06688576977082861,-0.06950144451946866,-0.07347743802626955,-0.07584631235721961,-0.08076898774832869,-0.08480645475656673,-0.08653981130663901,-0.08939487697554355,-0.09170028367035304
NOW,-0.054288550199338814,-0.05739537491330782,-0.05858964566168462,-0.06008473434246242,-0.06188909205022086,-0.06433020794662281,-0.06434126216998842,-0.06583732898211492,-0.06749400036270536,-0.06759135262327015,-0.06819099260686551,-0.06747231177205543
AVGO,-0.017412765897386606,-0.026829005216225943,-0.034489858479083424,-0.04238290344509971,-0.049912101182918,-0.05795786577879469,-0.06482245514428292,-0.0732213657747493,-0.08069126513744934,-0.08547590149781742,-0.09048725617306885,-0.09712564763518922
QCOM,-0.08600632076150233,-0.07984253689467374,-0.0732357780376709,-0.06764023683189019,-0.06188955928963247,-0.05820225218981989,-0.05162960352742896,-0.04730720199789168,-0.044012279126121934,-0.03954539048457756,-0.038805866154306756,-0.03395455180400436
CRM,-0.03094456385762334,-0.035024432320619414,-0.03858276663406757,-0.04288454285704929,-0.04740505937167244,-0.052126501863739516,-0.05674887673062351,-0.061604747763241485,-0.06515451771204028,-0.068197213272709,-0.07262260136507775,-0.07653159738007032
SAP,-0.06280900954933138,-0.06120329183204154,-0.05872486241653907,-0.05634338700262659,-0.0540428483882372,-0.05285511511054586,-0.049549273716686326,-0.04771973339411412,-0.04655857977996325,-0.04410945642184,-0.04289205287408354,-0.03985953149451549
AAPL,-0.05235676308459569,-0.05019680682507288,-0.047769120831907985,-0.04570903967328627,-0.043723722582481805,-0.042522645696708994,-0.04008992473250533,-0.03824642464763328,-0.03690475374284641,-0.035207516706858455,-0.03460117592336481,-0.03217220442984864
AMAT,-0.04179689955301996,-0.03582880194178362,-0.02903869531734704,-0.023736377147199395,-0.018116416742938957,-0.015180646875231962,-0.00871402187272996,-0.005048168214876858,-0.002409536823278602,0.0019172189348710122,0.0018979747198324959,0.0064519713886484475
ADI,-0.034274801370148655,-0.029408294195432116,-0.02390442135895754,-0.01904000440430398,-0.014144393984130865,-0.010965565476488026,-0.00519103033661078,-0.0009982379027966282,0.0021818258097566767,0.006231693822462692,0.00797449105835002,0.013206583087748969
TSLA,-0.0012539645798326782,0.0010186899535429284,0.0034618536905006714,0.005646315729012974,0.007071383145449084,0.008183960458192086,0.010322365776712361,0.011784789641728965,0.013424509760473324,0.01501678544863394,0.01529119349680269,0.01729775474113443
ADBE,0.012855552780858315,0.012654870316719191,0.012978959519613475,0.013276002582476298,0.01321905440390364,0.012925865254117319,0.013409034179732993,0.012901899023596175,0.012726070775783693,0.01319250969271163,0.012939252142573687,0.012987866926830016
ASML,0.018397333476841027,0.018763827284659196,0.019757478114210025,0.020697925916370208,0.02147591586025227,0.021798183470926435,0.02365440128694901,0.02504437382484004,0.02582861520467966,0.02716723621642797,0.027812975816519925,0.03026571306171766
PANW,0.03044885152253718,0.032354304960833025,0.03473006713331733,0.03675031492833353,0.03870223330283695,0.039725372785839375,0.04232932432170855,0.044462304492819626,0.04571547090063022,0.04757883436610133,0.04846180876102546,0.0511657085975612
ORCL,0.10568338589540494,0.09614249493554139,0.08644455252570821,0.07724830287912215,0.06759519829347183,0.06009784677165014,0.04923246237137141,0.04130373259465825,0.034866877862630596,0.026518780316262314,0.021240821471537108,0.010838739676684084
TXN,0.04286206335900522,0.04628726624994234,0.05032211758248484,0.05396709715860276,0.05752883015328342,0.05993623225380146,0.06444864389793242,0.0675032093418147,0.06987400570311997,0.07309085137103477,0.07467509438482056,0.07874284787137004
ADSK,0.06709844320825598,0.07126789530442235,0.07598011407850552,0.08025348118127629,0.0844759361724775,0.0872338525517618,0.09227008847701307,0.09595328931358982,0.0986447500869313,0.10222335460599014,0.1038032900398495,0.10827329732132168
STX,0.08625620359813335,0.08880418533739909,0.09181343553435833,0.09442994191459092,0.09698501385382441,0.09830844507854969,0.10145751134641678,0.10384925881839835,0.10544615160629311,0.10767971508206753,0.10853355067684817,0.11162470584239742
LRCX,0.12641931016254535,0.12795604548175812,0.12999179676140638,0.13184791189970238,0.13351695333869348,0.1343477690279824,0.1369059037940435,0.13908384900664195,0.140412873140839,0.14213180142858378,0.1429929041783618,0.14571609107772837
KLAC,0.22862340368003953,0.233248674085487,0.23855973298691888,0.2430911477966338,0.2476525820383727,0.2504409200281054,0.2560588241131746,0.2600592742809322,0.26285164993498833,0.2666642473074501,0.2678315466289337,0.27247362951957355
INTU,0.25550600485490754,0.26077896550149926,0.2664429298679229,0.2716976956379358,0.2767901755759671,0.28046670738209606,0.28633890035891096,0.29105898878347963,0.2946506449245908,0.29883726630618146,0.30141068559960954,0.3068162211052811
