Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.43158276190792,-0.4298992391066459,-0.4298142580021665,-0.4285556840622627,-0.42840378003045504,-0.4261556877776724,-0.4264435824184329,-0.4236663906469221,-0.4215463895877675,-0.42173275860116993,-0.42003377442400425,-0.420491170845847
NVDA,-0.36949439887252467,-0.37069567452723723,-0.37258050856243347,-0.37399467459955854,-0.3764578881409623,-0.37694398278001834,-0.37833459355724514,-0.3767717716593409,-0.3758249516657534,-0.37687893155876645,-0.37702136330394276,-0.3770346585006068
AMZN,-0.3815686174584426,-0.3787260206564779,-0.377483487041753,-0.3754365813942266,-0.37409639049221605,-0.37159890247952915,-0.3707687477858718,-0.3675166010063819,-0.36448887271904634,-0.36378842916573045,-0.3621610818068659,-0.3610621359679881
INTC,-0.2926275696776339,-0.2871523857159311,-0.28316998865581816,-0.2787262296629676,-0.27518747369903246,-0.27098378549775476,-0.26701212372574906,-0.2609831003790077,-0.25620904528019733,-0.25341617174225267,-0.25091826104650683,-0.24707579158024706
AMD,-0.12594374311636458,-0.12750472188295542,-0.1311956953591596,-0.13342795517209288,-0.13687821792073845,-0.13661305666630857,-0.14097535875827466,-0.14071645798563276,-0.139633827217648,-0.14286794756475246,-0.14218572212068536,-0.14483142090766454
TSM,-0.12274634061068257,-0.12037682189368543,-0.11921535693071966,-0.11739516617305007,-0.11641745936979636,-0.11442991774932593,-0.11307702928381796,-0.10943288986313987,-0.10678872480409779,-0.10567415803673913,-0.10415502548969979,-0.1026312878433242
IBM,-0.08326044306927882,-0.08309235298252787,-0.08309980933997824,-0.08267841795778791,-0.08297723702580634,-0.0826075990850485,-0.08230142059928797,-0.08203963460938984,-0.08152073738373261,-0.08127953002293758,-0.08094510301382896,-0.08060096703192776
META,-0.03131724505595901,-0.039910338620085584,-0.04836936252300439,-0.055391623486152286,-0.06271485090595436,-0.06787332128235007,-0.07548998257187217,-0.0835833714202045,-0.08866285423877035,-0.09385969669453859,-0.09685727685361334,-0.10449097270248853
MU,-0.09548618217525218,-0.08738641774193173,-0.08038757455771012,-0.07287233970973478,-0.06623793714912002,-0.059534488730168145,-0.05209956643521069,-0.043136218381496005,-0.03613983884089739,-0.030839602459050763,-0.025852530407219354,-0.018638213178963414
NOW,0.002529138421945021,0.0036381729401761542,0.004927863790359588,0.006801035428366187,0.007612352469247796,0.00914723007964674,0.011505050187231192,0.014931658766213773,0.017312454393861365,0.018948458683368863,0.02120388436867804,0.024227971898297618
