Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.3483223188386412,-0.34680688612411803,-0.34671444866218826,-0.3458772661044748,-0.3454265430046487,-0.3435480886926239,-0.3441421618191449,-0.34162675603753223,-0.3400256522040349,-0.34045322857823235,-0.3390886714101753,-0.3398902038139192
NVDA,-0.28623395580324584,-0.28760332154470936,-0.28948069922245523,-0.29131625664177063,-0.293480651115156,-0.29433638369496984,-0.29603317295795717,-0.29473213704995105,-0.2943042142820208,-0.29559940153582887,-0.2960762602901138,-0.29643369146867904
AMZN,-0.2983081743891638,-0.29563366767395005,-0.29438367770177476,-0.2927581634364387,-0.2911191534664097,-0.28899130339448065,-0.28846732718658386,-0.28547696639699205,-0.28296813533531373,-0.28250889914279287,-0.28121597879303695,-0.2804611689360603
INTC,-0.2093671266083551,-0.20406003273340323,-0.20007017931583992,-0.1960478117051797,-0.19221023667322612,-0.18837618641270626,-0.1847107031264611,-0.17894346576961784,-0.17468830789646472,-0.1721366417193151,-0.16997315803267787,-0.1664748245483193
AMD,-0.04268330004708576,-0.044412368900427546,-0.048095886019181355,-0.050749537214304974,-0.053900980894932116,-0.054005457581260075,-0.058673938158986694,-0.058676823376242915,-0.05811308983391539,-0.06158841754181488,-0.06124061910685641,-0.06423045387573678
TSM,-0.03948589754140375,-0.03728446891115755,-0.036115547590741426,-0.03471674821526216,-0.03344022234399002,-0.03182231866427743,-0.030775608684529998,-0.027393255253750026,-0.02526798742036518,-0.024394628013801545,-0.023209922475870837,-0.022030320811396442
META,0.05194319801331981,0.04318201436244229,0.03473044681697385,0.027286794471635623,0.020262386119851983,0.014734277802698426,0.006811438027415795,-0.0015437368108146554,-0.007142116855037739,-0.012580166671601,-0.015912173839784383,-0.023890005670560766
MU,-0.012225739105973354,-0.0042940647594038595,0.002712234782268119,0.00980607824805313,0.01673929987668632,0.023073110354880355,0.03020185416407728,0.03890341622789384,0.045380898542835224,0.05043992756388682,0.0550925726066096,0.06196275385296435
GOOGL,0.08326044306927882,0.08309235298252787,0.08309980933997824,0.08267841795778791,0.08297723702580634,0.0826075990850485,0.08230142059928797,0.08203963460938984,0.08152073738373261,0.08127953002293758,0.08094510301382896,0.08060096703192776
NOW,0.08578958149122384,0.08673052592270403,0.08802767313033782,0.0894794533861541,0.09058958949505413,0.09175482916469524,0.09380647078651916,0.09697129337560362,0.09883319177759398,0.10022798870630645,0.102148987382507,0.10482893893022538
AVGO,0.12266536579317605,0.1172968956197859,0.11212746031293902,0.10718128428351681,0.102566580362357,0.09812717133252336,0.09332527781222466,0.08958725658296923,0.08563592700285,0.08234343983175918,0.07985272381630365,0.07517560306709159
QCOM,0.05407181092906033,0.0642833639413381,0.07338154075435155,0.08192395089672633,0.09058912225564253,0.09788278492149816,0.10651812942907862,0.11550142035982686,0.1223149130141774,0.12827395084499904,0.13153411383506575,0.13834669889827644
CRM,0.10913356783293932,0.10910146851539243,0.10803455215795488,0.10667964487156723,0.10507362217360255,0.10395853524757853,0.10139885622588407,0.10120387459447705,0.10117267442825906,0.0996221280568676,0.09771737862429475,0.09576965332221049
SAP,0.07726912214123127,0.0829226090039703,0.08789245637548337,0.09322080072598993,0.0984358331570378,0.10322992200077219,0.10859845923982125,0.11508888896360442,0.11976861236033609,0.1237098849077366,0.12744792711528896,0.13244171920776532
AAPL,0.08772136860596697,0.09392909401093896,0.09884819796011446,0.10385514805533025,0.10875495896279319,0.11356239141460905,0.11805780822400225,0.12456219771008525,0.12942243839745293,0.13261182462271814,0.1357388040660077,0.14012904627243217
AMAT,0.0982812321375427,0.10829709889422823,0.1175786234746754,0.12582781058141712,0.13436226480233604,0.14090439023608609,0.14943371108377762,0.15776045414284168,0.16391765531702074,0.1697365602644476,0.172237954709205,0.17875322209092925
ADI,0.105803330320414,0.11471760664057973,0.1227128974330649,0.13052418332431254,0.13833428756114413,0.14511947163483002,0.1529567026198968,0.1618103844549219,0.16850901795005602,0.1740510351520393,0.17831447104772252,0.18550783379002977
CSCO,0.14007813169056266,0.14412590083601184,0.14661731879202244,0.14956418772861652,0.152478681545275,0.15608503711131805,0.15814773295650758,0.16280862235771854,0.16632719214029934,0.1678193413295766,0.1703399799893725,0.1723012507022808
TSLA,0.13882416711072998,0.14514459078955477,0.15007917248252312,0.1552105034576295,0.15955006469072408,0.16426899756951013,0.16847009873321994,0.1745934119994475,0.17975170190077266,0.18283612677821054,0.1856311734861752,0.18959900544341524
ADBE,0.15293368447142097,0.15678077115273104,0.15959627831163592,0.16284019031109281,0.16569773594917864,0.16901090236543537,0.17155676713624057,0.1757105213813147,0.17905326291608303,0.18101185102228823,0.1832792321319462,0.18528911762911082
ASML,0.15847546516740368,0.16288972812067104,0.16637479690623247,0.17026211364498672,0.17395459740552727,0.17788322058224448,0.1818021342434566,0.18785299618255857,0.192155807344979,0.19498657754600457,0.19815295580589243,0.20256696376399846
PANW,0.17052698321309984,0.17648020579684487,0.18134738592533978,0.18631450265695004,0.19118091484811195,0.19581040989715742,0.20047705727821613,0.20727092685053816,0.21204266304092956,0.21539817569567793,0.21880178875039796,0.223466959299842
ORCL,0.2457615175859676,0.24026839577155323,0.23306187131773065,0.22681249060773867,0.22007387983874682,0.2161828838829682,0.207380195327879,0.20411235495237678,0.20119407000292994,0.1943381216458389,0.1915808014609096,0.1831399903789649
TXN,0.18294019504956788,0.19041316708595418,0.19693943637450728,0.20353128488721928,0.2100075116985584,0.2160212693651195,0.22259637685444,0.23031183169953323,0.2362011978434193,0.24091019270061137,0.24501507437419306,0.25104409857365084
ADSK,0.20717657489881863,0.2153937961404342,0.22259743287052797,0.2298176689098928,0.2369546177177525,0.24331888966307985,0.25041782143352065,0.25876191167130835,0.26497194222723064,0.27004269593556673,0.274143270029222,0.2805745480236025
STX,0.226334335288696,0.23293008617341093,0.23843075432638078,0.24399412964320744,0.2494636953990994,0.25439348218986774,0.25960524430292437,0.2666578811761169,0.27177334374659246,0.2754990564116441,0.27887353066622067,0.2839259565446782
LRCX,0.266497441853108,0.27208194631776994,0.2766091155534288,0.2814120996283189,0.2859956348839685,0.29043280613930045,0.2950536367505511,0.3018924713643605,0.30674006528113834,0.3099511427581604,0.3133328841677343,0.3180173417800092
KLAC,0.3687015353706022,0.37737457492149884,0.38517705177894135,0.39265533552525034,0.4001312635836477,0.40652595713942347,0.41420655706968224,0.4228678966386507,0.42917884207528767,0.43448358863702674,0.43817152661830616,0.4447748802218543
INTU,0.3955841365454702,0.4049048663375111,0.41306024865994534,0.42126188336655235,0.4292688571212421,0.4365517444934141,0.44448663331541854,0.45386761114119817,0.46097783706489015,0.4666566076357581,0.47175066558898204,0.4791174718075619
