Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.13895519223028607,-0.1427468533907148,-0.14664426934634833,-0.14982945439929507,-0.15321630633142258,-0.15517190227991762,-0.15943145869268383,-0.1626832902679144,-0.1653373443075702,-0.16831658685891726,-0.16911551337749742,-0.1734153792655999
NVDA,-0.07686682919489074,-0.08354328881130613,-0.0894105199066153,-0.09526844493659092,-0.10127041444192986,-0.10596019728226358,-0.11132246983149607,-0.11578867128033321,-0.11961590638555608,-0.12346275981651378,-0.12610310225743593,-0.12995886692035974
AMZN,-0.08894104778080869,-0.09157363494054682,-0.09431349838593484,-0.09671035173125897,-0.09890891679318359,-0.10061511698177439,-0.10375662406012276,-0.10653350062737421,-0.10827982743884901,-0.11037225742347778,-0.11124282076035907,-0.11398634438774102
AMD,0.16668382656126934,0.15964766383297568,0.15197429329665857,0.14529827449087473,0.138309255778294,0.13437072883144618,0.1260367649674744,0.12026664239337492,0.11657521806254934,0.11054822417750021,0.10873253892582146,0.10224437067258252
TSM,0.16988122906695136,0.16677556382224568,0.1639546317250985,0.16133106348991755,0.1587700143292361,0.15655386774842883,0.1539350944419311,0.1515502105158678,0.14942032047609954,0.14774201370551354,0.14676323555680704,0.14444450373692286
IBM,0.2093671266083551,0.20406003273340323,0.20007017931583992,0.1960478117051797,0.19221023667322612,0.18837618641270626,0.1847107031264611,0.17894346576961784,0.17468830789646472,0.1721366417193151,0.16997315803267787,0.1664748245483193
META,0.2613103246216749,0.24724204709584552,0.23480062613281377,0.22333460617681533,0.2124726227930781,0.20311046421540468,0.1915221411538769,0.17739972895880318,0.16754619104142698,0.15955647504771409,0.1540609841928935,0.14258481887775853
MU,0.19714138750238175,0.19976596797399937,0.20278241409810804,0.20585388995323284,0.20894953654991244,0.21144929676758661,0.21491255729053838,0.21784688199751168,0.22006920643929995,0.2225765692832019,0.22506573063928748,0.22843757840128365
GOOGL,0.2926275696776339,0.2871523857159311,0.28316998865581816,0.2787262296629676,0.27518747369903246,0.27098378549775476,0.26701212372574906,0.2609831003790077,0.25620904528019733,0.25341617174225267,0.25091826104650683,0.24707579158024706
NOW,0.29515670809957895,0.29079055865610726,0.28809785244617775,0.2855272650913338,0.28279982616828025,0.2801310155774015,0.27851717391298025,0.27591475914522146,0.2735214996740587,0.27236463042562153,0.27212214541518487,0.2713037634785447
AVGO,0.33203249240153115,0.32135692835318913,0.31219763962877894,0.3032290959886965,0.2947768170355831,0.2865033577452296,0.27803598093868576,0.26853072235258707,0.2603242348993147,0.25448008155107427,0.24982588184898152,0.2416504276154109
QCOM,0.26343893753741543,0.26834339667474133,0.2734517200701915,0.27797176260190604,0.28279935892886865,0.2862589713342044,0.2912288325555397,0.2944448861294447,0.29700322091064213,0.3004105925643141,0.3015072718677436,0.30482152344659574
CRM,0.3185006944412944,0.31316150124879566,0.3081047314737948,0.30272745657674693,0.2972838588468287,0.2923347216602848,0.28610955935234517,0.2801473403640949,0.2758609823247238,0.2717587697761827,0.2676905366569726,0.2622444778705298
SAP,0.2866362487495864,0.28698264173737353,0.2879626356913233,0.28926861243116964,0.2906460698302639,0.29160610841347845,0.29330916236628235,0.29403235473322226,0.2944569202568008,0.2958465266270517,0.29742108514796683,0.2989165437560846
AAPL,0.29708849521432207,0.2979891267443422,0.2989183772759544,0.29990295976050996,0.3009651956360193,0.3019385778273153,0.30276851135046334,0.3035056634797031,0.30411074629391766,0.30474846634203323,0.30571196209868556,0.30660387082075147
AMAT,0.3076483587458978,0.31235713162763146,0.3176488027905153,0.32187562228659683,0.32657250147556216,0.32928057664879234,0.3341444142102387,0.3367039199124595,0.33860596321348546,0.3418732019837627,0.3422111127418829,0.34522804663924855
ADI,0.3151704569287691,0.31877763937398296,0.32278307674890483,0.32657199502949225,0.33054452423437025,0.3334956580475363,0.3376674057463579,0.34075385022453974,0.34319732584652074,0.3461876768713544,0.3482876290804004,0.3519826583383491
CSCO,0.34944525829891776,0.3481859335694151,0.34668749810786237,0.3456119994337962,0.3446889182185011,0.3444612235240243,0.3428584360829687,0.3417520881273364,0.34101550003676406,0.3399559830488917,0.3403131380220504,0.3387760752506001
TSLA,0.3481912937190851,0.349204623522958,0.35014935179836304,0.3512583151628092,0.3517603013639502,0.3526451839822164,0.35318080185968104,0.35353687776906534,0.3544400097972374,0.3549727684975256,0.35560433151885307,0.35607382999173454
ADBE,0.3623008110797761,0.36084080388613426,0.35966645762747584,0.3588880020162725,0.35790797262240476,0.3573870887781416,0.35626747026270167,0.35465398715093255,0.35374157081254776,0.3531484927416033,0.35325239016462406,0.3517639421774301
ASML,0.3678425917757588,0.36694976085407427,0.3664449762220724,0.36630992535016643,0.3661648340787534,0.36625940699495074,0.3665128373699177,0.3667964619521764,0.3668441152414437,0.36712321926531966,0.3681261138385703,0.36904178831231776
PANW,0.37989410982145494,0.3805402385302481,0.3814175652411797,0.38236231436212975,0.38339115152133807,0.3841865963098637,0.3851877604046772,0.386214392620156,0.3867309709373943,0.387534817414993,0.38877494678307584,0.3899417838481613
ORCL,0.4551286441943227,0.44432842850495646,0.4331320506335706,0.4228603023129184,0.41228411651197294,0.40455907029567445,0.3920908984543401,0.3830558207219946,0.37588237789939466,0.366474763365154,0.3615539594935875,0.3496148149272842
TXN,0.392307321657923,0.3944731998193574,0.3970096156903472,0.399579096592399,0.40221774837178453,0.40439745577782577,0.4073070799809011,0.40925529746915107,0.41088950573988403,0.41304683441992646,0.41498823240687094,0.41751892312197014
ADSK,0.41654370150717374,0.4194538288738374,0.4226676121863679,0.4258654806150725,0.4291648543909786,0.4316950760757861,0.43512852455998174,0.4377053774409262,0.43966025012369536,0.4421793376548818,0.4441164280618999,0.4470493725719218
STX,0.4357014618970511,0.43699011890681416,0.4385009336422207,0.44004194134838714,0.4416739320723255,0.442769668602574,0.44431594742938546,0.4456013469457347,0.4464616516430572,0.4476356981309592,0.44884668869889854,0.4504007810929975
LRCX,0.4758645684614631,0.47614197905117317,0.47667929486926874,0.47745991133349863,0.47820587155719463,0.4788089925520067,0.47976433987701217,0.4808359371339783,0.48142837317760306,0.48208778447747547,0.4833060422004122,0.4844921663283285
KLAC,0.5780686619789572,0.5814346076549021,0.5852472310947813,0.58870314723043,0.5923415002568738,0.5949021435521298,0.5989172601961433,0.6018113624082686,0.6038671499717524,0.6066202303563418,0.608144684650984,0.6112497047701736
INTU,0.6049512631538253,0.6089648990709143,0.6131304279757852,0.6173096950717321,0.6214790937944682,0.6249279309061204,0.6291973364418797,0.632811076910816,0.6356661449613549,0.6387932493550732,0.6417238236216599,0.6455922963558812
