Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.7439064553841114,-0.7517117524616291,-0.7597746973221335,-0.7671391494710271,-0.7746954001258908,-0.780099833186038,-0.7886287951345634,-0.7954943671787305,-0.8010034892689251,-0.8071098362139905,-0.8108393369991573,-0.8190076756214811
NVDA,-0.681818092348716,-0.6925081878822205,-0.7025409478824005,-0.712578140008323,-0.722749508236398,-0.7308881281883839,-0.7405198062733758,-0.7485997481911493,-0.755282051346911,-0.762256009171587,-0.7678269258790958,-0.775551163276241
AMZN,-0.693892310934634,-0.7005385340114612,-0.70744392636172,-0.714020046802991,-0.7203880105876518,-0.7255430478878948,-0.7329539605020023,-0.7393445775381902,-0.7439459724002039,-0.749165506778551,-0.752966644382019,-0.7595786407436222
INTC,-0.6049512631538253,-0.6089648990709143,-0.6131304279757852,-0.6173096950717321,-0.6214790937944682,-0.6249279309061204,-0.6291973364418797,-0.632811076910816,-0.6356661449613549,-0.6387932493550732,-0.6417238236216599,-0.6455922963558812
AMD,-0.43826743659255596,-0.44931723523793865,-0.4611561346791267,-0.4720114205808573,-0.4831698380161742,-0.4905572020746742,-0.5031605714744052,-0.512544434517441,-0.5190909268988055,-0.528245025177573,-0.5329912846958385,-0.5433479256832987
TSM,-0.43507003408687395,-0.44218933524866866,-0.44917579625068677,-0.4559786315818145,-0.4627090794652321,-0.46837406315769153,-0.47526224199994854,-0.4812608663949482,-0.48624582448525533,-0.49105123564955966,-0.4949605880648529,-0.5011477926189584
IBM,-0.3955841365454702,-0.4049048663375111,-0.41306024865994534,-0.42126188336655235,-0.4292688571212421,-0.4365517444934141,-0.44448663331541854,-0.45386761114119817,-0.46097783706489015,-0.4666566076357581,-0.47175066558898204,-0.4791174718075619
META,-0.3436409385321504,-0.3617228519750688,-0.3783298018429715,-0.3939750888949167,-0.4090064710013901,-0.4218174666907157,-0.43767519528800275,-0.4554113479520128,-0.4681199539199279,-0.4792367743073591,-0.4876628394287664,-0.5030074774781227
MU,-0.40780987565144355,-0.40919893109691496,-0.4103480138776772,-0.4114558051184992,-0.41252955724455576,-0.41347863413853375,-0.41428477915134126,-0.41496419491330433,-0.4155969385220549,-0.4162166800718713,-0.41665809298237244,-0.4171547179545976
GOOGL,-0.3123236934761914,-0.32181251335498323,-0.3299604393199671,-0.3385834654087644,-0.3462916200954357,-0.3539441454083656,-0.3621852127161306,-0.3718279765318083,-0.3794570996811575,-0.3853770776128205,-0.3908055625751531,-0.39851650477563416
