Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.7170238542092433,-0.7241814610456169,-0.7318915004411296,-0.7385326016297251,-0.7455578065882964,-0.7500740458320474,-0.7583487188888272,-0.7644946526761829,-0.7692044942793226,-0.7749368172152591,-0.7772601980284815,-0.7846650840357735
NVDA,-0.6549354911738481,-0.6649778964662082,-0.6746577510013966,-0.683971592167021,-0.6936119146988037,-0.7008623408343932,-0.7102397300276394,-0.7176000336886017,-0.7234830563573085,-0.7300829901728556,-0.73424778690842,-0.7412085716905333
AMZN,-0.667009709759766,-0.6730082425954489,-0.6795607294807161,-0.685413498961689,-0.6912504170500574,-0.6955172605339042,-0.7026738842562661,-0.7083448630356428,-0.7121469774106014,-0.7169924877798196,-0.7193875054113431,-0.7252360491579146
INTC,-0.5780686619789572,-0.5814346076549021,-0.5852472310947813,-0.58870314723043,-0.5923415002568738,-0.5949021435521298,-0.5989172601961433,-0.6018113624082686,-0.6038671499717524,-0.6066202303563418,-0.608144684650984,-0.6112497047701736
AMD,-0.41138483541768794,-0.4217869438219264,-0.4332729377981227,-0.4434048727395553,-0.4540322444785798,-0.46053141472068354,-0.47288049522866893,-0.4815447200148936,-0.48729193190920306,-0.4960720061788416,-0.49941214572516257,-0.5090053340975911
TSM,-0.40818743291200593,-0.4146590438326564,-0.4212925993696828,-0.4273720837405125,-0.4335714859276377,-0.4383482758037009,-0.44498216575421223,-0.45026115189240073,-0.45444682949565285,-0.4588782166508283,-0.461381449094177,-0.46680520103325074
IBM,-0.3687015353706022,-0.37737457492149884,-0.38517705177894135,-0.39265533552525034,-0.4001312635836477,-0.40652595713942347,-0.41420655706968224,-0.4228678966386507,-0.42917884207528767,-0.43448358863702674,-0.43817152661830616,-0.4447748802218543
META,-0.31675833735728237,-0.33419256055905655,-0.35044660496196745,-0.3653685410536147,-0.3798688774637957,-0.39179167933672504,-0.40739511904226644,-0.42441163344946536,-0.4363209589303254,-0.44706375530862774,-0.45408370045809054,-0.46866488589241506
MU,-0.38092727447657554,-0.3816686396809027,-0.38246481699667323,-0.3828492572771972,-0.3833919637069614,-0.3834528467845431,-0.38400470290560496,-0.38396448041075687,-0.38379794353245245,-0.3840436610731399,-0.38307895401169656,-0.38281212636888995
GOOGL,-0.28544109230132336,-0.29428222193897097,-0.30207724243896306,-0.3099769175674624,-0.31715402655784136,-0.32391835805437497,-0.3319051364703942,-0.34082826202926086,-0.34765810469155506,-0.3532040586140891,-0.3572264236044772,-0.36417391318992653
NOW,-0.28291195387937834,-0.2906440489987948,-0.29714937864860347,-0.3031758821390962,-0.30954167408859357,-0.3147711279747282,-0.3204000862831631,-0.3258966032630471,-0.3303456502976937,-0.3342555999307203,-0.33602253923579917,-0.3399459412916289
AVGO,-0.24603616957742613,-0.26007767930171294,-0.2730495914660023,-0.28547405124173353,-0.2975646832212907,-0.3083987858069001,-0.3208812792574576,-0.3332806400556815,-0.34354291507243767,-0.35214014880526756,-0.35831880280200257,-0.3695992771547627
