Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.6148197606917492,-0.618888832441888,-0.6233235642156171,-0.6272893657327937,-0.6314221778886172,-0.6339808948319243,-0.639195798569696,-0.6435192274018927,-0.6467657174851733,-0.6504043713363927,-0.6524215555779096,-0.6579075455939284
NVDA,-0.5527313976563538,-0.5596852678624793,-0.566089814775884,-0.5727283562700896,-0.5794762859991245,-0.5847691898342703,-0.5910868097085082,-0.5966246084143115,-0.6010442795631592,-0.6055505442939892,-0.6094091444578481,-0.6144510332486882
AMZN,-0.5648056162422718,-0.56771561399172,-0.5709927932552036,-0.5741702630647576,-0.5771147883503782,-0.5794241095337811,-0.5835209639371349,-0.5873694377613525,-0.589708200616452,-0.5924600419009532,-0.5945488629607713,-0.5984785107160695
INTC,-0.4758645684614631,-0.47614197905117317,-0.47667929486926874,-0.47745991133349863,-0.47820587155719463,-0.4788089925520067,-0.47976433987701217,-0.4808359371339783,-0.48142837317760306,-0.48208778447747547,-0.4833060422004122,-0.4844921663283285
AMD,-0.30918074190019373,-0.3164943152181975,-0.3247050015726102,-0.3321616368426239,-0.3398966157789006,-0.3444382637205605,-0.35372757490953777,-0.3605692947406034,-0.36485315511505373,-0.37153956029997526,-0.3745735032745907,-0.38224779565574596
TSM,-0.3059833393945117,-0.3093664152289275,-0.31272466314417025,-0.3161288478435811,-0.31943585722795853,-0.3222551248035779,-0.32582924543508107,-0.3292857266181105,-0.3320080527015035,-0.3343457707719619,-0.33654280664360514,-0.3400476625914056
IBM,-0.266497441853108,-0.27208194631776994,-0.2766091155534288,-0.2814120996283189,-0.2859956348839685,-0.29043280613930045,-0.2950536367505511,-0.3018924713643605,-0.30674006528113834,-0.3099511427581604,-0.3133328841677343,-0.3180173417800092
META,-0.2145542438397882,-0.22889993195532768,-0.24187866873645497,-0.2541253051566833,-0.2657332487641165,-0.275698528336602,-0.2882421987231353,-0.30343620817517514,-0.3138821821361761,-0.3225313094297614,-0.3292450580075187,-0.34190734745056994
MU,-0.27872318095908133,-0.2763760110771738,-0.2738968807711607,-0.2716060213802658,-0.2692563350072822,-0.2673596957844201,-0.2648517825864738,-0.26298905513646664,-0.2613591667383031,-0.25951121519427356,-0.2582403115611247,-0.25605458792704483
GOOGL,-0.18323699878382918,-0.1889895933352421,-0.19350930621345058,-0.198733681670531,-0.20301839785816214,-0.20782520705425195,-0.2127522161512631,-0.21985283675497064,-0.22521932789740573,-0.2286716127352228,-0.23238778115390535,-0.23741637474808142
NOW,-0.18070786036188416,-0.18535142039506594,-0.188581442423091,-0.1919326462421648,-0.19540604538891435,-0.1986779769746052,-0.20124716596403192,-0.20492117798875686,-0.20790687350354436,-0.20972315405185393,-0.2111838967852273,-0.2131884028497838
AVGO,-0.14383207605993195,-0.15478505069798407,-0.1644816552404898,-0.1742308153448021,-0.18342905452161148,-0.1923056348067771,-0.2017283589383264,-0.21230521478139125,-0.22110413827828834,-0.2276077029264012,-0.23348016035143065,-0.2428417387129176
QCOM,-0.21242563092404768,-0.20779858237643187,-0.20322757479907727,-0.19948814873159257,-0.19540651262832595,-0.1925500212178023,-0.18853550732147245,-0.18639105100453363,-0.18442515226696093,-0.18167719191316134,-0.18179877033266856,-0.17967064288173273
CRM,-0.1573638740201687,-0.16298047780237754,-0.16857456339547394,-0.17473245475675167,-0.18092201271036593,-0.18647427089172192,-0.193654780524667,-0.20068859676988343,-0.20556739085287928,-0.21032901470129278,-0.21561550554343956,-0.2222476884577987
SAP,-0.18922831971187673,-0.18915933731379966,-0.18871665917794544,-0.18819129890232897,-0.18755980172693068,-0.18720288413852826,-0.18645517751072982,-0.18680358240075606,-0.18697145292080225,-0.18624125785042378,-0.18588495705244534,-0.18557562257224386
AAPL,-0.17877607324714104,-0.178152852306831,-0.17776091759331436,-0.17755695157298865,-0.1772406759211753,-0.1768704147246914,-0.17699582852654883,-0.17733027365427523,-0.1773176268836854,-0.17733931813544224,-0.17759408010172661,-0.177888295507577
AMAT,-0.1682162097155653,-0.16378484742354174,-0.15903049207875342,-0.15558428904690177,-0.15163337008163244,-0.14952841590321436,-0.14561992566677345,-0.1441320172215188,-0.1428224099641176,-0.14021458249371277,-0.1410949294585293,-0.13926411968907992
ADI,-0.160694111532694,-0.15736433967719024,-0.15389621812036391,-0.15088791630400636,-0.14766134732282435,-0.14531333450447043,-0.14209693413065427,-0.14008208690943857,-0.13823104733108232,-0.1359001076061211,-0.13501841312001178,-0.1325095079899794
CSCO,-0.12641931016254535,-0.12795604548175812,-0.12999179676140638,-0.13184791189970238,-0.13351695333869348,-0.1343477690279824,-0.1369059037940435,-0.13908384900664195,-0.140412873140839,-0.14213180142858378,-0.1429929041783618,-0.14571609107772837
TSLA,-0.12767327474237802,-0.1269373555282152,-0.1265299430709057,-0.1262015961706894,-0.1264455701932444,-0.12616380856979031,-0.12658353801733113,-0.12729905936491298,-0.12698836338036568,-0.12711501597994984,-0.1277017106815591,-0.12841833633659394
ADBE,-0.11356375738168703,-0.11530117516503893,-0.1170128372417929,-0.11857190931722608,-0.12029789893478984,-0.12142190377386508,-0.1234968696143105,-0.12618194998304577,-0.1276868023650553,-0.12893929173587215,-0.13005365203578811,-0.13272822415089836
ASML,-0.10802197668570432,-0.10919221819709893,-0.11023431864719635,-0.11114998598333217,-0.11204103747844121,-0.11254958555705596,-0.11325150250709448,-0.11403947518180191,-0.11458425793615934,-0.11496456521215581,-0.11517992836184188,-0.11545037801601071
PANW,-0.09597045864000817,-0.0956017405209251,-0.09526172962808904,-0.09509759697136885,-0.09481472003585653,-0.09462239624214303,-0.09457657947233494,-0.09462154451382232,-0.09469740224020878,-0.09455296706248245,-0.09453109541733634,-0.09455038248016717
ORCL,-0.02073592426714041,-0.031813550546216735,-0.04354724423569817,-0.054599609020580225,-0.06592175504522166,-0.07424992225633226,-0.08767344142267208,-0.0977801164119837,-0.1055459952782084,-0.11561302111232147,-0.1217520827068247,-0.1348773514010443
TXN,-0.08355724680354013,-0.08166877923181579,-0.07966967917892154,-0.07788081474109962,-0.07598812318541007,-0.07441153677418094,-0.07245725989611107,-0.07158063966482725,-0.07053886743771903,-0.06904095005754901,-0.06831780979354124,-0.06697324320635833
ADSK,-0.05932086695428937,-0.05668815017733578,-0.05401168268290085,-0.05159443071842609,-0.04904101716621598,-0.047113916476220596,-0.044635815317030425,-0.04313055969305213,-0.0417681230539077,-0.039908446822593646,-0.039189614138512296,-0.03744279375640669
STX,-0.04016310656441199,-0.039151860144359035,-0.03817836122704804,-0.03741796998511146,-0.036531939484869075,-0.03603932394943271,-0.03544839244762671,-0.0352345901882436,-0.034966721534545886,-0.03445208634651625,-0.034459353501513634,-0.03409138523533095
KLAC,0.10220409351749418,0.10529262860372887,0.1085679362255125,0.11124323589693141,0.11413562869967922,0.11609315100012302,0.11915292031913113,0.12097542527429023,0.12243877679414933,0.12453244587886633,0.12483864245057189,0.12675753844184515
INTU,0.12908669469236217,0.13282292001974116,0.13645113310651652,0.13984978373823342,0.14327322223727357,0.14611893835411366,0.14943299656486747,0.1519751397768377,0.15423777178375178,0.1567054648775977,0.15841778142124774,0.16110013002755275
