Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.400265516851961,-0.3899889004865603,-0.3814448954791621,-0.3731640605761104,-0.3656889291245007,-0.3582823664953223,-0.3509535998465607,-0.3400830192267176,-0.3328835353489972,-0.32787306190663135,-0.3231764975703909,-0.31600019814335845
NVDA,-0.33817715381656566,-0.33078533590715165,-0.3242111460394291,-0.31860305111340625,-0.31374303723500796,-0.30907066149766826,-0.30284461098537296,-0.2931884002391364,-0.28716209742698307,-0.28301923486422786,-0.2801640864503294,-0.2725436857981183
AMZN,-0.3502513724024836,-0.33881568203639234,-0.3291141245187486,-0.3200449579080743,-0.3113815395862617,-0.3037255811971791,-0.29527876521399965,-0.2839332295861774,-0.275826018480276,-0.26992873247119187,-0.26530380495325256,-0.25657116326549956
INTC,-0.2613103246216749,-0.24724204709584552,-0.23480062613281377,-0.22333460617681533,-0.2124726227930781,-0.20311046421540468,-0.1915221411538769,-0.17739972895880318,-0.16754619104142698,-0.15955647504771409,-0.1540609841928935,-0.14258481887775853
AMD,-0.09462649806040557,-0.08759438326286983,-0.0828263328361552,-0.0780363316859406,-0.0741633670147841,-0.0687397353839585,-0.06548537618640249,-0.05713308656542826,-0.05097097297887765,-0.049008250870213876,-0.045328445267072026,-0.040340448205176016
TSM,-0.09142909555472356,-0.08046648327359984,-0.07084599440771527,-0.062003542686897783,-0.053702608463842005,-0.04655659646697585,-0.03758704671194579,-0.02584951844293537,-0.01812587056532744,-0.011814461342200544,-0.007297748636086454,0.0018596848591643234
IBM,-0.05194319801331981,-0.04318201436244229,-0.03473044681697385,-0.027286794471635623,-0.020262386119851983,-0.014734277802698426,-0.006811438027415795,0.0015437368108146554,0.007142116855037739,0.012580166671601,0.015912173839784383,0.023890005670560766
MU,-0.06416893711929317,-0.04747607912184615,-0.03201821203470573,-0.017480716223582493,-0.003523086243165663,0.00833883255218193,0.023390416136661485,0.040447153038708494,0.05252301539787296,0.06302009423548782,0.07100474644639398,0.08585275952352511
GOOGL,0.03131724505595901,0.039910338620085584,0.04836936252300439,0.055391623486152286,0.06271485090595436,0.06787332128235007,0.07548998257187217,0.0835833714202045,0.08866285423877035,0.09385969669453859,0.09685727685361334,0.10449097270248853
NOW,0.03384638347790403,0.04354851156026174,0.05329722631336398,0.06219265891451847,0.07032720337520215,0.07702055136199681,0.08699503275910336,0.09851503018641827,0.10597530863263172,0.11280815537790745,0.11806116122229138,0.12871894460078614
AVGO,0.07072216777985624,0.07411488125734361,0.07739701349596517,0.07989448981188119,0.08230419424250501,0.08339289352982493,0.08651383978480887,0.09113099339378389,0.09277804385788774,0.09492360650336018,0.09576489765608803,0.09906560873765236
QCOM,0.002128612915740513,0.02110134957889581,0.0386510939373777,0.054637156425090705,0.07032673613579055,0.08314850711879973,0.09970669140166283,0.11704515717064151,0.12945702986921515,0.14085411751660004,0.14744628767485013,0.1622367045688372
CRM,0.0571903698196195,0.06591945415295014,0.07330410534098103,0.0793928503999316,0.08481123605375057,0.0892242574448801,0.09458741819846828,0.1027476114052917,0.1083147912832968,0.1122022947284686,0.11362955246407913,0.11965965899277126
SAP,0.02532592412791146,0.039740594641528015,0.053162009558509526,0.0659340062543543,0.07817344703718582,0.08849564419807376,0.10178702121240546,0.11663262577441907,0.12691072921537383,0.1362900515793376,0.14336010095507334,0.15633172487832608
AAPL,0.03577817059264715,0.050747079648496674,0.06411775114314061,0.07656835358369463,0.08849257284294121,0.09882811361191063,0.11124637019658645,0.1261059345208999,0.13656455525249067,0.14519199129431914,0.15165097790579207,0.16401905194299293
AMAT,0.04633803412422288,0.06511508453178594,0.08284817665770156,0.0985410161097815,0.11409987868248406,0.12617011243338766,0.14262227305636183,0.15930419095365633,0.17105977217205848,0.1823167269360486,0.18815012854898938,0.20264322776149002
ADI,0.05386013230709419,0.07153559227813744,0.08798245061609106,0.10323738885267691,0.11807190144129215,0.1303851938321316,0.146145264592481,0.16335412126573656,0.17565113480509376,0.1866312018236403,0.1942266448875069,0.20939783946059054
CSCO,0.08813493367724284,0.10094388647356956,0.1118868719750486,0.12227739325698089,0.132216295425423,0.14135075930861962,0.15133629492909179,0.1643523591685332,0.17346930899533708,0.1803995080011776,0.18625215382915689,0.19619125637284157
TSLA,0.08688096909741017,0.10196257642711248,0.11534872566554927,0.12792370898599387,0.1392876785708721,0.1495347197668117,0.16165866070580415,0.17613714881026216,0.1868938187558104,0.19541629344981154,0.20154334732595958,0.213489011113976
ADBE,0.10099048645810116,0.11359875679028875,0.12486583149466207,0.1355533958394572,0.14543534982932665,0.15427662456273694,0.16474532910882478,0.17725425819212937,0.18619537977112077,0.19359201769388923,0.19919140597173057,0.2091791232996716
ASML,0.10653226715408387,0.11970771375822875,0.13164435008925862,0.1429753191733511,0.15369221128567528,0.16314894277954606,0.1749906962160408,0.18939673299337323,0.19929792420001674,0.20756674421760557,0.2140651296456768,0.22645696943455923
PANW,0.11858378519978002,0.13329819143440258,0.14661693910836593,0.15902770818531442,0.17091852872825997,0.181076132094459,0.19366561925080034,0.20881466366135282,0.2191847798959673,0.22797834236727893,0.23471396259018235,0.24735696497040277
ORCL,0.19381831957264778,0.19708638140911094,0.1983314245007568,0.19952569613610305,0.19981149371889484,0.20144860608026977,0.2005687573004632,0.20565609176319144,0.20833618685796768,0.2069182883174399,0.207492975300694,0.20702999604952566
TXN,0.13099699703624806,0.1472311527235119,0.16220898955753343,0.17624449041558365,0.18974512557870643,0.20128699156242108,0.2157849388270242,0.2318555685103479,0.24334331469845705,0.25349035937221237,0.26092724821397745,0.2749341042442116
ADSK,0.15523337688549882,0.1722117817779919,0.18786698605355412,0.20253087443825718,0.21669223159790052,0.22858461186038143,0.24360638340610485,0.260305648482123,0.2721140590822684,0.28262286260716774,0.2900554438690064,0.30446455369416325
STX,0.1743911372753762,0.18974807181096864,0.20370030750940693,0.2167073351715718,0.22920130927924742,0.2396592043871693,0.25279380627550857,0.26820161798693154,0.2789154606016302,0.28807922308324513,0.29478570450600505,0.307815962215239
LRCX,0.2145542438397882,0.22889993195532768,0.24187866873645497,0.2541253051566833,0.2657332487641165,0.275698528336602,0.2882421987231353,0.30343620817517514,0.3138821821361761,0.3225313094297614,0.3292450580075187,0.34190734745056994
KLAC,0.31675833735728237,0.33419256055905655,0.35044660496196745,0.3653685410536147,0.3798688774637957,0.39179167933672504,0.40739511904226644,0.42441163344946536,0.4363209589303254,0.44706375530862774,0.45408370045809054,0.46866488589241506
INTU,0.3436409385321504,0.3617228519750688,0.3783298018429715,0.3939750888949167,0.4090064710013901,0.4218174666907157,0.43767519528800275,0.4554113479520128,0.4681199539199279,0.4792367743073591,0.4876628394287664,0.5030074774781227
