Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
NVDA,0.06208836303539533,0.059203564579408674,0.05723374943973303,0.054561009462704146,0.051945891889492724,0.04921170499765404,0.04810898886118775,0.04689461898758118,0.04572143792201411,0.04485382704240348,0.04301241112006149,0.04345651234524017
AMZN,0.05001414444947738,0.05117321845016798,0.0523307709604135,0.0531191026680361,0.05430738953823899,0.05455678529814323,0.055674834632561065,0.05614978964054018,0.05705751686872118,0.05794432943543948,0.057872692617138344,0.05942903487785889
INTC,0.13895519223028607,0.1427468533907148,0.14664426934634833,0.14982945439929507,0.15321630633142258,0.15517190227991762,0.15943145869268383,0.1626832902679144,0.1653373443075702,0.16831658685891726,0.16911551337749742,0.1734153792655999
AMD,0.3056390187915554,0.3023945172236905,0.2986185626430069,0.2951277288901698,0.2915255621097166,0.2895426311113638,0.2854682236601582,0.2829499326612893,0.2819125623701195,0.27886481103641747,0.2778480523033189,0.27565974993818243
TSM,0.30883642129723743,0.3095224172129605,0.31059890107144683,0.3111605178892126,0.3119863206606587,0.31172577002834645,0.3133665531346149,0.3142335007837822,0.31475766478366973,0.3160586005644308,0.31587874893430445,0.31785988300252277
IBM,0.3483223188386412,0.34680688612411803,0.34671444866218826,0.3458772661044748,0.3454265430046487,0.3435480886926239,0.3441421618191449,0.34162675603753223,0.3400256522040349,0.34045322857823235,0.3390886714101753,0.3398902038139192
META,0.400265516851961,0.3899889004865603,0.3814448954791621,0.3731640605761104,0.3656889291245007,0.3582823664953223,0.3509535998465607,0.3400830192267176,0.3328835353489972,0.32787306190663135,0.3231764975703909,0.31600019814335845
MU,0.3360965797326678,0.34251282136471417,0.3494266834444564,0.3556833443525279,0.362165842881335,0.36662119904750423,0.3743440159832222,0.38053017226542607,0.38540655074687014,0.39089315614211917,0.3941812440167849,0.40185295766688356
GOOGL,0.43158276190792,0.4298992391066459,0.4298142580021665,0.4285556840622627,0.42840378003045504,0.4261556877776724,0.4264435824184329,0.4236663906469221,0.4215463895877675,0.42173275860116993,0.42003377442400425,0.420491170845847
NOW,0.434111900329865,0.43353741204682206,0.4347421217925261,0.4353567194906289,0.43601613249970284,0.4353029178573191,0.4379486326056641,0.43859804941313585,0.4388588439816289,0.4406812172845388,0.4412376587926823,0.4447191427441446
AVGO,0.4709876846318172,0.46410378174390393,0.4588419089751273,0.4530585503879916,0.4479931233670057,0.44167526002514723,0.4374674396313696,0.43121401262050146,0.4256615792068849,0.4227966684099915,0.41894139522647894,0.4150658068810108
QCOM,0.4023941297677015,0.41109025006545613,0.4200959894165398,0.4278012170012011,0.43601566526029123,0.44143087361412203,0.45066029124822354,0.4571281763973591,0.4623405652182123,0.4687271794232314,0.47062278524524104,0.47823690271219566
CRM,0.4574558866715805,0.45590835463951046,0.45474900082014313,0.452556910976042,0.45050016517825126,0.4475066239402024,0.445541018045029,0.4428306306320093,0.44119832663229397,0.44007535663509995,0.43680605003447004,0.4356598571361297
SAP,0.42559144097987245,0.42972949512808833,0.43460690503767163,0.4390980668304647,0.4438623761616865,0.44677801069339607,0.4527406210589662,0.45671564500113665,0.459794264564371,0.46416311348596895,0.46653659852546425,0.47233192302168453
AAPL,0.43604368744460814,0.440735980135057,0.4455626466223027,0.449732414159805,0.4541815019674419,0.45711048010723293,0.46219997004314717,0.4661889537476175,0.46944809060148784,0.4730650532009505,0.474827475476183,0.4800192500863514
AMAT,0.44660355097618387,0.45510398501834626,0.46429307213686366,0.4717050766858919,0.47978880780698474,0.48445247892870996,0.49357587290292254,0.4993872101803739,0.5039433075210557,0.51018978884268,0.5113266261193803,0.5186434259048485
ADI,0.4541256491590552,0.46152449276469776,0.46942734609525316,0.4764014494287873,0.48376083056579283,0.4886675603274539,0.4970988644390417,0.5034371404924541,0.5085346701540909,0.5145042637302717,0.5174031424578978,0.525398037603949
CSCO,0.48840045052920383,0.4909327869601299,0.4933317674542107,0.4954414538330913,0.4979052245499237,0.4996331258039419,0.5022898947756524,0.5044353783952508,0.5063528443443343,0.508272569907809,0.5094286513995478,0.5121914545162001
TSLA,0.48714648594937116,0.4919514769136728,0.4967936211447114,0.5010877695621043,0.5049766076953728,0.5078170862621341,0.5126122605523649,0.5162201680369798,0.5197773541048076,0.5232893553564428,0.5247198448963505,0.5294892092573344
ADBE,0.5012560033100621,0.5035876572768491,0.5063107269738242,0.5087174564155676,0.5111242789538273,0.5125589910580592,0.5156989289553855,0.5173372774188469,0.519078915120118,0.5214650796005206,0.5223679035421215,0.52517932144303
ASML,0.5067977840060449,0.5096966142447891,0.5130892455684207,0.5161393797494616,0.519381140410176,0.5214313092748684,0.5259442960626015,0.5294797522200908,0.532181459549014,0.5354398061242369,0.5372416272160677,0.5424571675779177
PANW,0.5188493020517411,0.5232870919209629,0.5280618345875281,0.5321917687614248,0.5366074578527606,0.5393584985897812,0.5446192190973611,0.5488976828880704,0.5520683152449645,0.5558514042739102,0.5578904601605732,0.5633571631137613
ORCL,0.5940838364246088,0.5870752818956713,0.5797763199799189,0.5726897567122134,0.5655004228433955,0.5597309725755921,0.5515223571470239,0.545739110989909,0.5412197222069648,0.5347913502240713,0.5306694728710849,0.5230301941928841
TXN,0.531262513888209,0.5372200532100722,0.5436538850366955,0.5494085509916941,0.5554340547032071,0.5595693580577434,0.5667385386735849,0.5719385877370655,0.5762268500474542,0.5813634212788437,0.5841037457843683,0.59093430238757
ADSK,0.5554988937374599,0.5622006822645522,0.5693118815327163,0.5756949350143676,0.5823811607224012,0.5868669783557037,0.5945599832526656,0.6003886677088406,0.6049975944312656,0.6104959245137991,0.6132319414393973,0.6204647518375217
STX,0.5746566541273372,0.579736972297529,0.5851452029885691,0.5898713957476822,0.5948902384037481,0.5979415708824916,0.6037474061220693,0.6082846372136491,0.6117989959506274,0.6159522849898764,0.617962202076396,0.6238161603585974
LRCX,0.6148197606917492,0.618888832441888,0.6233235642156171,0.6272893657327937,0.6314221778886172,0.6339808948319243,0.639195798569696,0.6435192274018927,0.6467657174851733,0.6504043713363927,0.6524215555779096,0.6579075455939284
