Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.3360965797326678,-0.34251282136471417,-0.3494266834444564,-0.3556833443525279,-0.362165842881335,-0.36662119904750423,-0.3743440159832222,-0.38053017226542607,-0.38540655074687014,-0.39089315614211917,-0.3941812440167849,-0.40185295766688356
NVDA,-0.2740082166972725,-0.2833092567853055,-0.29219293400472335,-0.30112233488982376,-0.3102199509918423,-0.3174094940498502,-0.32623502712203445,-0.3336355532778449,-0.33968511282485603,-0.3460393290997157,-0.3511688328967234,-0.3583964453216434
AMZN,-0.28608243528319044,-0.2913396029145462,-0.2970959124840429,-0.3025642416844918,-0.30785845334309603,-0.312064413749361,-0.31866918135066113,-0.3243803826248859,-0.32834903387814895,-0.3329488267066797,-0.33630855139964655,-0.34242392278902467
INTC,-0.19714138750238175,-0.19976596797399937,-0.20278241409810804,-0.20585388995323284,-0.20894953654991244,-0.21144929676758661,-0.21491255729053838,-0.21784688199751168,-0.22006920643929995,-0.2225765692832019,-0.22506573063928748,-0.22843757840128365
AMD,-0.030457560941112405,-0.040118304141023686,-0.050808120801449475,-0.0605556154623581,-0.07064028077161844,-0.07707856793614043,-0.08887579232306397,-0.09758023960413675,-0.10349398837675061,-0.1120283451057017,-0.11633319171346601,-0.12619320772870113
TSM,-0.027260158435430393,-0.032990404151753694,-0.038827782373009545,-0.04452282646331529,-0.05017952222067634,-0.05489542901915778,-0.06097746284860728,-0.06629667148164387,-0.0706488859632004,-0.07483455557768837,-0.07830249508248044,-0.08399307466436079
IBM,0.012225739105973354,0.0042940647594038595,-0.002712234782268119,-0.00980607824805313,-0.01673929987668632,-0.023073110354880355,-0.03020185416407728,-0.03890341622789384,-0.045380898542835224,-0.05043992756388682,-0.0550925726066096,-0.06196275385296435
META,0.06416893711929317,0.04747607912184615,0.03201821203470573,0.017480716223582493,0.003523086243165663,-0.00833883255218193,-0.023390416136661485,-0.040447153038708494,-0.05252301539787296,-0.06302009423548782,-0.07100474644639398,-0.08585275952352511
GOOGL,0.09548618217525218,0.08738641774193173,0.08038757455771012,0.07287233970973478,0.06623793714912002,0.059534488730168145,0.05209956643521069,0.043136218381496005,0.03613983884089739,0.030839602459050763,0.025852530407219354,0.018638213178963414
NOW,0.0980153205971972,0.09102459068210789,0.0853154383480697,0.07967337513810097,0.07385028961836781,0.06868171880981488,0.06360461662244188,0.05806787714770978,0.05345229323475875,0.049788061142419626,0.04705641477589739,0.04286618507726103
AVGO,0.1348911048991494,0.12159096037918976,0.1094152255306709,0.09737520603546368,0.08582728048567068,0.075054060977643,0.06312342364814738,0.050683840355075394,0.040255028460014775,0.03190351226787236,0.024760151209694048,0.013212849214127242
QCOM,0.06629755003503368,0.06857742870074196,0.07066930597208343,0.0721178726486732,0.07384982237895621,0.0748096745666178,0.07631627526500134,0.07659800413193302,0.07693401447134218,0.07783402328111222,0.07644154122845614,0.0763839450453121
CRM,0.12135930693891267,0.11339553327479629,0.10532231737568676,0.0968735666235141,0.08833432229691623,0.08088542489269818,0.07119700206180679,0.06230045836658321,0.05579177588542383,0.04918220049298078,0.042624806017685146,0.03380689946924614
SAP,0.08949486124720463,0.08721667376337416,0.08518022159321526,0.0834147224779368,0.08169653328035148,0.08015681164589183,0.07839660507574397,0.07618547273571058,0.07438771381750087,0.07326995734384978,0.07235535450867936,0.07047896535480097
AAPL,0.09994710771194032,0.09822315877034282,0.09613596317784634,0.09404906980727712,0.09201565908610687,0.0904892810597287,0.08785595405992497,0.08565878148219142,0.08404153985461771,0.08217189705883132,0.08064623145939809,0.07816629241946782
AMAT,0.11050697124351605,0.11259116365363209,0.11486638869240728,0.11602173233336399,0.11762296492564972,0.11783127988120573,0.11923185691970034,0.11885703791494784,0.11853675677418551,0.11929663270056079,0.1171453821025954,0.1167904682379649
ADI,0.11802906942638736,0.11901167139998359,0.12000066265079679,0.12071810507625941,0.12159498768445781,0.12204636127994967,0.12275484845581952,0.12290696822702807,0.12312811940722079,0.12361110758815247,0.12322189844111292,0.12354507993706543
CSCO,0.152303870796536,0.1484199655954157,0.14390508400975432,0.13975810948056339,0.13573938166858868,0.1330119267564377,0.1279458787924303,0.1239052061298247,0.12094629359746412,0.11737941376568978,0.1152474073827629,0.11033849684931646
TSLA,0.15104990621670333,0.14943865554895863,0.147366937700255,0.14540442520957636,0.14281076481403776,0.14119588721462978,0.13826824456914266,0.13568999577155366,0.13437080335793744,0.13239619921432372,0.1305386008795656,0.1276362515904509
ADBE,0.16515942357739433,0.1610748359121349,0.1568840435293678,0.15303411206303968,0.14895843607249232,0.145937792010555,0.1413549129721633,0.13680710515342087,0.1336723643732478,0.1305719234584014,0.1281866595253366,0.12332636377614647
ASML,0.17070120427337704,0.1671837928800749,0.16366256212396435,0.1604560353969336,0.15721529752884095,0.15481011022736413,0.1516002800793793,0.14894957995466473,0.14677490880214378,0.14454664998211775,0.14306038319928283,0.14060420991103412
PANW,0.1827527223190732,0.18077427055624873,0.17863515114307166,0.1765084244088969,0.17444161497142563,0.17273729954227707,0.17027520311413885,0.16836751062264432,0.16666176449809433,0.1649582481317911,0.16370921614378836,0.16150420544687766
ORCL,0.25798725669194095,0.2445624605309571,0.23034963653546253,0.21700641235968554,0.2033345799620605,0.19310977352808784,0.1771783411638017,0.16520893872448295,0.1558131714600947,0.1438981940819521,0.1364882288543,0.12117723652600054
TXN,0.19516593415554123,0.19470723184535804,0.19422720159223916,0.19372520663916615,0.1932682118218721,0.19294815901023915,0.19239452269036272,0.1914084154716394,0.19082029930058408,0.19047026513672455,0.18992250176758346,0.1890813447206865
ADSK,0.219402314004792,0.21968786089983805,0.21988519808825985,0.22001159066183967,0.22021531784106618,0.2202457793081995,0.22021596726944337,0.21985849544341451,0.21959104368439541,0.2196027683716799,0.2190506974226124,0.21861179417063814
STX,0.23856007439466936,0.2372241509328148,0.23571851954411266,0.2341880513951543,0.23272439552241309,0.23132037183498738,0.22940339013884709,0.22775446494822305,0.22639244520375723,0.2250591288477573,0.22378095805961107,0.22196320269171388
LRCX,0.27872318095908133,0.2763760110771738,0.2738968807711607,0.2716060213802658,0.2692563350072822,0.2673596957844201,0.2648517825864738,0.26298905513646664,0.2613591667383031,0.25951121519427356,0.2582403115611247,0.25605458792704483
KLAC,0.38092727447657554,0.3816686396809027,0.38246481699667323,0.3828492572771972,0.3833919637069614,0.3834528467845431,0.38400470290560496,0.38396448041075687,0.38379794353245245,0.3840436610731399,0.38307895401169656,0.38281212636888995
INTU,0.40780987565144355,0.40919893109691496,0.4103480138776772,0.4114558051184992,0.41252955724455576,0.41347863413853375,0.41428477915134126,0.41496419491330433,0.4155969385220549,0.4162166800718713,0.41665809298237244,0.4171547179545976
