Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.434111900329865,-0.43353741204682206,-0.4347421217925261,-0.4353567194906289,-0.43601613249970284,-0.4353029178573191,-0.4379486326056641,-0.43859804941313585,-0.4388588439816289,-0.4406812172845388,-0.4412376587926823,-0.4447191427441446
NVDA,-0.3720235372944697,-0.3743338474674134,-0.37750837235279305,-0.3807957100279247,-0.3840702406102101,-0.3860912128596651,-0.3898396437444763,-0.39170343042555467,-0.3931374060596148,-0.3958273902421353,-0.3982252476726208,-0.4012626303989044
AMZN,-0.38409775588038764,-0.3823641935966541,-0.3824113508321126,-0.3822376168225928,-0.38170874296146384,-0.3807461325591759,-0.382273797973103,-0.38244825977259567,-0.3818013271129077,-0.3827368878490993,-0.38336496617554394,-0.3852901078662857
INTC,-0.29515670809957895,-0.29079055865610726,-0.28809785244617775,-0.2855272650913338,-0.28279982616828025,-0.2801310155774015,-0.27851717391298025,-0.27591475914522146,-0.2735214996740587,-0.27236463042562153,-0.27212214541518487,-0.2713037634785447
AMD,-0.1284728815383096,-0.13114289482313157,-0.13612355914951918,-0.14022899060045907,-0.14449057038998625,-0.14576028674595531,-0.15248040894550585,-0.15564811675184653,-0.15694628161150936,-0.16181640624812133,-0.1633896064893634,-0.16905939280596216
TSM,-0.1252754790326276,-0.12401499483386158,-0.12414322072107925,-0.12419620160141626,-0.12402981183904416,-0.12357714782897267,-0.12458207947104916,-0.12436454862935364,-0.12410117919795915,-0.12462261672010799,-0.12535890985837783,-0.12685925974162182
IBM,-0.08578958149122384,-0.08673052592270403,-0.08802767313033782,-0.0894794533861541,-0.09058958949505413,-0.09175482916469524,-0.09380647078651916,-0.09697129337560362,-0.09883319177759398,-0.10022798870630645,-0.102148987382507,-0.10482893893022538
META,-0.03384638347790403,-0.04354851156026174,-0.05329722631336398,-0.06219265891451847,-0.07032720337520215,-0.07702055136199681,-0.08699503275910336,-0.09851503018641827,-0.10597530863263172,-0.11280815537790745,-0.11806116122229138,-0.12871894460078614
MU,-0.0980153205971972,-0.09102459068210789,-0.0853154383480697,-0.07967337513810097,-0.07385028961836781,-0.06868171880981488,-0.06360461662244188,-0.05806787714770978,-0.05345229323475875,-0.049788061142419626,-0.04705641477589739,-0.04286618507726103
GOOGL,-0.002529138421945021,-0.0036381729401761542,-0.004927863790359588,-0.006801035428366187,-0.007612352469247796,-0.00914723007964674,-0.011505050187231192,-0.014931658766213773,-0.017312454393861365,-0.018948458683368863,-0.02120388436867804,-0.024227971898297618
AVGO,0.03687578430195221,0.030566369697081874,0.024099787182601196,0.017701830897362714,0.011976990867302861,0.006372342167828116,-0.0004811929742944976,-0.007384036792634385,-0.013197264774743978,-0.017884548874547268,-0.022296263566203345,-0.02965333586313379
QCOM,-0.031717770562163516,-0.022447161981365926,-0.014646132375986276,-0.007555502489427768,-4.6723941160564664e-07,0.006127955756802916,0.012711658642559465,0.01853012698422324,0.02348172123658343,0.028045962138692593,0.029385126452558752,0.033517759968051064
