Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.06208836303539533,-0.059203564579408674,-0.05723374943973303,-0.054561009462704146,-0.051945891889492724,-0.04921170499765404,-0.04810898886118775,-0.04689461898758118,-0.04572143792201411,-0.04485382704240348,-0.04301241112006149,-0.04345651234524017
AMZN,-0.01207421858591795,-0.008030346129240695,-0.004902978479319531,-0.0014419067946680464,0.002361497648746269,0.005345080300489191,0.007565845771373314,0.009255170652959,0.011336078946707073,0.013090502393035996,0.014860281497076855,0.015972522532618716
INTC,0.07686682919489074,0.08354328881130613,0.0894105199066153,0.09526844493659092,0.10127041444192986,0.10596019728226358,0.11132246983149607,0.11578867128033321,0.11961590638555608,0.12346275981651378,0.12610310225743593,0.12995886692035974
AMD,0.24355065575616008,0.2431909526442818,0.24138481320327387,0.24056671942746566,0.23957967022022386,0.24033092611370976,0.23735923479897048,0.23605531367370813,0.23619112444810542,0.234010983994014,0.2348356411832574,0.23220323759294226
TSM,0.2467480582618421,0.2503188526335518,0.2533651516317138,0.25659950842650847,0.26004042877116595,0.2625140650306924,0.26525756427342717,0.267338881796201,0.2690362268616556,0.2712047735220273,0.27286633781424297,0.2744033706572826
IBM,0.28623395580324584,0.28760332154470936,0.28948069922245523,0.29131625664177063,0.293480651115156,0.29433638369496984,0.29603317295795717,0.29473213704995105,0.2943042142820208,0.29559940153582887,0.2960762602901138,0.29643369146867904
META,0.33817715381656566,0.33078533590715165,0.3242111460394291,0.31860305111340625,0.31374303723500796,0.30907066149766826,0.30284461098537296,0.2931884002391364,0.28716209742698307,0.28301923486422786,0.2801640864503294,0.2725436857981183
MU,0.2740082166972725,0.2833092567853055,0.29219293400472335,0.30112233488982376,0.3102199509918423,0.3174094940498502,0.32623502712203445,0.3336355532778449,0.33968511282485603,0.3460393290997157,0.3511688328967234,0.3583964453216434
GOOGL,0.36949439887252467,0.37069567452723723,0.37258050856243347,0.37399467459955854,0.3764578881409623,0.37694398278001834,0.37833459355724514,0.3767717716593409,0.3758249516657534,0.37687893155876645,0.37702136330394276,0.3770346585006068
NOW,0.3720235372944697,0.3743338474674134,0.37750837235279305,0.3807957100279247,0.3840702406102101,0.3860912128596651,0.3898396437444763,0.39170343042555467,0.3931374060596148,0.3958273902421353,0.3982252476726208,0.4012626303989044
AVGO,0.4088993215964219,0.40490021716449526,0.40160815953539425,0.39849754092528744,0.396047231477513,0.3924635550274932,0.38935845077018183,0.3843193936329203,0.3799401412848708,0.37794284136758804,0.37592898410641745,0.37160929453577063
QCOM,0.34030576673230617,0.35188668548604746,0.3628622399768068,0.37324020753849696,0.3840697733707985,0.392219168616468,0.4025513023870358,0.4102335574097779,0.4166191272961982,0.4238733523808279,0.42761037412517955,0.4347803903669555
CRM,0.39536752363618516,0.3967047900601018,0.3975152513804101,0.39799590151333786,0.39855427328875853,0.39829491894254837,0.39743202918384124,0.3959360116444281,0.39547688871027986,0.39522152959269646,0.39379363891440855,0.39220334479088953
SAP,0.3635030779444771,0.37052593054867966,0.3773731555979386,0.38453705736776056,0.3919164842721938,0.39756630569574203,0.4046316321977784,0.40982102601355547,0.4140728266423569,0.41930928644356547,0.42352418740540276,0.42887541067644436
AAPL,0.3739553244092128,0.3815324155556483,0.3883288971825697,0.3951714046971009,0.40223561007794917,0.4078987751095789,0.4140909811819594,0.4192943347600363,0.42372665267947374,0.428211226158547,0.4318150643561215,0.4365627377411112
AMAT,0.38451518794078854,0.3959004204389376,0.40705932269713063,0.41714406722318775,0.427842915917492,0.4352407739310559,0.4454668840417348,0.4524925911927927,0.45822186959904154,0.4653359618002765,0.4683142149993188,0.4751869135596083
ADI,0.39203728612365984,0.4023209281852891,0.41219359665552013,0.42184043996608317,0.4318149386763001,0.43945585532979986,0.44898987557785397,0.45654252150487296,0.4628132322320768,0.46965043668786816,0.4743907313378363,0.4819415252587088
CSCO,0.4263120874938085,0.4317292223807212,0.4360980180144777,0.44088044437038715,0.445959332660431,0.4504214208062879,0.45418090591446475,0.4575407594076696,0.46063140642232014,0.46341874286540546,0.4664162402794863,0.46873494217095985
TSLA,0.4250581229139758,0.43274791233426413,0.43955987170497834,0.4465267600994001,0.45303071580588006,0.45860538126447997,0.4645032716911771,0.46932554904939855,0.47405591618279347,0.4784355283140394,0.481707433776289,0.4860326969120943
ADBE,0.4391676402746668,0.4443840926974404,0.44907697753409115,0.45415644695286345,0.4591783870643346,0.4633472860604052,0.46758994009419774,0.47044265843126576,0.47335747719810384,0.4766112525581171,0.47935549242206,0.48172280909778986
ASML,0.4447094209706495,0.4504930496653804,0.4558554961286877,0.46157837028675736,0.46743524852068324,0.4722196042772143,0.47783530720141376,0.4825851332325096,0.4864600216269998,0.49058597908183343,0.49422921609600623,0.4990006552326775
