Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.5940838364246088,-0.5870752818956713,-0.5797763199799189,-0.5726897567122134,-0.5655004228433955,-0.5597309725755921,-0.5515223571470239,-0.545739110989909,-0.5412197222069648,-0.5347913502240713,-0.5306694728710849,-0.5230301941928841
NVDA,-0.5319954733892134,-0.5278717173162626,-0.5225425705401858,-0.5181287472495093,-0.5135545309539028,-0.510519267577938,-0.5034133682858362,-0.49884449200232783,-0.49549828428495074,-0.4899375231816678,-0.4876570617510234,-0.47957368184764393
AMZN,-0.5440696919751313,-0.5359020634455033,-0.5274455490195054,-0.5195706540441773,-0.5111930333051565,-0.5051741872774489,-0.49584752251446285,-0.48958932134936883,-0.48416220533824367,-0.4768470207886318,-0.47279678025394656,-0.4636011593150252
INTC,-0.4551286441943227,-0.44432842850495646,-0.4331320506335706,-0.4228603023129184,-0.41228411651197294,-0.40455907029567445,-0.3920908984543401,-0.3830558207219946,-0.37588237789939466,-0.366474763365154,-0.3615539594935875,-0.3496148149272842
AMD,-0.28844481763305335,-0.2846807646719808,-0.281157757336912,-0.27756202782204364,-0.27397486073367894,-0.27018834146422827,-0.2660541334868657,-0.2627891783286197,-0.2593071598368453,-0.2559265391876538,-0.252821420567766,-0.24737044425470167
TSM,-0.28524741512737134,-0.2775528646827108,-0.2691774189084721,-0.26152923882300083,-0.25351410218273684,-0.24800520254724562,-0.238155804012409,-0.2315056102061268,-0.22646205742329512,-0.21873274965964046,-0.21479072393678045,-0.20517031119036133
IBM,-0.2457615175859676,-0.24026839577155323,-0.23306187131773065,-0.22681249060773867,-0.22007387983874682,-0.2161828838829682,-0.207380195327879,-0.20411235495237678,-0.20119407000292994,-0.1943381216458389,-0.1915808014609096,-0.1831399903789649
META,-0.19381831957264778,-0.19708638140911094,-0.1983314245007568,-0.19952569613610305,-0.19981149371889484,-0.20144860608026977,-0.2005687573004632,-0.20565609176319144,-0.20833618685796768,-0.2069182883174399,-0.207492975300694,-0.20702999604952566
MU,-0.25798725669194095,-0.2445624605309571,-0.23034963653546253,-0.21700641235968554,-0.2033345799620605,-0.19310977352808784,-0.1771783411638017,-0.16520893872448295,-0.1558131714600947,-0.1438981940819521,-0.1364882288543,-0.12117723652600054
GOOGL,-0.16250107451668877,-0.15717604278902536,-0.14996206197775241,-0.14413407264995076,-0.13709664281294048,-0.1335752847979197,-0.12507877472859102,-0.12207272034298694,-0.11967333261919733,-0.11305859162290133,-0.11063569844708065,-0.10253902334703713
NOW,-0.15997193609474375,-0.1535378698488492,-0.14503419818739283,-0.13733303722158458,-0.1294842903436927,-0.12442805471827295,-0.11357372454135983,-0.10714106157677317,-0.10236087822533596,-0.09411013293953246,-0.08943181407840262,-0.07831105144873951
AVGO,-0.12309615179279154,-0.12297150015176733,-0.12093441100479163,-0.11963120632422186,-0.11750729947638983,-0.11805571255044484,-0.11405491751565433,-0.11452509836940755,-0.11555814300007994,-0.11199468181407973,-0.11172807764460596,-0.1079643873118733
