Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.5188493020517411,-0.5232870919209629,-0.5280618345875281,-0.5321917687614248,-0.5366074578527606,-0.5393584985897812,-0.5446192190973611,-0.5488976828880704,-0.5520683152449645,-0.5558514042739102,-0.5578904601605732,-0.5633571631137613
NVDA,-0.4567609390163457,-0.4640835273415542,-0.470828085147795,-0.4776307592987207,-0.4846615659632679,-0.49014679359212726,-0.4965102302361733,-0.5020030639004892,-0.5063468773229504,-0.5109975772315067,-0.5148780490405118,-0.5199006507685211
AMZN,-0.46883515760226363,-0.4721138734707949,-0.47573106362711454,-0.4790726660933887,-0.48230006831452166,-0.48480171329163807,-0.4889443844648,-0.4927478932475302,-0.4950107983762433,-0.4979070748384708,-0.500017767543435,-0.5039281282359023
INTC,-0.37989410982145494,-0.3805402385302481,-0.3814175652411797,-0.38236231436212975,-0.38339115152133807,-0.3841865963098637,-0.3851877604046772,-0.386214392620156,-0.3867309709373943,-0.387534817414993,-0.38877494678307584,-0.3899417838481613
AMD,-0.2132102832601856,-0.22089257469727241,-0.22944327194452113,-0.23706403987125502,-0.24508189574304406,-0.2498158674784175,-0.2591509954372028,-0.2659477502267811,-0.27015575287484495,-0.2769865932374928,-0.28004240785725437,-0.2876974131755788
TSM,-0.21001288075450358,-0.21376467470800242,-0.2174629335160812,-0.2210312508722122,-0.22462113719210197,-0.22763272856143485,-0.23125266596274613,-0.2346641821042882,-0.23731065046129474,-0.23979280370947947,-0.2420117112262688,-0.24549728011123845
IBM,-0.17052698321309984,-0.17648020579684487,-0.18134738592533978,-0.18631450265695004,-0.19118091484811195,-0.19581040989715742,-0.20047705727821613,-0.20727092685053816,-0.21204266304092956,-0.21539817569567793,-0.21880178875039796,-0.223466959299842
META,-0.11858378519978002,-0.13329819143440258,-0.14661693910836593,-0.15902770818531442,-0.17091852872825997,-0.181076132094459,-0.19366561925080034,-0.20881466366135282,-0.2191847798959673,-0.22797834236727893,-0.23471396259018235,-0.24735696497040277
MU,-0.1827527223190732,-0.18077427055624873,-0.17863515114307166,-0.1765084244088969,-0.17444161497142563,-0.17273729954227707,-0.17027520311413885,-0.16836751062264432,-0.16666176449809433,-0.1649582481317911,-0.16370921614378836,-0.16150420544687766
GOOGL,-0.08726654014382101,-0.093387852814317,-0.09824757658536154,-0.10363608469916213,-0.10820367782230561,-0.11320281081210892,-0.11817563667892816,-0.12523129224114832,-0.13052192565719695,-0.13411864567274034,-0.137856685736569,-0.14286599226791424
NOW,-0.084737401721876,-0.08974967987414084,-0.09331971279500195,-0.09683504927079595,-0.10059132535305781,-0.10405558073246218,-0.10667058649169697,-0.11029963347493454,-0.11320947126333558,-0.11517018698937148,-0.11665280136789097,-0.11863802036961663
AVGO,-0.047861617419923785,-0.05918331017705897,-0.06921992561240076,-0.07913321837343323,-0.08861433448575495,-0.09768323856463407,-0.10715177946599147,-0.11768367026756893,-0.12640673603807956,-0.13305473586391875,-0.1389490649340943,-0.14829135623275042
QCOM,-0.11645517228403951,-0.11219684185550677,-0.10796584517098823,-0.10439055176022372,-0.10059179259246942,-0.09792762497565927,-0.09395892784913751,-0.0917695064907113,-0.08972775002675215,-0.08712422485067889,-0.08726767491533222,-0.08512026040156556
CRM,-0.06139341538016052,-0.06737873728145244,-0.0733128337673849,-0.07963485778538282,-0.0861072926745094,-0.09185187464957889,-0.09907820105233206,-0.10606705225606111,-0.1108699886126705,-0.11577604763881033,-0.12108441012610321,-0.12769730597763151
SAP,-0.09325786107186856,-0.09355759679287456,-0.0934549295498564,-0.09309370193096012,-0.09274508169107415,-0.09258048789638523,-0.09187859803839488,-0.09218203788693374,-0.09227405068059347,-0.09168829078794133,-0.091353861635109,-0.09102524009207669
AAPL,-0.08280561460713287,-0.0825511117859059,-0.08249918796522532,-0.0824593546016198,-0.08242595588531876,-0.08224801848254837,-0.08241924905421388,-0.08270872914045291,-0.08262022464347663,-0.08278635107295979,-0.08306298468439027,-0.08333791302740984
AMAT,-0.07224575107555714,-0.06818310690261664,-0.06376876245066437,-0.06048669207553292,-0.05681865004577591,-0.05490601966107134,-0.05104334619443851,-0.049510472707696485,-0.04812500772390882,-0.04566161543123032,-0.046563834041192964,-0.04471373720891275
ADI,-0.06472365289268583,-0.06176259915626514,-0.05863448849227487,-0.055790319332637506,-0.05284662728696782,-0.0506909382623274,-0.04752035465831933,-0.045460542395616255,-0.04353364509087354,-0.04134714054363864,-0.04048731770267544,-0.03795912550981223
CSCO,-0.03044885152253718,-0.032354304960833025,-0.03473006713331733,-0.03675031492833353,-0.03870223330283695,-0.039725372785839375,-0.04232932432170855,-0.044462304492819626,-0.04571547090063022,-0.04757883436610133,-0.04846180876102546,-0.0511657085975612
TSLA,-0.03170281610236986,-0.031335615007290096,-0.03126821344281666,-0.031103999199320553,-0.03163085015738787,-0.03154141232764729,-0.03200695854499619,-0.03267751485109066,-0.03229096114015689,-0.03256204891746739,-0.03317061526422277,-0.03386795385642677
ADBE,-0.017593298741678864,-0.019699434644113833,-0.021751107613703857,-0.02347431234585723,-0.025483178898933312,-0.026799507531722055,-0.028920290141975558,-0.03156040546922345,-0.032989400124846524,-0.0343863246733897,-0.03552255661845177,-0.03817784167073118
ASML,-0.012051518045696152,-0.013590477676173829,-0.014972589019107307,-0.01605238901196332,-0.017226317442584682,-0.01792718931491294,-0.01867492303475954,-0.019417930667979588,-0.019886855695950556,-0.02041159814967336,-0.020648832944505535,-0.02089999553584354
ORCL,0.07523453437286776,0.06378818997470836,0.051714485392390874,0.04049798795078863,0.028892964990634873,0.02037247398581077,0.00690313804966286,-0.0031585718981613775,-0.010848593037999621,-0.021060054049839017,-0.027220987289488352,-0.040326968920877115
TXN,0.012413211836468041,0.013932961289109314,0.015592050449167505,0.017216782230269234,0.018826596850446464,0.020210859467962083,0.022119319576223873,0.02304090484899507,0.02415853480248975,0.02551201700493344,0.026213285623795102,0.027577139273808837
ADSK,0.036649591685718796,0.03891359034358932,0.04125004694518819,0.04350316625294276,0.04577370286964055,0.04750847976592243,0.04994076415530452,0.05149098482077019,0.05292927918630108,0.054644520239888805,0.055341481278824045,0.05710758872376048
STX,0.05580735207559617,0.056449880376566064,0.057083368401041,0.05767962698625739,0.058282780550987456,0.058583072292710314,0.059128187024708234,0.05938695432557872,0.0597306807056629,0.0601008807159662,0.06007174191582271,0.06045899724483622
LRCX,0.09597045864000817,0.0956017405209251,0.09526172962808904,0.09509759697136885,0.09481472003585653,0.09462239624214303,0.09457657947233494,0.09462154451382232,0.09469740224020878,0.09455296706248245,0.09453109541733634,0.09455038248016717
KLAC,0.19817455215750235,0.20089436912465397,0.20382966585360154,0.20634083286830027,0.20895034873553575,0.21071554724226604,0.21372949979146608,0.21559696978811255,0.2171361790343581,0.21908541294134878,0.21936973786790823,0.22130792092201232
INTU,0.22505715333237036,0.22842466054066624,0.23171286273460556,0.23494738070960228,0.2380879422731301,0.24074133459625668,0.2440095760372024,0.24659668429066,0.24893517402396056,0.25125843194008013,0.2529488768385841,0.2556505125077199
