Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.4023941297677015,-0.41109025006545613,-0.4200959894165398,-0.4278012170012011,-0.43601566526029123,-0.44143087361412203,-0.45066029124822354,-0.4571281763973591,-0.4623405652182123,-0.4687271794232314,-0.47062278524524104,-0.47823690271219566
NVDA,-0.34030576673230617,-0.35188668548604746,-0.3628622399768068,-0.37324020753849696,-0.3840697733707985,-0.392219168616468,-0.4025513023870358,-0.4102335574097779,-0.4166191272961982,-0.4238733523808279,-0.42761037412517955,-0.4347803903669555
AMZN,-0.3523799853182241,-0.35991703161528815,-0.3677652184561263,-0.374682114333165,-0.38170827572205224,-0.3868740883159788,-0.3949854566156625,-0.4009783867568189,-0.40528304834949114,-0.4107828499877919,-0.4127500926281027,-0.41880786783433677
INTC,-0.26343893753741543,-0.26834339667474133,-0.2734517200701915,-0.27797176260190604,-0.28279935892886865,-0.2862589713342044,-0.2912288325555397,-0.2944448861294447,-0.29700322091064213,-0.3004105925643141,-0.3015072718677436,-0.30482152344659574
AMD,-0.09675511097614609,-0.10869573284176565,-0.1214774267735329,-0.1326734881110313,-0.14449010315057464,-0.15188824250275823,-0.16519206758806532,-0.17417824373606977,-0.1804280028480928,-0.18986236838681392,-0.19277473294192216,-0.20257715277401322
TSM,-0.09355770847046407,-0.10156783285249565,-0.10949708834509297,-0.11664069911198849,-0.12402934459963255,-0.12970510358577558,-0.13729373811360862,-0.14289467561357688,-0.14758290043454259,-0.15266857885880059,-0.15474403631093658,-0.16037701970967289
IBM,-0.05407181092906033,-0.0642833639413381,-0.07338154075435155,-0.08192395089672633,-0.09058912225564253,-0.09788278492149816,-0.10651812942907862,-0.11550142035982686,-0.1223149130141774,-0.12827395084499904,-0.13153411383506575,-0.13834669889827644
META,-0.002128612915740513,-0.02110134957889581,-0.0386510939373777,-0.054637156425090705,-0.07032673613579055,-0.08314850711879973,-0.09970669140166283,-0.11704515717064151,-0.12945702986921515,-0.14085411751660004,-0.14744628767485013,-0.1622367045688372
MU,-0.06629755003503368,-0.06857742870074196,-0.07066930597208343,-0.0721178726486732,-0.07384982237895621,-0.0748096745666178,-0.07631627526500134,-0.07659800413193302,-0.07693401447134218,-0.07783402328111222,-0.07644154122845614,-0.0763839450453121
GOOGL,0.029188632140218496,0.018808989041189772,0.009718268585626688,0.0007544670610615811,-0.0076118852298361905,-0.015275185836449656,-0.024216708829790656,-0.03346178575043701,-0.040794175630444796,-0.046994420822061456,-0.05058901082123679,-0.05774573186634868
