Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.42559144097987245,-0.42972949512808833,-0.43460690503767163,-0.4390980668304647,-0.4438623761616865,-0.44677801069339607,-0.4527406210589662,-0.45671564500113665,-0.459794264564371,-0.46416311348596895,-0.46653659852546425,-0.47233192302168453
NVDA,-0.3635030779444771,-0.37052593054867966,-0.3773731555979386,-0.38453705736776056,-0.3919164842721938,-0.39756630569574203,-0.4046316321977784,-0.40982102601355547,-0.4140728266423569,-0.41930928644356547,-0.42352418740540276,-0.42887541067644436
AMZN,-0.37557729653039507,-0.37855627667792036,-0.38227613407725813,-0.3859789641624286,-0.3895549866234475,-0.39222122539525284,-0.3970657864264051,-0.40056585536059647,-0.4027367476956498,-0.40621878405052947,-0.4086639059083259,-0.41290288814382564
INTC,-0.2866362487495864,-0.28698264173737353,-0.2879626356913233,-0.28926861243116964,-0.2906460698302639,-0.29160610841347845,-0.29330916236628235,-0.29403235473322226,-0.2944569202568008,-0.2958465266270517,-0.29742108514796683,-0.2989165437560846
AMD,-0.11995242218831703,-0.12733497790439785,-0.13598834239466473,-0.1439703379402949,-0.15233681405196992,-0.15723537958203226,-0.16727239739880795,-0.17376571233984733,-0.17788170219425148,-0.18529830244955148,-0.18868854622214537,-0.1966721730835021
TSM,-0.11675501968263502,-0.12020707791512786,-0.1240080039662248,-0.1279375489412521,-0.13187605550102782,-0.13505224066504962,-0.13937406792435125,-0.14248214421735445,-0.14503659978070127,-0.14810451292153815,-0.1506578495911598,-0.15447204001916176
IBM,-0.07726912214123127,-0.0829226090039703,-0.08789245637548337,-0.09322080072598993,-0.0984358331570378,-0.10322992200077219,-0.10859845923982125,-0.11508888896360442,-0.11976861236033609,-0.1237098849077366,-0.12744792711528896,-0.13244171920776532
META,-0.02532592412791146,-0.039740594641528015,-0.053162009558509526,-0.0659340062543543,-0.07817344703718582,-0.08849564419807376,-0.10178702121240546,-0.11663262577441907,-0.12691072921537383,-0.1362900515793376,-0.14336010095507334,-0.15633172487832608
MU,-0.08949486124720463,-0.08721667376337416,-0.08518022159321526,-0.0834147224779368,-0.08169653328035148,-0.08015681164589183,-0.07839660507574397,-0.07618547273571058,-0.07438771381750087,-0.07326995734384978,-0.07235535450867936,-0.07047896535480097
GOOGL,0.00599132092804755,0.0001697439785575683,-0.004792647035505138,-0.010542382768202019,-0.015458596131231461,-0.02062232291572369,-0.026297038640533288,-0.033049254354214574,-0.03824787497660348,-0.042430354884799015,-0.046502824101460005,-0.05184075217583756
