Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.5746566541273372,-0.579736972297529,-0.5851452029885691,-0.5898713957476822,-0.5948902384037481,-0.5979415708824916,-0.6037474061220693,-0.6082846372136491,-0.6117989959506274,-0.6159522849898764,-0.617962202076396,-0.6238161603585974
NVDA,-0.5125682910919418,-0.5205334077181203,-0.5279114535488361,-0.5353103862849781,-0.5429443465142554,-0.5487298658848376,-0.5556384172608815,-0.5613900182260679,-0.5660775580286133,-0.5710984579474729,-0.5749497909563345,-0.5803596480133573
AMZN,-0.5246425096778597,-0.528563753847361,-0.5328144320281556,-0.5367522930796461,-0.5405828488655091,-0.5433847855843483,-0.5480725714895083,-0.5521348475731089,-0.5547414790819062,-0.558007955554437,-0.5600895094592576,-0.5643871254807385
INTC,-0.4357014618970511,-0.43699011890681416,-0.4385009336422207,-0.44004194134838714,-0.4416739320723255,-0.442769668602574,-0.44431594742938546,-0.4456013469457347,-0.4464616516430572,-0.4476356981309592,-0.44884668869889854,-0.4504007810929975
AMD,-0.26901763533578177,-0.2773424550738385,-0.28652664034556213,-0.2947436668575124,-0.3033646762940315,-0.3083989397711278,-0.31827918246191106,-0.3253347045523598,-0.32988643358050784,-0.337087473953459,-0.3401141497730771,-0.348156410420415
TSM,-0.26582023283009976,-0.2702145550845685,-0.2745463019171222,-0.2787108778584696,-0.28290391774308943,-0.28621580085414516,-0.29038085298745436,-0.2940511364298669,-0.29704133116695763,-0.2998936844254457,-0.3020834531420915,-0.30595627735607467
IBM,-0.226334335288696,-0.23293008617341093,-0.23843075432638078,-0.24399412964320744,-0.2494636953990994,-0.25439348218986774,-0.25960524430292437,-0.2666578811761169,-0.27177334374659246,-0.2754990564116441,-0.27887353066622067,-0.2839259565446782
META,-0.1743911372753762,-0.18974807181096864,-0.20370030750940693,-0.2167073351715718,-0.22920130927924742,-0.2396592043871693,-0.25279380627550857,-0.26820161798693154,-0.2789154606016302,-0.28807922308324513,-0.29478570450600505,-0.307815962215239
MU,-0.23856007439466936,-0.2372241509328148,-0.23571851954411266,-0.2341880513951543,-0.23272439552241309,-0.23132037183498738,-0.22940339013884709,-0.22775446494822305,-0.22639244520375723,-0.2250591288477573,-0.22378095805961107,-0.22196320269171388
GOOGL,-0.1430738922194172,-0.14983773319088306,-0.15533094498640254,-0.16131571168541953,-0.16648645837329307,-0.17178588310481924,-0.1773038237036364,-0.18461824656672704,-0.19025260636285984,-0.19421952638870654,-0.19792842765239171,-0.20332498951275046
