Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.48714648594937116,-0.4919514769136728,-0.4967936211447114,-0.5010877695621043,-0.5049766076953728,-0.5078170862621341,-0.5126122605523649,-0.5162201680369798,-0.5197773541048076,-0.5232893553564428,-0.5247198448963505,-0.5294892092573344
NVDA,-0.4250581229139758,-0.43274791233426413,-0.43955987170497834,-0.4465267600994001,-0.45303071580588006,-0.45860538126447997,-0.4645032716911771,-0.46932554904939855,-0.47405591618279347,-0.4784355283140394,-0.481707433776289,-0.4860326969120943
AMZN,-0.4371323414998938,-0.4407782584635048,-0.4444628501842979,-0.44796866689406817,-0.4506692181571338,-0.4532603009639908,-0.4569374259198038,-0.46007037839643955,-0.4627198372360864,-0.4653450259210034,-0.46684715227921214,-0.47006017437947556
INTC,-0.3481912937190851,-0.349204623522958,-0.35014935179836304,-0.3512583151628092,-0.3517603013639502,-0.3526451839822164,-0.35318080185968104,-0.35353687776906534,-0.3544400097972374,-0.3549727684975256,-0.35560433151885307,-0.35607382999173454
AMD,-0.18150746715781574,-0.18955695968998232,-0.19817505850170447,-0.20596004067193446,-0.2134510455856562,-0.2182744551507702,-0.22714403689220664,-0.23327023537569042,-0.23786479173468805,-0.24442454432002542,-0.2468717925930316,-0.253829459319152
TSM,-0.17831006465213373,-0.18242905970071233,-0.18619472007326454,-0.18992725167289165,-0.1929902870347141,-0.19609131623378756,-0.19924570741774994,-0.20198666725319753,-0.20501968932113784,-0.20723075479201208,-0.20884109596204603,-0.21162932625481168
IBM,-0.13882416711072998,-0.14514459078955477,-0.15007917248252312,-0.1552105034576295,-0.15955006469072408,-0.16426899756951013,-0.16847009873321994,-0.1745934119994475,-0.17975170190077266,-0.18283612677821054,-0.1856311734861752,-0.18959900544341524
META,-0.08688096909741017,-0.10196257642711248,-0.11534872566554927,-0.12792370898599387,-0.1392876785708721,-0.1495347197668117,-0.16165866070580415,-0.17613714881026216,-0.1868938187558104,-0.19541629344981154,-0.20154334732595958,-0.213489011113976
MU,-0.15104990621670333,-0.14943865554895863,-0.147366937700255,-0.14540442520957636,-0.14281076481403776,-0.14119588721462978,-0.13826824456914266,-0.13568999577155366,-0.13437080335793744,-0.13239619921432372,-0.1305386008795656,-0.1276362515904509
GOOGL,-0.05556372404145116,-0.0620522378070269,-0.06697936314254488,-0.07253208549984158,-0.07657282766491774,-0.08166139848446163,-0.08616867813393198,-0.09255377739005766,-0.09823096451704005,-0.10155659675527295,-0.10468607047234624,-0.10899803841148747
NOW,-0.053034585619506136,-0.058414064866850746,-0.06205149935218529,-0.0657310500714754,-0.06896047519566995,-0.0725141684048149,-0.07466362794670078,-0.07762211862384388,-0.08091851012317869,-0.08260813807190409,-0.0834821861036682,-0.08477006651318986
AVGO,-0.016158801317553928,-0.02784769516976887,-0.037951712169584095,-0.04802921917411268,-0.056983484328367084,-0.06614182623698678,-0.07514482092099528,-0.08500615541647827,-0.09411577489792267,-0.10049268694645136,-0.10577844966987154,-0.11442340237632365
QCOM,-0.08475235618166965,-0.08086122684821667,-0.07669763172817157,-0.07328655256090316,-0.06896094243508155,-0.06638621264801198,-0.06195196930414132,-0.059091991639620645,-0.05743678888659526,-0.0545621759332115,-0.05409705965110945,-0.05125230654513879
CRM,-0.029690599277790664,-0.03604312227416234,-0.04204462032456824,-0.048530858586062264,-0.054476442517121526,-0.0603104623219316,-0.06707124250733587,-0.07338953740497045,-0.07857902747251361,-0.08321399872134294,-0.08791379486188045,-0.09382935212120475
SAP,-0.06155504496949871,-0.06222198178558447,-0.06218671610703974,-0.06198970273163956,-0.06111423153368628,-0.061039075568737944,-0.05987163949339869,-0.05950452303584308,-0.059983089540436574,-0.05912624187047394,-0.05818324637088623,-0.05715728623564992
AAPL,-0.051102798504763014,-0.05121549677861581,-0.05123097452240866,-0.05135535540229924,-0.05079510572793089,-0.05070660615490108,-0.050412290509217694,-0.05003121428936225,-0.05032926350331973,-0.050224302155492395,-0.049892369420167504,-0.04946995917098307
AMAT,-0.04054293497318728,-0.036847491895326545,-0.03250054900784771,-0.02938269287621237,-0.02518779988838804,-0.023364607333424048,-0.01903638764944232,-0.016832957856605824,-0.015834046583751926,-0.013099566513762928,-0.013393218776970195,-0.010845783352485983
ADI,-0.03302083679031598,-0.030426984148975045,-0.02736627504945821,-0.024686320133316952,-0.02121577712957995,-0.01914952593468011,-0.015513396113323141,-0.012783027544525594,-0.011242683950716648,-0.008785091626171249,-0.007316702438452671,-0.004091171653385461
CSCO,0.0012539645798326782,-0.0010186899535429284,-0.0034618536905006714,-0.005646315729012974,-0.007071383145449084,-0.008183960458192086,-0.010322365776712361,-0.011784789641728965,-0.013424509760473324,-0.01501678544863394,-0.01529119349680269,-0.01729775474113443
ADBE,0.014109517360690993,0.011636180363176263,0.009517105829112804,0.007629686853463324,0.006147671258454557,0.004741904795925234,0.0030866684030206315,0.0011171093818672095,-0.0006984389846896311,-0.001824275755922311,-0.0023519413542290035,-0.004309887814304414
ASML,0.019651298056673705,0.017745137331116267,0.016295624423709354,0.015051610187357234,0.014404532714803187,0.01361422301273435,0.01333203551023665,0.013259584183111073,0.012404105444206337,0.01215045076779403,0.012521782319717234,0.012967958320583228
PANW,0.03170281610236986,0.031335615007290096,0.03126821344281666,0.031103999199320553,0.03163085015738787,0.03154141232764729,0.03200695854499619,0.03267751485109066,0.03229096114015689,0.03256204891746739,0.03317061526422277,0.03386795385642677
ORCL,0.10693735047523761,0.09512380498199846,0.08298269883520754,0.07160198715010918,0.06052381514802274,0.05191388631345806,0.03891009659465905,0.029518942952929283,0.021442368102157272,0.011501994867628373,0.005949627974734417,-0.006459015064450346
TXN,0.0441160279388379,0.04526857629639941,0.046860263891984166,0.04832078142958979,0.05045744700783433,0.05175227179560937,0.05412627812122006,0.05571841970008573,0.056449495942646644,0.05807406592240083,0.05938390088801787,0.061445093130235606
ADSK,0.06835240778808865,0.07024920535087942,0.07251826038800485,0.07460716545226331,0.07740455302702842,0.07904989209356972,0.0819477227003007,0.08416849967186085,0.08522024032645797,0.0872065691573562,0.08851209654304681,0.09097554258018725
STX,0.08751016817796603,0.08778549538385616,0.08835158184385766,0.08878362618557795,0.08991363070837533,0.0901244846203576,0.09113514556970442,0.09206446917666938,0.09202164184581979,0.09266292963343359,0.09324235718004548,0.09432695110126299
LRCX,0.12767327474237802,0.1269373555282152,0.1265299430709057,0.1262015961706894,0.1264455701932444,0.12616380856979031,0.12658353801733113,0.12729905936491298,0.12698836338036568,0.12711501597994984,0.1277017106815591,0.12841833633659394
KLAC,0.2298773682598722,0.23222998413194407,0.2350978792964182,0.23744483206762082,0.24058119889292362,0.24225695956991333,0.24573645833646227,0.2482744846392032,0.249427140174515,0.25164746185881615,0.25254035313213097,0.25517587477843906
INTU,0.2567599694347402,0.25976027554795633,0.2629810761774222,0.2660513799089228,0.269718792430518,0.272282746923904,0.2760165345821986,0.27927419914175067,0.28122613516411743,0.2838204808575475,0.28611949210280685,0.2895184663641467
