Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.30883642129723743,-0.3095224172129605,-0.31059890107144683,-0.3111605178892126,-0.3119863206606587,-0.31172577002834645,-0.3133665531346149,-0.3142335007837822,-0.31475766478366973,-0.3160586005644308,-0.31587874893430445,-0.31785988300252277
NVDA,-0.2467480582618421,-0.2503188526335518,-0.2533651516317138,-0.25659950842650847,-0.26004042877116595,-0.2625140650306924,-0.26525756427342717,-0.267338881796201,-0.2690362268616556,-0.2712047735220273,-0.27286633781424297,-0.2744033706572826
AMZN,-0.25882227684776005,-0.2583491987627925,-0.25826813011103333,-0.2580414152211765,-0.2576789311224197,-0.2571689847302032,-0.25769171850205386,-0.258083711143242,-0.25770014791494855,-0.2581142711289913,-0.2580060563171661,-0.2584308481246639
INTC,-0.16988122906695136,-0.16677556382224568,-0.1639546317250985,-0.16133106348991755,-0.1587700143292361,-0.15655386774842883,-0.1539350944419311,-0.1515502105158678,-0.14942032047609954,-0.14774201370551354,-0.14676323555680704,-0.14444450373692286
AMD,-0.003197402505682012,-0.007127899989269992,-0.01198033842843993,-0.016032788999042813,-0.020460758550942093,-0.022183138916982648,-0.027898329474456696,-0.03128356812249289,-0.03284510241355021,-0.03719378952801333,-0.03803069663098557,-0.04220013306434034
IBM,0.03948589754140375,0.03728446891115755,0.036115547590741426,0.03471674821526216,0.03344022234399002,0.03182231866427743,0.030775608684529998,0.027393255253750026,0.02526798742036518,0.024394628013801545,0.023209922475870837,0.022030320811396442
META,0.09142909555472356,0.08046648327359984,0.07084599440771527,0.062003542686897783,0.053702608463842005,0.04655659646697585,0.03758704671194579,0.02584951844293537,0.01812587056532744,0.011814461342200544,0.007297748636086454,-0.0018596848591643234
MU,0.027260158435430393,0.032990404151753694,0.038827782373009545,0.04452282646331529,0.05017952222067634,0.05489542901915778,0.06097746284860728,0.06629667148164387,0.0706488859632004,0.07483455557768837,0.07830249508248044,0.08399307466436079
GOOGL,0.12274634061068257,0.12037682189368543,0.11921535693071966,0.11739516617305007,0.11641745936979636,0.11442991774932593,0.11307702928381796,0.10943288986313987,0.10678872480409779,0.10567415803673913,0.10415502548969979,0.1026312878433242
NOW,0.1252754790326276,0.12401499483386158,0.12414322072107925,0.12419620160141626,0.12402981183904416,0.12357714782897267,0.12458207947104916,0.12436454862935364,0.12410117919795915,0.12462261672010799,0.12535890985837783,0.12685925974162182
AVGO,0.1621512633345798,0.15458136453094345,0.14824300790368045,0.14189803249877897,0.13600680270634702,0.12994948999680078,0.12410088649675466,0.11698051183671926,0.11090391442321518,0.10673806784556072,0.10306264629217449,0.09720592387848803
QCOM,0.09355770847046407,0.10156783285249565,0.10949708834509297,0.11664069911198849,0.12402934459963255,0.12970510358577558,0.13729373811360862,0.14289467561357688,0.14758290043454259,0.15266857885880059,0.15474403631093658,0.16037701970967289
CRM,0.14861946537434306,0.14638593742654998,0.1441500997486963,0.14139639308682939,0.13851384451759258,0.13578085391185596,0.13217446491041407,0.12859712984822708,0.12644066184862424,0.12401675607066914,0.12092730110016559,0.11779997413360693
SAP,0.11675501968263502,0.12020707791512786,0.1240080039662248,0.1279375489412521,0.13187605550102782,0.13505224066504962,0.13937406792435125,0.14248214421735445,0.14503659978070127,0.14810451292153815,0.1506578495911598,0.15447204001916176
AAPL,0.1272072661473707,0.13121356292209652,0.13496374555085588,0.1385718962705924,0.1421951813067832,0.14538471007888648,0.14883341690853225,0.15195545296383528,0.1546904258178181,0.1570064526365197,0.15894872654187853,0.1621593670838286
AMAT,0.13776712967894644,0.14558156780538578,0.15369417106541683,0.16054455879667928,0.16780248714632606,0.1727267089003635,0.18020931976830762,0.1851537093965917,0.18918564273738592,0.19413118827824916,0.19544787718507584,0.2007835429023257
ADI,0.14528922786181775,0.15200207555173728,0.15882844502380633,0.1652409315395747,0.17177450990513415,0.17694179029910745,0.1837323113044268,0.18920363970867193,0.1937770053704212,0.19844566316584084,0.20152439352359336,0.20753815460142622
CSCO,0.1795640292319664,0.1814103697471694,0.18273286638276387,0.18428093594387868,0.18591890388926502,0.18790735577559547,0.18892334164103758,0.19020187761146856,0.19159517956066452,0.19221396934337814,0.19354990246524334,0.19433157151367725
TSLA,0.17831006465213373,0.18242905970071233,0.18619472007326454,0.18992725167289165,0.1929902870347141,0.19609131623378756,0.19924570741774994,0.20198666725319753,0.20501968932113784,0.20723075479201208,0.20884109596204603,0.21162932625481168
ADBE,0.19241958201282472,0.1940652400638886,0.19571182590237735,0.19755693852635497,0.19913795829316866,0.2008332210297128,0.20233237582077057,0.20310377663506474,0.2043212503364482,0.20540647903608977,0.20648915460781703,0.20731943844050726
ASML,0.19796136270880743,0.2001741970318286,0.2024903444969739,0.20497886186024888,0.2073948197495173,0.2097055392465219,0.2125777429279866,0.2152462514363086,0.21742379476534418,0.21938120555980611,0.22136287828176326,0.2245972845753949
PANW,0.21001288075450358,0.21376467470800242,0.2174629335160812,0.2210312508722122,0.22462113719210197,0.22763272856143485,0.23125266596274613,0.2346641821042882,0.23731065046129474,0.23979280370947947,0.2420117112262688,0.24549728011123845
ORCL,0.28524741512737134,0.2775528646827108,0.2691774189084721,0.26152923882300083,0.25351410218273684,0.24800520254724562,0.238155804012409,0.2315056102061268,0.22646205742329512,0.21873274965964046,0.21479072393678045,0.20517031119036133
TXN,0.22242609259097162,0.22769763599711174,0.2330549839652487,0.23824803310248144,0.24344773404254844,0.24784358802939693,0.25337198553897,0.25770508695328326,0.2614691852637845,0.2653048207144129,0.2682249968500639,0.2730744193850473
ADSK,0.24666247244022238,0.25267826505159174,0.2587129804612694,0.26453441712515496,0.2703948400617425,0.2751412083273573,0.28119343011805065,0.2861551669250584,0.2902399296475958,0.2944373239493683,0.29735319250509284,0.30260486883499893
STX,0.26582023283009976,0.2702145550845685,0.2745463019171222,0.2787108778584696,0.28290391774308943,0.28621580085414516,0.29038085298745436,0.2940511364298669,0.29704133116695763,0.2998936844254457,0.3020834531420915,0.30595627735607467
LRCX,0.3059833393945117,0.3093664152289275,0.31272466314417025,0.3161288478435811,0.31943585722795853,0.3222551248035779,0.32582924543508107,0.3292857266181105,0.3320080527015035,0.3343457707719619,0.33654280664360514,0.3400476625914056
KLAC,0.40818743291200593,0.4146590438326564,0.4212925993696828,0.4273720837405125,0.4335714859276377,0.4383482758037009,0.44498216575421223,0.45026115189240073,0.45444682949565285,0.4588782166508283,0.461381449094177,0.46680520103325074
INTU,0.43507003408687395,0.44218933524866866,0.44917579625068677,0.4559786315818145,0.4627090794652321,0.46837406315769153,0.47526224199994854,0.4812608663949482,0.48624582448525533,0.49105123564955966,0.4949605880648529,0.5011477926189584
