Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
MSFT,-0.531262513888209,-0.5372200532100722,-0.5436538850366955,-0.5494085509916941,-0.5554340547032071,-0.5595693580577434,-0.5667385386735849,-0.5719385877370655,-0.5762268500474542,-0.5813634212788437,-0.5841037457843683,-0.59093430238757
NVDA,-0.4691741508528137,-0.47801648863066354,-0.4864201355969625,-0.4948475415289899,-0.5034881628137144,-0.5103576530600893,-0.5186295498123972,-0.5250439687494843,-0.5305054121254401,-0.5365095942364402,-0.5410913346643069,-0.5474777900423299
AMZN,-0.48124836943873167,-0.48604683475990423,-0.49132311407628204,-0.49628944832365796,-0.5011266651649682,-0.5050125727596002,-0.5110637040410239,-0.5157887980965252,-0.519169333178733,-0.5234190918434043,-0.5262310531672301,-0.5315052675097112
INTC,-0.392307321657923,-0.3944731998193574,-0.3970096156903472,-0.399579096592399,-0.40221774837178453,-0.40439745577782577,-0.4073070799809011,-0.40925529746915107,-0.41088950573988403,-0.41304683441992646,-0.41498823240687094,-0.41751892312197014
AMD,-0.22562349509665364,-0.23482553598638173,-0.24503532239368864,-0.25428082210152425,-0.26390849259349053,-0.2700267269463796,-0.2812703150134267,-0.28898865507577615,-0.2943142876773347,-0.30249861024242625,-0.3062556934810495,-0.3152745524493876
TSM,-0.22242609259097162,-0.22769763599711174,-0.2330549839652487,-0.23824803310248144,-0.24344773404254844,-0.24784358802939693,-0.25337198553897,-0.25770508695328326,-0.2614691852637845,-0.2653048207144129,-0.2682249968500639,-0.2730744193850473
IBM,-0.18294019504956788,-0.19041316708595418,-0.19693943637450728,-0.20353128488721928,-0.2100075116985584,-0.2160212693651195,-0.22259637685444,-0.23031183169953323,-0.2362011978434193,-0.24091019270061137,-0.24501507437419306,-0.25104409857365084
META,-0.13099699703624806,-0.1472311527235119,-0.16220898955753343,-0.17624449041558365,-0.18974512557870643,-0.20128699156242108,-0.2157849388270242,-0.2318555685103479,-0.24334331469845705,-0.25349035937221237,-0.26092724821397745,-0.2749341042442116
MU,-0.19516593415554123,-0.19470723184535804,-0.19422720159223916,-0.19372520663916615,-0.1932682118218721,-0.19294815901023915,-0.19239452269036272,-0.1914084154716394,-0.19082029930058408,-0.19047026513672455,-0.18992250176758346,-0.1890813447206865
GOOGL,-0.09967975198028906,-0.10732081410342631,-0.11383962703452905,-0.12085286692943137,-0.12703027467275207,-0.133413670280071,-0.14029495625515204,-0.1482721970901434,-0.1546804604596867,-0.15963066267767378,-0.1640699713603641,-0.17044313154172308
NOW,-0.09715061355834403,-0.10368264116325016,-0.10891176324416946,-0.11405183150106518,-0.11941792220350428,-0.12426644020042427,-0.12878990606792085,-0.1333405383239296,-0.13736800606582533,-0.14068220399430492,-0.14286608699168607,-0.14621515964342546
