Iter	hps	sum	rrse	rrae	corr	smape	valid rse	valid r2	valid mase	valid smape	valid mape	valid mse	valid mae	valid rmse	valid rae	valid hist_rse	valid global_rse	valid corr	test rse	test r2	test mase	test smape	test mape	test mse	test mae	test rmse	test rae	test hist_rse	test global_rse	test corr	best_epoch
0	[1, 0.0005, 12, 12, 24, 64, 15, 0.6, 1, 20, 0.1, 3, 2, True]	1.4997102	1.4997102	1.460879	0.5117168	0.025399316	1.4997102	-2.1114998	0.438746	0.025399316	0.0506367	0.07211563	0.18509611	0.234055	1.460879	0.225669	2.098725	0.5117168	1.6295376	-2.9180205	0.522887	0.027061146	0.054027576	0.08564011	0.20620735	0.270891	1.6511893	0.279456	1.931109	0.3772288	25
1	[1, 0.0003, 8, 8, 32, 32, 9, 0.5, 2, 10, 0.05, 1, 2, True]	1.5211818	1.5211818	1.5177097	0.5577411	0.02506524	1.5211818	-2.0505326	0.427830	0.02506524	0.04964556	0.065569274	0.18043797	0.224734	1.5177097	0.217023	2.001203	0.5577411	1.5961901	-2.941881	0.507413	0.02601579	0.051948804	0.079535246	0.20089789	0.260211	1.6342071	0.265971	1.861006	0.4428366	33
2	[2, 0.0005, 12, 8, 16, 64, 5, 0.5, 1, 64, 0.1, 3, 3, True]	1.4610295	1.4610295	1.4463031	0.5406183	0.0251107	1.4610295	-2.0079193	0.428681	0.0251107	0.049534842	0.06841395	0.17979963	0.227639	1.4463031	0.220697	2.044152	0.5406183	1.5668236	-2.6980944	0.507697	0.026268143	0.05234011	0.07824292	0.19898544	0.258069	1.6019682	0.267706	1.845825	0.43832436	24
3	[1, 0.0005, 8, 12, 24, 32, 20, 0.6, 2, 30, 0.1, 3, 2, True]	1.4880317	1.4880317	1.4744296	0.53314847	0.025165217	1.4880317	-2.000997	0.422811	0.025165217	0.049185473	0.06881077	0.17917635	0.226434	1.4744296	0.216333	2.050072	0.53314847	1.5655404	-2.5459216	0.512788	0.026308298	0.05225051	0.081308484	0.20215267	0.263599	1.5972507	0.272296	1.881638	0.4180238	23
4	[1, 0.0008, 12, 12, 16, 32, 15, 0.6, 2, 10, 0.05, 3, 2, True]	1.4755434	1.4755434	1.4572877	0.3532552	0.028890666	1.4755434	-2.216132	0.435561	0.028890666	0.050426006	0.06802574	0.18381067	0.229232	1.4572877	0.221045	2.038344	0.3532552	1.5799676	-1.9018533	0.585559	0.02953157	0.056663297	0.11878705	0.23286667	0.306679	1.5773116	0.311680	2.274325	0.21439998	3
5	[2, 0.0005, 12, 12, 24, 48, 7, 0.6, 2, 64, 0.05, 1, 2, True]	1.5393748	1.5393748	1.5106851	0.5210907	0.02537333	1.5393748	-2.2672431	0.434257	0.02537333	0.049980413	0.06774941	0.18296067	0.230407	1.5106851	0.221966	2.034200	0.5210907	1.6481993	-3.1383708	0.521999	0.026774798	0.05361071	0.08507844	0.2070188	0.269113	1.6750373	0.273760	1.924765	0.40422517	38
6	[2, 0.0003, 12, 12, 24, 48, 15, 0.4, 2, 30, 0.1, 1, 2, True]	1.5230014	1.5230014	1.4957904	0.54791063	0.025041312	1.5230014	-2.06356	0.425358	0.025041312	0.049256623	0.06636583	0.17961499	0.226450	1.4957904	0.218442	2.013321	0.54791063	1.6351278	-3.0505714	0.517047	0.026379641	0.05265658	0.084722504	0.20480014	0.267893	1.6600724	0.272576	1.920735	0.40445358	84
7	[1, 0.0008, 8, 16, 16, 32, 5, 0.6, 1, 40, 0.05, 3, 2, True]	1.4748255	1.4748255	1.4623835	0.5458881	0.024907226	1.4748255	-1.9932716	0.426549	0.024907226	0.04935801	0.06824004	0.18011048	0.227379	1.4623835	0.219258	2.041552	0.5458881	1.5574005	-2.6283078	0.500954	0.02582947	0.051476277	0.076635405	0.19617906	0.256288	1.5891949	0.264897	1.826765	0.43354473	16
8	[1, 0.0005, 12, 12, 16, 48, 15, 0.4, 2, 40, 0.1, 0.1, 2, True]	1.5398477	1.5398477	1.5154253	0.3860114	0.028669244	1.5398477	-2.1716235	0.432388	0.028669244	0.05018089	0.06477405	0.18124552	0.225016	1.5154253	0.218411	1.989030	0.3860114	1.5936822	-2.245481	0.560174	0.02883252	0.056083415	0.10245688	0.22264467	0.290198	1.5999285	0.295411	2.112217	0.33279812	4
9	[2, 0.0008, 12, 12, 16, 32, 9, 0.6, 1, 64, 0.2, 3, 2, True]	1.5507039	1.5507039	1.5315069	0.5546547	0.02518906	1.5507039	-2.257804	0.432429	0.02518906	0.05002304	0.06794108	0.18245673	0.229150	1.5315069	0.220837	2.037075	0.5546547	1.5961553	-2.8896966	0.508873	0.025884079	0.05168987	0.08029144	0.2012519	0.260737	1.6321048	0.265828	1.869832	0.43494093	35
