Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.3317258112715547,-0.34324914399280515,-0.3550894966386881,-0.36648015366750847,-0.3793601215550998,-0.38843244651552955,-0.4009193391518414,-0.4108981801451875,-0.42268835912133584,-0.4315817790178733,-0.4410661753018128,-0.44958541767211185,-0.45920220399032924,-0.4651127955804113,-0.4756107676648057,-0.4851763651538104,-0.4932247395187819,-0.4975870306443883,-0.5044454940722773,-0.5087759608672457,-0.5146135782600173,-0.5174393203791211,-0.5220283586813861,-0.5246168344917204
MSFT,-0.3860347297036601,-0.39026701912057826,-0.39410702196395925,-0.3982407868860715,-0.4023601708140808,-0.40592798543878084,-0.40994977565609547,-0.41328580368356543,-0.4174637609612999,-0.4207333144547014,-0.4253603584676653,-0.42889113909934123,-0.4318053994038263,-0.4349419295307174,-0.4385373530925475,-0.4416962229433696,-0.4451926391783918,-0.44794627400267134,-0.450378918010948,-0.4522572520039322,-0.45507536909713797,-0.4572758848711559,-0.45935556491270124,-0.46221058710806
AMZN,-0.3425116180748487,-0.34684901597494067,-0.3517319522548192,-0.35666029459890053,-0.3615603151589648,-0.3663740426657174,-0.37127531133363123,-0.37635004071787487,-0.38149406184003587,-0.3858340630253493,-0.3908517696581558,-0.3952156246687096,-0.3992757538230474,-0.40401894852154774,-0.4091956531097576,-0.41413000844849307,-0.41854715513329155,-0.4221345263729663,-0.4266356848917202,-0.42984649015939946,-0.43450288819938854,-0.43700150971085017,-0.44078502499957795,-0.4455061398452866
INTC,-0.26347770193210623,-0.26487035683304583,-0.26618559671401204,-0.2673049226314626,-0.26834336873859665,-0.2695845536302772,-0.27047812452977016,-0.27162391512767176,-0.27266525803549646,-0.2741747043846531,-0.27633449807126265,-0.2776571425400152,-0.27870148387414756,-0.27934501900375963,-0.2809733285116486,-0.28172978251976605,-0.2827121335852778,-0.28403020416925623,-0.28519536733747086,-0.286043770198373,-0.2868961583483106,-0.2877385981139492,-0.2890838917388552,-0.2904696724623668
AMD,-0.11560157168934004,-0.12519685288052068,-0.1375751019428681,-0.14736160046163532,-0.1595029324716174,-0.16779000522367027,-0.1815731666510768,-0.19248123817353063,-0.20514165576713284,-0.21058879193702817,-0.2176793276405432,-0.2265894031946441,-0.23584409091144004,-0.2429773970361362,-0.2486975922555481,-0.25734875851557754,-0.2650621562154186,-0.2676311327186843,-0.27041301624445013,-0.2736569676937013,-0.2764916656860513,-0.2774684805486749,-0.27983014818227714,-0.28191819991591677
META,-0.03276016793781383,-0.04641040322484674,-0.061146922919781466,-0.07548632387249837,-0.09115623994057065,-0.10550209644840508,-0.12051890655665154,-0.13251511831942536,-0.14645667110232063,-0.15967329488172188,-0.17361884779754977,-0.1847644900429664,-0.19716106584990306,-0.20774919580700058,-0.22173175803914036,-0.233507370578996,-0.24610748103434976,-0.25670590783231767,-0.2667875120459331,-0.27402326776725994,-0.28606540155277815,-0.2944104529439251,-0.30397672302388035,-0.3153852968993845
TSM,-0.11265635222171749,-0.11534023863974785,-0.11827863083674678,-0.12103547030618489,-0.12459927747426724,-0.12756152173259816,-0.13098138248119418,-0.13397575806842904,-0.13776855812283817,-0.1415499142825667,-0.14538539137133566,-0.14813433847347185,-0.15193985691989959,-0.15585694309788944,-0.15953493845400435,-0.16337531597135274,-0.16692460848412094,-0.1708491575696292,-0.17410886220002808,-0.17715552249504352,-0.18137547457796566,-0.18506429364243804,-0.1879666592208703,-0.19223108100354952
IBM,-0.07788883401558916,-0.08180056707798955,-0.085893501631018,-0.09010813919940236,-0.09419343226733551,-0.09807212667690807,-0.10157383306402784,-0.1051557864053364,-0.10917881087241099,-0.11244640459156408,-0.11606304432177628,-0.11940777845588918,-0.12222728311294123,-0.12522470097511518,-0.12827483145057994,-0.13104222190097942,-0.1340962437103579,-0.13685557342636084,-0.13997145928420507,-0.14225186460867445,-0.1449506686601848,-0.14747818755272724,-0.14993496893426028,-0.1524860346477876
AVGO,0.03047898322207676,0.02157306296813788,0.012641171309337229,0.0035513801377292653,-0.00651210387834833,-0.016084720994825497,-0.024460414870403735,-0.03265666338816742,-0.0424393179337777,-0.05233441122469673,-0.06262335167237842,-0.07166388125748474,-0.08087906511064452,-0.08811908716508554,-0.09877823566481159,-0.10700272164704555,-0.11553508636681653,-0.12470172127652851,-0.1328186980032542,-0.1397045855623733,-0.14869332991062945,-0.15648262824119274,-0.16327720732072315,-0.17171438817349255
GOOGL,-0.005172975902673904,-0.010599106815128656,-0.01631706343498368,-0.02225156755334856,-0.02798869270990556,-0.03463494419638968,-0.04027780738067299,-0.04556078206052788,-0.051462942546499635,-0.05731223792881007,-0.06296505670702324,-0.06827478699527428,-0.07335266142823621,-0.0784966042755812,-0.08521576973382877,-0.09118499072783653,-0.09686899390919701,-0.1018824797235382,-0.10725493434206612,-0.11109590623401766,-0.11669886851094802,-0.12066376394277178,-0.12548385277718443,-0.1310997988492439
MU,-0.0886403474476945,-0.08658562113585688,-0.08424139997800395,-0.08210838368959611,-0.07957312645044451,-0.07779137289062682,-0.07514512406839513,-0.07360447234696005,-0.07184168112222222,-0.07046129156544262,-0.06939235072193506,-0.06843963959544896,-0.06680510715298477,-0.06578326529982575,-0.06463076126687517,-0.06343271545167722,-0.061971233551861404,-0.06161540261374293,-0.06077066506722545,-0.06025291070560512,-0.05927002632764239,-0.05859378023520839,-0.057999105090709824,-0.057701384990624105
CRM,0.018258736852565738,0.01249811101579229,0.005096266471022293,-0.0024199580925890474,-0.010188502410597822,-0.018208924191218,-0.02673464645162471,-0.0334030585381897,-0.04107824336210186,-0.04856834733782733,-0.055709902245482446,-0.06104761783344681,-0.06811678535926002,-0.0755869153074748,-0.08412275550984488,-0.0919603707829767,-0.09877890338341222,-0.10550079972662602,-0.11247956560248906,-0.11869896611930075,-0.12604010727107084,-0.13120078895276188,-0.1372286180800304,-0.14382822166489034
NOW,-0.002754353654632946,-0.006442770049374269,-0.009346018229895003,-0.012925404207685454,-0.015899282183626295,-0.02015382171579272,-0.023404650135526783,-0.02795282358848139,-0.031714882764312224,-0.036381172107780524,-0.04166740573738836,-0.04648047392633631,-0.05038205375945348,-0.05549815359884491,-0.06134617104722151,-0.06675377304675228,-0.07119689819694491,-0.07673742279678236,-0.08267525377756779,-0.08807997185057159,-0.09414750197456245,-0.09901847041408252,-0.10445724946467105,-0.11110514789273968
SAP,-0.009456716646529029,-0.009230372231514239,-0.009074992813107863,-0.009230693404418233,-0.009422234641309146,-0.01000436541372407,-0.009682612615154518,-0.010517350619809518,-0.011396214495013157,-0.012443327933875314,-0.01348270334211521,-0.014565626691898925,-0.01527964049954944,-0.016381191410174356,-0.018035538984694788,-0.019231723368692777,-0.019920803448141955,-0.021550038621898193,-0.02275981455490167,-0.023854411495158434,-0.025757878784026522,-0.027050218164765105,-0.028372299684985336,-0.030482330625870302
QCOM,-0.029816731034607746,-0.026026474875350702,-0.022106688407429687,-0.01848303424990072,-0.014773159220646148,-0.011698391667400498,-0.008109698451855218,-0.005504775614245339,-0.0027535939816397126,-0.0006020541608761643,0.001145745806095555,0.0030992537253704544,0.00515242750570466,0.007016484200425499,0.008308526385180426,0.00971482942762708,0.01161286944393397,0.012363038059454268,0.013466779876273594,0.014797776073390834,0.015892714176619416,0.017275676714176458,0.018433226924919555,0.018871689720148577
ORCL,0.14018652117287575,0.1295954168932813,0.11792136745564458,0.10616076702550087,0.09465580255088585,0.08295532056856059,0.0718879470337932,0.06083423086356826,0.048817240322049316,0.03810643025056726,0.025526909696751476,0.015655356842736,0.0065202373807155545,-0.004747946489803256,-0.016232961561439996,-0.02656297216481951,-0.03682595698183638,-0.04671818215334539,-0.05687570042505191,-0.06548533580735649,-0.07645844836822135,-0.08494671271215637,-0.09456244542483438,-0.10583686795594766
CSCO,0.046406850964175295,0.04483423473731396,0.04311764226327425,0.041332110898236796,0.039264541794210295,0.03747274551144386,0.035470925874029,0.03387235344036105,0.03206346823113193,0.030133883396368355,0.02818759366012541,0.026702504806740412,0.0249306871352869,0.023307073457627614,0.021746190301189683,0.02027924801664177,0.018720492059641214,0.01692160116598046,0.01581594113059326,0.014359266311141816,0.012653801841817525,0.010569543515892732,0.009179849245206706,0.007527044946522177
ADBE,0.057776186504636506,0.055738471036199666,0.053480220325309524,0.051012027759857914,0.04847839809782878,0.045827078076883965,0.04347463083157682,0.041174979894168684,0.03875955582392587,0.03617171195296259,0.03367048771634795,0.03173864778837471,0.02951067829709103,0.026789974437505137,0.0240023112955266,0.02134341613155971,0.019201585452554015,0.016820797958263134,0.014328756844394719,0.012520643552493604,0.009613781196044335,0.007810250578042632,0.005742975605047218,0.003164498178730435
TSLA,0.04448419158525424,0.0443286900091594,0.04400027455429517,0.04316652350410494,0.042721881914191406,0.04161316346827887,0.04067046258620821,0.039544129196802724,0.038692039913048315,0.03735433435398916,0.03586833912443088,0.03487216992959369,0.03374441987353172,0.03165739285177638,0.02974673267237915,0.02788649484417749,0.026346151182293276,0.024590360998792582,0.02265996461727876,0.020921735989788415,0.01847186907182541,0.016842340993566185,0.014655475212864477,0.01178579828082471
ASML,0.06249324612611046,0.06060689441450312,0.05757792122403632,0.055438162680822134,0.052197053312176056,0.05034402383857833,0.04696069586344409,0.04341559708771364,0.03957166619677632,0.03793689430546637,0.03533876741874714,0.032264617282945884,0.029441198270348745,0.027472534029422124,0.025907132887580064,0.023306889791083474,0.021362586352740076,0.020086199642637248,0.019208915963015605,0.018289918220875168,0.017989777120726802,0.017456242132758204,0.01708366789732746,0.016645027105252896
ADI,0.015727472193149572,0.01864065638099699,0.02171044595789512,0.024354866896069194,0.027457930848728662,0.029768422262768768,0.03276509425265778,0.034456127512973334,0.03678683848547559,0.03848506405364971,0.04008150448581632,0.041439241163343965,0.04333678872954566,0.04444696779080132,0.045672457120528254,0.04687400799288266,0.04873379832178881,0.04938024075622077,0.050174375094863,0.05059141419866503,0.05152365871590914,0.05239843364538099,0.05298392607616381,0.05341964886290668
AMAT,0.009393339618448515,0.01371939005204037,0.018193148572794693,0.022386925379320688,0.02680306929686671,0.0302371601134091,0.03468531974717681,0.0377789075367474,0.04111961944750492,0.04365947472629611,0.04607245680687572,0.04823513247919392,0.05077309302460781,0.052871043625475234,0.05466715256941773,0.0566656995832171,0.05897018368102597,0.0597937509692949,0.06118721081084122,0.06227602076788019,0.06346322971039786,0.06439671659094814,0.06534388331933527,0.0658513566191622
PANW,0.07289414264039829,0.0730338893139088,0.07289061082320475,0.07274773668700468,0.07270217693899655,0.07190068080178097,0.07121700424143701,0.07009100729414641,0.06928346226491605,0.0681048187411662,0.06696673124133334,0.06585751422506819,0.0647267838994921,0.0628278611576577,0.06131410608317511,0.059482511983225905,0.05849154645808047,0.05683695401183886,0.05522309188432706,0.053407367720701926,0.0514434838642161,0.04997357120314383,0.04832086439599581,0.045727483230548926
TXN,0.08417707241460859,0.08617685184874041,0.08839737360103339,0.09037416791023639,0.09273717292837769,0.09434083834447099,0.09661923278621232,0.09793893948011956,0.09964659828539968,0.10074471647462768,0.10162773236626549,0.10249201845332034,0.10380517090529956,0.10446355020287723,0.10531717327507306,0.10628988325333188,0.10749870369205605,0.10754667659372108,0.10808021278375168,0.10810937616792193,0.10861610370787589,0.10878090731422091,0.10887117602201818,0.10874486374834574
ADSK,0.10579343839116828,0.10829382610920835,0.11068367270855312,0.11284532088261118,0.11509877922250916,0.1170101753795848,0.11919906773601868,0.12044624845595103,0.1220698636281013,0.12322900372168982,0.12440109542222855,0.12553914579939335,0.12672425376043805,0.12753924572578118,0.12852131113651089,0.12935975588443166,0.13088349311943936,0.13129958382982476,0.13210556815803948,0.13242595626131742,0.13322676592066146,0.13359572744200865,0.13407749227009708,0.1346128016994157
STX,0.12275837116929814,0.124053579930302,0.12547140223704611,0.1267841433046042,0.12840688643268605,0.12948366912137238,0.13126869907969652,0.13204692850598054,0.13278909214759543,0.13358670458575456,0.13403545769130587,0.13442016926490552,0.1354311699293816,0.13579503310370655,0.13665354831215476,0.1373416792165723,0.13818232995634216,0.13805328504164832,0.13858852011272316,0.13835379801629782,0.13920910037757117,0.13895240788777286,0.13918195838935288,0.13939541850052417
