Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.3895019977761912,-0.3989876150290048,-0.40856971696399763,-0.4174921814273664,-0.4278385196529286,-0.4342595245924135,-0.44439396998341824,-0.45207316003935616,-0.4614479149452617,-0.4677534909708359,-0.47473666301816075,-0.48132406546048656,-0.48871288228742027,-0.49190277001791644,-0.4996130789603323,-0.5065197812853701,-0.5124263249713359,-0.5144078286026514,-0.5187742509166721,-0.5212966044197394,-0.5242273594560616,-0.5252495709571637,-0.5277713342864333,-0.5277813326704508
MSFT,-0.4438109162082966,-0.44600549015677793,-0.44758724228926877,-0.4492528146459294,-0.4508385689119096,-0.4517550635156648,-0.4534244064876723,-0.4544607835777341,-0.45622331678522576,-0.456905026407664,-0.45903084618401324,-0.46062978688771594,-0.4613160777009173,-0.46173190396822256,-0.4625396643880741,-0.4630396390749293,-0.4643942246309458,-0.4647670719609345,-0.4647076748553427,-0.4647778955564258,-0.4646891502931823,-0.4650861354491985,-0.46509854051774846,-0.46537508528679045
AMZN,-0.4002878045794852,-0.40258748701114033,-0.4052121725801287,-0.40767232235875844,-0.4100387132567936,-0.41220112074260135,-0.41474994216520805,-0.41752502061204355,-0.42025361766396174,-0.4220057749783119,-0.4245222573745038,-0.4269542724570843,-0.42878643212013845,-0.4308089229590529,-0.4331979644052842,-0.4354734245800528,-0.43774874058584556,-0.4389553243312294,-0.44096444173611493,-0.44236713371189307,-0.4441166693954329,-0.4448117602888928,-0.44652800060462516,-0.448670638024017
INTC,-0.32125388843674274,-0.3206088278692455,-0.31966581703932156,-0.3183169503913205,-0.31682176683642543,-0.3154116317071612,-0.313952755361347,-0.31279889502184044,-0.31142481385942233,-0.31034641633761567,-0.3100049857876106,-0.30939579032838993,-0.3082121621712386,-0.30613499344126477,-0.3049756398071752,-0.30307319865132576,-0.3019137190378318,-0.30085100212751936,-0.2995241241818656,-0.2985644137508666,-0.29650993954435495,-0.29554884869199183,-0.2948268673439024,-0.29363417064109726
AMD,-0.17337775819397655,-0.18093532391672035,-0.19105532226817762,-0.19837362822149324,-0.20798133056944618,-0.21361708330055423,-0.22504779748265363,-0.23365621806769932,-0.2439012115910587,-0.24676050388999077,-0.25134981535689116,-0.2583280509830188,-0.26535476920853107,-0.2697673714736413,-0.2726999035510747,-0.27869217464713725,-0.28426374166797264,-0.2844519306769474,-0.28474177308884485,-0.2861776112461949,-0.28610544688209566,-0.28527873112671753,-0.28557312378732436,-0.2850826980946472
META,-0.09053635444245034,-0.10214887426104641,-0.11462714324509099,-0.1264983516323563,-0.13963463803839943,-0.15132917452528905,-0.16399353738822836,-0.17369009821359405,-0.1852162269262465,-0.19584500683468448,-0.20728933551389772,-0.21650313783134112,-0.2266717441469941,-0.2345391702445057,-0.24573406933466696,-0.2548507867105557,-0.2653090664869038,-0.2735267057905808,-0.2811162688903278,-0.28654391131975354,-0.2956791827488225,-0.3022207035219677,-0.30971969862892756,-0.31854979507811493
TSM,-0.170432538726354,-0.17107870967594752,-0.1717588511620563,-0.1720474980660428,-0.17307767557209602,-0.17338859980948212,-0.174456013312771,-0.17515073796259772,-0.17652811394676404,-0.17772162623552928,-0.1790558790876836,-0.17987298626184656,-0.18145053521699062,-0.18264691753539458,-0.18353724974953095,-0.18471873210291245,-0.18612619393667496,-0.18766995552789234,-0.1884376190444228,-0.18967616604753712,-0.19098925577401,-0.19287454422048067,-0.19370963482591752,-0.19539557918227995
IBM,-0.13566502052022567,-0.13753903811418922,-0.13937372195632752,-0.14112016695926027,-0.1426718303651643,-0.14389920475379203,-0.14504846389560466,-0.1463307662995051,-0.14793836669633686,-0.14861811654452667,-0.14973353203812423,-0.1511464262442639,-0.15173796141003226,-0.15201467541262031,-0.15227714274610654,-0.15238563803253913,-0.1532978291629119,-0.15367637138462398,-0.1543002161285998,-0.15477250816116805,-0.15456444985622914,-0.15528843813076987,-0.1556779445393075,-0.15565053282651803
AVGO,-0.027297203282559745,-0.03416540806806179,-0.040839049015972295,-0.04746064762212865,-0.05499050197617711,-0.06191179907170946,-0.06793504570198056,-0.0738316432823361,-0.08119887375770357,-0.08850612317765932,-0.09629383938872638,-0.10340252904585945,-0.11038974340773555,-0.11490906160259068,-0.12278054696033819,-0.12834613777860526,-0.13473667181937055,-0.14152251923479164,-0.1471474548476489,-0.1522252291148669,-0.15830711110667378,-0.16429287881923538,-0.16902018292577037,-0.17487888635222298
GOOGL,-0.06294916240731041,-0.06633757785132832,-0.0697972837602932,-0.07326359531320648,-0.07646709080773434,-0.08046202227327365,-0.08375243821224981,-0.08673576195469657,-0.09022249837042551,-0.09348394988177267,-0.09663554442337119,-0.10001343478364899,-0.10286333972532724,-0.10528657871308633,-0.10921808102935537,-0.11252840685939625,-0.11607057936175103,-0.11870327768180133,-0.12158369118646084,-0.12361654978651127,-0.12631264970699235,-0.12847401452081442,-0.13122682838223165,-0.13426429702797432
