Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.3474532834647043,-0.36188980037380214,-0.3767999425965832,-0.39083502056357766,-0.40681805240382846,-0.4182008687782983,-0.4336844334044992,-0.4453543076581608,-0.45947519760681144,-0.470066843071523,-0.4811476797876291,-0.4910246588354558,-0.5025389927198749,-0.5095597633712126,-0.521283224785334,-0.532050373146693,-0.5419585378405707,-0.5469672714006091,-0.5546198691671403,-0.5593673750659107,-0.5661372369759264,-0.5698377540245021,-0.5750122847575498,-0.5780364833546271
MSFT,-0.40176220189680967,-0.40890767550157525,-0.41581746792185437,-0.4225956537821407,-0.4298181016628095,-0.4356964077015496,-0.44271486990875325,-0.44774193119653877,-0.4542505994467755,-0.4592183785083511,-0.4654418629534816,-0.4703303802626852,-0.47514218813337195,-0.47938889732151874,-0.48420981021307574,-0.48857023093625224,-0.4939264375001806,-0.4973265147588921,-0.500553293105811,-0.5028486662025973,-0.5065990278130471,-0.5096743185165369,-0.512339490988865,-0.5156302359709667
AMZN,-0.3582390902679983,-0.36548967235593766,-0.3734423982127143,-0.3810151614949697,-0.38901824600769347,-0.39614246492848615,-0.404040405586289,-0.4108061682308482,-0.41828090032551146,-0.424319127078999,-0.43093327414397214,-0.43665486583205354,-0.4426125425525931,-0.44846591631234906,-0.45486811023028584,-0.46100401644137573,-0.46728095345508036,-0.47151476712918705,-0.4768100599865832,-0.4804379043580645,-0.4860265469152977,-0.48939994335623116,-0.49376895107574176,-0.49892578870819326
INTC,-0.2792051741252558,-0.2835110132140428,-0.28789604267190716,-0.2916597895275318,-0.2958012995873253,-0.299352975893046,-0.30324321878242794,-0.3060800426406451,-0.30945209652097205,-0.3126597684383028,-0.31641600255707897,-0.3190963837033592,-0.3220382726036932,-0.32379198679456095,-0.32664578563217683,-0.3286037905126487,-0.3314459319070666,-0.333410444925477,-0.33536974243233386,-0.33663518439703805,-0.33841981706421975,-0.3401370317593302,-0.342067817815019,-0.3438893213252735
AMD,-0.13132904388248962,-0.14383750926151767,-0.1592855479007632,-0.17171646735770452,-0.18696086332034606,-0.19755842748643904,-0.2143382609037346,-0.22693736568650397,-0.24192849425260843,-0.24907385599067788,-0.25776083212635953,-0.26802864435798807,-0.2791808796409857,-0.2874243648269375,-0.29437004937607636,-0.3042227665084602,-0.31379595453720743,-0.31701137347490504,-0.32058739133931313,-0.3242483818923663,-0.32801532440196046,-0.3298669141940559,-0.33281407425844095,-0.33533784877882344
META,-0.048487640130963405,-0.06505105960584373,-0.08285736887767658,-0.09984119076856757,-0.11861417078929931,-0.13527051871117385,-0.15328400080930932,-0.1669712458323987,-0.18324350958779623,-0.1981583589353716,-0.2137003522833661,-0.22620373120631038,-0.24049785457944872,-0.2521961635978019,-0.2674042151596686,-0.28038137857187867,-0.2948412793561386,-0.30608614858853844,-0.3169618871407961,-0.32461468196592497,-0.3375890602686873,-0.3468088865893061,-0.35696064910004416,-0.36880494576229117
TSM,-0.12838382441486706,-0.13398089502074484,-0.1399890767946419,-0.14539033720225408,-0.1520572083229959,-0.15732994399536693,-0.16374647673385195,-0.16843188558140237,-0.17455539660831376,-0.1800349783362164,-0.18546689585715198,-0.18957357963681581,-0.19527664564944525,-0.20030391088869076,-0.2052073955745326,-0.2102493239642354,-0.21565840680590975,-0.22022939832584998,-0.22428323729489108,-0.22774693669370855,-0.2328991332938748,-0.23746272728781903,-0.24095058529703411,-0.2456507298664562
IBM,-0.09361630620873873,-0.10044122345898654,-0.10760394758891312,-0.11446300609547155,-0.12165136311606417,-0.12784054893967683,-0.13433892731668562,-0.13961191391830974,-0.14596564935788658,-0.15093146864521378,-0.1561445488075926,-0.16084701961923314,-0.1655640718424869,-0.1696716687659165,-0.1739472885711082,-0.17791622989386208,-0.1828300420321467,-0.18623581418258162,-0.19014583437906807,-0.19284327880733948,-0.19647432737609394,-0.19987662119810823,-0.2029188950104241,-0.20590568351069427
AVGO,0.014751511028927189,0.00293240658714089,-0.00906927464855789,-0.02080348675833993,-0.03397003472707699,-0.045853143257594264,-0.05722550912306151,-0.06711279090114075,-0.07922615641925329,-0.09081947527834644,-0.10270485615819475,-0.1131031224208287,-0.12421585384019018,-0.13256605495588686,-0.14445069278533984,-0.1538767296399282,-0.16426888468860534,-0.17408196203274928,-0.1829930730981172,-0.19029599976103834,-0.20021698862653858,-0.20888106188657374,-0.21626113339688696,-0.22513403703639923
GOOGL,-0.020900448095823476,-0.029239763196125645,-0.0380275093928788,-0.046606434449417755,-0.05544662355863422,-0.06440336645915845,-0.07304290163333077,-0.08001690957350122,-0.08824978103197523,-0.09579730198245978,-0.10304656119283956,-0.10971402815861825,-0.11668945015778187,-0.12294357206638251,-0.13088822685435703,-0.1380589987207192,-0.14560279223098582,-0.15126272047975897,-0.15742930943692912,-0.1616873204326827,-0.16822252722685715,-0.17306219758815278,-0.17846777885334825,-0.18451944771215056
