Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.437519249662723,-0.4515429701020135,-0.4657731693472412,-0.47932547455011965,-0.49445890077760896,-0.5054426218951144,-0.5201184068878602,-0.5313444286011385,-0.5447582227494372,-0.5548107827395632,-0.5654672707240413,-0.5751245634715052,-0.5859264577507672,-0.5926520413061924,-0.6041320788013166,-0.6145361210382421,-0.6241082326382212,-0.6288866144742131,-0.6365510622303168,-0.6412019171285632,-0.6478403441806788,-0.6510350478211298,-0.6561058509514832,-0.6592296361911361
MSFT,-0.4918281680948284,-0.4985608452297866,-0.5047906946725124,-0.5110861077686827,-0.51745895003659,-0.5229381608183656,-0.5291488433921141,-0.5337320521395165,-0.5395336245894011,-0.5439623181763913,-0.5497614538898938,-0.5544302848987346,-0.5585296531642643,-0.5624811752564987,-0.5670586642290584,-0.5710559788278012,-0.5760761322978312,-0.5792458578324962,-0.5824844861689875,-0.5846832082652496,-0.5883021350177995,-0.5908716123131645,-0.5934330571827984,-0.5968233888074757
AMZN,-0.448305056466017,-0.455142842084149,-0.4624156249633723,-0.4695056154815117,-0.47665909438147397,-0.4833842180453022,-0.4904743790696499,-0.4967962891738259,-0.5035639254681372,-0.509063066747039,-0.5152528650803844,-0.5207547704681029,-0.5260000075834854,-0.5315581942473289,-0.5377169642462685,-0.5434897643329247,-0.5494306482527309,-0.5534341102027911,-0.5587412530497597,-0.5622724464207169,-0.56772965412005,-0.5705972371528588,-0.5748625172696751,-0.5801189415447023
INTC,-0.3692711403232745,-0.3731641829422542,-0.37686926942256516,-0.3801502435140738,-0.3834421479611058,-0.386594729009862,-0.38967719226578884,-0.3920701635836228,-0.39473512166359775,-0.3974037081063429,-0.4007355934934912,-0.40319628833940857,-0.4054257376345856,-0.4068842647295408,-0.40949463964815946,-0.4110895384041977,-0.41359562670471717,-0.415329787999081,-0.41730093549551034,-0.41846972645969044,-0.4201229242689721,-0.42133432555595784,-0.42316138400895226,-0.4250824741617825
AMD,-0.22139501008050833,-0.23349067898972903,-0.2482587746514212,-0.2602069213442465,-0.27460171169412656,-0.28480018060325507,-0.3007722343870955,-0.31292748662948167,-0.32721151939523413,-0.333817795658718,-0.34208042306277175,-0.35212854899403745,-0.3625683446718781,-0.37051664276191737,-0.377218903392059,-0.3867085144000092,-0.395945649334858,-0.39893071654850903,-0.4025185844024896,-0.4060829239550187,-0.4097184316067128,-0.41106420799068355,-0.4139076404523742,-0.41653100161533246
META,-0.13855360632898212,-0.1547042293340551,-0.17183059562833458,-0.18833164475510955,-0.2062550191630798,-0.22251227182798988,-0.23971797429267022,-0.2529613667753764,-0.26852653473042193,-0.2829022986034117,-0.2980199432197783,-0.31030363584235976,-0.3238853196103411,-0.33528844153278176,-0.35025306917565124,-0.36286712646342767,-0.3769909741537891,-0.38800549166214243,-0.39889308020397257,-0.40644922402857736,-0.4192921674734396,-0.42800618038593374,-0.4380542152939774,-0.4499980985988002
TSM,-0.21844979061288577,-0.2236340647489562,-0.2289623035452999,-0.23388079118879607,-0.2396980566967764,-0.24457169711218296,-0.25018045021721286,-0.2544220065243801,-0.25983842175093946,-0.2647789180042565,-0.2697864867935642,-0.2736734842728652,-0.27866411068033764,-0.2833961888236706,-0.28805624959051523,-0.2927350718557844,-0.2978081016035603,-0.30214874139945397,-0.30621443035806756,-0.30958147875636094,-0.3146022404986271,-0.3186600210844467,-0.3220441514909674,-0.3268438827029652
IBM,-0.18368227240675744,-0.1900943931871979,-0.19657717433957111,-0.20295346008201354,-0.20929221148984467,-0.21508230205649287,-0.22077290080004652,-0.22560203486128744,-0.23124867450051229,-0.2356754083132539,-0.24046413974400482,-0.24494692425528253,-0.2489515368733793,-0.25276394670089636,-0.2567961425870908,-0.2604019777854111,-0.26497973682979725,-0.2681551572561856,-0.27207702744224455,-0.2746778208699919,-0.27817743458084626,-0.2810739149947359,-0.28401246120435736,-0.2870988363472033
AVGO,-0.07531445516909152,-0.08672076314107047,-0.09804250139921589,-0.10929394074488191,-0.12161088310085749,-0.1330948963744103,-0.14365948260642242,-0.15310291184411845,-0.164509181561879,-0.17556341494638655,-0.18702444709460697,-0.1972030270568781,-0.20760331887108258,-0.21565833289086672,-0.22729954680132247,-0.2363624775314772,-0.2464185794862559,-0.25600130510635327,-0.26492426616129366,-0.27213054182369073,-0.2819200958312909,-0.2900783556832014,-0.2973546995908202,-0.30632718987290825
GOOGL,-0.11096641429384219,-0.118892932924337,-0.1270007361435368,-0.13509688843595974,-0.14308747193241472,-0.15164511957597449,-0.15947687511669167,-0.16600703051647892,-0.17353280617460093,-0.1805412416504999,-0.18736615212925178,-0.19381393279466763,-0.20007691518867426,-0.20603585000136238,-0.21373708087033966,-0.2205447466122682,-0.22775248702863637,-0.23318206355336296,-0.2393605025001056,-0.24352186249533508,-0.24992563443160948,-0.25425949138478043,-0.2595613450472815,-0.2657126005486596
