Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.21612423958221466,-0.21805229111228447,-0.21751439469582,-0.21911855320587315,-0.2198571890834824,-0.22064244129185928,-0.2193461725007646,-0.21841694197165684,-0.217546703354203,-0.22099298708084514,-0.2233868476612696,-0.22299601447746775,-0.2233581130788892,-0.2221353985442751,-0.2269131754092576,-0.22782760663823287,-0.22816258330336325,-0.22995589792570403,-0.2340324778278272,-0.23511899317354445,-0.23812191257396598,-0.2399708398304462,-0.24219821049910895,-0.24269863457580365
MSFT,-0.27043315801432005,-0.2650701662400576,-0.25653192002109115,-0.2508791864244362,-0.24285723834246342,-0.23813798021511057,-0.22837660900501866,-0.2208045655100348,-0.21232210519416705,-0.21014452251767324,-0.20768103082712208,-0.20230173590469713,-0.19596130849238624,-0.19196453249458123,-0.18983976083699938,-0.18434746442779204,-0.18013048296297318,-0.18031514128398707,-0.17996590176649785,-0.1786002843102309,-0.17858370341108665,-0.179807404322481,-0.1795254167304241,-0.18029238719214324
AMZN,-0.22691004638550866,-0.22165216309441998,-0.21415685031195109,-0.2092986941372652,-0.2020573826873474,-0.1985840374420471,-0.18970214468255442,-0.18386880254434423,-0.17635240607290303,-0.1752452710883211,-0.17317244201761262,-0.16862622147406547,-0.16343166291160738,-0.16104155148541155,-0.16049806085420948,-0.15678124993291553,-0.15348499891787293,-0.154503393654282,-0.15622266864727008,-0.15618952246569817,-0.1580112225133372,-0.15953302916217527,-0.1609548768173008,-0.16358793992936982
INTC,-0.1478761302427662,-0.13967350395252515,-0.12861049477114395,-0.11994332216982728,-0.10884043626697926,-0.10179454840660696,-0.08890495787869335,-0.07914267695414112,-0.06752360226836363,-0.0635859124476249,-0.05865517043071944,-0.05106773934537112,-0.04285739296270752,-0.03636762196762344,-0.032275736256100473,-0.024381024004188512,-0.017649977369859182,-0.016399071450571956,-0.01478235109302073,-0.012386802504671723,-0.01040449266225929,-0.010270117565274295,-0.009253743556578042,-0.008551472546450056
META,0.08284140375152621,0.07878644965567394,0.07642817902308663,0.07187527658913695,0.06834669253104675,0.06228790877526519,0.06105426009442527,0.05996611985410527,0.0586849846648122,0.05091549705530629,0.04406047984299344,0.04182491315167769,0.03868302506153698,0.035228201229135614,0.026965834216407747,0.023841387936581526,0.01895467518106886,0.010925224886366602,0.0036255041985170378,-0.00036630007355864524,-0.009573735866726829,-0.016941972395250193,-0.024146574841603208,-0.033467096983467726
TSM,0.0029452194676225507,0.009856614240772832,0.019296471106121316,0.026326130155450433,0.03490365499735015,0.04022848349107211,0.050591784169882636,0.05850548010510159,0.06737309764429467,0.06903887765446148,0.07229393626920755,0.07845506472117225,0.08390423399154046,0.08712045393824674,0.08916265380154376,0.0939734425442248,0.09813754773129768,0.09678197514905507,0.09630415404442205,0.09650144519865778,0.09511619110808567,0.09240418690623686,0.09186348896140684,0.08968711891236725
IBM,0.037712737673750885,0.04339628580253113,0.051681600311850096,0.05725346126223296,0.06530950020428189,0.0697178785467622,0.07999933358704897,0.08732545176819423,0.09596284489472184,0.0981423873454641,0.10161628331876693,0.10718162473875492,0.11361680779849881,0.11775269606102101,0.12042276080496817,0.12630653661459812,0.13096591250506073,0.13077555929232343,0.13044155696024506,0.13140510308502684,0.13154099702586652,0.12999029299594766,0.12989517924801686,0.12943216526812917
AVGO,0.1460805549114168,0.14676991584865856,0.15021627325220532,0.1509129805993646,0.15299082859326907,0.15170528422884477,0.15711275178067308,0.15982457478536322,0.16270233783335514,0.15825438071233144,0.15505597596816478,0.15492552193715936,0.15496502580079552,0.15485830987105065,0.14991935659073652,0.15034603686853198,0.1495270698486021,0.14292941144215576,0.13759431824119595,0.13395238213132798,0.12779833577542188,0.12098585230748216,0.11655294086155399,0.11020381174242422
GOOGL,0.11042859578666614,0.11459774606539203,0.12125803850788441,0.12511003290828676,0.13151423976171184,0.13315506102728059,0.14129535927040382,0.14692045611300275,0.1536787132206332,0.1532765540082181,0.15471427093351997,0.15831461619936982,0.16249142948320383,0.164480792760555,0.16348182252171933,0.166163767787741,0.1681931623062216,0.16574865299514607,0.163158081902384,0.16256106145968363,0.1597927971751033,0.15680471660590312,0.1543462954050927,0.15081840106667288
MU,0.026961224241645543,0.0386112317446638,0.053333701964864144,0.06525321677203921,0.07992980602117289,0.08999863233304345,0.10642804258268168,0.11887676582657059,0.1332999746449106,0.14012750037158556,0.14828697691860815,0.15814976359919514,0.16903898375845527,0.17719413173631043,0.18406683098867294,0.1939160430639003,0.20309092266355722,0.20601573010494134,0.20964235117722468,0.21340405698809617,0.21722163935840894,0.2188747003134665,0.22183104309156731,0.22421681492529266
CRM,0.13386030854190578,0.13769496389631297,0.1426713684138904,0.14494164236904628,0.14931443006101958,0.14958108103245227,0.1548385201994521,0.15907817963534093,0.16406341240503097,0.16202044459920084,0.16196942539506076,0.1655417853611973,0.16772730555218002,0.1673904817286614,0.16457483674570322,0.16538838773260084,0.1662832528320064,0.16213033299205826,0.15793345064196107,0.15495800157440054,0.15045155841498048,0.14626769159591302,0.14260153010224674,0.13808997825102642
NOW,0.1128472180347071,0.11875408283114641,0.1282290837129731,0.13443619625394987,0.1436036502879911,0.14763618350787755,0.15816851651555003,0.16452841458504924,0.1734267730028206,0.17420761982924765,0.17601192190315484,0.1801089292683078,0.18546203715198656,0.18747924343729128,0.1873514212083266,0.19059498546882525,0.1938652580184737,0.1908937099219019,0.18773776246688234,0.1855769958431297,0.18234416371148887,0.17845001013459239,0.17537289871760608,0.1708130520231771
SAP,0.10614485504281101,0.11596648064900644,0.12850010912976023,0.1381309070572171,0.15008069783030825,0.1577856398099462,0.1718905540359223,0.18196388755372112,0.19374544127211968,0.19814546400315286,0.204196624298428,0.21202377650274518,0.2205644504118906,0.22659620562596183,0.23066205327085332,0.23811703514688476,0.24514135276727667,0.24608109409678608,0.24765320168954846,0.24980255619854286,0.2507337869020248,0.2504182623839098,0.2514578484972918,0.25143586929004647
AAPL,0.11560157168934004,0.12519685288052068,0.1375751019428681,0.14736160046163532,0.1595029324716174,0.16779000522367027,0.1815731666510768,0.19248123817353063,0.20514165576713284,0.21058879193702817,0.2176793276405432,0.2265894031946441,0.23584409091144004,0.2429773970361362,0.2486975922555481,0.25734875851557754,0.2650621562154186,0.2676311327186843,0.27041301624445013,0.2736569676937013,0.2764916656860513,0.2774684805486749,0.27983014818227714,0.28191819991591677
QCOM,0.0857848406547323,0.09917037800516998,0.11546841353543841,0.1288785662117346,0.14472977325097125,0.15609161355626977,0.1734634681992216,0.1869764625592853,0.20238806178549312,0.209986737776152,0.21882507344663876,0.22968865692001456,0.2409965184171447,0.2499938812365617,0.25700611864072853,0.2670635879432046,0.2766750256593526,0.27999417077813854,0.2838797961207237,0.2884547437670921,0.29238437986267074,0.29474415726285136,0.2982633751071967,0.30078988963606534
ORCL,0.2557880928622158,0.254792269773802,0.25549646939851267,0.2535223674871362,0.25415873502250325,0.25074532579223086,0.25346111368487,0.2533154690370989,0.25395889608918215,0.24869522218759543,0.24320623733729468,0.2422447600373801,0.2423643282921556,0.23822945054633293,0.2324646306941081,0.23078578635075803,0.22823619923358224,0.22091295056533888,0.21353731581939822,0.2081716318863448,0.20003321731782997,0.19252176783651853,0.18526770275744275,0.1760813319599691
CSCO,0.16200842265351534,0.17003108761783464,0.18069274420614234,0.18869371135987212,0.1987674742658277,0.20526275073511413,0.21704409252510581,0.22635359161389168,0.23720512399826477,0.24072267533339653,0.24586692130066862,0.2532919080013845,0.26077477804672694,0.2662844704937638,0.2704437825567378,0.2776280065322193,0.28378264827505983,0.28455273388466473,0.2862289573750434,0.2880162340048431,0.28914546752786885,0.28803802406456763,0.28900999742748384,0.28944524486243894
ADBE,0.17337775819397655,0.18093532391672035,0.19105532226817762,0.19837362822149324,0.20798133056944618,0.21361708330055423,0.22504779748265363,0.23365621806769932,0.2439012115910587,0.24676050388999077,0.25134981535689116,0.2583280509830188,0.26535476920853107,0.2697673714736413,0.2726999035510747,0.27869217464713725,0.28426374166797264,0.2844519306769474,0.28474177308884485,0.2861776112461949,0.28610544688209566,0.28527873112671753,0.28557312378732436,0.2850826980946472
TSLA,0.16008576327459428,0.16952554288968008,0.18157537649716327,0.19052812396574026,0.2022248143858088,0.20940316869194914,0.22224362923728502,0.23202536737033336,0.24383369568018115,0.24794312629101734,0.2535476667649741,0.2614615731242378,0.26958851078497176,0.27463478988791257,0.27844432492792726,0.285235253359755,0.2914083073977119,0.29222149371747685,0.2930729808617289,0.2945787036834897,0.29496353475787673,0.2943108215422411,0.2944856233951416,0.2937039981967415
ASML,0.1780948178154505,0.1858037472950238,0.19515302316690442,0.20279976314245746,0.21169998578379345,0.2181340290622486,0.2285338625145209,0.23589683526124428,0.24471332196390916,0.24852568624249455,0.25301809505929035,0.25885402047759,0.2652852891817888,0.2704499310655583,0.27460472514312817,0.280655648306661,0.2864247425681587,0.2877173323613215,0.28962193220746574,0.29194688591457646,0.2944814428067781,0.2949247226814331,0.2969138160796046,0.29856322702116966
ADI,0.13132904388248962,0.14383750926151767,0.1592855479007632,0.17171646735770452,0.18696086332034606,0.19755842748643904,0.2143382609037346,0.22693736568650397,0.24192849425260843,0.24907385599067788,0.25776083212635953,0.26802864435798807,0.2791808796409857,0.2874243648269375,0.29437004937607636,0.3042227665084602,0.31379595453720743,0.31701137347490504,0.32058739133931313,0.3242483818923663,0.32801532440196046,0.3298669141940559,0.33281407425844095,0.33533784877882344
AMAT,0.12499491130778856,0.13891624293256105,0.1557682505156628,0.169748525840956,0.1863060017684841,0.19802716533707937,0.21625848639825362,0.23026014571027803,0.24626127521463775,0.2542482666633243,0.2637517844474189,0.274824535673838,0.28661718393604785,0.2958484406616114,0.30336474482496584,0.31401445809879464,0.3240323398964446,0.3274248836879792,0.33160022705529135,0.3359329884615815,0.3399548953964492,0.34186519713962304,0.3451740315016124,0.34776955653507896
PANW,0.18849571432973833,0.1982307421944295,0.21046571276607284,0.22010933714864,0.23220510941061395,0.23969068602545124,0.2527901708925138,0.26257224546767705,0.2744251180320489,0.27869361067819437,0.28464605888187655,0.2924469174197123,0.30057087481093214,0.3058052581937939,0.3100116983387232,0.31683127049880344,0.3235537026734991,0.32446808673052313,0.3256361081287772,0.3270643354144032,0.3279351495502674,0.32744205175181873,0.32815101257827295,0.3276456831464657
TXN,0.19977864410394863,0.2113737047292611,0.22597247554390149,0.23773576837187171,0.2522401053999951,0.26213084356814126,0.27819239943728913,0.2904201776536502,0.3047882540525325,0.31133350841165586,0.3193070600068087,0.32908142164796444,0.3396492618167396,0.3474409472390134,0.35401476553062117,0.3636386417689094,0.3725608599074747,0.37517780931240535,0.3784932290282018,0.3817663438616232,0.3851077693939272,0.3862493878628958,0.3887013242042953,0.3906630636642625
ADSK,0.22139501008050833,0.23349067898972903,0.2482587746514212,0.2602069213442465,0.27460171169412656,0.28480018060325507,0.3007722343870955,0.31292748662948167,0.32721151939523413,0.333817795658718,0.34208042306277175,0.35212854899403745,0.3625683446718781,0.37051664276191737,0.377218903392059,0.3867085144000092,0.395945649334858,0.39893071654850903,0.4025185844024896,0.4060829239550187,0.4097184316067128,0.41106420799068355,0.4139076404523742,0.41653100161533246
STX,0.23835994285863818,0.24925043281082268,0.2630465041799142,0.2741457437662395,0.28790981890430345,0.29727367434504265,0.3128418657307733,0.3245281666795112,0.33793074791472827,0.34417549652278273,0.3517147853318491,0.3610095724595496,0.37127526084082163,0.37877243013984274,0.38535114056770287,0.39469043773214985,0.4032444861717608,0.4056844177603326,0.4090015363571733,0.4120107657099991,0.4157007660636225,0.41642088843644776,0.41901210657163,0.42131361841644094
LRCX,0.2736827541404906,0.2834018557555615,0.29575277846199843,0.30567601799397215,0.31782311042709566,0.3258893592031378,0.3399990111884281,0.35009438522669767,0.36186858519299875,0.36647130075182993,0.3718975198896935,0.37973559737602725,0.38841701039718546,0.3939654907542923,0.39846335415041545,0.4060174581345155,0.412711563698401,0.41346529082542394,0.41546720341943016,0.4171856845676247,0.4185984148549912,0.41788568276140514,0.4186104415577846,0.4183309430492522
KLAC,0.3642928899650205,0.37672494218977615,0.39196657503698307,0.4043572625425552,0.4191093344184166,0.42963550652991334,0.44619978569488716,0.4587123161513028,0.4729828873519243,0.4793537135644885,0.48727062360136997,0.4971363876603728,0.5074725365239217,0.51499131169975,0.5210142818405785,0.5301056080862061,0.538674809750459,0.5406653916362028,0.5436939361578486,0.546981816351525,0.5491958673572928,0.5497834643756743,0.5517134765960571,0.5522146984490317
INTU,0.38825780527482023,0.4013376008004201,0.4171859814494818,0.43017055282797245,0.4458526776466624,0.4568655713182338,0.47417892265761385,0.48751773234431706,0.5030484196034449,0.510842051472756,0.5200335042953123,0.531004912858352,0.5426023291419864,0.5513933040385903,0.5590430850812449,0.5697682253999565,0.5794431723012065,0.5829499318251397,0.5869643995981695,0.5909562437772422,0.5947960874478583,0.596385553132965,0.5994207140692813,0.6020341101030398
