Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,0.010785806803293996,0.0035998719821355163,-0.0033575443838689267,-0.009819859068607939,-0.017799806396134987,-0.02205840384981217,-0.029644027818210184,-0.03454813942731261,-0.041194297281299974,-0.04574771599252403,-0.05021440564365698,-0.05436979300340228,-0.05992645016728182,-0.06109384705886356,-0.06641511455504812,-0.07104635670531734,-0.07467758438549033,-0.07545250427142203,-0.07780980918055713,-0.07892947070784628,-0.08011069006062876,-0.08043781066827094,-0.08124333368180814,-0.07911069464643383
MSFT,-0.043523111628811395,-0.043418003145637596,-0.04237506970914007,-0.04158049228717098,-0.04079985565511601,-0.039553942773063455,-0.03867446432246424,-0.036935762965690566,-0.03596969912126402,-0.03489925142935213,-0.034508588809509466,-0.03367551443063166,-0.032529645580778865,-0.03092298100916968,-0.029341699982789904,-0.027566214494876506,-0.026645484045100254,-0.025811747629705062,-0.02374323311922777,-0.022410761844532723,-0.020572480897749434,-0.020274375160305724,-0.018570539913123296,-0.016704447262773425
INTC,0.07903391614274247,0.08197865914189484,0.08554635554080714,0.08935537196743792,0.09321694642036815,0.09678948903544016,0.10079718680386107,0.10472612559020311,0.10882880380453941,0.1116593586406962,0.11451727158689318,0.11755848212869435,0.12057426994889986,0.1246739295177881,0.128222324598109,0.13240022592872702,0.13583502154801375,0.13810432220371005,0.14144031755424935,0.14380271996102645,0.14760672985107792,0.14926291159690097,0.15170113326072276,0.15503646738291976
AMD,0.22691004638550866,0.22165216309441998,0.21415685031195109,0.2092986941372652,0.2020573826873474,0.1985840374420471,0.18970214468255442,0.18386880254434423,0.17635240607290303,0.1752452710883211,0.17317244201761262,0.16862622147406547,0.16343166291160738,0.16104155148541155,0.16049806085420948,0.15678124993291553,0.15348499891787293,0.154503393654282,0.15622266864727008,0.15618952246569817,0.1580112225133372,0.15953302916217527,0.1609548768173008,0.16358793992936982
META,0.30975145013703487,0.3004386127500939,0.2905850293350377,0.28117397072640216,0.27040407521839416,0.2608719462173123,0.2507564047769797,0.2438349223984495,0.23503739073771523,0.2261607681436274,0.21723292186060605,0.21045113462574316,0.20211468797314436,0.19626975271454716,0.18746389507061723,0.18062263786949706,0.1724396740989418,0.1654286185406486,0.15984817284578712,0.15582322239213953,0.14843748664661038,0.14259105676692507,0.1368083019756976,0.1301208429459021
TSM,0.2298552658531312,0.23150877733519282,0.2334533214180724,0.23562482429271564,0.23696103768469756,0.23881252093311922,0.24029392885243706,0.24237428264944583,0.2437255037171977,0.2442841487427826,0.24546637828682016,0.24708128619523773,0.24733589690314783,0.2481620054236583,0.24966071465575324,0.25075469247714033,0.2516225466491706,0.2512853688033371,0.25252682269169213,0.25269096766435595,0.2531274136214229,0.25193721606841213,0.25281836577870764,0.25327505884173707
IBM,0.26462278405925954,0.2650484488969511,0.2658384506238012,0.26655215539949817,0.2673668828916293,0.2683019159888093,0.2697014782696034,0.27119425431253846,0.2723152509676249,0.2733876584337852,0.27478872533637955,0.2758078462128204,0.2770484707101062,0.27879424754643256,0.28092082165917764,0.28308778654751365,0.28445091142293366,0.28527895294660544,0.28666422560751514,0.287594625550725,0.28955221953920374,0.28952332215812293,0.29085005606531766,0.293020105197499
AVGO,0.37299060129692546,0.36842207894307855,0.3643731235641564,0.3602116747366298,0.3550482112806165,0.3502893216708919,0.3468148964632275,0.34369337732970745,0.33905474390625817,0.33349965180065255,0.3282284179857774,0.32355174341122483,0.3183966887124029,0.3158998613564622,0.310417417444946,0.3071272868014475,0.303012068766475,0.29743280509643777,0.293816986888466,0.29014190459702616,0.2858095582887591,0.2805188814696574,0.2775078176788548,0.27379175167179404
GOOGL,0.3373386421721748,0.336249909159812,0.3354148888198355,0.33440872704555197,0.33357162244905925,0.3317390984693277,0.33099750395295824,0.330789258657347,0.33003111929353623,0.3285218250965392,0.3278867129511326,0.3269408376734353,0.3259230923948112,0.32552234424596654,0.3239798833759288,0.32294501772065654,0.32167816122409454,0.3202520466494281,0.3193807505496541,0.3187505839253818,0.3178040196884405,0.3163377457680784,0.3153011722223935,0.3144063409960427
MU,0.2538712706271542,0.2602633948390838,0.26749055227681523,0.2745519109093044,0.2819871887085203,0.28858266977509056,0.2961301872652361,0.3027455683709148,0.30965238071781365,0.31537277145990666,0.32145941893622076,0.3267759850732606,0.33247064667006265,0.338235683221722,0.3445648918428824,0.35069729299681585,0.35657592158143014,0.36051912375922335,0.36586501982449476,0.36959357945379434,0.37523286187174615,0.3784077294756418,0.3827859199088681,0.3878047548546625
