Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.39421905739766516,-0.40385603840730827,-0.41266741786272443,-0.4219183163483306,-0.43155717486727585,-0.4387764703541079,-0.4478800350152855,-0.4543137772329011,-0.46226002531811217,-0.4695186733233397,-0.47640494272055994,-0.48185003495505774,-0.488643402260678,-0.4925853296098334,-0.5015179005523858,-0.5084832549448939,-0.5145873258715219,-0.5176732302870255,-0.5236544100352929,-0.5270658790881209,-0.5326033553807441,-0.5348955625118793,-0.5391120265787135,-0.5412618615969733
MSFT,-0.44852797582977055,-0.4508739135350814,-0.45168494318799557,-0.45367894956689364,-0.4545572241262569,-0.45627200927735917,-0.45691047151953956,-0.4567014007712791,-0.4570354271580762,-0.4586702087601678,-0.46069912588641243,-0.4611557563822871,-0.46124659767417503,-0.46241446356013954,-0.46444448598012755,-0.46500311273445305,-0.4665552255311319,-0.4680324736453086,-0.4695878339739636,-0.47054717022480735,-0.4730651462178648,-0.4747321270039141,-0.4764392328100287,-0.4788556142133129
AMZN,-0.40500486420095916,-0.4074559103894438,-0.4093098734788555,-0.41209845727972266,-0.41375736847114086,-0.4167180665042957,-0.4182360071970753,-0.4197656378055885,-0.4210657280368122,-0.42377095733081566,-0.42619053707690296,-0.42748024195165546,-0.42871695209339616,-0.43149148255096986,-0.43510278599733765,-0.43743689823957654,-0.4399097414860316,-0.4422207260156035,-0.4458446008547358,-0.44813640838027463,-0.45249266532011534,-0.45445775184360837,-0.4578686928969054,-0.4621511669505395
INTC,-0.3259709480582167,-0.32547725124754895,-0.32376351793804836,-0.32274308531228474,-0.3205404220507727,-0.31992857746885556,-0.31743882039321425,-0.3150395122153854,-0.3122369242322728,-0.31211159869011945,-0.3116732654900098,-0.3099217598229611,-0.3081426821444963,-0.30681755303318176,-0.30688046139922864,-0.3050366723108495,-0.3040747199380179,-0.3041164038118935,-0.30440428330048647,-0.3043336884192482,-0.3048859354690374,-0.3051948402467074,-0.30616755963618264,-0.3071146995676197
AMD,-0.1780948178154505,-0.1858037472950238,-0.19515302316690442,-0.20279976314245746,-0.21169998578379345,-0.2181340290622486,-0.2285338625145209,-0.23589683526124428,-0.24471332196390916,-0.24852568624249455,-0.25301809505929035,-0.25885402047759,-0.2652852891817888,-0.2704499310655583,-0.27460472514312817,-0.280655648306661,-0.2864247425681587,-0.2877173323613215,-0.28962193220746574,-0.29194688591457646,-0.2944814428067781,-0.2949247226814331,-0.2969138160796046,-0.29856322702116966
META,-0.09525341406392429,-0.10701729763934986,-0.11872484414381779,-0.1309244865533205,-0.1433532932527467,-0.15584612028698341,-0.16747960242009563,-0.175930715407139,-0.18602833729909696,-0.19761018918718826,-0.2089576152162969,-0.2170291073259123,-0.2266022641202518,-0.2352217298364227,-0.24763889092672042,-0.2568142603700795,-0.26747006738708984,-0.2767921074749549,-0.2859964280089487,-0.2923131859881351,-0.30405517867350496,-0.3118666950766833,-0.3210603909212078,-0.3320303240046374
TSM,-0.17514959834782795,-0.17594713305425097,-0.1758565520607831,-0.17647363298700702,-0.1767963307864433,-0.1779055455711765,-0.17794207834463827,-0.17739135515614268,-0.1773402243196145,-0.17948680858803306,-0.1807241587900828,-0.18039895575641773,-0.18138105519024833,-0.18332947712731157,-0.1854420713415844,-0.18668220576243622,-0.18828719483686102,-0.19093535721226645,-0.19331777816304369,-0.19544544071591868,-0.19936525169869246,-0.20252053577519624,-0.20505032711819776,-0.20887610810880242
IBM,-0.14038208014169962,-0.14240746149249267,-0.14347142285505432,-0.1455463018802245,-0.14639048557951156,-0.1484161505154864,-0.14853452892747193,-0.14857138349305005,-0.14875047706918731,-0.15038329889703045,-0.15140181174052342,-0.15167239573883506,-0.15166848138328998,-0.1526972350045373,-0.15418196433816,-0.1543491116920629,-0.15545883006309796,-0.1569417730689981,-0.15918037524722067,-0.16054178282954962,-0.1629404457809116,-0.16493442968548544,-0.16701863683158774,-0.1691310617530405
AVGO,-0.0320142629040337,-0.03903383144636524,-0.04493674991469909,-0.05188678254309287,-0.058709157190524386,-0.06642874483340383,-0.07142111073384783,-0.07607226047588106,-0.08201098413055402,-0.0902713055301631,-0.09796211909112557,-0.10392849854043062,-0.11032026338099327,-0.11559162119450767,-0.12468536855239165,-0.13030961143812902,-0.1368976727195566,-0.14478792091916576,-0.1520276139662698,-0.15799450378324847,-0.16668310703135625,-0.17393887037395095,-0.1803608752180506,-0.18835941527874545
GOOGL,-0.06766622202878436,-0.07120600122963178,-0.07389498465902,-0.0776897302341707,-0.08018574602208162,-0.08497896803496802,-0.08723850324411708,-0.08897637914824152,-0.09103460874327596,-0.09524913223427645,-0.09830382412577038,-0.10053940427822017,-0.10279385969858496,-0.10596913830500332,-0.11112290262140884,-0.11449188051892001,-0.11823158026193709,-0.12196867936617545,-0.12646385030508173,-0.12938582445489283,-0.13468864563167482,-0.13812000607553,-0.1425675206745119,-0.14774482595449678
