Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.36220479449363147,-0.36482220696094303,-0.36773066794802534,-0.37003153380523773,-0.37284801767675146,-0.37234772552070405,-0.3764589242814377,-0.37824151675702006,-0.38024904118755815,-0.3792473677931766,-0.3784428236294344,-0.3779215364146271,-0.3783231388796847,-0.37699370841532576,-0.3768325319999941,-0.37817364350676486,-0.37768965315196534,-0.3728853093678598,-0.37162679606902316,-0.36907137530487244,-0.36592024834938786,-0.36095669213792836,-0.35875115136066293,-0.35290244631822787
MSFT,-0.41651371292573686,-0.41184008208871614,-0.4067481932732965,-0.4017921670238008,-0.3958480669357325,-0.38984326444395534,-0.38548936078569174,-0.380629140295398,-0.3750244430275222,-0.3683989032300047,-0.36273700679528686,-0.3572272578418565,-0.35092633429318176,-0.3468228423656319,-0.3397591174277359,-0.334693501296324,-0.32965755281157527,-0.32324455272614283,-0.3175602200076938,-0.3125526664415589,-0.3063820391865085,-0.30079325662996315,-0.2960783575919781,-0.29049619893456746
AMZN,-0.37299060129692546,-0.36842207894307855,-0.3643731235641564,-0.3602116747366298,-0.3550482112806165,-0.3502893216708919,-0.3468148964632275,-0.34369337732970745,-0.33905474390625817,-0.33349965180065255,-0.3282284179857774,-0.32355174341122483,-0.3183966887124029,-0.3158998613564622,-0.310417417444946,-0.3071272868014475,-0.303012068766475,-0.29743280509643777,-0.293816986888466,-0.29014190459702616,-0.2858095582887591,-0.2805188814696574,-0.2775078176788548,-0.27379175167179404
INTC,-0.293956685154183,-0.2864434198011837,-0.27882676802334927,-0.27085630276919187,-0.2618312648602483,-0.2534998326354517,-0.24601770965936642,-0.23896725173950434,-0.23022594010171876,-0.22184029315995635,-0.21371114639888422,-0.20599326128253048,-0.19782241876350304,-0.1912259318386741,-0.182195092846837,-0.1747270608727205,-0.16717704721846127,-0.15932848289272772,-0.15237666933421667,-0.1463391846359997,-0.13820282843768117,-0.13125596987275645,-0.12580668441813203,-0.11875528428887427
AMD,-0.1460805549114168,-0.14676991584865856,-0.15021627325220532,-0.1509129805993646,-0.15299082859326907,-0.15170528422884477,-0.15711275178067308,-0.15982457478536322,-0.16270233783335514,-0.15825438071233144,-0.15505597596816478,-0.15492552193715936,-0.15496502580079552,-0.15485830987105065,-0.14991935659073652,-0.15034603686853198,-0.1495270698486021,-0.14292941144215576,-0.13759431824119595,-0.13395238213132798,-0.12779833577542188,-0.12098585230748216,-0.11655294086155399,-0.11020381174242422
META,-0.0632391511598906,-0.06798346619298462,-0.0737880942291187,-0.07903770401022764,-0.08464413606222232,-0.08941737545357958,-0.0960584916862478,-0.09985845493125795,-0.10401735316854294,-0.10733888365702515,-0.11099549612517134,-0.11310060878548167,-0.11628200073925854,-0.11963010864191503,-0.12295352237432877,-0.12650464893195046,-0.13057239466753323,-0.13200418655578916,-0.1339688140426789,-0.13431868220488663,-0.1373720716421487,-0.13792782470273235,-0.1406995157031572,-0.14367090872589194
TSM,-0.14313533544379425,-0.13691330160788573,-0.130919802146084,-0.12458685044391415,-0.11808717359591892,-0.11147680073777266,-0.10652096761079044,-0.10131909468026162,-0.09532924018906047,-0.08921550305786996,-0.08276203969895723,-0.07647045721598711,-0.07106079180925506,-0.0677378559328039,-0.06075670278919276,-0.05637259432430719,-0.05138952211730441,-0.046147436293100697,-0.04129016419677389,-0.03745093693267021,-0.03268214466733621,-0.028581665401245293,-0.024689451900147152,-0.02051669283005697
IBM,-0.10836781723766592,-0.10337363004612743,-0.09853467294035523,-0.09365951933713162,-0.08768132838898718,-0.08198740568208257,-0.0771134181936241,-0.07249912301716899,-0.0667394929386333,-0.060111993366867345,-0.05343969264939785,-0.04774389719840444,-0.04134821800229671,-0.037105613810029636,-0.029496595785768354,-0.024039500253933865,-0.018561157343541357,-0.012153852149832334,-0.007152761280950881,-0.002547279046301143,0.0037426612504446455,0.00900444068846551,0.013342238386462868,0.019228353525704955
GOOGL,-0.035651959124750665,-0.032172169783266535,-0.02895823474432091,-0.025802947691077827,-0.02147658883155723,-0.018550223201564187,-0.015817392510269257,-0.012904118672360465,-0.009023624612721937,-0.004977826704113342,-0.0003417050346448125,0.003389094262210457,0.007526403682408311,0.009622482889504347,0.013562465930982814,0.015817730919209017,0.01866609245761952,0.02281924155299031,0.025563763661188066,0.028608679328355646,0.03199446139968143,0.03581886429842096,0.037793354543538715,0.04061458932424866
MU,-0.11911933066977126,-0.10815868410399476,-0.09688257128734118,-0.08565976382732537,-0.07306102257209618,-0.06170665189580132,-0.050684709197991396,-0.04094780895879263,-0.029402363188444525,-0.018126880340745888,-0.006768999049556634,0.003224241662035776,0.014073957957659755,0.022335821865259786,0.03414747439793642,0.04357000619536833,0.053563852814955126,0.06308631866278558,0.07204803293602874,0.07945167485676818,0.08942330358298706,0.09788884800598435,0.10527810223001333,0.11401300318286844
CRM,-0.012220246369511023,-0.009074951952345589,-0.007544904838314936,-0.005971338230318313,-0.003676398532249492,-0.0021242031963925045,-0.0022742315812209757,-0.0007463951500222832,0.0013610745716758355,0.0037660638868693974,0.006913449426895979,0.01061626342403793,0.012762279751384498,0.012532171857610741,0.014655480154966705,0.015042350864068854,0.01675618298340431,0.019200921549902494,0.020339132400765125,0.021005619443072554,0.0226532226395586,0.025281839288430863,0.026048589240692754,0.027886166508602206
NOW,-0.03323333687670971,-0.02801583301751215,-0.021987189539232233,-0.01647678434541472,-0.009387178305277966,-0.0040691007209672225,0.0010557647348769517,0.004703839799686027,0.010724435169465474,0.015953239116916207,0.02095594593499006,0.025183407331148433,0.03049701135119104,0.03262093356624063,0.03743206461759008,0.040248948600293266,0.04433818816987162,0.04796429847974615,0.050143444225686395,0.051624613711801715,0.05454582793606699,0.05746415782711023,0.058819957856052096,0.060609240280752874
SAP,-0.03993569986860579,-0.03080343519965212,-0.021716164122445092,-0.012782073542147498,-0.0029101307629608164,0.0060803555811014265,0.014777802255249217,0.0221393127683579,0.03104310343876454,0.039891083290821416,0.049140648330263215,0.057098254565585815,0.06559942461109508,0.07173789575491119,0.0807426966801168,0.08777099827835277,0.09561428291867458,0.10315168265463032,0.11005888344835252,0.11585017406721487,0.12293545112660292,0.12943241007642764,0.13490490763573781,0.14123205754762225
AAPL,-0.03047898322207676,-0.02157306296813788,-0.012641171309337229,-0.0035513801377292653,0.00651210387834833,0.016084720994825497,0.024460414870403735,0.03265666338816742,0.0424393179337777,0.05233441122469673,0.06262335167237842,0.07166388125748474,0.08087906511064452,0.08811908716508554,0.09877823566481159,0.10700272164704555,0.11553508636681653,0.12470172127652851,0.1328186980032542,0.1397045855623733,0.14869332991062945,0.15648262824119274,0.16327720732072315,0.17171438817349255
QCOM,-0.06029571425668451,-0.04759953784348858,-0.034747859716766916,-0.022034414387629986,-0.008261055342297818,0.004386329327424998,0.016350716418548517,0.02715188777392208,0.039685723952137986,0.05173235706382057,0.06376909747847398,0.0747631349828552,0.08603149261634918,0.09513557136551104,0.10708676204999201,0.11671755107467263,0.1271479558107505,0.13706475933598278,0.14628547787952778,0.15450236163576414,0.16458604408724886,0.1737583049553692,0.1817104342456427,0.19058607789364113
ORCL,0.10970753795079899,0.10802235392514342,0.10528019614630735,0.1026093868877716,0.10116790642923418,0.09904004156338608,0.09634836190419693,0.09349089425173568,0.09125655825582701,0.09044084147526399,0.0881502613691299,0.08731923810022074,0.08739930249136008,0.08337114067528228,0.08254527410337159,0.08043974948222604,0.07870912938498015,0.07798353912318312,0.07594299757820228,0.07421924975501681,0.07223488154240809,0.07153591552903638,0.06871476189588877,0.0658775202175449
CSCO,0.015927867742098534,0.02326117176917608,0.030476470953937018,0.03778073076050753,0.045776645672558625,0.05355746650626936,0.05993134074443274,0.06652901682852846,0.07450278616490963,0.08246829462106509,0.09081094533250383,0.09836638606422515,0.10580975224593142,0.11142616062271316,0.12052442596600127,0.12728196966368732,0.13425557842645774,0.14162332244250897,0.14863463913384745,0.15406385187351512,0.16134713175244697,0.16705217175708548,0.17245705656592986,0.17924143312001473
ADBE,0.027297203282559745,0.03416540806806179,0.040839049015972295,0.04746064762212865,0.05499050197617711,0.06191179907170946,0.06793504570198056,0.0738316432823361,0.08119887375770357,0.08850612317765932,0.09629383938872638,0.10340252904585945,0.11038974340773555,0.11490906160259068,0.12278054696033819,0.12834613777860526,0.13473667181937055,0.14152251923479164,0.1471474548476489,0.1522252291148669,0.15830711110667378,0.16429287881923538,0.16902018292577037,0.17487888635222298
TSLA,0.01400520836317748,0.02275562704102152,0.03135910324495794,0.03961514336637567,0.049233985792539736,0.057697884463104365,0.06513087745661195,0.07220079258497014,0.08113135784682601,0.08968874557868589,0.0984916907968093,0.10653605118707843,0.11462348498417624,0.11977648001686192,0.12852496833719074,0.13488921649122304,0.1418812375491098,0.1492920822753211,0.15547866262053295,0.16062632155216172,0.16716519898245485,0.17332496923475893,0.17793268253358763,0.18350018645431726
ASML,0.0320142629040337,0.03903383144636524,0.04493674991469909,0.05188678254309287,0.058709157190524386,0.06642874483340383,0.07142111073384783,0.07607226047588106,0.08201098413055402,0.0902713055301631,0.09796211909112557,0.10392849854043062,0.11032026338099327,0.11559162119450767,0.12468536855239165,0.13030961143812902,0.1368976727195566,0.14478792091916576,0.1520276139662698,0.15799450378324847,0.16668310703135625,0.17393887037395095,0.1803608752180506,0.18835941527874545
ADI,-0.014751511028927189,-0.00293240658714089,0.00906927464855789,0.02080348675833993,0.03397003472707699,0.045853143257594264,0.05722550912306151,0.06711279090114075,0.07922615641925329,0.09081947527834644,0.10270485615819475,0.1131031224208287,0.12421585384019018,0.13256605495588686,0.14445069278533984,0.1538767296399282,0.16426888468860534,0.17408196203274928,0.1829930730981172,0.19029599976103834,0.20021698862653858,0.20888106188657374,0.21626113339688696,0.22513403703639923
AMAT,-0.021085643603628246,-0.00785367291609751,0.005551977263457464,0.018835545241591423,0.03331517317521504,0.0463218811082346,0.05914573461758055,0.07043557092491481,0.08355893738128262,0.09599388595099284,0.10869580847925414,0.11989901373667866,0.13165215813525233,0.14099013079056077,0.15344538823422932,0.16366842123026265,0.1745052700478425,0.1844954722458234,0.1940059088140954,0.2019806063302535,0.2121565596210273,0.2208793448321409,0.22862109064005842,0.23756574479265474
PANW,0.042415159418321524,0.05146082634577093,0.06024943951386752,0.06919635654927542,0.07921428081734488,0.08798540179660647,0.09567741911184074,0.10274767068231383,0.11172278019869375,0.12043922996586293,0.12959008291371177,0.13752139548255293,0.14560584901013662,0.15094694832274325,0.1600923417479867,0.16648523363027146,0.174026632824897,0.18153867528836737,0.18804178988758125,0.19311195328307523,0.20013681377484555,0.20645619944433657,0.21159807171671896,0.21744187140404148
TXN,0.05369808919253183,0.06460378888060253,0.07575620229169616,0.08682278777250713,0.09924927680672602,0.11042555933929649,0.12107964765661605,0.13059560286828698,0.14208591621917738,0.1530791276993244,0.1642510840386439,0.17415589971080508,0.18468423601594408,0.19258263736796277,0.20409540893988465,0.21329260490037744,0.22303379005887258,0.2322483978702496,0.24089891078700587,0.24781396173029524,0.25730943361850533,0.26526353555541365,0.27214838334274133,0.2804592519218383
ADSK,0.07531445516909152,0.08672076314107047,0.09804250139921589,0.10929394074488191,0.12161088310085749,0.1330948963744103,0.14365948260642242,0.15310291184411845,0.164509181561879,0.17556341494638655,0.18702444709460697,0.1972030270568781,0.20760331887108258,0.21565833289086672,0.22729954680132247,0.2363624775314772,0.2464185794862559,0.25600130510635327,0.26492426616129366,0.27213054182369073,0.2819200958312909,0.2900783556832014,0.2973546995908202,0.30632718987290825
STX,0.09227938794722138,0.10248051696216412,0.11283023092770889,0.12323276316687493,0.13491899031103438,0.14556839011619788,0.15572911395010025,0.16470359189414796,0.17522841008137313,0.1859211158104513,0.1966588093636843,0.20608405052239026,0.2163102350400261,0.2239141202687921,0.23543178397696635,0.24434440086361786,0.2537174163231587,0.26275500631817683,0.27140721811597734,0.27805838357867113,0.2879024302882006,0.2954350361289656,0.30245916571007603,0.3111098066740167
LRCX,0.1276021992290738,0.13663193990690292,0.14553650520979308,0.15476303739460756,0.16483228183382656,0.17418407497429297,0.18288625940775505,0.19026981044133448,0.1991662473596436,0.2082169200394985,0.2168415439215287,0.22481007543886788,0.2334519845963899,0.23910718088324168,0.24854399755967893,0.2556714212659835,0.2631844938497989,0.2705358793832682,0.2778728851782342,0.28323330243629674,0.29080007907956934,0.296899830453923,0.3020575006962306,0.308127131306828
KLAC,0.21821233505360374,0.22995502634111759,0.24175030178477774,0.2534442819431907,0.2661185058251475,0.27793022230106856,0.2890870339142141,0.29888774136593965,0.3102805495185692,0.3210993328521571,0.3322146476332052,0.34221086572321346,0.35250751072312614,0.3601330018286994,0.371094925249842,0.37975957121767406,0.3891477399018569,0.397735980194047,0.4060996179166526,0.413029434220197,0.4213975315818709,0.4287976120681921,0.4351605357345031,0.44201088670660743
INTU,0.24217725036340343,0.2545676849517615,0.2669697081972765,0.2792575722286078,0.29286184905339335,0.305160287089389,0.3170661708769408,0.3276931575589538,0.34034608177008974,0.35258767076042447,0.36497752832714747,0.37607939092119264,0.38763730334119084,0.3965349941675396,0.4091237284905084,0.4194221885314245,0.42991610245260437,0.4400205203829839,0.4493700813569736,0.45700386164591417,0.4669977516724364,0.47539970082548283,0.4828677732077274,0.4918302983606156
