Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.37813266223573,-0.3880833787301191,-0.39820713890196235,-0.40781226456574526,-0.4186246633493101,-0.4259051920269734,-0.4363902650258704,-0.4447705335855485,-0.4547518273524678,-0.46171566241424167,-0.4692537689619382,-0.47628792247885227,-0.48413289112561614,-0.4884198690380389,-0.4973569579659954,-0.5054556131704522,-0.5119452315784231,-0.5145086318103688,-0.5202614352028706,-0.5231352271783876,-0.5272673801018348,-0.5280088638950138,-0.5312082079265927,-0.5321438794382426
MSFT,-0.4324415806678354,-0.4351012538578922,-0.4372246642272335,-0.4395728977843083,-0.4416247126082911,-0.4434007309502247,-0.4454207015301245,-0.4471581571239265,-0.4495272291924318,-0.45086719785106977,-0.4535479521277907,-0.45559364390608165,-0.4567360865391132,-0.45824900298834503,-0.46028354339373717,-0.46197547096001135,-0.463913131238033,-0.4648678751686518,-0.46619485914154124,-0.466616518315074,-0.4677291709389555,-0.4678454283870486,-0.46853541415790795,-0.4697376320545822
AMZN,-0.388918469039024,-0.3916832507122546,-0.3948495945180934,-0.3979924054971373,-0.4008248569531751,-0.40384678817716124,-0.40674623720766023,-0.4102223941582359,-0.4135575300711678,-0.41596794642171764,-0.41903936331828123,-0.42191812947545,-0.4242064409583343,-0.42732602197917535,-0.43094184341094727,-0.43440925646513484,-0.43726764719293276,-0.43905612753894674,-0.44245162602231347,-0.4442057564705413,-0.44715669004120606,-0.4475710532267429,-0.44996487424478465,-0.45303318479180876
INTC,-0.30988455289628153,-0.3097045915703598,-0.3093032389772863,-0.3086370335296994,-0.30760791053280695,-0.3070572991417211,-0.30594905040379916,-0.3054962685680328,-0.3047287262666284,-0.30430858778102143,-0.30452209173138806,-0.30435964734675564,-0.30363217100943446,-0.30265209246138725,-0.30271951881283826,-0.3020090305364078,-0.301432625644919,-0.3009518053352367,-0.3010113084680641,-0.30040303650951483,-0.29954996019012814,-0.2983081416298419,-0.2982637409840619,-0.297996717408889
AMD,-0.16200842265351534,-0.17003108761783464,-0.18069274420614234,-0.18869371135987212,-0.1987674742658277,-0.20526275073511413,-0.21704409252510581,-0.22635359161389168,-0.23720512399826477,-0.24072267533339653,-0.24586692130066862,-0.2532919080013845,-0.26077477804672694,-0.2662844704937638,-0.2704437825567378,-0.2776280065322193,-0.28378264827505983,-0.28455273388466473,-0.2862289573750434,-0.2880162340048431,-0.28914546752786885,-0.28803802406456763,-0.28900999742748384,-0.28944524486243894
META,-0.07916701890198913,-0.0912446379621607,-0.10426456518305571,-0.11681843477073517,-0.13042078173478094,-0.14297484195984894,-0.15598983243068054,-0.1663874717597864,-0.17852013933345257,-0.18980717827809024,-0.20180644145767518,-0.21146699484970682,-0.22209175298518996,-0.2310562692646282,-0.24347794834033004,-0.2537866185956378,-0.264827973093991,-0.27362750899829813,-0.28260345317652635,-0.28838253407840175,-0.2987192033945957,-0.3049799964598178,-0.31315657226908705,-0.32291234184590667
TSM,-0.1590632031858928,-0.1601744733770618,-0.16139627310002103,-0.16236758120442168,-0.16386381926847754,-0.16503426724404202,-0.16645230835522318,-0.1678481115087901,-0.1698320263539701,-0.17168379767893505,-0.17357298503146107,-0.17483684328021226,-0.17687054405518648,-0.17916401655551706,-0.18128112875519403,-0.1836545639879945,-0.18564510054376215,-0.18777075873560967,-0.18992480333062134,-0.19151478880618533,-0.19402927641978318,-0.19563383715833077,-0.197146508466077,-0.1997581259500717
IBM,-0.12429568497976445,-0.1266348018153035,-0.12901114389429225,-0.13144025009763916,-0.1334579740615458,-0.13554487218835193,-0.13704475893805684,-0.13902813984569745,-0.14124227910354292,-0.14258028798793243,-0.14425063798190169,-0.1461102832626296,-0.14715797024822813,-0.1485317744327428,-0.15002102175176962,-0.1513214699176212,-0.1528167357699991,-0.1537771745923413,-0.15578740041479833,-0.15661113091981627,-0.15760447050200233,-0.15804773106861997,-0.159114818179467,-0.16001307959430977
AVGO,-0.015927867742098534,-0.02326117176917608,-0.030476470953937018,-0.03778073076050753,-0.045776645672558625,-0.05355746650626936,-0.05993134074443274,-0.06652901682852846,-0.07450278616490963,-0.08246829462106509,-0.09081094533250383,-0.09836638606422515,-0.10580975224593142,-0.11142616062271316,-0.12052442596600127,-0.12728196966368732,-0.13425557842645774,-0.14162332244250897,-0.14863463913384745,-0.15406385187351512,-0.16134713175244697,-0.16705217175708548,-0.17245705656592986,-0.17924143312001473
GOOGL,-0.0515798268668492,-0.055433341552442617,-0.05943470569825793,-0.06358367845158536,-0.06725323450411586,-0.07210768970783354,-0.075748733254702,-0.07943313550088893,-0.08352641077763157,-0.08744612132517843,-0.09115265036714865,-0.0949772918020147,-0.09828334856352311,-0.10180367773320881,-0.10696196003501846,-0.1114642387444783,-0.11558948596883822,-0.11880408088951866,-0.12307087547265938,-0.12545517254515948,-0.12935267035276554,-0.13123330745866452,-0.13466370202239114,-0.13862684379576606
