Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.25383697725596555,-0.2614485769148156,-0.2691959950076701,-0.2763720144681061,-0.2851666892877643,-0.2903603198386215,-0.2993455060878136,-0.30574239373985107,-0.31350954824892485,-0.31913537442630924,-0.3250031309800365,-0.3301776392162227,-0.336974920877388,-0.3398880946052961,-0.34733593621422576,-0.354134143252831,-0.359128495808424,-0.36073145721802746,-0.3644740347880723,-0.3665240962585713,-0.3696629095998325,-0.36996113282639387,-0.3720933897471258,-0.3721307998439328
MSFT,-0.30814589568807094,-0.3084664520425887,-0.30821352033294125,-0.30813264768666915,-0.3081667385467453,-0.30785585876187277,-0.30837594259206763,-0.30813001727822903,-0.3082849500888889,-0.30828690986313734,-0.309297314145889,-0.30948336064345205,-0.30957811629088505,-0.30971722855560224,-0.31026252164196755,-0.31065400104239016,-0.3110963954680339,-0.3110907005763105,-0.3104074587267429,-0.31000538739525774,-0.31012470043695317,-0.30979769731842866,-0.30942059597844096,-0.3097245524602724
AMZN,-0.26462278405925954,-0.2650484488969511,-0.2658384506238012,-0.26655215539949817,-0.2673668828916293,-0.2683019159888093,-0.2697014782696034,-0.27119425431253846,-0.2723152509676249,-0.2733876584337852,-0.27478872533637955,-0.2758078462128204,-0.2770484707101062,-0.27879424754643256,-0.28092082165917764,-0.28308778654751365,-0.28445091142293366,-0.28527895294660544,-0.28666422560751514,-0.287594625550725,-0.28955221953920374,-0.28952332215812293,-0.29085005606531766,-0.293020105197499
INTC,-0.18558886791651708,-0.18306978975505628,-0.18029209508299404,-0.17719678343206025,-0.17414993647126115,-0.17151242695336916,-0.16890429146574232,-0.16646812872233535,-0.16348644716308547,-0.161728299793089,-0.16027145374948637,-0.15824936408412604,-0.15647420076120633,-0.15412031802864445,-0.15269849706106864,-0.15068756061878663,-0.14861588987491992,-0.14717463074289538,-0.1452239080532658,-0.14379190558969857,-0.14194548968812581,-0.14026041056122196,-0.1391489228045949,-0.13798363781457923
AMD,-0.037712737673750885,-0.04339628580253113,-0.051681600311850096,-0.05725346126223296,-0.06530950020428189,-0.0697178785467622,-0.07999933358704897,-0.08732545176819423,-0.09596284489472184,-0.0981423873454641,-0.10161628331876693,-0.10718162473875492,-0.11361680779849881,-0.11775269606102101,-0.12042276080496817,-0.12630653661459812,-0.13096591250506073,-0.13077555929232343,-0.13044155696024506,-0.13140510308502684,-0.13154099702586652,-0.12999029299594766,-0.12989517924801686,-0.12943216526812917
META,0.045128666077775326,0.03539016385314281,0.024746578711236533,0.014621815326903986,0.0030371923267648593,-0.007429969771497014,-0.0189450734926237,-0.027359331914088958,-0.03727786022990964,-0.04722689029015781,-0.05755580347577349,-0.06535671158707723,-0.07493378273696183,-0.0825244948318854,-0.09345692658856042,-0.1024651486780166,-0.11201123732399187,-0.11985033440595683,-0.12681605276172803,-0.1317714031585855,-0.14111473289259335,-0.14693226539119786,-0.15404175408962006,-0.1628992622515969
TSM,-0.034767518206128334,-0.0335396715617583,-0.03238512920572878,-0.03092733110678253,-0.030405845206931736,-0.029489395055690093,-0.029407549417166334,-0.028819971663092636,-0.028589747250427178,-0.029103509691002616,-0.029322347049559383,-0.02872656001758267,-0.029712573806958353,-0.030632242122774267,-0.03126010700342441,-0.032333094070373325,-0.03282836477376305,-0.03399358414326836,-0.03413740291582301,-0.034903657886369066,-0.036424805917780856,-0.0375861060897108,-0.03803169028661002,-0.039745046355761926
AVGO,0.10836781723766592,0.10337363004612743,0.09853467294035523,0.09365951933713162,0.08768132838898718,0.08198740568208257,0.0771134181936241,0.07249912301716899,0.0667394929386333,0.060111993366867345,0.05343969264939785,0.04774389719840444,0.04134821800229671,0.037105613810029636,0.029496595785768354,0.024039500253933865,0.018561157343541357,0.012153852149832334,0.007152761280950881,0.002547279046301143,-0.0037426612504446455,-0.00900444068846551,-0.013342238386462868,-0.019228353525704955
GOOGL,0.07271585811291525,0.0712014602628609,0.06957643819603432,0.0678565716460538,0.06620473955742995,0.06343718248051838,0.06129602568335485,0.05959500434480852,0.05771586832591136,0.055134166662754,0.05309798761475304,0.051132991460614896,0.04887462168470502,0.04672809669953398,0.04305906171675117,0.03985723117314288,0.03722724980116088,0.034973093702822644,0.03271652494213895,0.03115595837465679,0.028251800149236783,0.02681442360995545,0.024451116157075847,0.021386235798543707
MU,-0.010751513432105342,-0.004785054057867333,0.0016521016530140487,0.00799975550980625,0.014620305816891,0.020280753786281247,0.02642870899563271,0.031551314058376356,0.03733712975018877,0.04198511302612146,0.04667069359984122,0.050968138860440215,0.055422175959956466,0.05944143567528942,0.06364407018370477,0.06760950644930219,0.07212501015849648,0.07524017081261791,0.07920079421697962,0.08199895390306933,0.08568064233254241,0.08888440731751884,0.09193586384355046,0.09478464965716349
CRM,0.0961475708681549,0.09429867809378184,0.09098976810204029,0.08768818110681331,0.08400492985673769,0.07986320248569007,0.07483918661240313,0.0717527278671467,0.06810056751030913,0.06387805725373674,0.06035314207629383,0.05836016062244237,0.05411049775368121,0.04963778566764038,0.04415207594073506,0.03908185111800272,0.03531734032694567,0.03135477369973483,0.027491893681716006,0.023552898489373697,0.018910561389113956,0.016277398599965354,0.012706350854229886,0.00865781298289725
NOW,0.07513448036095621,0.07535779702861528,0.076547483401123,0.0771827349917169,0.07829415008370921,0.07791830496111535,0.07816918292850106,0.07720296281685501,0.07746392810809877,0.07606523248378355,0.07439563858438791,0.07292730452955287,0.07184522935348775,0.06972654737627026,0.06692866040335843,0.06428844885422713,0.06289934551341297,0.06011815062957848,0.05729620550663728,0.05417189275810286,0.05080316668562235,0.04845971713864472,0.04547771946958923,0.04138088675504792
SAP,0.06843211736906013,0.07257019484647531,0.07681850881791014,0.08087744579498413,0.08477119762602636,0.088067761263184,0.09189122044887332,0.09463843578552689,0.09778259637739783,0.10000307665768876,0.10258034097966107,0.10484215176399025,0.10694764261339179,0.10884350956494082,0.11023929246588515,0.11181049853228664,0.11417544026221593,0.11530553480446265,0.1172116447293034,0.11839745311351602,0.11919278987615828,0.12042796938796213,0.12156266924927495,0.12200370402191729
AAPL,0.07788883401558916,0.08180056707798955,0.085893501631018,0.09010813919940236,0.09419343226733551,0.09807212667690807,0.10157383306402784,0.1051557864053364,0.10917881087241099,0.11244640459156408,0.11606304432177628,0.11940777845588918,0.12222728311294123,0.12522470097511518,0.12827483145057994,0.13104222190097942,0.1340962437103579,0.13685557342636084,0.13997145928420507,0.14225186460867445,0.1449506686601848,0.14747818755272724,0.14993496893426028,0.1524860346477876
QCOM,0.04807210298098141,0.05577409220263885,0.06378681322358831,0.07162510494950164,0.07942027304668936,0.08637373500950757,0.09346413461217262,0.09965101079109107,0.10642521689077128,0.11184435043068791,0.11720879012787183,0.12250703218125963,0.1273797106186459,0.13224118517554068,0.13658335783576037,0.1407570513286065,0.14570911315429186,0.1492186114858151,0.15343823916047866,0.15704964068206528,0.16084338283680422,0.1647538642669037,0.16836819585917984,0.17135772436793617
ORCL,0.2180753551884649,0.21139598397127085,0.20381486908666258,0.19626890622490323,0.18884923481822136,0.18102744724546865,0.17346178009782104,0.16599001726890467,0.1579960511944603,0.15055283484213133,0.14158995401852775,0.13506313529862518,0.1287475204936568,0.12047675448531192,0.11204186988913994,0.10447924973615991,0.0972702867285215,0.09013739127301545,0.08309575885915316,0.07676652880131796,0.06849222029196345,0.06253147484057087,0.0553725235094259,0.04664916669183994
CSCO,0.12429568497976445,0.1266348018153035,0.12901114389429225,0.13144025009763916,0.1334579740615458,0.13554487218835193,0.13704475893805684,0.13902813984569745,0.14124227910354292,0.14258028798793243,0.14425063798190169,0.1461102832626296,0.14715797024822813,0.1485317744327428,0.15002102175176962,0.1513214699176212,0.1528167357699991,0.1537771745923413,0.15578740041479833,0.15661113091981627,0.15760447050200233,0.15804773106861997,0.159114818179467,0.16001307959430977
ADBE,0.13566502052022567,0.13753903811418922,0.13937372195632752,0.14112016695926027,0.1426718303651643,0.14389920475379203,0.14504846389560466,0.1463307662995051,0.14793836669633686,0.14861811654452667,0.14973353203812423,0.1511464262442639,0.15173796141003226,0.15201467541262031,0.15227714274610654,0.15238563803253913,0.1532978291629119,0.15367637138462398,0.1543002161285998,0.15477250816116805,0.15456444985622914,0.15528843813076987,0.1556779445393075,0.15565053282651803
TSLA,0.1223730256008434,0.12612925708714895,0.12989377618531317,0.1332746627035073,0.13691531418152691,0.13968529014518694,0.14224429565023605,0.14469991560213913,0.1478708507854593,0.14980073894555324,0.15193138344620716,0.15427994838548287,0.15597170298647295,0.15688209382689156,0.1580215641229591,0.1589287167451569,0.16044239489265116,0.16144593442515343,0.16263142390148383,0.16317360059846286,0.1634225377320102,0.16432052854629342,0.16459044414712476,0.1642718329286123
ASML,0.14038208014169962,0.14240746149249267,0.14347142285505432,0.1455463018802245,0.14639048557951156,0.1484161505154864,0.14853452892747193,0.14857138349305005,0.14875047706918731,0.15038329889703045,0.15140181174052342,0.15167239573883506,0.15166848138328998,0.1526972350045373,0.15418196433816,0.1543491116920629,0.15545883006309796,0.1569417730689981,0.15918037524722067,0.16054178282954962,0.1629404457809116,0.16493442968548544,0.16701863683158774,0.1691310617530405
ADI,0.09361630620873873,0.10044122345898654,0.10760394758891312,0.11446300609547155,0.12165136311606417,0.12784054893967683,0.13433892731668562,0.13961191391830974,0.14596564935788658,0.15093146864521378,0.1561445488075926,0.16084701961923314,0.1655640718424869,0.1696716687659165,0.1739472885711082,0.17791622989386208,0.1828300420321467,0.18623581418258162,0.19014583437906807,0.19284327880733948,0.19647432737609394,0.19987662119810823,0.2029188950104241,0.20590568351069427
AMAT,0.08728217363403767,0.09551995713002992,0.10408665020381269,0.11249506457872305,0.12099650156420222,0.12830928679031717,0.13625915281120465,0.1429346939420838,0.1502984303199159,0.15610587931786019,0.162135501128652,0.1676429109350831,0.17300037613754904,0.1780957446005904,0.18294198401999767,0.18770792148419652,0.19306642739138385,0.19664932439565574,0.2011586700950463,0.20452788537655464,0.20841389837058266,0.21187490414367538,0.21527885225359555,0.2183373912669498
PANW,0.15078297665598744,0.15483445639189836,0.15878411245422275,0.16285587588640704,0.16689560920633206,0.16997280747868904,0.17279083730546485,0.17524679369948282,0.17846227313732704,0.18055122333273027,0.18302977556310962,0.18526529268095737,0.18695406701243333,0.18805256213277288,0.18958893753375505,0.19052473388420532,0.19258779016843836,0.1936925274381997,0.19519455116853213,0.19565923232937638,0.1963941525244009,0.19745175875587107,0.1982558333302561,0.19821351787833652
TXN,0.16206590643019775,0.16797741892672996,0.1742908752320514,0.18048230710963875,0.1869306051957132,0.19241296502137906,0.19819306585024016,0.20309472588545596,0.20882540915781067,0.21319112106619176,0.21769077668804176,0.22189979690920952,0.2260324540182408,0.2296882511779924,0.233592004725653,0.2373321051543113,0.24159494740241394,0.24440225002008192,0.24805167206795675,0.2503612407765964,0.2535667723680607,0.25625909486694814,0.25880614495627846,0.26123089839613334
ADSK,0.18368227240675744,0.1900943931871979,0.19657717433957111,0.20295346008201354,0.20929221148984467,0.21508230205649287,0.22077290080004652,0.22560203486128744,0.23124867450051229,0.2356754083132539,0.24046413974400482,0.24494692425528253,0.2489515368733793,0.25276394670089636,0.2567961425870908,0.2604019777854111,0.26497973682979725,0.2681551572561856,0.27207702744224455,0.2746778208699919,0.27817743458084626,0.2810739149947359,0.28401246120435736,0.2870988363472033
STX,0.2006472051848873,0.20585414700829155,0.2113649038680641,0.21689228250400655,0.22260031870002156,0.22755579579828045,0.23284253214372436,0.23720271491131695,0.24196790302000643,0.24603310917731863,0.25009850201308215,0.2538279477207947,0.2576584530423228,0.26101973407882173,0.2649283797627347,0.2683839011175517,0.27227857366670005,0.27490885846800917,0.2785599793969282,0.2806056626249723,0.28415976903775597,0.2864305954405001,0.28911692732361316,0.29188145314831176
LRCX,0.2359700164667397,0.24000556995303035,0.2440711781501483,0.24842255673173919,0.2525136102228137,0.2561714806563755,0.25999967760137915,0.2627689334585035,0.2659057402982769,0.26832891340636583,0.27028123657092656,0.2725539726372723,0.27480020259868665,0.2762127946932713,0.2780405933454473,0.2797109215199174,0.2817456511933403,0.2826897315331005,0.2850256464591851,0.2857805814825979,0.2870574178291247,0.2878953897654575,0.28871526230976774,0.28889877778112305
KLAC,0.3265801522912697,0.333328656387245,0.34028497472513297,0.34710380128032225,0.35379983421413475,0.3599176279831512,0.36620045210783814,0.37138686438310864,0.37702004245720244,0.3812113262190244,0.38565434028260304,0.3899547629216179,0.39385572872542285,0.39723861563872903,0.40059152103561035,0.40379907147160793,0.40770889724539827,0.4098898323438793,0.4132523791976035,0.41557671326649814,0.41765487033142623,0.4197931713797266,0.4218182973480402,0.4227825331809025
INTU,0.35054506760106935,0.35794131499788895,0.36550438113763173,0.3729170915657395,0.38054317744238053,0.3871476927714716,0.39417958907056483,0.40019228057612277,0.4070855747087231,0.4126996641272918,0.4184172209765453,0.4238232881195971,0.42898552134348755,0.43364060797756926,0.43862032427627673,0.44346168878535835,0.4484772597961457,0.4521743725328162,0.4565228426379245,0.4595511406922153,0.46325509042199176,0.4663952601370173,0.4695255348212645,0.47260194483491064
