Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.06824810933944847,-0.07837878715975932,-0.08890389992467607,-0.09917523103604586,-0.11101675281650314,-0.11884789288525233,-0.13044121462207126,-0.13927426501751572,-0.15002310108583938,-0.15740707463322023,-0.16473167723055016,-0.17192827513209663,-0.18050072011618168,-0.18576777657665167,-0.19463743915315712,-0.20344658263404436,-0.21051260593350407,-0.21355682647513208,-0.21925012673480648,-0.22273219066887273,-0.2277174199117067,-0.2297007222651719,-0.2329444669425309,-0.2341471620293536
MSFT,-0.12255702777155386,-0.12539666228753243,-0.1279214252499472,-0.1309358642546089,-0.13401680207548416,-0.1363434318085036,-0.1394716511263253,-0.14166188855589368,-0.14479850292580343,-0.14655861007004833,-0.14902586039640264,-0.151233996559326,-0.15310391552967872,-0.1555969105269578,-0.1575640245808989,-0.15996644042360353,-0.162480505593114,-0.1639160698334151,-0.16518355067347712,-0.16621348180555917,-0.16817921074882736,-0.1695372867572067,-0.17027167317384606,-0.1717409146456932
AMZN,-0.07903391614274247,-0.08197865914189484,-0.08554635554080714,-0.08935537196743792,-0.09321694642036815,-0.09678948903544016,-0.10079718680386107,-0.10472612559020311,-0.10882880380453941,-0.1116593586406962,-0.11451727158689318,-0.11755848212869435,-0.12057426994889986,-0.1246739295177881,-0.128222324598109,-0.13240022592872702,-0.13583502154801375,-0.13810432220371005,-0.14144031755424935,-0.14380271996102645,-0.14760672985107792,-0.14926291159690097,-0.15170113326072276,-0.15503646738291976
AMD,0.1478761302427662,0.13967350395252515,0.12861049477114395,0.11994332216982728,0.10884043626697926,0.10179454840660696,0.08890495787869335,0.07914267695414112,0.06752360226836363,0.0635859124476249,0.05865517043071944,0.05106773934537112,0.04285739296270752,0.03636762196762344,0.032275736256100473,0.024381024004188512,0.017649977369859182,0.016399071450571956,0.01478235109302073,0.012386802504671723,0.01040449266225929,0.010270117565274295,0.009253743556578042,0.008551472546450056
META,0.2307175339942924,0.2184599536081991,0.20503867379423057,0.19181859875896423,0.177187128798026,0.16408245718187214,0.14995921797311862,0.1391087968082464,0.12620858693317583,0.1145014095029312,0.10271565027371288,0.09289265249704881,0.0815404180242445,0.07159582319675906,0.05924157047250822,0.04822241194077004,0.03660465255092804,0.02732429633693856,0.018407855291537767,0.012020502431113078,0.0008307567955324613,-0.006671854829975898,-0.014892831285025165,-0.02491562443701767
TSM,0.15082134971038874,0.14953011819329798,0.14790696587726526,0.14626945232527772,0.1437440912643294,0.14202303189767906,0.13949674204857598,0.13764815705924272,0.1348966999126583,0.1326247901020864,0.130949106699927,0.12952280406654337,0.12676162695424797,0.12348807590587019,0.12143839005764423,0.1183544665484133,0.11578752510115686,0.11318104659962702,0.11108650513744278,0.1088882477033295,0.10552068377034496,0.10267430447151116,0.10111723251798488,0.0982385914588173
IBM,0.18558886791651708,0.18306978975505628,0.18029209508299404,0.17719678343206025,0.17414993647126115,0.17151242695336916,0.16890429146574232,0.16646812872233535,0.16348644716308547,0.161728299793089,0.16027145374948637,0.15824936408412604,0.15647420076120633,0.15412031802864445,0.15269849706106864,0.15068756061878663,0.14861588987491992,0.14717463074289538,0.1452239080532658,0.14379190558969857,0.14194548968812581,0.14026041056122196,0.1391489228045949,0.13798363781457923
AVGO,0.293956685154183,0.2864434198011837,0.27882676802334927,0.27085630276919187,0.2618312648602483,0.2534998326354517,0.24601770965936642,0.23896725173950434,0.23022594010171876,0.22184029315995635,0.21371114639888422,0.20599326128253048,0.19782241876350304,0.1912259318386741,0.182195092846837,0.1747270608727205,0.16717704721846127,0.15932848289272772,0.15237666933421667,0.1463391846359997,0.13820282843768117,0.13125596987275645,0.12580668441813203,0.11875528428887427
GOOGL,0.25830472602943233,0.25427125001791717,0.24986853327902836,0.24505335507811404,0.2403546760286911,0.23494960943388754,0.23020031714909717,0.22606313306714387,0.22120231548899683,0.216862466455843,0.2133694413642394,0.20938235554474094,0.20534882244591135,0.20084841472817844,0.1957575587778198,0.1905447917919295,0.1858431396760808,0.18214772444571803,0.17794043299540474,0.17494786396435535,0.1701972898373626,0.1670748341711774,0.16360003896167075,0.15936987361312294
MU,0.17483735448441173,0.17828473569718895,0.1819441967360081,0.1851965389418665,0.18877024228815215,0.1917931807396504,0.19533300046137503,0.1980194427807117,0.20082357691327424,0.20371341281921046,0.2069421473493276,0.20921750294456626,0.2118963767211628,0.21356175370393388,0.2163425672447734,0.21829706706808882,0.2207409000334164,0.2224148015555133,0.2244247022702454,0.2257908594927679,0.22762613202066823,0.2291448178787408,0.23108478664814536,0.23276828747174272
CRM,0.28173643878467197,0.2773684678488381,0.27128186318503433,0.26488496453887356,0.25815486632799883,0.2513756294390592,0.24374347807814545,0.23822085658948206,0.2315870146733946,0.22560635704682575,0.2206245958257802,0.2166095247065684,0.21058469851488754,0.20375810369628483,0.1968505730018037,0.18976941173678935,0.18393323020186558,0.1785294044426302,0.1727158017349818,0.16734480407907226,0.16085605107723977,0.1565378091611873,0.15185527365882479,0.14664145079747648
NOW,0.2607233482774733,0.25842758678367156,0.25683957848411704,0.25437951842377715,0.25244408655497036,0.2494307319144845,0.24707347439424338,0.24367109153919037,0.24095037527118424,0.23779353227687255,0.23466709233387428,0.23117666861367892,0.22831943011469408,0.22384686540491472,0.21962715746442707,0.21497600947301376,0.2115152353883329,0.20729278137247387,0.20252011355990307,0.19796379834780142,0.19274865637374816,0.18872012769986668,0.18462664227418413,0.17936452456962715
SAP,0.2540209852855772,0.2556399846015316,0.2571106039009042,0.25807422922704437,0.2589211340972875,0.25958018821655315,0.26079551191461564,0.26110656450786224,0.2612690435404833,0.26173137645077776,0.26285179472914744,0.2630915158481163,0.2634218433745981,0.2629638275935853,0.2629377895269538,0.26249805915107327,0.26279133013713585,0.26248016554735804,0.2624355527825692,0.2621893587032146,0.2611382795642841,0.2606883799491841,0.26071159205386985,0.2599873418364965
AAPL,0.26347770193210623,0.26487035683304583,0.26618559671401204,0.2673049226314626,0.26834336873859665,0.2695845536302772,0.27047812452977016,0.27162391512767176,0.27266525803549646,0.2741747043846531,0.27633449807126265,0.2776571425400152,0.27870148387414756,0.27934501900375963,0.2809733285116486,0.28172978251976605,0.2827121335852778,0.28403020416925623,0.28519536733747086,0.286043770198373,0.2868961583483106,0.2877385981139492,0.2890838917388552,0.2904696724623668
