Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.604382044857035,-0.6193898919127045,-0.6347003761453018,-0.6492891060338456,-0.6657098667301449,-0.6775080126100931,-0.6935250951583785,-0.7059346743159739,-0.7205951229576479,-0.7318350385536011,-0.7434203519565818,-0.7540009273358197,-0.7659604422208756,-0.7735287025828654,-0.7859562604905025,-0.7975958320381893,-0.8076057556045697,-0.8129058297508437,-0.8209968774259968,-0.8260752369507867,-0.8329180000218243,-0.8363563929634112,-0.8416189245683903,-0.8447327446788435
MSFT,-0.6586909632891403,-0.6664077670404777,-0.673717901470573,-0.6810497392524086,-0.6887099159891259,-0.6950035515333444,-0.7025555316626325,-0.7083222978543519,-0.715370524797612,-0.7209865739904292,-0.7277145351224343,-0.7333066487630491,-0.7385636376343726,-0.7433578365331714,-0.7488828459182443,-0.7541156898277486,-0.7595736552641796,-0.7632650731091267,-0.7669303013646673,-0.769556528087473,-0.7733797908589449,-0.776192957455446,-0.7789461307997054,-0.7823264972951831
AMZN,-0.615167851660329,-0.6229897638948401,-0.6313428317614329,-0.6394692469652377,-0.6479100603340099,-0.6554496087602809,-0.6638810673401683,-0.6713865348886613,-0.679400825676348,-0.6860873225610771,-0.6932059463129249,-0.6996311343324175,-0.7060339920535937,-0.7124348555240019,-0.7195411459354544,-0.7265494753328721,-0.7329281712190794,-0.7374533254794217,-0.7431870682454396,-0.7471457662429404,-0.7528073099611955,-0.7559185822951403,-0.7603755908865821,-0.7656220500324096
INTC,-0.5361339355175865,-0.5410111047529452,-0.5457964762206258,-0.5501138749977997,-0.5546931139136417,-0.5586601197248408,-0.5630838805363072,-0.5666604092984582,-0.5705720218718086,-0.5744279639203809,-0.5786886747260317,-0.5820726522037232,-0.5854597221046939,-0.5877609260062138,-0.5913188213373454,-0.5941492494041449,-0.5970931496710656,-0.5993490032757116,-0.6017467506911902,-0.6033430462819138,-0.6052005801101176,-0.6066556706982393,-0.6086744576258594,-0.6105855826494899
AMD,-0.38825780527482023,-0.4013376008004201,-0.4171859814494818,-0.43017055282797245,-0.4458526776466624,-0.4568655713182338,-0.47417892265761385,-0.48751773234431706,-0.5030484196034449,-0.510842051472756,-0.5200335042953123,-0.531004912858352,-0.5426023291419864,-0.5513933040385903,-0.5590430850812449,-0.5697682253999565,-0.5794431723012065,-0.5829499318251397,-0.5869643995981695,-0.5909562437772422,-0.5947960874478583,-0.596385553132965,-0.5994207140692813,-0.6020341101030398
META,-0.305416401523294,-0.32255115114474614,-0.3407578024263952,-0.3582952762388355,-0.37750598511561567,-0.3945776625429686,-0.4131246625631886,-0.4275516124902118,-0.44436343493863273,-0.4599265544174496,-0.4759730244523188,-0.4891799997066743,-0.5039193040804494,-0.5161651028094547,-0.5320772508648371,-0.545926837463375,-0.5604884971201376,-0.572024706938773,-0.5833388953996526,-0.5913225438508007,-0.6043698233145851,-0.6133275255282152,-0.6235672889108845,-0.6355012070865076
TSM,-0.3853125858071977,-0.39148098655964725,-0.3978895103433605,-0.40384442267252196,-0.41094902264931227,-0.4166370878271617,-0.4235871384877312,-0.42901225223921546,-0.43567532195915026,-0.4418031738182944,-0.4477395680261047,-0.45254984813717974,-0.4586980951504459,-0.4642728501003435,-0.46988043127970114,-0.4757947828557317,-0.4813056245699088,-0.4861679566760846,-0.4906602455537475,-0.4944547985785844,-0.4996798963397726,-0.5039813662267282,-0.5075572251078745,-0.5123469911906726
IBM,-0.35054506760106935,-0.35794131499788895,-0.36550438113763173,-0.3729170915657395,-0.38054317744238053,-0.3871476927714716,-0.39417958907056483,-0.40019228057612277,-0.4070855747087231,-0.4126996641272918,-0.4184172209765453,-0.4238232881195971,-0.42898552134348755,-0.43364060797756926,-0.43862032427627673,-0.44346168878535835,-0.4484772597961457,-0.4521743725328162,-0.4565228426379245,-0.4595511406922153,-0.46325509042199176,-0.4663952601370173,-0.4695255348212645,-0.47260194483491064
AVGO,-0.24217725036340343,-0.2545676849517615,-0.2669697081972765,-0.2792575722286078,-0.29286184905339335,-0.305160287089389,-0.3170661708769408,-0.3276931575589538,-0.34034608177008974,-0.35258767076042447,-0.36497752832714747,-0.37607939092119264,-0.38763730334119084,-0.3965349941675396,-0.4091237284905084,-0.4194221885314245,-0.42991610245260437,-0.4400205203829839,-0.4493700813569736,-0.45700386164591417,-0.4669977516724364,-0.47539970082548283,-0.4828677732077274,-0.4918302983606156
GOOGL,-0.2778292094881541,-0.28673985473502805,-0.2959279429415974,-0.30506051991968564,-0.3143384378849506,-0.3237105102909532,-0.33288356338721004,-0.3405972762313143,-0.34936970638281173,-0.3575654974645378,-0.3653192333617923,-0.3726902966589822,-0.38011089965878253,-0.3869125112780353,-0.3955612625595255,-0.4036044576122155,-0.41125000999498484,-0.4172012788299936,-0.42380631769578553,-0.4283951823175585,-0.43500329027275497,-0.43958083652706187,-0.4450744186641887,-0.45121570903636693
