Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.5804171295472352,-0.5947772333020606,-0.6094809697328031,-0.6234758157484284,-0.638966523501899,-0.6502779478217726,-0.6655459581956518,-0.6771292581229597,-0.6905295907061273,-0.7003467006453337,-0.7106574712626396,-0.7201324021378406,-0.7308306496028109,-0.7371267102440251,-0.7479274572498361,-0.7579332147244389,-0.7668373930538223,-0.7706212895619068,-0.7777264139856758,-0.7821008095250694,-0.7873177799312587,-0.7897543042061205,-0.793911687095166,-0.7949133330248352
MSFT,-0.6347260479793406,-0.6417951084298337,-0.6484984950580742,-0.6552364489669914,-0.66196657276088,-0.6677734867450239,-0.6745763946999058,-0.6795168816613376,-0.6853049925460913,-0.6894982360821618,-0.694951654428492,-0.69943812356507,-0.7034338450163079,-0.7069558441943313,-0.7108540426775779,-0.7144530725139981,-0.7188052927134322,-0.7209805329201898,-0.7236598379243464,-0.7255821006617559,-0.7277795707683794,-0.7295908686981553,-0.7312388933264812,-0.7325070856411748
AMZN,-0.5912029363505292,-0.5983771052841961,-0.6061234253489342,-0.6136559566798204,-0.621166717105764,-0.6282195439719604,-0.6359019303774416,-0.642581118695647,-0.6493352934248273,-0.6545989846528096,-0.6604430656189826,-0.6657626091344383,-0.670904199435529,-0.6760328631851615,-0.681512342694788,-0.6868868580191216,-0.6921598086683319,-0.6951687852904848,-0.6999166048051186,-0.7031713388172232,-0.70720708987063,-0.7093164935378495,-0.7126683534133579,-0.7158026383784015
INTC,-0.5121690202077868,-0.5163984461423012,-0.520577069808127,-0.5243005847123825,-0.5279497706853958,-0.5314300549365203,-0.5351047435735805,-0.5378549931054439,-0.5405064896202879,-0.5429396260121134,-0.5459257940320894,-0.548204127005744,-0.5503299294866292,-0.5513589336673734,-0.553290018096679,-0.5544866320903945,-0.5563247871203182,-0.5570644630867747,-0.5584762872508693,-0.5593686188561967,-0.559600360019552,-0.5600535819409486,-0.5609672201526351,-0.5607661709954816
AMD,-0.3642928899650205,-0.37672494218977615,-0.39196657503698307,-0.4043572625425552,-0.4191093344184166,-0.42963550652991334,-0.44619978569488716,-0.4587123161513028,-0.4729828873519243,-0.4793537135644885,-0.48727062360136997,-0.4971363876603728,-0.5074725365239217,-0.51499131169975,-0.5210142818405785,-0.5301056080862061,-0.538674809750459,-0.5406653916362028,-0.5436939361578486,-0.546981816351525,-0.5491958673572928,-0.5497834643756743,-0.5517134765960571,-0.5522146984490317
META,-0.28145148621349436,-0.2979384925341022,-0.31553839601389644,-0.33248198595341827,-0.35076264188736983,-0.3673475977546482,-0.3851455256004619,-0.39874619629719754,-0.4142979026871121,-0.42843821650918223,-0.44321014375837653,-0.45531147450869514,-0.4687895114623847,-0.47976311047061443,-0.4940484476241708,-0.5062642201496246,-0.5197201345693901,-0.5297401667498361,-0.5400684319593315,-0.5473481164250836,-0.5587696032240196,-0.5667254367709245,-0.5758600514376603,-0.5856817954324993
TSM,-0.361347670497398,-0.3668683279490033,-0.37267010393086175,-0.37803113238710484,-0.3842056794210664,-0.3894070230388412,-0.3956080015250045,-0.4002068360462012,-0.4056097897076296,-0.41031483591002704,-0.4149766873321624,-0.4186813229392006,-0.4235683025323812,-0.4278708577615033,-0.43185162803903476,-0.43613216554198125,-0.4405372620191613,-0.4438834164871477,-0.4473897821134265,-0.4504803711528672,-0.4540796762492071,-0.4573792774694374,-0.45984998763465024,-0.4625275795366644
IBM,-0.3265801522912697,-0.333328656387245,-0.34028497472513297,-0.34710380128032225,-0.35379983421413475,-0.3599176279831512,-0.36620045210783814,-0.37138686438310864,-0.37702004245720244,-0.3812113262190244,-0.38565434028260304,-0.3899547629216179,-0.39385572872542285,-0.39723861563872903,-0.40059152103561035,-0.40379907147160793,-0.40770889724539827,-0.4098898323438793,-0.4132523791976035,-0.41557671326649814,-0.41765487033142623,-0.4197931713797266,-0.4218182973480402,-0.4227825331809025
AVGO,-0.21821233505360374,-0.22995502634111759,-0.24175030178477774,-0.2534442819431907,-0.2661185058251475,-0.27793022230106856,-0.2890870339142141,-0.29888774136593965,-0.3102805495185692,-0.3210993328521571,-0.3322146476332052,-0.34221086572321346,-0.35250751072312614,-0.3601330018286994,-0.371094925249842,-0.37975957121767406,-0.3891477399018569,-0.397735980194047,-0.4060996179166526,-0.413029434220197,-0.4213975315818709,-0.4287976120681921,-0.4351605357345031,-0.44201088670660743
GOOGL,-0.25386429417835443,-0.2621271961243841,-0.27070853652909865,-0.2792472296342685,-0.28759509465670474,-0.29648044550263275,-0.30490442642448334,-0.31179186003830006,-0.3193041741312911,-0.3260771595562705,-0.33255635266785,-0.338821771461003,-0.3449811070407178,-0.35051051893919505,-0.35753245931885924,-0.36394184029846505,-0.3704816474442374,-0.3749167386410567,-0.38053585425546455,-0.38442075489184135,-0.38940307018218945,-0.39297874776977115,-0.39736718119096437,-0.40139629738235877
