Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.48980699372270525,-0.501454146867846,-0.5132671731578184,-0.5247945711998453,-0.537680299510578,-0.546531800494997,-0.5593451836891927,-0.5685113271983545,-0.5794152885472017,-0.587464287832675,-0.5952843675509631,-0.602731611853495,-0.6117751234760747,-0.6161008892985674,-0.625376529559673,-0.6338450647727484,-0.6408741470017643,-0.643421188751128,-0.6494996812472573,-0.6523046777411692,-0.6567203274289573,-0.6578565225918513,-0.6608086520568935,-0.6610295776250559
MSFT,-0.5441159121548107,-0.5484720219956191,-0.5522846984830896,-0.5565552044184083,-0.5606803487695591,-0.5640273394182483,-0.5683756201934468,-0.5708989507367325,-0.5741906903871659,-0.5766158232695031,-0.5795785507168156,-0.5820373332807244,-0.5843783188895717,-0.5859300232488736,-0.5883031149874148,-0.5903649225623075,-0.5928420466613742,-0.593780432109411,-0.5954331051859281,-0.5957859688778556,-0.5971821182660779,-0.5976930870838861,-0.5981358582882087,-0.5986233302413955
AMZN,-0.5005928005259992,-0.5050540188499815,-0.5099096287739495,-0.5149747121312374,-0.5198804931144431,-0.5244733966451849,-0.5297011558709825,-0.5339631877710419,-0.5382209912659017,-0.5417165718401511,-0.545069961907306,-0.5483618188500927,-0.5518486733087928,-0.5550070422397039,-0.5589614150046249,-0.562798708067431,-0.5661965626162739,-0.5679686844797059,-0.5716898720667003,-0.5733752070333229,-0.5766096373683285,-0.5774187119235804,-0.5795653183750854,-0.581918882978622
INTC,-0.4215588843832568,-0.42307535970808663,-0.4243632732331424,-0.42561934016379943,-0.4266635466940749,-0.42768390760974473,-0.42890396906712147,-0.4292370621808388,-0.4293921874613624,-0.43005721319945484,-0.43055269032041293,-0.43080333672139837,-0.431274403359893,-0.43033311272191577,-0.4307390904065159,-0.430398482138704,-0.4303615410682602,-0.4298643622759959,-0.4302495545124509,-0.42957248707229645,-0.4290029075172505,-0.42815580032667944,-0.42786418511436264,-0.4268824155957023
AMD,-0.2736827541404906,-0.2834018557555615,-0.29575277846199843,-0.30567601799397215,-0.31782311042709566,-0.3258893592031378,-0.3399990111884281,-0.35009438522669767,-0.36186858519299875,-0.36647130075182993,-0.3718975198896935,-0.37973559737602725,-0.38841701039718546,-0.3939654907542923,-0.39846335415041545,-0.4060174581345155,-0.412711563698401,-0.41346529082542394,-0.41546720341943016,-0.4171856845676247,-0.4185984148549912,-0.41788568276140514,-0.4186104415577846,-0.4183309430492522
META,-0.19084135038896438,-0.20461540609988754,-0.21932459943891178,-0.2338007414048352,-0.24947641789604888,-0.26360145042787253,-0.27894475109400285,-0.2901282653725924,-0.30318360052818655,-0.31555580369652364,-0.32783704004670006,-0.33791068422434956,-0.3497339853356485,-0.3587372895251567,-0.3714975199340077,-0.382176070197934,-0.39375688851733215,-0.40254006593905733,-0.4118416992209131,-0.41755198464118337,-0.42817215072171805,-0.43482765515665533,-0.4427570163993878,-0.45179804003271995
TSM,-0.27073753467286804,-0.27354524151478865,-0.2764563073558771,-0.2793498878385217,-0.2829194554297455,-0.28566087571206566,-0.2894072270185455,-0.2915889051215961,-0.2944954875487041,-0.29743242309736845,-0.29960358362048595,-0.301280532654855,-0.304512776405645,-0.3068450368160456,-0.3093007003488717,-0.3120440155902907,-0.3145740159671033,-0.31668331567636887,-0.3191630493750081,-0.32068423936896695,-0.32348222374690555,-0.3254814958551683,-0.32674695259637776,-0.328643824136885
IBM,-0.2359700164667397,-0.24000556995303035,-0.2440711781501483,-0.24842255673173919,-0.2525136102228137,-0.2561714806563755,-0.25999967760137915,-0.2627689334585035,-0.2659057402982769,-0.26832891340636583,-0.27028123657092656,-0.2725539726372723,-0.27480020259868665,-0.2762127946932713,-0.2780405933454473,-0.2797109215199174,-0.2817456511933403,-0.2826897315331005,-0.2850256464591851,-0.2857805814825979,-0.2870574178291247,-0.2878953897654575,-0.28871526230976774,-0.28889877778112305
AVGO,-0.1276021992290738,-0.13663193990690292,-0.14553650520979308,-0.15476303739460756,-0.16483228183382656,-0.17418407497429297,-0.18288625940775505,-0.19026981044133448,-0.1991662473596436,-0.2082169200394985,-0.2168415439215287,-0.22481007543886788,-0.2334519845963899,-0.23910718088324168,-0.24854399755967893,-0.2556714212659835,-0.2631844938497989,-0.2705358793832682,-0.2778728851782342,-0.28323330243629674,-0.29080007907956934,-0.296899830453923,-0.3020575006962306,-0.308127131306828
GOOGL,-0.16325415835382445,-0.16880410969016946,-0.174494739954114,-0.1805659850856854,-0.1863088706653838,-0.19273429817585716,-0.1987036519180243,-0.20317392911369495,-0.20818987197236555,-0.21319474674361183,-0.21718324895617352,-0.22142098117665743,-0.2259255809139816,-0.22948469799373733,-0.23498153162869612,-0.2398536903467745,-0.2445184013921794,-0.24771663783027786,-0.25230912151704615,-0.2546246231079411,-0.2588056176798879,-0.261080966155502,-0.2642641461526919,-0.26751254198257934
