Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.29896564333374087,-0.2968387407679584,-0.29394257371890664,-0.2909938297950101,-0.28820388161452914,-0.28293035006712447,-0.2804004325951899,-0.2783830618257621,-0.2762316880190152,-0.27190848413615143,-0.26744732750426303,-0.26482092762914544,-0.2620411381404262,-0.2573635997734107,-0.25387900962566534,-0.2516689945748144,-0.2471172584844321,-0.24088112281207064,-0.23765798202634425,-0.2347526930999858,-0.22854817670723915,-0.223028867435196,-0.21805163565750574,-0.20923153759233593
MSFT,-0.35327456176584626,-0.3438566158957315,-0.3329600990441778,-0.32275446301357313,-0.31120393087351017,-0.30042588899037576,-0.28943086909944393,-0.28077068536414007,-0.27100708985897926,-0.26106001957297953,-0.2517415106701155,-0.24412664905637482,-0.23464433355392322,-0.22719273372371684,-0.21680559505340713,-0.20818885236437357,-0.19908515814404204,-0.19124036617035367,-0.1835914059650149,-0.17823398423667225,-0.16900996754435982,-0.1628654319272308,-0.1553788418888209,-0.14682529020867552
AMZN,-0.30975145013703487,-0.3004386127500939,-0.2905850293350377,-0.28117397072640216,-0.27040407521839416,-0.2608719462173123,-0.2507564047769797,-0.2438349223984495,-0.23503739073771523,-0.2261607681436274,-0.21723292186060605,-0.21045113462574316,-0.20211468797314436,-0.19626975271454716,-0.18746389507061723,-0.18062263786949706,-0.1724396740989418,-0.1654286185406486,-0.15984817284578712,-0.15582322239213953,-0.14843748664661038,-0.14259105676692507,-0.1368083019756976,-0.1301208429459021
INTC,-0.2307175339942924,-0.2184599536081991,-0.20503867379423057,-0.19181859875896423,-0.177187128798026,-0.16408245718187214,-0.14995921797311862,-0.1391087968082464,-0.12620858693317583,-0.1145014095029312,-0.10271565027371288,-0.09289265249704881,-0.0815404180242445,-0.07159582319675906,-0.05924157047250822,-0.04822241194077004,-0.03660465255092804,-0.02732429633693856,-0.018407855291537767,-0.012020502431113078,-0.0008307567955324613,0.006671854829975898,0.014892831285025165,0.02491562443701767
AMD,-0.08284140375152621,-0.07878644965567394,-0.07642817902308663,-0.07187527658913695,-0.06834669253104675,-0.06228790877526519,-0.06105426009442527,-0.05996611985410527,-0.0586849846648122,-0.05091549705530629,-0.04406047984299344,-0.04182491315167769,-0.03868302506153698,-0.035228201229135614,-0.026965834216407747,-0.023841387936581526,-0.01895467518106886,-0.010925224886366602,-0.0036255041985170378,0.00036630007355864524,0.009573735866726829,0.016941972395250193,0.024146574841603208,0.033467096983467726
TSM,-0.07989618428390366,-0.06892983541490111,-0.05713170791696531,-0.045549146433686516,-0.033443037533696596,-0.02205942528419308,-0.010462475924542636,-0.0014606397490036782,0.008688112979482465,0.018123380599155192,0.02823345642621411,0.03663015156949456,0.045221208930003476,0.05189225270911113,0.06219681958513601,0.07013205460764327,0.07918287255022882,0.08585675026268846,0.09267864984590501,0.09686774527221642,0.1046899269748125,0.10934615930148706,0.11601006380301004,0.12315421589583497
IBM,-0.045128666077775326,-0.03539016385314281,-0.024746578711236533,-0.014621815326903986,-0.0030371923267648593,0.007429969771497014,0.0189450734926237,0.027359331914088958,0.03727786022990964,0.04722689029015781,0.05755580347577349,0.06535671158707723,0.07493378273696183,0.0825244948318854,0.09345692658856042,0.1024651486780166,0.11201123732399187,0.11985033440595683,0.12681605276172803,0.1317714031585855,0.14111473289259335,0.14693226539119786,0.15404175408962006,0.1628992622515969
AVGO,0.0632391511598906,0.06798346619298462,0.0737880942291187,0.07903770401022764,0.08464413606222232,0.08941737545357958,0.0960584916862478,0.09985845493125795,0.10401735316854294,0.10733888365702515,0.11099549612517134,0.11310060878548167,0.11628200073925854,0.11963010864191503,0.12295352237432877,0.12650464893195046,0.13057239466753323,0.13200418655578916,0.1339688140426789,0.13431868220488663,0.1373720716421487,0.13792782470273235,0.1406995157031572,0.14367090872589194
GOOGL,0.02758719203513993,0.035811296409718085,0.044829859484797785,0.05323475631914981,0.06316754723066509,0.0708671522520154,0.08024109917597855,0.08695433625889748,0.094993728555821,0.10236105695291181,0.11065379109052653,0.11648970304769213,0.12380840442166685,0.12925259153141938,0.1365159883053116,0.14232237985115948,0.14923848712515275,0.15482342810877947,0.15953257770386697,0.16292736153324228,0.16936653304183014,0.1737466890011533,0.1784928702466959,0.1842854980501406
MU,-0.05588017950988067,-0.04017521791101014,-0.023094477058222485,-0.006622059817097736,0.01158311349012614,0.02771072355777826,0.04537378248825641,0.058910645972465314,0.07461498998009841,0.08921200331627926,0.10422649707561471,0.11632485044751745,0.1303559586969183,0.14196593050717482,0.1571009967722652,0.17007465512731879,0.18413624748248836,0.19509050521857474,0.20601684697870765,0.21377035706165481,0.22679537522513576,0.2358166727087167,0.24597761793317052,0.2576839119087604
