Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,0.05430891843210539,0.04701787512777311,0.03901752532527114,0.03176063321856304,0.023000049258981026,0.017495538923251286,0.009030436504254058,0.0023876235383779587,-0.005224598160035954,-0.0108484645631719,-0.015705816834147512,-0.02069427857277062,-0.027396804586502954,-0.03017086604969388,-0.03707341457225821,-0.04348014221044083,-0.04803210034039007,-0.049640756641716965,-0.05406657606132936,-0.05651870886331356,-0.05953820916287933,-0.06016343550796521,-0.06267279376868484,-0.06240624738366041
AMZN,0.043523111628811395,0.043418003145637596,0.04237506970914007,0.04158049228717098,0.04079985565511601,0.039553942773063455,0.03867446432246424,0.036935762965690566,0.03596969912126402,0.03489925142935213,0.034508588809509466,0.03367551443063166,0.032529645580778865,0.03092298100916968,0.029341699982789904,0.027566214494876506,0.026645484045100254,0.025811747629705062,0.02374323311922777,0.022410761844532723,0.020572480897749434,0.020274375160305724,0.018570539913123296,0.016704447262773425
INTC,0.12255702777155386,0.12539666228753243,0.1279214252499472,0.1309358642546089,0.13401680207548416,0.1363434318085036,0.1394716511263253,0.14166188855589368,0.14479850292580343,0.14655861007004833,0.14902586039640264,0.151233996559326,0.15310391552967872,0.1555969105269578,0.1575640245808989,0.15996644042360353,0.162480505593114,0.1639160698334151,0.16518355067347712,0.16621348180555917,0.16817921074882736,0.1695372867572067,0.17027167317384606,0.1717409146456932
AMD,0.27043315801432005,0.2650701662400576,0.25653192002109115,0.2508791864244362,0.24285723834246342,0.23813798021511057,0.22837660900501866,0.2208045655100348,0.21232210519416705,0.21014452251767324,0.20768103082712208,0.20230173590469713,0.19596130849238624,0.19196453249458123,0.18983976083699938,0.18434746442779204,0.18013048296297318,0.18031514128398707,0.17996590176649785,0.1786002843102309,0.17858370341108665,0.179807404322481,0.1795254167304241,0.18029238719214324
META,0.35327456176584626,0.3438566158957315,0.3329600990441778,0.32275446301357313,0.31120393087351017,0.30042588899037576,0.28943086909944393,0.28077068536414007,0.27100708985897926,0.26106001957297953,0.2517415106701155,0.24412664905637482,0.23464433355392322,0.22719273372371684,0.21680559505340713,0.20818885236437357,0.19908515814404204,0.19124036617035367,0.1835914059650149,0.17823398423667225,0.16900996754435982,0.1628654319272308,0.1553788418888209,0.14682529020867552
TSM,0.2733783774819426,0.2749267804808304,0.27582839112721247,0.2772053165798866,0.2777608933398136,0.2783664637061827,0.2789683931749013,0.2793100456151364,0.2796952028384617,0.2791834001721347,0.27997496709632963,0.2807568006258694,0.2798655424839267,0.279084986432828,0.27900241463854314,0.27832090697201683,0.27826803069427086,0.27709711643304213,0.2762700558109199,0.27510172950888867,0.2736998945191723,0.27221159122871785,0.27138890569183094,0.2699795061045105
IBM,0.30814589568807094,0.3084664520425887,0.30821352033294125,0.30813264768666915,0.3081667385467453,0.30785585876187277,0.30837594259206763,0.30813001727822903,0.3082849500888889,0.30828690986313734,0.309297314145889,0.30948336064345205,0.30957811629088505,0.30971722855560224,0.31026252164196755,0.31065400104239016,0.3110963954680339,0.3110907005763105,0.3104074587267429,0.31000538739525774,0.31012470043695317,0.30979769731842866,0.30942059597844096,0.3097245524602724
AVGO,0.41651371292573686,0.41184008208871614,0.4067481932732965,0.4017921670238008,0.3958480669357325,0.38984326444395534,0.38548936078569174,0.380629140295398,0.3750244430275222,0.3683989032300047,0.36273700679528686,0.3572272578418565,0.35092633429318176,0.3468228423656319,0.3397591174277359,0.334693501296324,0.32965755281157527,0.32324455272614283,0.3175602200076938,0.3125526664415589,0.3063820391865085,0.30079325662996315,0.2960783575919781,0.29049619893456746
GOOGL,0.3808617538009862,0.3796679123054496,0.37778995852897557,0.37598921933272295,0.37437147810417526,0.37129304124239115,0.3696719682754225,0.36772502162303755,0.36600081841480026,0.36342107652589134,0.36239530176064205,0.36061635210406695,0.3584527379755901,0.3564453252551362,0.3533215833587187,0.35051123221553304,0.3483236452691948,0.34606379427913314,0.34312398366888186,0.3411613457699145,0.33837650058618995,0.3366121209283841,0.3338717121355168,0.3311107882588161
MU,0.2973943822559656,0.3036813979847214,0.3098656219859553,0.3161324031964754,0.3227870443636363,0.328136612548154,0.33480465158770034,0.3396813313366054,0.34562207983907767,0.3502720228892588,0.35596800774573023,0.36045149950389227,0.3650002922508415,0.36915866423089166,0.3739065918256723,0.37826350749169235,0.3832214056265304,0.3863308713889284,0.38960825294372253,0.39200434129832706,0.3958053427694956,0.3986821046359475,0.4013564598219914,0.4045092021174359
