Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.32897145761692176,-0.3368063739434309,-0.3457434784087931,-0.353554749459823,-0.3634608393714735,-0.36827862479973683,-0.37751468901631463,-0.3829453565567061,-0.3909734763570236,-0.3952006069100928,-0.39939876956442444,-0.40310494374577555,-0.40882015023087576,-0.4096146419815664,-0.4142645966175842,-0.4184225921070581,-0.42202784132183696,-0.42084960784760594,-0.42177024029470955,-0.42069598901667415,-0.42046607628545485,-0.4184208499650386,-0.41757110921671503,-0.41351168659898074
MSFT,-0.38328037604902715,-0.383824249071204,-0.38476100373406424,-0.38531538267838605,-0.3864608886304545,-0.3857741637229881,-0.3865451255205687,-0.38533298009508404,-0.38574887819698767,-0.3843521423469209,-0.3836929527302769,-0.3824106651730049,-0.3814233456443728,-0.3794437759318725,-0.377191182045326,-0.3749424498966173,-0.3739957409814469,-0.371208851205889,-0.3677036642333802,-0.3641772801533606,-0.3609278671225755,-0.3582574144570734,-0.3548983154480302,-0.35110543921532034
AMZN,-0.33975726442021575,-0.3404062459255664,-0.3423859340249242,-0.3437348903912151,-0.3456610329753385,-0.34622022094992466,-0.34787066119810445,-0.3483972171293935,-0.34977917907572365,-0.34945289091756876,-0.34918436392076746,-0.34873515074237327,-0.34889370006359394,-0.3485207949227028,-0.3478494820625361,-0.3473762354017408,-0.34735025693634664,-0.3453971035761839,-0.3439604311141524,-0.34176651830882787,-0.3403553862248261,-0.33798303929676765,-0.3363277755349069,-0.3344009919525469
INTC,-0.2607233482774733,-0.25842758678367156,-0.25683957848411704,-0.25437951842377715,-0.25244408655497036,-0.2494307319144845,-0.24707347439424338,-0.24367109153919037,-0.24095037527118424,-0.23779353227687255,-0.23466709233387428,-0.23117666861367892,-0.22831943011469408,-0.22384686540491472,-0.21962715746442707,-0.21497600947301376,-0.2115152353883329,-0.20729278137247387,-0.20252011355990307,-0.19796379834780142,-0.19274865637374816,-0.18872012769986668,-0.18462664227418413,-0.17936452456962715
AMD,-0.1128472180347071,-0.11875408283114641,-0.1282290837129731,-0.13443619625394987,-0.1436036502879911,-0.14763618350787755,-0.15816851651555003,-0.16452841458504924,-0.1734267730028206,-0.17420761982924765,-0.17601192190315484,-0.1801089292683078,-0.18546203715198656,-0.18747924343729128,-0.1873514212083266,-0.19059498546882525,-0.1938652580184737,-0.1908937099219019,-0.18773776246688234,-0.1855769958431297,-0.18234416371148887,-0.17845001013459239,-0.17537289871760608,-0.1708130520231771
META,-0.030005814283180887,-0.03996763317547247,-0.05180090468988646,-0.06256091966481292,-0.07525695775694435,-0.08534827473261236,-0.09711425642112476,-0.10456229473094397,-0.11474178833800841,-0.12329212277394136,-0.1319514420601614,-0.1382840161166301,-0.14677901209044958,-0.15225104220815566,-0.16038558699191885,-0.16675359753224372,-0.17491058283740485,-0.1799684850355353,-0.1841122582683653,-0.18594329591668834,-0.1919178995782157,-0.19539198252984258,-0.1995194735592093,-0.20428014900664482
TSM,-0.10990199856708455,-0.10889746859037358,-0.10893261260685178,-0.10811006609849944,-0.10869999529064095,-0.10740770001680544,-0.10757673234566739,-0.10602293447994765,-0.10605367535852595,-0.10516874217478617,-0.1037179856339473,-0.10165386454713554,-0.1015578031604461,-0.10035878949904453,-0.09818876740678284,-0.09662154292460046,-0.09572771028717603,-0.09411173477284684,-0.09143360842246029,-0.08907555064447192,-0.0872279726034032,-0.08604582322835552,-0.08350940975619925,-0.08112593311080984
IBM,-0.07513448036095621,-0.07535779702861528,-0.076547483401123,-0.0771827349917169,-0.07829415008370921,-0.07791830496111535,-0.07816918292850106,-0.07720296281685501,-0.07746392810809877,-0.07606523248378355,-0.07439563858438791,-0.07292730452955287,-0.07184522935348775,-0.06972654737627026,-0.06692866040335843,-0.06428844885422713,-0.06289934551341297,-0.06011815062957848,-0.05729620550663728,-0.05417189275810286,-0.05080316668562235,-0.04845971713864472,-0.04547771946958923,-0.04138088675504792
AVGO,0.03323333687670971,0.02801583301751215,0.021987189539232233,0.01647678434541472,0.009387178305277966,0.0040691007209672225,-0.0010557647348769517,-0.004703839799686027,-0.010724435169465474,-0.015953239116916207,-0.02095594593499006,-0.025183407331148433,-0.03049701135119104,-0.03262093356624063,-0.03743206461759008,-0.040248948600293266,-0.04433818816987162,-0.04796429847974615,-0.050143444225686395,-0.051624613711801715,-0.05454582793606699,-0.05746415782711023,-0.058819957856052096,-0.060609240280752874
GOOGL,-0.002418622248040958,-0.004156336765754387,-0.006971045205088677,-0.009326163345663108,-0.012089410526279265,-0.014481122480596964,-0.01687315724514621,-0.017607958472046492,-0.01974805978218741,-0.02093106582102955,-0.021297650969634874,-0.021794313068937976,-0.022970607668782728,-0.022998450676736282,-0.023869598686607263,-0.02443121768108425,-0.025672095712252097,-0.025145056926755838,-0.02457968056449833,-0.02301593438344607,-0.022551366536385564,-0.02164529352868927,-0.02102660331251338,-0.019994650956504212
MU,-0.08588599379306155,-0.08014285108648261,-0.07489538174810895,-0.06918297948191066,-0.06367384426681821,-0.0576375511748341,-0.05174047393286835,-0.04565164875847866,-0.04012679835791,-0.034080119457662095,-0.027724944984546696,-0.021959165669112657,-0.016423053393531284,-0.010285111700980842,-0.0032845902196536603,0.003321057595075061,0.009225664645083509,0.01512202018303943,0.021904588710342343,0.02782706114496647,0.034877475646920064,0.04042469017887412,0.04645814437396123,0.05340376290211557
CRM,0.021013090507198684,0.01894088106516656,0.014442284700917296,0.010505446115096406,0.005710779773028474,0.001944897524574718,-0.0033299963160979273,-0.00545023494970831,-0.009363360597789638,-0.01218717523004681,-0.014042496508094082,-0.014567143907110502,-0.01773473159980654,-0.020088761708629888,-0.022776584462623373,-0.025206597736224412,-0.027582005186467307,-0.028763376929843654,-0.02980431182492127,-0.03061899426872916,-0.03189260529650839,-0.032182318538679366,-0.03277136861535934,-0.03272307377215067
SAP,-0.0067023629918960825,-0.00278760218213997,0.00027102541678714065,0.0036947108032672205,0.006477047542317149,0.010149456302068649,0.013722037520372266,0.017435472968671872,0.020318668269299067,0.02393784417390521,0.028184702395273153,0.03191484723443738,0.03510241325990404,0.039116962188670557,0.04331063206252672,0.04752204967805951,0.05127609474880296,0.05518738417488417,0.05991543922266612,0.06422556035541316,0.06838962319053593,0.07196825224931741,0.07608494977968572,0.08062281726686937
AAPL,0.002754353654632946,0.006442770049374269,0.009346018229895003,0.012925404207685454,0.015899282183626295,0.02015382171579272,0.023404650135526783,0.02795282358848139,0.031714882764312224,0.036381172107780524,0.04166740573738836,0.04648047392633631,0.05038205375945348,0.05549815359884491,0.06134617104722151,0.06675377304675228,0.07119689819694491,0.07673742279678236,0.08267525377756779,0.08807997185057159,0.09414750197456245,0.09901847041408252,0.10445724946467105,0.11110514789273968
