Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.4719123324444304,-0.47284456088608645,-0.4730108640943327,-0.47264092069300934,-0.47401592410598564,-0.47138776708409014,-0.4728072861856346,-0.47173241100875574,-0.47150559944338516,-0.46968820926844057,-0.4665930849985643,-0.46524077451484785,-0.4657224413710448,-0.46036484909060804,-0.4593778061033657,-0.4586133929889909,-0.4563987825369455,-0.4508688484910429,-0.44756979364722543,-0.44329062505988925,-0.43815512989179595,-0.43249260766696473,-0.4274659132565517,-0.41877996653577276
MSFT,-0.5262212508765358,-0.5198624360138595,-0.5120283894196038,-0.5044015539115724,-0.49701597336496667,-0.4888833060073414,-0.48183772268988867,-0.4741200345471337,-0.4662810012833492,-0.45883974470526867,-0.45088726816441677,-0.44454649594207724,-0.43832563678454184,-0.43019398304091416,-0.4223043915311075,-0.41513325077855007,-0.4083666821965554,-0.40122809184932595,-0.39350321758589607,-0.3867719161965757,-0.3786169207289166,-0.3723291721589995,-0.36479311948786686,-0.35637371915211236
AMZN,-0.4826981392477244,-0.47644443286822197,-0.46965331971046376,-0.4628210616244014,-0.45621611770985065,-0.44932936323427797,-0.44316325836742443,-0.43718427158144313,-0.4303113021620852,-0.42394049327591654,-0.4163786793549073,-0.4108709815114456,-0.405795991203763,-0.3992710020317445,-0.3929626915483176,-0.38756703628367356,-0.38172119815145517,-0.3754163442196209,-0.3697599844666683,-0.36436115435204297,-0.3580444398311672,-0.3520547969986938,-0.34622257957474356,-0.33966927188933893
INTC,-0.40366422310498196,-0.39446577372632713,-0.3841069641696566,-0.3734656896569635,-0.3629991712894825,-0.3525398741988378,-0.34236607156356336,-0.33245814599124,-0.3214824983575458,-0.31228113463522034,-0.3018614077680141,-0.2933124993827512,-0.2852217212548631,-0.2745970725139564,-0.2647403669502086,-0.25516681035494654,-0.24588617660344142,-0.23731202201591084,-0.22831966691241895,-0.22055843439101652,-0.21043770998008926,-0.20279188540179283,-0.1945214463140208,-0.18463280450641917
AMD,-0.2557880928622158,-0.254792269773802,-0.25549646939851267,-0.2535223674871362,-0.25415873502250325,-0.25074532579223086,-0.25346111368487,-0.2533154690370989,-0.25395889608918215,-0.24869522218759543,-0.24320623733729468,-0.2422447600373801,-0.2423643282921556,-0.23822945054633293,-0.2324646306941081,-0.23078578635075803,-0.22823619923358224,-0.22091295056533888,-0.21353731581939822,-0.2081716318863448,-0.20003321731782997,-0.19252176783651853,-0.18526770275744275,-0.1760813319599691
META,-0.17294668911068958,-0.17600582011812804,-0.17906829037542604,-0.18164709089799924,-0.1858120424914565,-0.18845741701696567,-0.19240685359044474,-0.19334934918299362,-0.19527391142436995,-0.19777972513228914,-0.19914575749430125,-0.2004198468857024,-0.20368130323061862,-0.20300124931719732,-0.20549879647770036,-0.2069443984141765,-0.20928152405251338,-0.20998772567897228,-0.20991181162088118,-0.20853793195990344,-0.2096069531845568,-0.20946374023176872,-0.20941427759904596,-0.20954842894343684
TSM,-0.2528428733945932,-0.24493565553302915,-0.23619999829239136,-0.22719623733168576,-0.2192550800251531,-0.21051684230115875,-0.20286932951498737,-0.1948099889319973,-0.18658579844488749,-0.17965634453313395,-0.17091230106808714,-0.16378969531620785,-0.15846009430061514,-0.1511089966080862,-0.14330197689256435,-0.13681234380653323,-0.13009865150228456,-0.12413097541628382,-0.11723316177497617,-0.11167018668768702,-0.1049170262097443,-0.10011758093028167,-0.09340421379603592,-0.08639421304760186
IBM,-0.2180753551884649,-0.21139598397127085,-0.20381486908666258,-0.19626890622490323,-0.18884923481822136,-0.18102744724546865,-0.17346178009782104,-0.16599001726890467,-0.1579960511944603,-0.15055283484213133,-0.14158995401852775,-0.13506313529862518,-0.1287475204936568,-0.12047675448531192,-0.11204186988913994,-0.10447924973615991,-0.0972702867285215,-0.09013739127301545,-0.08309575885915316,-0.07676652880131796,-0.06849222029196345,-0.06253147484057087,-0.0553725235094259,-0.04664916669183994
AVGO,-0.10970753795079899,-0.10802235392514342,-0.10528019614630735,-0.1026093868877716,-0.10116790642923418,-0.09904004156338608,-0.09634836190419693,-0.09349089425173568,-0.09125655825582701,-0.09044084147526399,-0.0881502613691299,-0.08731923810022074,-0.08739930249136008,-0.08337114067528228,-0.08254527410337159,-0.08043974948222604,-0.07870912938498015,-0.07798353912318312,-0.07594299757820228,-0.07421924975501681,-0.07223488154240809,-0.07153591552903638,-0.06871476189588877,-0.0658775202175449
GOOGL,-0.14535949707554965,-0.14019452370840996,-0.13423843089062826,-0.12841233457884943,-0.12264449526079141,-0.11759026476495027,-0.11216575441446619,-0.10639501292409614,-0.10028018286854895,-0.09541866817937733,-0.08849196640377471,-0.08393014383801028,-0.07987289880895176,-0.07374865778577794,-0.06898280817238878,-0.06462201856301703,-0.06004303692736063,-0.05516429757019281,-0.05037923391701421,-0.04561057042666117,-0.04024042014272666,-0.035717051230615415,-0.03092140735235005,-0.02526293089329623
