Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.404619953911953,-0.41628303330671396,-0.42798010746189286,-0.43922789035451315,-0.45206229849409635,-0.4603331273173105,-0.4721363433932784,-0.4809891874393339,-0.4919718213862519,-0.4996865977590395,-0.5080329065431461,-0.51544293189718,-0.5239289878898213,-0.527940656738069,-0.5369248737479808,-0.5446588771370363,-0.5517162859768623,-0.5544239846562271,-0.5596685859566044,-0.5621833285879476,-0.5660570621242333,-0.5674128915822649,-0.5703492230773819,-0.5703443177222693
MSFT,-0.4589288723440584,-0.46330090843448707,-0.466997632787164,-0.4709885235730762,-0.4750623477530774,-0.4778286662405618,-0.4811667798975325,-0.48337681097771185,-0.48674722322621594,-0.4888381331958676,-0.49232708970899863,-0.4947486533244094,-0.4965321833033184,-0.4977697906883751,-0.4998514591757226,-0.5011787349265955,-0.5036841856364722,-0.5047832280145101,-0.505602009895275,-0.5056646197246342,-0.506518852961354,-0.5072494560742997,-0.507676429308697,-0.5079380703386089
AMZN,-0.415405760715247,-0.4198829052888495,-0.42462256307802393,-0.4294080312859052,-0.43426249209796136,-0.43827472346749835,-0.44249231557506824,-0.4464410480120213,-0.4507775241049519,-0.4539388817665155,-0.45781850089948917,-0.46107313889377777,-0.4640025377225395,-0.46684680967920544,-0.4705097591929327,-0.473612520431719,-0.477038701591372,-0.47897148038480514,-0.48185877677604727,-0.4832538578801014,-0.48594637206360464,-0.486975080913994,-0.48910588939557376,-0.4912336230758355
INTC,-0.3363718445725045,-0.33790424614695463,-0.3390762075372168,-0.3400526593184673,-0.3410455456775932,-0.3414852344320582,-0.34169512877120717,-0.34171492242181817,-0.3419487203004125,-0.3422795231258193,-0.343301229312596,-0.3435146567650834,-0.34342826777363966,-0.34217288016141734,-0.3422874345948237,-0.34121229450299195,-0.34120368004335827,-0.3408671581810951,-0.3404184592217979,-0.33945113791907494,-0.3383396422125267,-0.337712169317093,-0.337404756134851,-0.33619715569291575
AMD,-0.18849571432973833,-0.1982307421944295,-0.21046571276607284,-0.22010933714864,-0.23220510941061395,-0.23969068602545124,-0.2527901708925138,-0.26257224546767705,-0.2744251180320489,-0.27869361067819437,-0.28464605888187655,-0.2924469174197123,-0.30057087481093214,-0.3058052581937939,-0.3100116983387232,-0.31683127049880344,-0.3235537026734991,-0.32446808673052313,-0.3256361081287772,-0.3270643354144032,-0.3279351495502674,-0.32744205175181873,-0.32815101257827295,-0.3276456831464657
META,-0.10565431057821212,-0.11944429253875555,-0.13403753374298621,-0.14823406055950306,-0.1638584168795672,-0.17740277725018605,-0.19173591079808855,-0.20260612561357177,-0.21574013336723669,-0.22777811362288808,-0.2405855790388831,-0.2506220042680346,-0.26188784974939516,-0.2705770569646583,-0.28304586412231547,-0.2929898825622219,-0.30459902749243023,-0.31354286184415653,-0.32201060393026015,-0.32743063548796186,-0.33750888541699425,-0.3443840241470689,-0.35229758741987616,-0.3611127801299334
TSM,-0.18555049486211578,-0.18837412795365666,-0.19116924165995153,-0.19378320699318957,-0.1973014544132638,-0.19946220253437913,-0.20219838672263118,-0.20406676536257545,-0.20705202038775422,-0.2096547330237329,-0.212352122612669,-0.21399185269854004,-0.2166666408193917,-0.21868480425554715,-0.22084904453717946,-0.22285782795457865,-0.2254161549422014,-0.22768611158146806,-0.22933195408435514,-0.23056289021574544,-0.23281895844218176,-0.23503786484558187,-0.2362875236168661,-0.23795856423409845
IBM,-0.15078297665598744,-0.15483445639189836,-0.15878411245422275,-0.16285587588640704,-0.16689560920633206,-0.16997280747868904,-0.17279083730546485,-0.17524679369948282,-0.17846227313732704,-0.18055122333273027,-0.18302977556310962,-0.18526529268095737,-0.18695406701243333,-0.18805256213277288,-0.18958893753375505,-0.19052473388420532,-0.19258779016843836,-0.1936925274381997,-0.19519455116853213,-0.19565923232937638,-0.1963941525244009,-0.19745175875587107,-0.1982558333302561,-0.19821351787833652
AVGO,-0.042415159418321524,-0.05146082634577093,-0.06024943951386752,-0.06919635654927542,-0.07921428081734488,-0.08798540179660647,-0.09567741911184074,-0.10274767068231383,-0.11172278019869375,-0.12043922996586293,-0.12959008291371177,-0.13752139548255293,-0.14560584901013662,-0.15094694832274325,-0.1600923417479867,-0.16648523363027146,-0.174026632824897,-0.18153867528836737,-0.18804178988758125,-0.19311195328307523,-0.20013681377484555,-0.20645619944433657,-0.21159807171671896,-0.21744187140404148
GOOGL,-0.07806711854307219,-0.08363299612903746,-0.08920767425818843,-0.09499930424035324,-0.10069086964890211,-0.10653562499817065,-0.11149481162211,-0.1156517893546743,-0.12074640481141569,-0.12541705666997627,-0.12993178794835658,-0.13413230122034248,-0.1380794453277283,-0.1413244654332389,-0.14652987581700389,-0.15066750271106244,-0.15536054036727748,-0.15871943373537706,-0.16247802622639318,-0.1645032739547196,-0.16814235237516412,-0.17063733514591561,-0.17380471717318025,-0.1768272820797928
