Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.30190908023694696,-0.31722266911745445,-0.3329828082312584,-0.34799711941760775,-0.36458696233445365,-0.37673405484812905,-0.3928096406999862,-0.40539340453094214,-0.41993476513969613,-0.43097972485699715,-0.44221192110790836,-0.4526846713974823,-0.4643546314960339,-0.4721292797808368,-0.4839192940499861,-0.4948911945814375,-0.5048376089627158,-0.5099500687038425,-0.5179122739485509,-0.5235737369406366,-0.5305062924366367,-0.5347149970932976,-0.5404615856063056,-0.543488524211869
MSFT,-0.35621799866905235,-0.36424054424522756,-0.37200033355652956,-0.3797577526361708,-0.38758701159343467,-0.39422959377138034,-0.40184007720424025,-0.4077810280693201,-0.4147101669796602,-0.42013126029382525,-0.42650610427376084,-0.4319903928247117,-0.43695782690953094,-0.4419584137311429,-0.4468458794777279,-0.45141105237099666,-0.4568055086223258,-0.4603093120621256,-0.4638456978872216,-0.467055028077323,-0.4709680832737574,-0.47455156158533235,-0.4777887918376208,-0.4810822768282086
AMZN,-0.31269488704024095,-0.32082254109958996,-0.3296252638473895,-0.3381772603489998,-0.34678715593831866,-0.3546756509983169,-0.363165612881776,-0.37084526510362953,-0.37874046785839616,-0.3852320088644731,-0.3919975154642514,-0.39831487839408003,-0.4044281813287521,-0.41103543272197324,-0.417504179494938,-0.42384483787612015,-0.4301600245772255,-0.43449756443242055,-0.4401024647679938,-0.4446442662327903,-0.45039560237600795,-0.4542771864250266,-0.4592182519244975,-0.46437782956543516
INTC,-0.2336609708974985,-0.23884388195769513,-0.24407890830658235,-0.24882188838156188,-0.2535702095179505,-0.2578861619628767,-0.26236842607791494,-0.2661191395134264,-0.26991166405385675,-0.2735726502237769,-0.2774802438773582,-0.2807563962653857,-0.2838539113798522,-0.28636150320418513,-0.289281854896829,-0.29144461194739313,-0.2943250030292118,-0.2963932422287105,-0.29866214721374446,-0.30084154627176385,-0.30278887252493003,-0.30501427482812565,-0.30751711866377474,-0.3093413621825154
AMD,-0.0857848406547323,-0.09917037800516998,-0.11546841353543841,-0.1288785662117346,-0.14472977325097125,-0.15609161355626977,-0.1734634681992216,-0.1869764625592853,-0.20238806178549312,-0.209986737776152,-0.21882507344663876,-0.22968865692001456,-0.2409965184171447,-0.2499938812365617,-0.25700611864072853,-0.2670635879432046,-0.2766750256593526,-0.27999417077813854,-0.2838797961207237,-0.2884547437670921,-0.29238437986267074,-0.29474415726285136,-0.2982633751071967,-0.30078988963606534
META,-0.002943436903206087,-0.02038392834949604,-0.03904023451235178,-0.05700328962259765,-0.0763830807199245,-0.09380370478100458,-0.11240920810479632,-0.12701034270518002,-0.14370307712068092,-0.15907124072084572,-0.17476459360364532,-0.18786374376833687,-0.20231349335560772,-0.21476568000742607,-0.23004028442432078,-0.2432222000066231,-0.25772035047828373,-0.26906894589177194,-0.2802542919222067,-0.28882104384065077,-0.30195811572939757,-0.31168612965810155,-0.3224099499487999,-0.33425698661953307
TSM,-0.08283962118710975,-0.08931376376439715,-0.09617194242931709,-0.10255243605628417,-0.1098261182536211,-0.11586313006519766,-0.12287168402933896,-0.1284709824541837,-0.13501496414119846,-0.14094786012169053,-0.14653113717743121,-0.1512335921988423,-0.15709228442560424,-0.16287342729831494,-0.16784346483918477,-0.17309014539897982,-0.1785374779280549,-0.18321219562908347,-0.18757564207630167,-0.19195329856843435,-0.19726818875458507,-0.2023399703566145,-0.20639988614578986,-0.2111027707236981
IBM,-0.04807210298098141,-0.05577409220263885,-0.06378681322358831,-0.07162510494950164,-0.07942027304668936,-0.08637373500950757,-0.09346413461217262,-0.09965101079109107,-0.10642521689077128,-0.11184435043068791,-0.11720879012787183,-0.12250703218125963,-0.1273797106186459,-0.13224118517554068,-0.13658335783576037,-0.1407570513286065,-0.14570911315429186,-0.1492186114858151,-0.15343823916047866,-0.15704964068206528,-0.16084338283680422,-0.1647538642669037,-0.16836819585917984,-0.17135772436793617
AVGO,0.06029571425668451,0.04759953784348858,0.034747859716766916,0.022034414387629986,0.008261055342297818,-0.004386329327424998,-0.016350716418548517,-0.02715188777392208,-0.039685723952137986,-0.05173235706382057,-0.06376909747847398,-0.0747631349828552,-0.08603149261634918,-0.09513557136551104,-0.10708676204999201,-0.11671755107467263,-0.1271479558107505,-0.13706475933598278,-0.14628547787952778,-0.15450236163576414,-0.16458604408724886,-0.1737583049553692,-0.1817104342456427,-0.19058607789364113
GOOGL,0.024643755131933842,0.015427368060222046,0.005789624972446006,-0.0037685333034478408,-0.013215533489259412,-0.022936552528989185,-0.032168108928817774,-0.040056006446282544,-0.04870934856485992,-0.05671018376793391,-0.06411080251311879,-0.07137404072064474,-0.07850508893394087,-0.0855130884760067,-0.0935242961190092,-0.10089982015546362,-0.10848186335313098,-0.11424551778299247,-0.12072171421833972,-0.1258936823074085,-0.13259158268756743,-0.13793944065694824,-0.143917079702104,-0.14997148856939246
