Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.3222690946250257,-0.3340187717612909,-0.34601450382558024,-0.35724946026309023,-0.36993788691379065,-0.3784280811018055,-0.3912367265366869,-0.40038082952537796,-0.4112921446263227,-0.419138451083998,-0.4275834719596976,-0.43501979098021293,-0.4439225634907798,-0.44873160417023694,-0.4575752286801109,-0.46594464178511763,-0.4733039360706399,-0.4760369920224901,-0.4816856795173757,-0.4849215493720873,-0.4888556994759908,-0.490389102214356,-0.49365605899640075,-0.4941345038658501
MSFT,-0.37657801305713107,-0.381036646889064,-0.3850320291508514,-0.3890100934816533,-0.3929379361727717,-0.39592362002505677,-0.40026716304094095,-0.4027684530637559,-0.40606754646628673,-0.4082899865208261,-0.4118776551255501,-0.4143255124074423,-0.41652575890427684,-0.41856073812054306,-0.4205018141078527,-0.4224644995746768,-0.42527183573024985,-0.42639623538077315,-0.4276191034560463,-0.42840284050877375,-0.42931749031311145,-0.4302256667063908,-0.4309832652277159,-0.4317282564821897
AMZN,-0.33305490142831967,-0.3376186437434264,-0.3426569594417113,-0.3474296011944823,-0.35213808051765566,-0.3563696772519933,-0.3615926987184767,-0.36583269009806535,-0.3700978473450227,-0.37339073509147397,-0.3773690663160406,-0.38064999797681065,-0.383996113323498,-0.3876377571113734,-0.3911601141250628,-0.3948982850798003,-0.3986263516851496,-0.4005844877510681,-0.40387587033681854,-0.40599207866424103,-0.408745009415362,-0.40995129154608506,-0.4124127253145926,-0.4150238092194163
INTC,-0.2540209852855772,-0.2556399846015316,-0.2571106039009042,-0.25807422922704437,-0.2589211340972875,-0.25958018821655315,-0.26079551191461564,-0.26110656450786224,-0.2612690435404833,-0.26173137645077776,-0.26285179472914744,-0.2630915158481163,-0.2634218433745981,-0.2629638275935853,-0.2629377895269538,-0.26249805915107327,-0.26279133013713585,-0.26248016554735804,-0.2624355527825692,-0.2621893587032146,-0.2611382795642841,-0.2606883799491841,-0.26071159205386985,-0.2599873418364965
AMD,-0.10614485504281101,-0.11596648064900644,-0.12850010912976023,-0.1381309070572171,-0.15008069783030825,-0.1577856398099462,-0.1718905540359223,-0.18196388755372112,-0.19374544127211968,-0.19814546400315286,-0.204196624298428,-0.21202377650274518,-0.2205644504118906,-0.22659620562596183,-0.23066205327085332,-0.23811703514688476,-0.24514135276727667,-0.24608109409678608,-0.24765320168954846,-0.24980255619854286,-0.2507337869020248,-0.2504182623839098,-0.2514578484972918,-0.25143586929004647
META,-0.023303451291284805,-0.0371800309933325,-0.0520719301066736,-0.06625563046808014,-0.0817340052992615,-0.09549773103468101,-0.11083629394149702,-0.12199776769961584,-0.13506045660730748,-0.14722996694784657,-0.16013614445543456,-0.1701988633510675,-0.18188142535035362,-0.19136800439682622,-0.20369621905444557,-0.21427564721030323,-0.2261866775862078,-0.23515586921041948,-0.24402769749103143,-0.2501688562721015,-0.26030752276875163,-0.26736023477916,-0.275604423338895,-0.2849029662735142
TSM,-0.10319963557518846,-0.10610986640823361,-0.10920363802363892,-0.11180477690176666,-0.1151770428329581,-0.11755715631887409,-0.12129876986603966,-0.12345840744861952,-0.126372343627825,-0.12910658634869138,-0.13190268802922045,-0.13356871178157292,-0.13666021642035014,-0.1394757516877151,-0.14149939946930956,-0.14414359260265996,-0.14700380503597898,-0.149299118947731,-0.1513490476451264,-0.15330111099988508,-0.15561759579393913,-0.15801407547767293,-0.15959435953588497,-0.16174875037767922
IBM,-0.06843211736906013,-0.07257019484647531,-0.07681850881791014,-0.08087744579498413,-0.08477119762602636,-0.088067761263184,-0.09189122044887332,-0.09463843578552689,-0.09778259637739783,-0.10000307665768876,-0.10258034097966107,-0.10484215176399025,-0.10694764261339179,-0.10884350956494082,-0.11023929246588515,-0.11181049853228664,-0.11417544026221593,-0.11530553480446265,-0.1172116447293034,-0.11839745311351602,-0.11919278987615828,-0.12042796938796213,-0.12156266924927495,-0.12200370402191729
AVGO,0.03993569986860579,0.03080343519965212,0.021716164122445092,0.012782073542147498,0.0029101307629608164,-0.0060803555811014265,-0.014777802255249217,-0.0221393127683579,-0.03104310343876454,-0.039891083290821416,-0.049140648330263215,-0.057098254565585815,-0.06559942461109508,-0.07173789575491119,-0.0807426966801168,-0.08777099827835277,-0.09561428291867458,-0.10315168265463032,-0.11005888344835252,-0.11585017406721487,-0.12293545112660292,-0.12943241007642764,-0.13490490763573781,-0.14123205754762225
GOOGL,0.0042837407438551245,-0.0013687345836144171,-0.007242070621875818,-0.013020874148930328,-0.018566458068596414,-0.024630578782665613,-0.030595194765518474,-0.035043431440718364,-0.04006672805148648,-0.04486890999493476,-0.04948235336490803,-0.05370916030337536,-0.05807302092868677,-0.06211541286540684,-0.06718023074913398,-0.07195326735914376,-0.07694819046105505,-0.08033244110164,-0.08449511978716445,-0.08724149473885923,-0.0909409897269215,-0.09361354577800668,-0.0971115530921991,-0.10061746822337359
