Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.45448418244085287,-0.4673027239231071,-0.4805608988757342,-0.49326429697211266,-0.5077670079877858,-0.5179161156369019,-0.5321880382315379,-0.5429451086511681,-0.5554774512689313,-0.5651684836036279,-0.5751016329931187,-0.5840055869370173,-0.5946333739197108,-0.6009078286841179,-0.6122643159769605,-0.6225180443703827,-0.631407069475124,-0.6356403156860366,-0.6430340141850005,-0.6471297588835436,-0.6538226786375885,-0.656391728266894,-0.661210317070739,-0.6640122529922445
MSFT,-0.5087931008729583,-0.5143205990508802,-0.5195784242010053,-0.5250249301906758,-0.5307670572467669,-0.5354116545601533,-0.541218474735792,-0.545332732189546,-0.5502528531088953,-0.554320019040456,-0.5593958161589712,-0.5633113083642467,-0.5672365693332079,-0.570736962634424,-0.5751909014047023,-0.5790379021599419,-0.583374969134734,-0.5859995590443197,-0.5889674381236711,-0.59061105002023,-0.5942844694747091,-0.5962282927589287,-0.5985375233020541,-0.6016060056085841
AMZN,-0.46526998924414686,-0.47090259590524264,-0.4772033544918653,-0.4834444379035047,-0.48996720159165086,-0.49585771178708976,-0.5025440104133277,-0.5083969692238555,-0.5142831539876314,-0.5194207676111038,-0.5248872273494617,-0.5296357939336152,-0.534706923752429,-0.5398139816252543,-0.5458492014219123,-0.5514716876650654,-0.5567294850896337,-0.5601878114146146,-0.5652242050044434,-0.5682002881756973,-0.5737119885769597,-0.575953917598623,-0.5799669833889308,-0.5849015583458108
INTC,-0.3862360731014044,-0.3889239367633478,-0.39165699895105816,-0.3940890659360668,-0.3967502551712827,-0.3990682227516496,-0.4017468236094667,-0.4036708436336523,-0.4054543501830919,-0.40776140897040763,-0.4103699557625685,-0.41207731180492074,-0.41413265380352915,-0.4151400521074662,-0.41762687682380334,-0.41907146173633836,-0.42089446354161997,-0.42208348921090455,-0.423783887450194,-0.42439756821467084,-0.4261052587258818,-0.42669100600172205,-0.42826585012820806,-0.429865090962891
AMD,-0.23835994285863818,-0.24925043281082268,-0.2630465041799142,-0.2741457437662395,-0.28790981890430345,-0.29727367434504265,-0.3128418657307733,-0.3245281666795112,-0.33793074791472827,-0.34417549652278273,-0.3517147853318491,-0.3610095724595496,-0.37127526084082163,-0.37877243013984274,-0.38535114056770287,-0.39469043773214985,-0.4032444861717608,-0.4056844177603326,-0.4090015363571733,-0.4120107657099991,-0.4157007660636225,-0.41642088843644776,-0.41901210657163,-0.42131361841644094
META,-0.15551853910711197,-0.17046398315514874,-0.18661832515682758,-0.20227046717710256,-0.2195631263732567,-0.23498576556977746,-0.25178760563634806,-0.2645620468254059,-0.27924576324991607,-0.29325999946747644,-0.30765430548885564,-0.31918465930787193,-0.33259223577928465,-0.34354422891070713,-0.3583853063512951,-0.3708490497955683,-0.3842898109906919,-0.394759192873966,-0.40537603215865625,-0.41237706578355776,-0.4252745019303493,-0.43336286083169795,-0.4431586814132332,-0.45478071539990866
TSM,-0.23541472339101563,-0.23939381857004985,-0.2437500330737929,-0.24781961361078908,-0.2530061639069533,-0.25704519085397054,-0.2622500815608907,-0.2660226865744096,-0.2705576502704336,-0.27513661886832125,-0.27942084906264153,-0.28255450773837737,-0.2873710268492812,-0.291651976201596,-0.2961884867661591,-0.30071699518792505,-0.3051069384404631,-0.30890244261127753,-0.31269738231275124,-0.31550932051134134,-0.3205845749555368,-0.3240167015302109,-0.3271486176102232,-0.3316264995040737
IBM,-0.2006472051848873,-0.20585414700829155,-0.2113649038680641,-0.21689228250400655,-0.22260031870002156,-0.22755579579828045,-0.23284253214372436,-0.23720271491131695,-0.24196790302000643,-0.24603310917731863,-0.25009850201308215,-0.2538279477207947,-0.2576584530423228,-0.26101973407882173,-0.2649283797627347,-0.2683839011175517,-0.27227857366670005,-0.27490885846800917,-0.2785599793969282,-0.2806056626249723,-0.28415976903775597,-0.2864305954405001,-0.28911692732361316,-0.29188145314831176
AVGO,-0.09227938794722138,-0.10248051696216412,-0.11283023092770889,-0.12323276316687493,-0.13491899031103438,-0.14556839011619788,-0.15572911395010025,-0.16470359189414796,-0.17522841008137313,-0.1859211158104513,-0.1966588093636843,-0.20608405052239026,-0.2163102350400261,-0.2239141202687921,-0.23543178397696635,-0.24434440086361786,-0.2537174163231587,-0.26275500631817683,-0.27140721811597734,-0.27805838357867113,-0.2879024302882006,-0.2954350361289656,-0.30245916571007603,-0.3111098066740167
GOOGL,-0.12793134707197204,-0.13465268674543066,-0.1417884656720298,-0.14903571085795275,-0.1563955791425916,-0.16411861331776206,-0.1715465064603695,-0.17760771056650843,-0.18425203469409507,-0.19089894251456463,-0.1970005143983291,-0.2026949562601798,-0.2087838313576178,-0.21429163737928775,-0.22186931804598353,-0.22852666994440884,-0.23505132386553917,-0.23993576476518652,-0.24584345445478928,-0.24944970425031548,-0.2559079688885192,-0.25961617183054464,-0.2646658111665373,-0.27049521734976806
MU,-0.21139871861699264,-0.21063920106615888,-0.20971280221505006,-0.2088925269942003,-0.20798001288313056,-0.2072750420119992,-0.20641382314809165,-0.2056514008529406,-0.20463077326981766,-0.20404799615119718,-0.20342780841324093,-0.20285980886035448,-0.20223627708236636,-0.2015782984035323,-0.20128430957902993,-0.20077439466824953,-0.20015356350820357,-0.19966868765539125,-0.1993591851799486,-0.19860670872190295,-0.19847912670521356,-0.19754618812298125,-0.1971810634800627,-0.19709680349114828
