Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.37621000285680894,-0.38757783400196455,-0.3990897711929833,-0.4096466771716134,-0.4220820034692912,-0.4300456099838084,-0.4415898017380496,-0.4504423093419902,-0.46138039903438416,-0.4689361133718625,-0.4769345144262437,-0.48445758760170554,-0.49294662386386096,-0.4967701884321877,-0.5053575003371849,-0.5130628599979878,-0.5195708907010752,-0.5221773916431809,-0.527105458689556,-0.5296976968570342,-0.5330854473318427,-0.5342816613726873,-0.5366838338942506,-0.5364026327725451
MSFT,-0.43051892128891434,-0.43459570912973766,-0.4381072965182544,-0.44140731039017644,-0.4450820527282722,-0.4475411489070597,-0.4506202382423037,-0.45282993288036816,-0.4561558008743482,-0.4580876488086906,-0.46122869759209617,-0.4637633090289349,-0.465549819277358,-0.4665993223824938,-0.46828408576492664,-0.46958271778754707,-0.4715387903606851,-0.4725366350014639,-0.47303888262822674,-0.4731789879937206,-0.4735472381689634,-0.4741182258647221,-0.4740110401255657,-0.4739963853888847
AMZN,-0.38699580966010294,-0.39117770598410007,-0.39573222680911435,-0.39982681810300547,-0.4042821970731562,-0.40798720613399625,-0.41194577391983944,-0.4158941699146776,-0.4201861017530842,-0.42318839737933844,-0.4267201087825867,-0.43008779459830326,-0.43302017369657914,-0.4356763413733241,-0.43894238578213673,-0.44201650329267056,-0.4448933063155848,-0.44672488737175886,-0.449295649508999,-0.4507682261491879,-0.45297475727121395,-0.45384385070441635,-0.4554405002124424,-0.4572919381261113
INTC,-0.3079618935173605,-0.3091990468422052,-0.3101858712683072,-0.31047144613556754,-0.31106525065278806,-0.3111977170985561,-0.31114858711597837,-0.3111680443244745,-0.3113572979485448,-0.31152903873864224,-0.31220283719569353,-0.3125293124696089,-0.3124459037476793,-0.311002411855536,-0.31072006118402773,-0.30961627736394354,-0.3090582847675711,-0.3086205651680488,-0.3078553319547496,-0.30696550618816143,-0.305368027420136,-0.3045809391075154,-0.30373936695171966,-0.30225547074319153
AMD,-0.16008576327459428,-0.16952554288968008,-0.18157537649716327,-0.19052812396574026,-0.2022248143858088,-0.20940316869194914,-0.22224362923728502,-0.23202536737033336,-0.24383369568018115,-0.24794312629101734,-0.2535476667649741,-0.2614615731242378,-0.26958851078497176,-0.27463478988791257,-0.27844432492792726,-0.285235253359755,-0.2914083073977119,-0.29222149371747685,-0.2930729808617289,-0.2945787036834897,-0.29496353475787673,-0.2943108215422411,-0.2944856233951416,-0.2937039981967415
META,-0.07724435952306807,-0.09073909323400614,-0.10514719747407664,-0.11865284737660331,-0.13387812185476206,-0.14711525991668395,-0.16118936914285975,-0.1720592475162281,-0.18514871101536895,-0.19702762923571104,-0.20948718692198065,-0.2196366599725601,-0.23090548572343478,-0.23940658865877695,-0.2514784907115195,-0.2613938654231735,-0.27245363221664304,-0.28129626883111025,-0.28944747666321186,-0.29494500375704835,-0.30453727062460356,-0.3112527939374913,-0.3186321982367448,-0.3271710951802092
TSM,-0.15714054380697173,-0.15966892864890725,-0.16227890539104195,-0.16420199381028983,-0.16732115938845865,-0.16917468520087703,-0.1716518450674024,-0.17351988726523176,-0.17646059803588648,-0.17890424863655585,-0.18125373049576654,-0.18300650840306554,-0.1856842767934313,-0.18751433594966582,-0.1892816711263835,-0.19126181081553023,-0.19327075966641422,-0.1954395185684218,-0.19676882681730684,-0.19807725848483193,-0.19984734364979106,-0.20190663463600422,-0.20262213443373478,-0.20401687928437423
IBM,-0.1223730256008434,-0.12612925708714895,-0.12989377618531317,-0.1332746627035073,-0.13691531418152691,-0.13968529014518694,-0.14224429565023605,-0.14469991560213913,-0.1478708507854593,-0.14980073894555324,-0.15193138344620716,-0.15427994838548287,-0.15597170298647295,-0.15688209382689156,-0.1580215641229591,-0.1589287167451569,-0.16044239489265116,-0.16144593442515343,-0.16263142390148383,-0.16317360059846286,-0.1634225377320102,-0.16432052854629342,-0.16459044414712476,-0.1642718329286123
AVGO,-0.01400520836317748,-0.02275562704102152,-0.03135910324495794,-0.03961514336637567,-0.049233985792539736,-0.057697884463104365,-0.06513087745661195,-0.07220079258497014,-0.08113135784682601,-0.08968874557868589,-0.0984916907968093,-0.10653605118707843,-0.11462348498417624,-0.11977648001686192,-0.12852496833719074,-0.13488921649122304,-0.1418812375491098,-0.1492920822753211,-0.15547866262053295,-0.16062632155216172,-0.16716519898245485,-0.17332496923475893,-0.17793268253358763,-0.18350018645431726
GOOGL,-0.049657167487928144,-0.054927796824288055,-0.06031733798927885,-0.0654180910574535,-0.07071057462409697,-0.07624810766466855,-0.0809482699668812,-0.0851049112573306,-0.09015498245954795,-0.09466657228279923,-0.09883339583145412,-0.10314695692486797,-0.10709708130176793,-0.11015399712735757,-0.11496250240620792,-0.11907148557201402,-0.12321514509149029,-0.12647284072233078,-0.12991489895934488,-0.13201764222380608,-0.13517073758277343,-0.13750610493633797,-0.1401393279900489,-0.1428855971300686
