Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.2190694590498372,-0.2279089053530573,-0.23681086580194133,-0.24544468336132358,-0.25476084408083255,-0.2608709247829314,-0.26993795667064724,-0.27692242207675843,-0.2849198009984977,-0.2900318647353066,-0.29568078393047714,-0.30145107919864,-0.30726234707042965,-0.30925585248252185,-0.31607582921080135,-0.32180104918245767,-0.32630013103466093,-0.3267378730747591,-0.33033663187224926,-0.33162043837220223,-0.33323810368205165,-0.33237502673668307,-0.3340616994605158,-0.3323857534881709
MSFT,-0.2733783774819426,-0.2749267804808304,-0.27582839112721247,-0.2772053165798866,-0.2777608933398136,-0.2783664637061827,-0.2789683931749013,-0.2793100456151364,-0.2796952028384617,-0.2791834001721347,-0.27997496709632963,-0.2807568006258694,-0.2798655424839267,-0.279084986432828,-0.27900241463854314,-0.27832090697201683,-0.27826803069427086,-0.27709711643304213,-0.2762700558109199,-0.27510172950888867,-0.2736998945191723,-0.27221159122871785,-0.27138890569183094,-0.2699795061045105
AMZN,-0.2298552658531312,-0.23150877733519282,-0.2334533214180724,-0.23562482429271564,-0.23696103768469756,-0.23881252093311922,-0.24029392885243706,-0.24237428264944583,-0.2437255037171977,-0.2442841487427826,-0.24546637828682016,-0.24708128619523773,-0.24733589690314783,-0.2481620054236583,-0.24966071465575324,-0.25075469247714033,-0.2516225466491706,-0.2512853688033371,-0.25252682269169213,-0.25269096766435595,-0.2531274136214229,-0.25193721606841213,-0.25281836577870764,-0.25327505884173707
INTC,-0.15082134971038874,-0.14953011819329798,-0.14790696587726526,-0.14626945232527772,-0.1437440912643294,-0.14202303189767906,-0.13949674204857598,-0.13764815705924272,-0.1348966999126583,-0.1326247901020864,-0.130949106699927,-0.12952280406654337,-0.12676162695424797,-0.12348807590587019,-0.12143839005764423,-0.1183544665484133,-0.11578752510115686,-0.11318104659962702,-0.11108650513744278,-0.1088882477033295,-0.10552068377034496,-0.10267430447151116,-0.10111723251798488,-0.0982385914588173
AMD,-0.0029452194676225507,-0.009856614240772832,-0.019296471106121316,-0.026326130155450433,-0.03490365499735015,-0.04022848349107211,-0.050591784169882636,-0.05850548010510159,-0.06737309764429467,-0.06903887765446148,-0.07229393626920755,-0.07845506472117225,-0.08390423399154046,-0.08712045393824674,-0.08916265380154376,-0.0939734425442248,-0.09813754773129768,-0.09678197514905507,-0.09630415404442205,-0.09650144519865778,-0.09511619110808567,-0.09240418690623686,-0.09186348896140684,-0.08968711891236725
META,0.07989618428390366,0.06892983541490111,0.05713170791696531,0.045549146433686516,0.033443037533696596,0.02205942528419308,0.010462475924542636,0.0014606397490036782,-0.008688112979482465,-0.018123380599155192,-0.02823345642621411,-0.03663015156949456,-0.045221208930003476,-0.05189225270911113,-0.06219681958513601,-0.07013205460764327,-0.07918287255022882,-0.08585675026268846,-0.09267864984590501,-0.09686774527221642,-0.1046899269748125,-0.10934615930148706,-0.11601006380301004,-0.12315421589583497
IBM,0.034767518206128334,0.0335396715617583,0.03238512920572878,0.03092733110678253,0.030405845206931736,0.029489395055690093,0.029407549417166334,0.028819971663092636,0.028589747250427178,0.029103509691002616,0.029322347049559383,0.02872656001758267,0.029712573806958353,0.030632242122774267,0.03126010700342441,0.032333094070373325,0.03282836477376305,0.03399358414326836,0.03413740291582301,0.034903657886369066,0.036424805917780856,0.0375861060897108,0.03803169028661002,0.039745046355761926
AVGO,0.14313533544379425,0.13691330160788573,0.130919802146084,0.12458685044391415,0.11808717359591892,0.11147680073777266,0.10652096761079044,0.10131909468026162,0.09532924018906047,0.08921550305786996,0.08276203969895723,0.07647045721598711,0.07106079180925506,0.0677378559328039,0.06075670278919276,0.05637259432430719,0.05138952211730441,0.046147436293100697,0.04129016419677389,0.03745093693267021,0.03268214466733621,0.028581665401245293,0.024689451900147152,0.02051669283005697
GOOGL,0.10748337631904359,0.1047411318246192,0.1019615674017631,0.09878390275283633,0.09661058476436168,0.09292657753620848,0.09070357510052118,0.08841497600790116,0.08630561557633853,0.08423767635375662,0.08242033466431242,0.07985955147819757,0.07858719549166338,0.07736033882230825,0.07431916872017558,0.0721903252435162,0.07005561457492393,0.068966677846091,0.06685392785796196,0.06605961626102586,0.06467660606701764,0.06440052969966625,0.06248280644368587,0.06113128215430563
MU,0.024016004774022992,0.028754617503890967,0.03403723085874283,0.03892708661658878,0.045026151023822736,0.04977014884197134,0.055836258412799045,0.06037128572146899,0.06592687700061595,0.07108862271712407,0.0759930406494006,0.07969469887802288,0.08513474976691482,0.09007367779806369,0.09490417718712918,0.09994260051967552,0.10495337493225954,0.10923375495588628,0.11333819713280263,0.1169026117894384,0.12210544825032327,0.12647051340722965,0.12996755413016048,0.13452969601292541
