Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
NVDA,-0.4159028836861633,-0.42942599584154556,-0.4434868702397215,-0.45685432157774486,-0.4720972944834775,-0.48277328486000054,-0.49753857193805373,-0.508837119625307,-0.5223349574067355,-0.532326495492501,-0.5426939076680783,-0.5520774361254321,-0.5630073748956288,-0.5695763457832885,-0.5809279409398788,-0.5914662484071422,-0.6007234432108379,-0.6051337072381093,-0.612525706856029,-0.6168853370351677,-0.6232296819678932,-0.626220227693342,-0.6308995347034043,-0.6333616982400662
MSFT,-0.4702118021182687,-0.4764438709693187,-0.48250439556499264,-0.4886149547963079,-0.4950973437424585,-0.5002688237832518,-0.5065690084423078,-0.5112247431636849,-0.5171103592466996,-0.5214780309293291,-0.5269880908339308,-0.5313831575526615,-0.5356105703091258,-0.5394054797335947,-0.5438545263676205,-0.5479861061967015,-0.5526913428704479,-0.5554929505963924,-0.5584591307946997,-0.5603666281718541,-0.5636914728050139,-0.5660567921853767,-0.5682267409347195,-0.5709554508564058
AMZN,-0.4266886904894573,-0.4330258678236811,-0.44012932585585257,-0.4470344625091369,-0.4542974880873425,-0.46071488101018837,-0.46789454411984355,-0.4742889801979944,-0.48114066012543555,-0.48657877949997697,-0.4924795020244213,-0.4977076431220299,-0.503080924728347,-0.508482498724425,-0.5145128263848306,-0.520419891701825,-0.5260458588253476,-0.5296812029666873,-0.5347158976754719,-0.5379558663273214,-0.5431189919072644,-0.5457824170250711,-0.5496562010215962,-0.5542510035936323
INTC,-0.3476547743467148,-0.35104720868178624,-0.35458297031504543,-0.357679090541699,-0.36108054166697434,-0.3639253919747482,-0.3670973573159825,-0.3695628546077913,-0.37231185632089614,-0.37491942085928076,-0.37796223043752813,-0.38014916099333557,-0.3825066547794471,-0.38380856920663686,-0.38629050178672164,-0.38801966577309793,-0.39021083727733386,-0.3915768807629773,-0.39327558012122255,-0.39415314636629495,-0.3955122620561865,-0.3965195054281701,-0.39795506776087336,-0.39921453621071257
AMD,-0.19977864410394863,-0.2113737047292611,-0.22597247554390149,-0.23773576837187171,-0.2522401053999951,-0.26213084356814126,-0.27819239943728913,-0.2904201776536502,-0.3047882540525325,-0.31133350841165586,-0.3193070600068087,-0.32908142164796444,-0.3396492618167396,-0.3474409472390134,-0.35401476553062117,-0.3636386417689094,-0.3725608599074747,-0.37517780931240535,-0.3784932290282018,-0.3817663438616232,-0.3851077693939272,-0.3862493878628958,-0.3887013242042953,-0.3906630636642625
META,-0.11693724035242242,-0.13258725507358715,-0.14954429652081486,-0.16586049178273476,-0.18389341286894834,-0.19984293479287607,-0.21713813934286386,-0.23045405779954492,-0.2461032693877203,-0.26041801135634957,-0.27524658016381526,-0.28725650849628676,-0.3009662367552026,-0.3122127460098778,-0.3270489313142134,-0.3397972538323279,-0.3536061847264058,-0.36425258442603875,-0.3748677248296848,-0.38213264393518187,-0.39468150526065404,-0.403191360258146,-0.4128478990458985,-0.42413016064773024
TSM,-0.19683342463632608,-0.20151709048848826,-0.20667600443778017,-0.21140963821642128,-0.21733645040264493,-0.22190236007706915,-0.2276006152674065,-0.2319146975485486,-0.23741515640823785,-0.24229463075719437,-0.24701312373760115,-0.2506263569267922,-0.25574502782519914,-0.2603204933007667,-0.2648521117290774,-0.2696651992246846,-0.274423312176177,-0.2783958341633503,-0.28218907498377976,-0.28526489866296545,-0.28999157828584154,-0.29384520095665895,-0.2968378352428885,-0.30097594475189526
IBM,-0.16206590643019775,-0.16797741892672996,-0.1742908752320514,-0.18048230710963875,-0.1869306051957132,-0.19241296502137906,-0.19819306585024016,-0.20309472588545596,-0.20882540915781067,-0.21319112106619176,-0.21769077668804176,-0.22189979690920952,-0.2260324540182408,-0.2296882511779924,-0.233592004725653,-0.2373321051543113,-0.24159494740241394,-0.24440225002008192,-0.24805167206795675,-0.2503612407765964,-0.2535667723680607,-0.25625909486694814,-0.25880614495627846,-0.26123089839613334
AVGO,-0.05369808919253183,-0.06460378888060253,-0.07575620229169616,-0.08682278777250713,-0.09924927680672602,-0.11042555933929649,-0.12107964765661605,-0.13059560286828698,-0.14208591621917738,-0.1530791276993244,-0.1642510840386439,-0.17415589971080508,-0.18468423601594408,-0.19258263736796277,-0.20409540893988465,-0.21329260490037744,-0.22303379005887258,-0.2322483978702496,-0.24089891078700587,-0.24781396173029524,-0.25730943361850533,-0.26526353555541365,-0.27214838334274133,-0.2804592519218383
GOOGL,-0.0893500483172825,-0.09677595866386907,-0.10471443703601707,-0.11262573546358495,-0.12072586563828325,-0.12897578254086067,-0.1368970401668853,-0.14349972154064744,-0.1511095408318993,-0.15805695440343775,-0.16459278907328873,-0.17076680544859463,-0.17715783233353577,-0.18296015447845843,-0.19053294300890183,-0.19747487398116842,-0.20436769760125306,-0.20942915631725928,-0.2153351471258178,-0.2192052824019396,-0.2253149722188239,-0.2294446712569927,-0.2343550287992026,-0.23984466259758963
