Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.3872562009177548,-0.3914712731192847,-0.39612520795896267,-0.40145699196112306,-0.4062403301751175,-0.4110714307948295,-0.4158376445985462,-0.4207917218979288,-0.4243893872194851,-0.42839208851538213,-0.43217992194927296,-0.4357715807002015,-0.4392949182718866,-0.44303683067674926,-0.4462838114519176,-0.44941469367493864,-0.45183758015781234,-0.4545717478745772,-0.4571160165909434,-0.46002705959808865,-0.4626584402468278,-0.4654070643556479,-0.4680562424176118,-0.47069318081016637,-0.4727974976813561,-0.47531954320517833,-0.47735690332276376,-0.4802470727125805,-0.4836088315267404,-0.48678428326695355,-0.4902279836490392,-0.493999912176743,-0.49741010632082705,-0.5017221725432084,-0.505388306554682,-0.5100670856675295
NVDA,-0.33201199411207405,-0.33924907230103657,-0.3454470287544449,-0.3511251747116816,-0.35841110694522804,-0.36466456952167065,-0.370078736041475,-0.37523270011262444,-0.381282654672295,-0.38742027930754086,-0.39154266787632747,-0.39586393730649305,-0.40027326014678,-0.40474146944341116,-0.4099837214622482,-0.41350360036049233,-0.4200421905036887,-0.42410234074816056,-0.42892940116837924,-0.43415559911023116,-0.4385712331746777,-0.4430839005919576,-0.447198333944,-0.4497044218915586,-0.4526418163475428,-0.45474899177835604,-0.4571632835420793,-0.4592840459291999,-0.4614358981922161,-0.46483221923590734,-0.46801389821034467,-0.4706025580880019,-0.47337169733981377,-0.4765063758800213,-0.4792120091910478,-0.48283741951181314
AMZN,-0.34261699933449996,-0.34580920965999334,-0.3490448328559551,-0.3530121090911523,-0.3558277149862987,-0.3586963014367958,-0.36169399773004873,-0.3641551403914779,-0.36645590309997217,-0.36917917387646415,-0.3713109202508718,-0.3742134034857525,-0.37716142539144015,-0.38048210320608233,-0.38436006629410974,-0.38822651017409454,-0.3919027143892107,-0.39589836503517206,-0.4000874596585761,-0.4042210392258371,-0.40779759834630713,-0.41112768024064633,-0.4142558853304632,-0.4172119133183892,-0.4202334284744373,-0.42335844986108706,-0.4261503055880094,-0.42910313128845157,-0.43161606034440436,-0.4346206354902542,-0.43712407964436173,-0.4402647133448757,-0.4435647179234945,-0.44687204150977744,-0.45018634583023187,-0.4530499353681836
INTC,-0.2644970393184457,-0.2657308434662405,-0.2667774231484198,-0.26729982608586356,-0.26854718858437165,-0.269905865083716,-0.2713016635659008,-0.27250001134737045,-0.27341244421414207,-0.27386623432606894,-0.27446323492881713,-0.2749537014689565,-0.27526235431509105,-0.2755718957505734,-0.27589090818136425,-0.27589785611235523,-0.2760727995560022,-0.27619677887213956,-0.2762264246377287,-0.27659186604453945,-0.27689138266522273,-0.2772744039976684,-0.277694489444118,-0.2781340027736275,-0.278318244248516,-0.27834029208037847,-0.2786323838024353,-0.2785371687169774,-0.27896419568312114,-0.2796289048635643,-0.2804158396334496,-0.28115110745139804,-0.2818551653302971,-0.2828484704575903,-0.2838743331386212,-0.2847527398639599
AMD,-0.1162259553985332,-0.12285630749639265,-0.12908442729391434,-0.13454630191906025,-0.14041653904227913,-0.14508558307895253,-0.1494259470310465,-0.15369290213833964,-0.157783749443353,-0.1608598381138323,-0.16361464032490508,-0.16631230315986067,-0.16845341740180175,-0.17016126154701894,-0.17234447382334023,-0.17416872910818643,-0.17782324772634078,-0.18154322169876946,-0.1856922450626331,-0.18964431712945073,-0.19418911765759084,-0.19888875022301428,-0.20401289738455242,-0.21070144554274256,-0.21766487364973192,-0.2241293152535324,-0.2317815202522578,-0.2389108148219382,-0.24656039889696812,-0.2550224610236901,-0.26325060989457083,-0.2707156987915007,-0.2789393375206657,-0.28680357155363856,-0.29329219094366876,-0.3008142311088102
TSM,-0.11267866797511239,-0.11558607598867343,-0.11734815545971572,-0.11905944504065913,-0.12085174877293281,-0.12261733550326831,-0.12422861305559996,-0.1269487611245601,-0.12961252570018594,-0.132498114821609,-0.13648344549583608,-0.14069815885845494,-0.14511807079119665,-0.1494722304151842,-0.15386417138424008,-0.15964375772058942,-0.166083113901962,-0.17295637765983662,-0.17997325839529027,-0.18760338398425758,-0.1962852716115041,-0.20496271100671043,-0.21381815183691266,-0.22273081265621225,-0.2314792407899135,-0.24063389562688486,-0.2493398237430367,-0.25936766678426015,-0.2694259436123484,-0.2790890882756195,-0.2894343224897631,-0.30012150582110464,-0.3093406302176065,-0.32064462716217124,-0.3311554865534453,-0.3412412305547815
META,-0.033097042382484065,-0.0429189274361369,-0.05307456964184809,-0.06232027349320707,-0.07157801057363161,-0.08010357741873875,-0.08860867359828295,-0.09557312072180585,-0.10237436961863011,-0.10676416418901746,-0.1117462407218563,-0.11555220318182435,-0.11894185249772826,-0.12174484214297354,-0.1254308542827322,-0.12722797731487717,-0.12946276758220593,-0.13186055965968857,-0.13419625893811532,-0.13587124155064267,-0.1378681842195788,-0.13903499841557937,-0.1414988072404023,-0.14490650291272805,-0.14804226793124792,-0.15113761848943652,-0.15545828609457463,-0.158696767547843,-0.16286808458956936,-0.1671107995901483,-0.17156535623000113,-0.17671613680809584,-0.1813011989885256,-0.1860970053920996,-0.19065107756929156,-0.19580137320426771
IBM,-0.07833289196461585,-0.08127395322009573,-0.08432480050593794,-0.08739505715851931,-0.09008782504220836,-0.09223286496836769,-0.09441417204831348,-0.09628556447623704,-0.09802810889250674,-0.0991766393283186,-0.1005938090474543,-0.10187202482884111,-0.10298911357877699,-0.10373771089273748,-0.10427957569533103,-0.10494643085972427,-0.10563368385416433,-0.1068198373644752,-0.10797639261199393,-0.10875100157322348,-0.11011225235196587,-0.11132499216939346,-0.11285944155306327,-0.11539689617742072,-0.1178469377030788,-0.12028429160019305,-0.12306167464113643,-0.12577852520064237,-0.12852884738199277,-0.1315192120086588,-0.13457703009430944,-0.13743132920847856,-0.1402423059359854,-0.14316992433198383,-0.14568810288550504,-0.1484994386334375
AVGO,0.031686896721701996,0.023425770754284425,0.01609473230825198,0.008730577377816018,0.0017241837895247691,-0.004376119932758216,-0.009977044584614736,-0.016076191467195522,-0.02250891766382329,-0.028576279739338684,-0.03437556646285861,-0.040081474575810794,-0.04627314225863277,-0.05225703335540516,-0.05877504686870938,-0.06424150569358372,-0.07101839096777207,-0.07786770371993862,-0.08522787517357894,-0.09129109533019497,-0.09788260306894414,-0.10390270452125944,-0.10914152726730775,-0.11466121385947797,-0.12008602859791279,-0.1250161015897303,-0.13006045773335823,-0.13470523216079067,-0.1385215232794399,-0.14349965897277595,-0.14781690093508093,-0.15198875770228826,-0.15617449269544936,-0.15899689905106362,-0.16176723736406462,-0.16554778710681806
MU,-0.08893031837334808,-0.08773529462149965,-0.08633955554678818,-0.0850078215862265,-0.0834161687752839,-0.08208492370890647,-0.08085703269807071,-0.07970897191273807,-0.07833478630571616,-0.07710575040478385,-0.07597312277463159,-0.07488005406669368,-0.0738331895737731,-0.07274410448128904,-0.07162044884594149,-0.07063337640552736,-0.0696616348379655,-0.06897616138354429,-0.06799942937332037,-0.0672518573600639,-0.06652862004084659,-0.06578197095028937,-0.06510979568758701,-0.06444189962521113,-0.06362636566707663,-0.06265622402697202,-0.061701462840240695,-0.06081758562163003,-0.059974750024928025,-0.059036723059163854,-0.0583354504579735,-0.057656794687116986,-0.05707630232855665,-0.056664055734396035,-0.056144961155470685,-0.055420615132678264
GOOGL,-0.004294263169822343,-0.008289062188632845,-0.011449377308525688,-0.014971831028073423,-0.017820858628366132,-0.020659635943517163,-0.023712000147131207,-0.026213363111444288,-0.028228145901365242,-0.02975649483905546,-0.03161540228332238,-0.03325514410284253,-0.03418518383071595,-0.03521047660652665,-0.03596172944047621,-0.03691563173274065,-0.03745899357117799,-0.03868125511788345,-0.03948909295916664,-0.04032009518959667,-0.041491066262213716,-0.04189541700955984,-0.04250317140260601,-0.043702341067920925,-0.04499162640108051,-0.04604794330867257,-0.047129851629393316,-0.04826922123270316,-0.049192616514415644,-0.050510585384022755,-0.051713037484983515,-0.05289713269377799,-0.05472724254741146,-0.05618992512709453,-0.057684950690513825,-0.058652209352342055
NOW,-0.0018963350494237696,-0.0045400803424017755,-0.006915549227960116,-0.008644461914492974,-0.010771651793151482,-0.011575558744467418,-0.01223536088503252,-0.013735106428130361,-0.015128738195766933,-0.0159558294755911,-0.017045483892539126,-0.017818559321419347,-0.01904364888519927,-0.019647626028665932,-0.0208515171203964,-0.02181124816590002,-0.02401773752701536,-0.025472582402911836,-0.027411490380488568,-0.029005369973664652,-0.03130494352823776,-0.0333687623237191,-0.03622973095527182,-0.03887812312651734,-0.04189231283275313,-0.04455226490281994,-0.04781637880328987,-0.050860009088228963,-0.05461535827356706,-0.057782281331230145,-0.06126731822704484,-0.06485183748710194,-0.0679545466194934,-0.07172349767246172,-0.07445962918189475,-0.07885521286577324
