Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.44580551060422036,-0.44777966612982467,-0.4511300706191584,-0.4545251474003105,-0.45836515069242134,-0.4615119766290597,-0.46460025285693307,-0.46840760749562205,-0.47095922381377814,-0.47402130647740265,-0.4768895901235146,-0.4790856308012295,-0.4817687124433711,-0.4844088356247369,-0.4869505565647631,-0.48910187597943594,-0.4906268146704975,-0.49171515231974616,-0.4928224398463421,-0.4938603256624033,-0.4944986139114102,-0.49530967772168605,-0.4964624940268433,-0.4969064273077232,-0.49737348007040777,-0.49815146277562666,-0.4988177608701609,-0.49986828142707873,-0.5022942012131844,-0.5031888926884847,-0.5042011323892812,-0.5060363582075111,-0.5073205282189099,-0.5098646963428357,-0.5113368150174551,-0.5144771078816315
NVDA,-0.3905613037985396,-0.39555746531157654,-0.4004518914146406,-0.40419333015086906,-0.41053592746253187,-0.41510511535590083,-0.41884134429986186,-0.4228485857103177,-0.42785249126658803,-0.4330494972695614,-0.4362523360505691,-0.43917798740752106,-0.4427470543182645,-0.4461134743913988,-0.4506504665750937,-0.45319078266498963,-0.45883142501637386,-0.4612457451933295,-0.46463582442377793,-0.4679888651745458,-0.47041140683926014,-0.4729865139579958,-0.4756045855532315,-0.4759176683891155,-0.4772177987365945,-0.47758091134880437,-0.47862414108947643,-0.47890525464369815,-0.48012126787866005,-0.48123682865743844,-0.48198704695058675,-0.48263900411877003,-0.4832821192378966,-0.4846488996796486,-0.4851605176538209,-0.4872474417259152
AMZN,-0.4011663090209655,-0.4021176026705333,-0.40404969551615083,-0.4060802645303398,-0.40795253550360255,-0.409136847271026,-0.4104566059884356,-0.41177102598917115,-0.4130257396942652,-0.41480839183848467,-0.41602058842511347,-0.4175274535867805,-0.41963521956292466,-0.42185410815407,-0.42502681140695525,-0.42791369247859184,-0.4306919489018959,-0.433041769480341,-0.4357938829139748,-0.4380543052901517,-0.43963777201088955,-0.4410302936066845,-0.4426621369396947,-0.44342515981594605,-0.44480941086348896,-0.4461903694315354,-0.44761116313540655,-0.4487243400029498,-0.4503014300308483,-0.4510252449117853,-0.4510972283846038,-0.45230115937564386,-0.45347513982157733,-0.4550145653094047,-0.456134854293005,-0.4574599575822857
INTC,-0.32304634900491125,-0.32203923647678045,-0.3217822858086155,-0.320367981525051,-0.3206720091016755,-0.3203464109179462,-0.32006427182428765,-0.3201158969450637,-0.3199822808084351,-0.31949545228808945,-0.3191729031030588,-0.3182677515699845,-0.31773614848657555,-0.31694390069856104,-0.31655765329420976,-0.31558503841685254,-0.3148620340686874,-0.3133401833173085,-0.31193284789312736,-0.3104251321088541,-0.30873155632980515,-0.30717701736370656,-0.3061007410533495,-0.30434724927118434,-0.30289422663756765,-0.3011722116508268,-0.30009324134983245,-0.29815837743147566,-0.2976495653695651,-0.2960335142850954,-0.2943889883736917,-0.2931875534821662,-0.2917655872283799,-0.2909909942572176,-0.2898228416013943,-0.28916276207806196
AMD,-0.17477526508499874,-0.17916470050693262,-0.18408928995411006,-0.18761445735824772,-0.19254135955958296,-0.19552612891318272,-0.19818855528943335,-0.2013087877360329,-0.20435358603764603,-0.20648905607585283,-0.20832430849914674,-0.2096263532608887,-0.21092721157328626,-0.2115332664950066,-0.21301121893618574,-0.21385591141268373,-0.21661248223902596,-0.2186866261439384,-0.2213986683180318,-0.22347758319376537,-0.22602929132217325,-0.22879136358905244,-0.2324191489937839,-0.2369146920402994,-0.2422408560387836,-0.24696123482398075,-0.2532423777996549,-0.25853202353643645,-0.2652457685834121,-0.2714270704452212,-0.2772237586348129,-0.28275214482226885,-0.2888497594187485,-0.2949460953532658,-0.2992406994064419,-0.3052242533229123
TSM,-0.17122797766157793,-0.1718944689992134,-0.17235301811991144,-0.1721276004798466,-0.17297656929023664,-0.1730578813374985,-0.1729912213139868,-0.17456464672225336,-0.17618236229447898,-0.17812733278362952,-0.18119311367007773,-0.18401220895948295,-0.18759186496268115,-0.19084423536317185,-0.1945309164970856,-0.19933094002508672,-0.2048723484146472,-0.21009978210500557,-0.21567968165068896,-0.22143665004857221,-0.22812544527608652,-0.2348653243727486,-0.24222440344614415,-0.2489440591537691,-0.2560552231789652,-0.2634658151973332,-0.27080068129043383,-0.2789888754987584,-0.28811131329879236,-0.2954936976971506,-0.30340747123000517,-0.3121579518518728,-0.3192510521156893,-0.3287871509617985,-0.3371039950162184,-0.3456512527688836
META,-0.09164635206894961,-0.09922732044667687,-0.10807943230204381,-0.11538842893239454,-0.12370283109093544,-0.13054412325296894,-0.1373712818566698,-0.1431890063194991,-0.14894420621292315,-0.15239338215103798,-0.15645590889609795,-0.15886625328285237,-0.16141564666921276,-0.1631168470909612,-0.16609759939557772,-0.16691515961937448,-0.1682520020948911,-0.16900396410485752,-0.169902682193514,-0.1697045076149573,-0.16970835788416122,-0.16893761178161754,-0.1699050588496338,-0.1711197494102849,-0.1726182503202996,-0.17396953805988485,-0.17691914364197175,-0.17831797626234125,-0.18155345427601333,-0.1835154090116794,-0.1855385049702432,-0.18875258283886398,-0.19121162088660842,-0.19423952919172688,-0.19659958603206468,-0.2002113954183698
IBM,-0.1368822016510814,-0.1375823462306357,-0.13932966316613365,-0.14046321259770678,-0.14221264555951219,-0.14267341080259788,-0.14317678030670034,-0.1439014500739303,-0.14459794548679977,-0.14480585729033912,-0.14530347722169595,-0.14518607492986912,-0.1454629077502615,-0.14510971584072513,-0.14494632080817654,-0.14463361316422157,-0.1444229183668495,-0.14396324180964415,-0.14368281586739262,-0.14258426763753812,-0.14195242601654828,-0.14122760553543162,-0.14126569316229476,-0.14161014267497757,-0.14242292009213048,-0.14311621117064138,-0.14452253218853356,-0.1453997339151406,-0.14721421706843674,-0.1479238214301899,-0.14855017883455152,-0.1494677752392467,-0.15015272783406824,-0.1513124481316111,-0.15163661134827816,-0.1529094608475396
AVGO,-0.02686241296476355,-0.032882622256255545,-0.03891013035194374,-0.04433757806137145,-0.05040063672777906,-0.054816665766988404,-0.05873965284300159,-0.06369207706488877,-0.06907875425811633,-0.0742054977013592,-0.07908523463710027,-0.0833955246768388,-0.08874693643011727,-0.09362903830339281,-0.0994417919815549,-0.10392868799808103,-0.10980762548045725,-0.11501110816510757,-0.12093429842897763,-0.1251243613945096,-0.12972277673352656,-0.1338053178872976,-0.13754777887653924,-0.14087446035703483,-0.14466201098696446,-0.14784802116017864,-0.15152131528075535,-0.1543264408752889,-0.15720689296588386,-0.15990426839430705,-0.161790049675323,-0.1640252037330564,-0.1660849145935322,-0.1671394228506909,-0.16771574582683774,-0.16995780932092014
MU,-0.14747962805981363,-0.14404368763203962,-0.1413444182069839,-0.13807597702541397,-0.13554098929258773,-0.13252546954313665,-0.12961964095645756,-0.12732485751043132,-0.1249046229000092,-0.12273496836680436,-0.12068279094887324,-0.11819410416772169,-0.11630698374525761,-0.11411610942927669,-0.112287193958787,-0.11032055871002466,-0.10845086935065068,-0.10611956582871324,-0.10370585262871906,-0.10108512342437853,-0.098368793705429,-0.09568458431632754,-0.0935160472968185,-0.09065514612276798,-0.08820234805612831,-0.08548814359742035,-0.08316232038763782,-0.08043879433612827,-0.07866011971137199,-0.07544133248069496,-0.07230859919821558,-0.06969324071788513,-0.06698672422663948,-0.0648065795340233,-0.0620934696182438,-0.059830637346780347
