Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.4031853220443284,-0.4095879663681229,-0.41653506499144977,-0.4244319176752814,-0.4315913916586569,-0.43871267561994504,-0.44566951194467214,-0.45279168799293457,-0.458482474120643,-0.46463244690184136,-0.4704056471596729,-0.47591005092027566,-0.48119628540501697,-0.4867377994246198,-0.49163038958825306,-0.49644855037937125,-0.5002329302912865,-0.5041886892594034,-0.5080610187588317,-0.5122223019970962,-0.5160740381837576,-0.51992805228114,-0.5236395138885983,-0.5273502402432041,-0.5305144011658429,-0.5343438906333138,-0.5375369199032147,-0.5418322330562643,-0.5464723026713162,-0.5510261213941179,-0.555728653817953,-0.5607841184560156,-0.5654138283181328,-0.5710198099071375,-0.5760584099546107,-0.5822128536181649
NVDA,-0.3479411152386476,-0.35736576554987476,-0.365856885786932,-0.3741001004258399,-0.3837621684287674,-0.3923058143467862,-0.3999106033876009,-0.4072326662076302,-0.4153757415734529,-0.4236606376940001,-0.42976839308672743,-0.4360024075265672,-0.44217462727991036,-0.4484424381912817,-0.4553302995985837,-0.46053745706492494,-0.4684375406371628,-0.4737192821329868,-0.4798744033362676,-0.48635084150923874,-0.49198683111160757,-0.49760488851744983,-0.5027816054149865,-0.5063614813245964,-0.5103587198320296,-0.5137733392064914,-0.5173433001225303,-0.5208692062728837,-0.5242993693367919,-0.5290740573630717,-0.5335145683792585,-0.5373867643672745,-0.5413754193371195,-0.5458040132439504,-0.5498821125909765,-0.5549831874624486
AMZN,-0.35854612046107354,-0.36392590290883153,-0.3694546898884422,-0.37598703480531065,-0.3811787764698381,-0.38633754626191136,-0.39152586507617465,-0.39615510648648367,-0.4005489900011301,-0.4054195322629234,-0.4095366454612718,-0.41435187370582666,-0.4190627925245705,-0.4241830719539529,-0.4297066444304452,-0.43526036687852715,-0.44029806452268483,-0.4455153064199983,-0.45103246182646445,-0.45641628162484466,-0.461213196283237,-0.46564866816613854,-0.4698391568014498,-0.4738689727514269,-0.4779503319589241,-0.48238279728922245,-0.4863303221684604,-0.49068829163213534,-0.49447953148898016,-0.4988624736174186,-0.5026247498132755,-0.5070489196241483,-0.5115684399208003,-0.5161696788737066,-0.5208564492301606,-0.525195703318819
INTC,-0.2804261604450193,-0.2838475367150787,-0.2871872801809069,-0.2902747518000219,-0.29389825006791104,-0.29754710990883154,-0.3011335309120267,-0.3044999774423762,-0.3075055311153,-0.31010659271252816,-0.3126889601392171,-0.31509217168903064,-0.3171637214482214,-0.31927286449844394,-0.3212374863176997,-0.32293171281678784,-0.32446814968947635,-0.3258137202569658,-0.327171426805617,-0.328787108443547,-0.3303069806021526,-0.3317953919231606,-0.3332777609151046,-0.3347910622066652,-0.3360351477330028,-0.33736463950851386,-0.3388124003828863,-0.3401223290606612,-0.34182766682769694,-0.3438707429907287,-0.34591650980236344,-0.3479353137306707,-0.34985888732760284,-0.35214610782151945,-0.3545444365385499,-0.3568985078145953
AMD,-0.13215507652510677,-0.14097300074523084,-0.14949428432640144,-0.15752122763321857,-0.16576760052581851,-0.17272682790406807,-0.17925781437717242,-0.1856928682333454,-0.19187683634451091,-0.19710019650029154,-0.20184036553530504,-0.20645077337993484,-0.21035478453493212,-0.2138622302948895,-0.2176910519596757,-0.22120258581261903,-0.2262185978598149,-0.23116016308359572,-0.23663724723052143,-0.24183955952845831,-0.24760471559452069,-0.2534097381485065,-0.259596168855539,-0.2673585049757803,-0.27538177713421874,-0.2831536626816678,-0.29196153683270876,-0.300495975165622,-0.3094238700415439,-0.31926429915085447,-0.32875128006348464,-0.3374999050707734,-0.34694305951797144,-0.3561012089175677,-0.36396229434359745,-0.37295999905944566
TSM,-0.12860778910168597,-0.13370276923751162,-0.13775801249220282,-0.14203437075481745,-0.1462028102564722,-0.15025858032838385,-0.15406048040172587,-0.15894872721956588,-0.16370561260134386,-0.16873847320806823,-0.17470917070623604,-0.1808366290785291,-0.18701943792432701,-0.19317319916305475,-0.19921074952057555,-0.20667761442502203,-0.21447846403543613,-0.22257331904466288,-0.2309182605631786,-0.23979862638326516,-0.24970086954843396,-0.25948369893220263,-0.26940142330789923,-0.27938787208925,-0.2891961442744003,-0.29965824305502026,-0.30951984032348767,-0.32095282712794393,-0.3322894147569242,-0.3433309264027839,-0.3549349926586769,-0.3669057121003773,-0.37734435221491225,-0.38994226452610037,-0.401825589953374,-0.41338699850541694
META,-0.04902616350905764,-0.06103562068497509,-0.07348442667433519,-0.08529519920736539,-0.096929072057171,-0.10774482224385429,-0.11844054094440887,-0.12757308681681162,-0.13646745651978803,-0.1430045225754767,-0.14997196593225626,-0.15569067340189852,-0.16084321963085862,-0.1654458108908441,-0.17077743241906768,-0.17426183401930978,-0.17785811771568005,-0.18147750104451482,-0.18514126110600365,-0.18806648394965025,-0.19128378215650865,-0.19355598634107157,-0.19708207871138889,-0.20156356234576578,-0.20575917141573474,-0.2101619659175719,-0.2156383026750256,-0.22028192789152679,-0.22573155573414516,-0.23135263771731268,-0.23706602639891494,-0.2435003430873685,-0.24930492098583135,-0.25539464275602874,-0.26132118096922025,-0.26794714115490315
IBM,-0.09426201309118942,-0.09939064646893392,-0.10473465753842504,-0.11036998287267763,-0.11543888652574774,-0.11987410979348323,-0.1242460393944394,-0.1282855305712428,-0.13212119579366466,-0.13541699771477783,-0.13881953425785426,-0.14201049504891528,-0.14489048071190735,-0.14743867964060803,-0.1496261538316665,-0.15198028756415688,-0.15402903398763845,-0.15643677874930145,-0.15892139477988226,-0.16094624397223106,-0.16352785028889572,-0.16584598009488566,-0.16844271302404984,-0.17205395561045844,-0.17556384118756563,-0.17930863902832844,-0.1832416912215874,-0.18736368554432614,-0.19139231852656857,-0.19576105013582318,-0.20007770026322325,-0.20421553548775123,-0.20824602793329117,-0.21246756169591297,-0.21635820628543373,-0.22064520658407294
AVGO,0.01575777559512842,0.005309077505446236,-0.00431512472423512,-0.014244348336342305,-0.023626877694014614,-0.032017364757873756,-0.039808911930740654,-0.048076157562201294,-0.05660200456498121,-0.06481663812579791,-0.07260129167325857,-0.08021994479588496,-0.08817450939176313,-0.09595800210327571,-0.10412162500504485,-0.11127536239801633,-0.1194137411012462,-0.12748464510476487,-0.13617287734146727,-0.14348633772920255,-0.151298201005874,-0.15842369244675164,-0.16472479873829432,-0.1713182732925157,-0.1778029320823996,-0.1840404490178657,-0.1902404743138092,-0.19629039250447444,-0.2013849944240157,-0.20774149709994033,-0.21331757110399474,-0.21877296398156093,-0.22417821469275512,-0.22829453641499275,-0.2324373407639933,-0.2376935550574535
MU,-0.10485943949992166,-0.10585198787033784,-0.10674941257927528,-0.10798274730038482,-0.10876723025882329,-0.109726168534022,-0.11068890004419663,-0.11170893800774384,-0.11242787320687408,-0.11334610879124307,-0.11419884798503155,-0.11501852428676784,-0.11573455670690347,-0.11644507322915959,-0.11696702698227696,-0.11766723310995997,-0.11805698497143963,-0.11859310276837054,-0.1189444315412087,-0.11944709975907147,-0.11994421797777644,-0.12030295887578157,-0.12069306715857359,-0.12109895905824886,-0.12134326915156346,-0.12168057145510741,-0.12188147942069166,-0.12240274596531381,-0.12283822116950383,-0.12327856118632824,-0.12383612062688731,-0.12444100096638966,-0.1250800243258624,-0.12596169309832517,-0.12681506455539937,-0.1275663830833137
