Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.49327431923797155,-0.4989961277931523,-0.5052797842037591,-0.5125235673907826,-0.519034897167555,-0.5256688792003994,-0.53225212668432,-0.5390175181710786,-0.5443831702017193,-0.5502864983432989,-0.5556568466931626,-0.5608400413517114,-0.565725802590991,-0.5708844367377637,-0.5753179487143463,-0.5797681107330056,-0.5832819810499171,-0.5869626230491702,-0.5904488764627839,-0.5943191423429892,-0.5977394910795307,-0.6012068596430806,-0.6045725606336436,-0.6079757272434243,-0.6109988456781292,-0.6146357872653275,-0.6176726901780698,-0.6217615264683228,-0.6261646545964363,-0.630530055072235,-0.635014390462205,-0.6397613666076126,-0.6442249155097418,-0.6497138914524541,-0.6545851117793484,-0.660729442452752
NVDA,-0.4380301124322908,-0.44677392697490415,-0.45460160499924124,-0.46219175014134123,-0.47120567393766555,-0.4792620179272405,-0.48649321812724877,-0.49345849638577427,-0.5012764376545292,-0.5093146891354576,-0.5150195926202171,-0.520932397958003,-0.5267041444658844,-0.5325890755044256,-0.539017858724677,-0.5438570174185593,-0.5514865913957935,-0.5564932159227536,-0.5622622610402197,-0.5684476818551318,-0.5736522840073807,-0.5788836958793904,-0.5837146521600318,-0.5869869683248166,-0.5908431643443159,-0.5940652358385052,-0.5974790703973853,-0.6007984996849423,-0.603991721261912,-0.6085779910411888,-0.6128003050235105,-0.6163640125188715,-0.6201865065287285,-0.6244980947892671,-0.6284088144157142,-0.6334997762970357
AMZN,-0.4486351176547167,-0.4533340643338609,-0.45819940910075146,-0.46407868452081197,-0.46862228197873623,-0.47329374984236566,-0.4781084798158225,-0.4823809366646277,-0.4864496860822064,-0.49107358370438087,-0.49478784499476147,-0.49928186413726244,-0.5035923097105446,-0.5083297092670966,-0.5133942035565384,-0.5185799272321615,-0.5233471152813155,-0.528289240209765,-0.5334203195304166,-0.5385131219707378,-0.5428786491790101,-0.5469274755280791,-0.550772203546495,-0.5544944597516471,-0.5584347764712103,-0.5626746939212363,-0.5664660924433154,-0.5706175850441939,-0.5741718834141003,-0.5783664072955357,-0.5819104864575275,-0.5860261677757453,-0.5903795271124093,-0.5948637604190232,-0.5993831510548983,-0.6037122921534062
INTC,-0.37051515763866244,-0.37325569814010806,-0.37593199939321614,-0.3783664015155232,-0.38134175557680916,-0.38450331348928585,-0.38771614565167456,-0.3907258076205203,-0.3934062271963763,-0.39576064415398565,-0.3979401596727068,-0.40002216212046643,-0.4016932386341954,-0.40341950181158776,-0.404925045443793,-0.4062512731704222,-0.407517200448107,-0.40858765404673253,-0.40955928450956913,-0.41088394878944007,-0.41197243349792567,-0.4130741992851011,-0.4142108076601499,-0.4154165492068854,-0.41651959224528906,-0.41765653614052767,-0.4189481706577413,-0.42005162247271977,-0.4215200187528171,-0.4233746766688457,-0.4252022464466154,-0.42691256188226767,-0.42866997451921185,-0.43084018936683605,-0.4330711383632876,-0.43541509664918243
AMD,-0.22224407371874993,-0.23038116217026022,-0.2382390035387107,-0.2456128773487199,-0.25321110603471664,-0.2596830314845224,-0.26584042911682026,-0.27191869841148947,-0.2777775324255872,-0.282754247941749,-0.28709156506879474,-0.2913807638113706,-0.29488430172090613,-0.2980088676080333,-0.30137861108576897,-0.3045221461662534,-0.3092676486184456,-0.31393409687336243,-0.31902510493447356,-0.32393639987435136,-0.3292701684902938,-0.33468854551044697,-0.3405292156005843,-0.3479839919760005,-0.355866221646505,-0.3634455593136816,-0.3720973071075638,-0.38042526857768055,-0.38911622196666407,-0.3987682328289715,-0.4080370167077366,-0.41647715322237033,-0.42575414670958045,-0.4347952904628843,-0.44248899616833515,-0.4514765878940328
TSM,-0.21869678629532913,-0.223110930662541,-0.22650273170451207,-0.23012602047031877,-0.23364631576537032,-0.23721478390883816,-0.24064309514137372,-0.24517455739770994,-0.24960630868242017,-0.2543925246495257,-0.25996037023972574,-0.2657666195099649,-0.271548955110301,-0.27731983647619857,-0.2828983086466688,-0.2899971747786564,-0.2975275147940668,-0.3053472528344296,-0.31330611826713073,-0.3218954667291582,-0.33136632244420705,-0.3407625062941431,-0.35033447005294455,-0.3600133590894702,-0.3696805887866866,-0.37995013968703406,-0.3896556105983427,-0.4008821205400025,-0.41198176668204434,-0.42283486008090093,-0.4342207293029289,-0.44588296025197427,-0.45615543940652126,-0.46863634607141696,-0.4803522917781117,-0.49190358734000406
META,-0.1391151607027008,-0.15044378211000448,-0.16222914588664444,-0.1733868489228667,-0.18437257756606912,-0.1947010258243086,-0.2050231556840567,-0.21379891699495568,-0.22236815260086434,-0.22865857401693418,-0.23522316546574595,-0.2406206638333343,-0.24537273681683264,-0.2495924482039879,-0.25446499154516095,-0.25758139437294414,-0.2609071684743107,-0.26425143483428154,-0.2675291188099558,-0.2701633242955433,-0.27294923505228175,-0.27483479370301206,-0.2780151254564342,-0.282189049345986,-0.286243615928021,-0.2904538625495857,-0.2957740729498806,-0.30021122130358535,-0.3054239076592653,-0.3108565713954297,-0.3163517630431669,-0.32247759123896547,-0.32811600817744035,-0.33408872430134534,-0.33984788279395794,-0.34646372998949027
IBM,-0.18435101028483258,-0.1887988078939633,-0.1934793767507343,-0.19846163258817895,-0.20288239203464586,-0.20683031337393754,-0.21082865413408725,-0.21451136074938687,-0.21802189187474097,-0.22107104915623532,-0.22407073379134396,-0.22694048548035106,-0.22941999789788137,-0.23158531695375184,-0.23331371295775977,-0.23529984791779124,-0.23707808474626912,-0.23921071253906817,-0.2413092524838344,-0.2430430843181241,-0.2451933031846688,-0.24712478745682614,-0.24937575976909515,-0.25267944261067865,-0.2560482856998519,-0.25960053566034225,-0.2633774614964424,-0.2672929789563847,-0.2710846704516887,-0.2752649838139402,-0.2793634369074752,-0.2831927836393482,-0.2870571151249002,-0.29116164324122956,-0.29488490811017143,-0.29916179541866006
AVGO,-0.07433122159851474,-0.08409908391958315,-0.09305984393654437,-0.10233599805184362,-0.11107038320291274,-0.11897356833832806,-0.1263915266703885,-0.13430198774034535,-0.14250270064605752,-0.1504706895672554,-0.15785249120674827,-0.16514993522732074,-0.17270402657773715,-0.18010463941641952,-0.18780918413113812,-0.1945949227516507,-0.20246279185987687,-0.2102585788945316,-0.2185607350454194,-0.2255831780750956,-0.23296365390164708,-0.23970249980869213,-0.24565784548333963,-0.2519437602927359,-0.25828737659468587,-0.2643323456498795,-0.2703762445886642,-0.276219685916533,-0.28107734634913584,-0.28724543077805736,-0.2926033077482467,-0.2977502121331579,-0.3029893018843641,-0.30698861796030935,-0.310964042588731,-0.3162101438920406
MU,-0.19494843669356482,-0.19526014929536722,-0.19549413179158454,-0.19607439701588614,-0.1962107357677214,-0.1966823721144763,-0.19727151478384447,-0.1979347681858879,-0.1983285692879504,-0.19900016023270056,-0.19945004751852125,-0.19994851471820363,-0.20026407389287748,-0.2005917105423034,-0.20065458610837023,-0.20098679346359433,-0.2011060357300703,-0.20136703655813726,-0.20133228924516083,-0.20154394010496451,-0.20160967087354953,-0.20158176623772206,-0.2016261139036189,-0.20172444605846906,-0.20182771366384972,-0.20197246808712122,-0.20201724969554669,-0.20233203937737237,-0.20253057309462397,-0.20278249486444527,-0.2031218572711393,-0.20341824911798662,-0.2038911115174714,-0.20465577464364176,-0.20534176638013707,-0.20608297191790081
