Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.39660162973791646,-0.4042902380317491,-0.41234116327562553,-0.4212990911981889,-0.4294833616104703,-0.43762231569863363,-0.44554101398798246,-0.45340166304898294,-0.45961468882051276,-0.466141188892811,-0.47216437655961,-0.47820323263634623,-0.4836234631015733,-0.48944654412885313,-0.49442078935117856,-0.4995662834272322,-0.5034685972605096,-0.5077742819755511,-0.5115014172938841,-0.5157419705061864,-0.5194816957923717,-0.5231388435596465,-0.5266870170733114,-0.5302438249661674,-0.5333851704052324,-0.5371383225835835,-0.5399232575075334,-0.5441330693745312,-0.5486369946977299,-0.5530137489831343,-0.5577021527692237,-0.5624987393654781,-0.5670704205807355,-0.5728966581800121,-0.5780351200345203,-0.5839825641058569
NVDA,-0.3413574229322357,-0.352068037213501,-0.36166298407110775,-0.37096727394874746,-0.3816541383805808,-0.3912154544254748,-0.39978210543091125,-0.4078426412636786,-0.41650795627332265,-0.4251693796849697,-0.4315271224866645,-0.4382955892426378,-0.4446018049764667,-0.45115118289551503,-0.4581206993615092,-0.4636551901127859,-0.471673207606386,-0.4773048748491345,-0.48331480187131987,-0.48987051001832893,-0.4953944887202216,-0.5008156797959562,-0.5058291085996997,-0.5092550660475597,-0.5132294890714191,-0.5165677711567613,-0.519729637726849,-0.5231700425911505,-0.5264640613632054,-0.531061684952088,-0.5354880673305292,-0.539101385276737,-0.5430320115997223,-0.5476808615168249,-0.551858822670886,-0.5567528979501406
AMZN,-0.3519624281546616,-0.35862817457245777,-0.365260788172618,-0.3728542083282182,-0.3790707464216515,-0.38524718634059996,-0.391397367119485,-0.39676508154253204,-0.4016812047009998,-0.406928274253893,-0.4112953748612089,-0.4166450554218972,-0.42148997022112683,-0.4268918166581862,-0.4324970441933707,-0.4383780999263881,-0.443533731491908,-0.449100899136146,-0.45447286036151674,-0.45993595013393485,-0.46462085389185104,-0.46885945944464497,-0.47288665998616286,-0.47676255747439017,-0.4808211011983135,-0.4851772292394923,-0.48871665977277917,-0.49298912795040223,-0.4966442235153938,-0.5008501012064349,-0.5045982487645463,-0.5087635405336108,-0.5132250321834029,-0.5180465271465811,-0.5228331593100701,-0.526965413806511
INTC,-0.27384246813860735,-0.2785498083787049,-0.28299337846508266,-0.2871419253229294,-0.29179022001972443,-0.29645674998752014,-0.30100503295533704,-0.3051099524984246,-0.30863774581516973,-0.3116153347034978,-0.3144476895391542,-0.3173853534051012,-0.31959089914477773,-0.32198160920267727,-0.3240278860806252,-0.3260494458646488,-0.3277038166586995,-0.3293993129731135,-0.3306118253406693,-0.3323067769526372,-0.33371463821076663,-0.33500618320166703,-0.33632526409981767,-0.33768464692962846,-0.3389059169723922,-0.3401590714587837,-0.34119873798720507,-0.3424231653789281,-0.34399235885411056,-0.345858370579745,-0.3478900087536342,-0.3496499346401331,-0.3515154795902055,-0.354022956094394,-0.35652114661845946,-0.3586682183022873
AMD,-0.12557138421869485,-0.13567527240885707,-0.1453003826105772,-0.15438840115612612,-0.1636595704776319,-0.17163646798275667,-0.17912931642048274,-0.18630284328939378,-0.19300905104438065,-0.19860893849126116,-0.20359909493524214,-0.2087439550960054,-0.21278196223148843,-0.2165709749991228,-0.2204814517226012,-0.22432031886047998,-0.22945426482903808,-0.23474575579974338,-0.24007764576557372,-0.2453592280375485,-0.25101237320313474,-0.2566205294270129,-0.2626436720402521,-0.27025208969874354,-0.27825254637360813,-0.28594809463193765,-0.29434787443702753,-0.3027968114838889,-0.31158856206795754,-0.3212519267398708,-0.3307247790147554,-0.33921452598023577,-0.3485996517805741,-0.35797805719044223,-0.365939004423507,-0.37472970954713763
TSM,-0.12202409679527404,-0.12840504090113786,-0.1335641107763786,-0.138901544277725,-0.1440947802082856,-0.14916822040707245,-0.1539319824450362,-0.15955870227561425,-0.1648378273012136,-0.17024721519903785,-0.17646790010617314,-0.18312981079459967,-0.18944661562088333,-0.19588194386728808,-0.20200114928350105,-0.20979534747288298,-0.2177141310046593,-0.22615891176081054,-0.2343586590982309,-0.24331829489235535,-0.253108527157048,-0.26269449021070906,-0.2724489264926123,-0.2822814568122132,-0.2920669135137897,-0.3024526750052901,-0.31190617792780645,-0.3232536634462108,-0.3344541067833378,-0.3453185539918002,-0.35690849160994764,-0.3686203330098397,-0.3790009444775149,-0.3918191127989749,-0.40380230003328355,-0.4151567089931089
META,-0.042442471202645715,-0.055737892348601326,-0.06929052495851096,-0.08216237273027294,-0.09482104200898439,-0.10665446232254289,-0.11831204298771919,-0.12818306187286,-0.13759967121965777,-0.1445132645664463,-0.15173069533219335,-0.15798385511796909,-0.16327039732741494,-0.16815455559507742,-0.17356783218199318,-0.17737956706717073,-0.18109378468490323,-0.1850630937606625,-0.18858165964105594,-0.19158615245874044,-0.1946914397651227,-0.196766777619578,-0.20012958189610197,-0.20445714706872903,-0.20862994065512414,-0.21295639786784176,-0.21802464027934437,-0.22258276420979367,-0.22789624776055878,-0.233340265306329,-0.2390395253501857,-0.2452149639968309,-0.250961513248434,-0.2572714910289033,-0.2632978910491298,-0.2697168516425951
IBM,-0.0876783207847775,-0.09409291813256015,-0.1005407558226008,-0.10723715639558518,-0.11333085647756114,-0.11878374987217183,-0.12411754143774972,-0.12889550562729118,-0.1332534104935344,-0.13692573970574745,-0.14057826365779136,-0.14430367676498584,-0.14731765840846367,-0.15014742434484135,-0.152416553594592,-0.15509802061201783,-0.15726470095686162,-0.16002237146544912,-0.16236179331493455,-0.16446591248132125,-0.16693550789750977,-0.1690567713733921,-0.17149021620876292,-0.1749475403334217,-0.17843461042695502,-0.1821030709785983,-0.18562802882590618,-0.18966452186259303,-0.1935570105529822,-0.1977486777248395,-0.202051199214494,-0.20593015639721363,-0.20990262019589384,-0.2143444099687875,-0.2183349163653433,-0.22241491707176492
AVGO,0.022341467901540346,0.01060680584182,-0.00012122300841088673,-0.011111521859249851,-0.02151884764582801,-0.030927004836562355,-0.039680413974050976,-0.04868613261824967,-0.05773421926485095,-0.06632538011676753,-0.07436002107319567,-0.08251312651195553,-0.09060168708831945,-0.09866674680750903,-0.10691202476797035,-0.11439309544587728,-0.12264940807046937,-0.13107023782091254,-0.13961327587651956,-0.14700600623829274,-0.15470585861448805,-0.16163448372525807,-0.1677723019230074,-0.17421185801547895,-0.180673701321789,-0.18683488096813555,-0.19262681191812797,-0.19859122882274133,-0.2035496864504293,-0.20972912468895666,-0.2152910700552655,-0.22048758489102332,-0.2258348069553578,-0.2301713846878673,-0.23441405084390288,-0.23946326554514547
MU,-0.09827574719350973,-0.10055425953396407,-0.10255551086345105,-0.10484992082329236,-0.10665920021063668,-0.1086358086127106,-0.11056040208750695,-0.11231891306379221,-0.11356008790674382,-0.11485485078221269,-0.11595757738496865,-0.11731170600283841,-0.11816173440345978,-0.11915381793339291,-0.11975742674520246,-0.12078496615782092,-0.1212926519406628,-0.12217869548451821,-0.122384830076261,-0.12296676826816166,-0.12335187558639049,-0.123513750154288,-0.12374057034328667,-0.1239925437812121,-0.12421403839095285,-0.12447500340537726,-0.12426781702501044,-0.1247035822835807,-0.12500291319591744,-0.12526618877534457,-0.12580961957815806,-0.12615562187585205,-0.12673661658846508,-0.1278385413711997,-0.12879177463530894,-0.12933609357100567
