Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.2710302455192216,-0.26861496562289205,-0.2670407806650483,-0.2669106900420628,-0.2658237911328384,-0.26598584771587697,-0.2664116975674997,-0.26709881975958916,-0.2666056377761321,-0.2675322504015498,-0.2685652816243679,-0.2694592775403408,-0.27084150087008485,-0.2728755691297303,-0.27393933762857736,-0.2752459645667522,-0.27401433243147155,-0.27302852617580775,-0.2714237715283103,-0.2703827424686379,-0.26846932258923695,-0.2665183141326336,-0.2640433450330594,-0.2599917352674238,-0.2551326240316242,-0.2511902279516459,-0.24557538307050597,-0.24133625789064228,-0.23704843262977227,-0.23176182224326347,-0.22697737375446836,-0.2232842133852423,-0.21847076880016136,-0.21491860098956983,-0.21209611561101327,-0.20925285455871923
NVDA,-0.21578603871354085,-0.21639276480464392,-0.21636260146053055,-0.21657887279262134,-0.2179945679029489,-0.21957898644271812,-0.2206527890104285,-0.2215397979742848,-0.223498905228942,-0.22656044119370855,-0.22792802755142239,-0.22955163414663238,-0.23181984274497824,-0.23458020789639222,-0.23763924763890798,-0.2393348712523059,-0.2422189427773479,-0.2425591190493911,-0.24323715610574614,-0.24451128198078043,-0.24438211551708688,-0.24419515036894335,-0.24318543655944758,-0.23900297634881607,-0.2349769426978109,-0.23061967652482362,-0.2253817632898215,-0.2203732311072617,-0.21487549929524796,-0.20980975821221726,-0.20476328831577384,-0.19988685929650118,-0.19443235981914808,-0.18970280432638276,-0.18591981824737902,-0.1820231884030029
AMZN,-0.22639104393596676,-0.2229529021636007,-0.21996040556204077,-0.21846580717209207,-0.2154111759440196,-0.2136107183578433,-0.21226805069900223,-0.21046223825313826,-0.20867215365661917,-0.20831933576263184,-0.20769627992596673,-0.20790110032589182,-0.2087080079896384,-0.2103208416590634,-0.2120155924707695,-0.21405778106590811,-0.21407946666286992,-0.2143551433364026,-0.21439521459594302,-0.21457672209638634,-0.2136084806887163,-0.21223893001763205,-0.2102429879459108,-0.20651046777564663,-0.20256855482470537,-0.19922913460755465,-0.19436878533575164,-0.19019231646651336,-0.18505566144743624,-0.17959817446656412,-0.1738734697497909,-0.169549014553375,-0.1646253804028288,-0.16006846995613888,-0.1568941548865631,-0.15223570425937338
INTC,-0.1482710839199125,-0.14287453596984784,-0.13769299585450545,-0.1327535241668033,-0.12813064954209252,-0.12482028200476347,-0.1218757165348543,-0.11880710920903081,-0.11562869477078908,-0.11300639621223663,-0.11084859460391205,-0.1086413983090958,-0.1068089369132893,-0.10541063420355445,-0.10354643435802402,-0.1017291270041688,-0.09824955182966144,-0.0946535571733701,-0.09053417957509557,-0.08694754891508871,-0.08270226500763189,-0.07838565377465412,-0.07368159205956559,-0.06743255723088493,-0.06065337059878406,-0.05421097682684606,-0.046850863550177535,-0.03962635389503921,-0.032403796786153016,-0.024606443839874204,-0.017165229738878796,-0.010435408659897338,-0.0029158278096313994,0.003955101096048241,0.009417857805047558,0.016061491244850346
TSM,0.0035472874234208085,0.007270231507719216,0.01173627183419862,0.015486856878401123,0.01956479026934632,0.02246824757568422,0.025197333975446545,0.026744141013779532,0.02817122374316705,0.028361723292223306,0.027131194829069005,0.02561414430140574,0.0233353466106051,0.020689031131834734,0.01848030243910015,0.014524971387597008,0.011740133824378773,0.00858684403893284,0.005718986667342829,0.002040933145193158,-0.002096153953913271,-0.006073960783696153,-0.009805254452360246,-0.012029367113469691,-0.013814367140181583,-0.01650458037335245,-0.017558303490778915,-0.020456851962321942,-0.02286554471538027,-0.02406662725192943,-0.026183712595192254,-0.029405807029603936,-0.030401292696940807,-0.03384105560853268,-0.037863295609776526,-0.04042699944597128
META,0.08312891301604913,0.07993738006025575,0.07600985765206625,0.07222602842585318,0.06883852846864752,0.06498200566021378,0.06081727343276355,0.05811978141653379,0.05540937982472288,0.05409567392481485,0.05186839960304879,0.05076009997803632,0.04951156490407349,0.0484164194040454,0.04691361954060802,0.046940751793309254,0.048360480144134854,0.049682662039080894,0.05149598612451778,0.05377307557880806,0.05632093343801203,0.05985375180743491,0.0625140901441501,0.06579494263001451,0.069622605718484,0.07299169676409589,0.07632323415768316,0.0802140472740952,0.08369231430739876,0.08791166143354179,0.0916852536645697,0.09399956198340487,0.0976381385321401,0.10070656616153895,0.1026411133743772,0.10501285790454251
IBM,0.03789306343391735,0.04158235427629692,0.0447596267879764,0.047151244760540945,0.05032871400007077,0.05285271811058484,0.05501177498273302,0.0574073376621026,0.059755640550846256,0.061683198785513704,0.06302083127745078,0.06444027833101956,0.06546430382302476,0.06642355065428146,0.0680648981280092,0.06922229824846216,0.07218956387217645,0.07472338433429426,0.07771585245063917,0.08089331555622725,0.08407686530562497,0.08756375805362082,0.09115345583148915,0.09530454936532184,0.09981793594665311,0.10384502365333936,0.10871984561112136,0.11313228962129585,0.11803155151497535,0.12350324901503129,0.1286735798002614,0.13328436958302214,0.13869703158468027,0.14363364722165473,0.14760408805816372,0.15231479247537272
AVGO,0.1479128521202352,0.14628207825067707,0.14517915960216632,0.14327687929687627,0.1421407228318039,0.1407094631461943,0.13944890244643177,0.13761671067114412,0.1352748317795297,0.13228355837449363,0.12923907386204647,0.12623082858404988,0.12218027514316898,0.11790422819161378,0.11356942695463085,0.1099272234146027,0.10680485675856871,0.10367551797883084,0.10046436988905416,0.09835322179925576,0.0963065145886467,0.09498604570175484,0.09487137011724467,0.09604023168326459,0.09757884505181913,0.0991132136638021,0.10172106251889956,0.10420558266114754,0.10803887561752823,0.11152280205091414,0.1154337089594899,0.11872694108921245,0.12276484482521632,0.12780667250257494,0.13152495357960414,0.13526644400199217
MU,0.027295637025185115,0.035121012874893,0.042744871747126156,0.049538480332833756,0.057000370266995226,0.06300065937004606,0.0685689143329758,0.07398393022560157,0.07944896313763683,0.08375408770904846,0.0876415175502735,0.091432249093167,0.09462022782802865,0.0974171570657299,0.10072402497739874,0.10353535270265907,0.10816161288837528,0.11256706031522518,0.11769281568931272,0.12239245976938684,0.12766049761674425,0.1331067792727249,0.1389031016969654,0.14625954591753143,0.15403850798265528,0.1614730912265604,0.1700800574120171,0.17809322920030818,0.1865856488720401,0.19598573796452623,0.20491515943659733,0.21305890410438372,0.22186303519210904,0.23013951581924252,0.23714722978819808,0.24539361597613196
GOOGL,0.11193169222871086,0.1145672453077598,0.11763504998538865,0.11957447089098683,0.122595680413913,0.12442594713543537,0.1257139468839153,0.12747953902689535,0.12955560354198775,0.13110334327477685,0.1319992380415827,0.13305715905701815,0.1342682335710858,0.13495078494049229,0.13638274438286402,0.13725309737544578,0.1403642541551628,0.142861966580886,0.14620315210346646,0.14932422193985406,0.15269805139537712,0.15699333321345443,0.1615097259819464,0.16699910447482164,0.1726732472486514,0.17808137194485985,0.18465166862286447,0.19064159358923505,0.19736778238255248,0.20451187563966733,0.21153757240958732,0.2178185660977227,0.22421209497325423,0.23061364642654403,0.23560724025315494,0.24216202175646817
NOW,0.11432962034910943,0.11831622715399087,0.12216887806595422,0.12590184000456728,0.12964488724912765,0.1335100243344851,0.13719058614601398,0.13995779571020928,0.14265501124758606,0.1449040086382412,0.14656915643236595,0.14849374383844133,0.14940976851660248,0.150513635518353,0.15149295670294383,0.1523574809422864,0.15380551019932542,0.15607063929585763,0.15828075468214453,0.16063894715578608,0.16288417412935308,0.16551998789929517,0.1677831664292806,0.17182332241622522,0.17577256081697878,0.17957705035071247,0.18396514144896792,0.18805080573370925,0.19194504062340106,0.19724017969245994,0.201983291667526,0.20586386130439877,0.21098479090117228,0.21508007388117684,0.218832561761774,0.221959018243037
SAP,0.10699062775813373,0.11330336760950338,0.11929085001893497,0.12440194320255427,0.12957085987854045,0.13336699015035136,0.13650886256334172,0.13986148983169677,0.1432025573923681,0.14541556434247083,0.14741635077622878,0.14926698426277513,0.15066332481026012,0.15118515211255723,0.15225414962253253,0.15287384897766504,0.15529011823270839,0.15757046668257058,0.16033892969857622,0.16244846044371475,0.16547764647178786,0.16850060567764985,0.172026779408456,0.17719683240701223,0.18287227917910664,0.18785875681408437,0.19431057659250256,0.20022630265065755,0.2063481092895474,0.21313985954941728,0.21974328035048007,0.2257496833814061,0.23230393966708968,0.2383170942066875,0.24293232340913196,0.24868218064334047
CRM,0.134876155371342,0.13739657762670626,0.1394614676424759,0.14154301328304864,0.14432086429415475,0.1462116792600371,0.14792739222998713,0.15025359486350132,0.1522109210509452,0.15420983364950558,0.15619822027989955,0.15816315021666383,0.15959684346881342,0.16075423984754844,0.16165309396374922,0.1628789024864114,0.16485675849431763,0.1663487854559884,0.1677240362012803,0.1691020192951082,0.1712621110184226,0.17336026234166974,0.17547408199287107,0.17891982139242324,0.18218764023217404,0.1853928966292695,0.18898460872176737,0.19276739085267475,0.19639998839997408,0.20077980605629187,0.20473341254895172,0.208291528457129,0.21169093685481355,0.21527649681822264,0.2186646280971154,0.2219305482541809
QCOM,0.0863697819004231,0.09562606773881732,0.10447285824667557,0.11270544132196042,0.12107366888006027,0.1279941374020453,0.13448512374995214,0.14062991338269298,0.14654944881509102,0.1513605343966642,0.15583642866831504,0.159917720329803,0.16338637243747134,0.16636385098984918,0.16980870138827892,0.17276674182520702,0.17727428759151787,0.18202208572791645,0.1871442956587251,0.19159862602859729,0.1966600291888857,0.20132795733080427,0.20677923377199792,0.21388132976737462,0.22125478882722882,0.22814966414332039,0.2360071782067953,0.24340949605493778,0.2509936329882091,0.25883737189879896,0.26653752772545913,0.27359797388357704,0.2813518121032164,0.28841979568674914,0.2938649834944292,0.30090288810986326
