Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.04463920158325485,-0.04566206345929136,-0.047080375103007555,-0.04844488286997073,-0.05041261518881879,-0.05237512935803368,-0.054143646868497486,-0.0566365815064509,-0.057933484119512935,-0.05921291463891798,-0.06086900169840115,-0.061558177214449006,-0.06213349288044645,-0.06255472747066693,-0.06192374515780785,-0.061188183500844096,-0.05993486576860163,-0.05867338283940515,-0.0570285569323673,-0.055806020372251575,-0.05486084190052065,-0.05427938411500155,-0.05380035708714859,-0.053481267491777174,-0.052564069206918806,-0.05196109334409127,-0.05120659773475433,-0.051143941424128925,-0.05199277118233603,-0.05216364777669935,-0.05310390400467746,-0.05373519883186728,-0.05384538839733255,-0.05485013103343095,-0.05520196072445016,-0.05701715029934584
NVDA,0.010605005222425912,0.006560137358956775,0.003597804101510227,0.0018869343794707394,-0.0025833919589293153,-0.005968268084874828,-0.008384738311426276,-0.011077559721146546,-0.014826751572322827,-0.01824110543107671,-0.020231747625455654,-0.02165053382074056,-0.023111834755339844,-0.024259366237328828,-0.02562365516813847,-0.025277090186397788,-0.02813947611447798,-0.028203975712988494,-0.028841941509803126,-0.029934559884394085,-0.03077363482837059,-0.03195622035131129,-0.03294244861353679,-0.03249250857316943,-0.032408387873105515,-0.03139054191726898,-0.031012977954069876,-0.030180914640748346,-0.029819837847811725,-0.030211583745653137,-0.03088981856598294,-0.030337844743126174,-0.029806979416319268,-0.029634334370243876,-0.029025663360815912,-0.029787484143629528
INTC,0.07811996001605426,0.08007836619375286,0.08226740970753532,0.08571228300528877,0.08728052640192707,0.08879043635307982,0.09039233416414794,0.09165512904410744,0.0930434588858301,0.09531293955039521,0.09684768532205468,0.09925970201679601,0.1018990710763491,0.10491020745550894,0.10846915811274549,0.11232865406173931,0.11582991483320848,0.1197015861630325,0.12386103502084744,0.12762917318129763,0.1309062156810844,0.13385327624297794,0.1365613958863452,0.1390779105447617,0.1419151842259213,0.1450181577807086,0.1475179217855741,0.15056596257147414,0.15265186466128322,0.15499173062668992,0.1567082400109121,0.15911360589347767,0.16170955259319741,0.16402357105218712,0.16631201269161067,0.16829719550422373
AMD,0.22639104393596676,0.2229529021636007,0.21996040556204077,0.21846580717209207,0.2154111759440196,0.2136107183578433,0.21226805069900223,0.21046223825313826,0.20867215365661917,0.20831933576263184,0.20769627992596673,0.20790110032589182,0.2087080079896384,0.2103208416590634,0.2120155924707695,0.21405778106590811,0.21407946666286992,0.2143551433364026,0.21439521459594302,0.21457672209638634,0.2136084806887163,0.21223893001763205,0.2102429879459108,0.20651046777564663,0.20256855482470537,0.19922913460755465,0.19436878533575164,0.19019231646651336,0.18505566144743624,0.17959817446656412,0.1738734697497909,0.169549014553375,0.1646253804028288,0.16006846995613888,0.1568941548865631,0.15223570425937338
TSM,0.22993833135938757,0.2302231336713199,0.2316966773962394,0.2339526640504932,0.23497596621336592,0.2360789659335275,0.23746538467444878,0.2372063792669178,0.23684337739978623,0.23668105905485515,0.23482747475503574,0.23351524462729756,0.2320433546002435,0.23100987279089813,0.23049589490986966,0.22858275245350512,0.2258196004872487,0.22294198737533544,0.22011420126328585,0.2166176552415795,0.21151232673480302,0.2061649692339359,0.20043773349355054,0.19448110066217694,0.1887541876845238,0.1827245542342022,0.17681048184497272,0.1697354645041914,0.16219011673205597,0.1555315472146347,0.14768975715459864,0.14014320752377107,0.134224087705888,0.1262274143476062,0.11903085927678658,0.1118087048134021
META,0.3095199569520159,0.30289028222385644,0.295970263214107,0.29069183559794526,0.2842497044126671,0.27859272401805707,0.2730853241317658,0.26858201966967205,0.26408153348134206,0.2624150096874467,0.2595646795290155,0.25866120030392814,0.2582195728937119,0.2587372610631088,0.25892921201137753,0.26099853285921737,0.2624399468070048,0.2640378053754835,0.2658912007204608,0.2683497976751944,0.26992941412672833,0.27209268182506696,0.2727570780900609,0.27230541040566114,0.27219116054318937,0.27222083137165054,0.2706920194934348,0.27040636374060856,0.268747975754835,0.2675098359001059,0.2655587234143606,0.2635485765367799,0.2622635189349689,0.2607750361176778,0.2595352682609403,0.2572485621639159
IBM,0.2642841073698841,0.2645352564398976,0.2647200323500172,0.265617051932633,0.26573988994409037,0.2664634364684281,0.26727982568173525,0.26786957591524085,0.26842779420746543,0.27000253454814555,0.2707171112034175,0.2723413786569114,0.27417231181266316,0.27674439231334486,0.2800804905987787,0.28328007931437027,0.2862690305350464,0.28907852767069686,0.2921110670465822,0.2954700376526136,0.29768534599434127,0.2998026880712529,0.30139644377739994,0.3018150171409685,0.3023864907713585,0.303074158260894,0.303088630946873,0.3033246060878092,0.3030872129624116,0.3031014234815954,0.3025470495500523,0.30283338413639715,0.3033224119875091,0.3037021171777936,0.3044982429447268,0.3045504967347461
AVGO,0.37430389605620196,0.36923498041427777,0.3651395651642071,0.36174268646896834,0.3575518987758235,0.3543201815040376,0.351716953145434,0.34807894892428237,0.3439469854361489,0.34060289413712547,0.3369353537880132,0.3341319289099417,0.3308882831328074,0.3282250698506772,0.32558501942540036,0.3239850044805108,0.32088432342143863,0.31803066131523344,0.3148595844849972,0.3129299438956421,0.309914995277363,0.3072249757193869,0.30511435806315546,0.3025506994589112,0.3001473998765245,0.29834234827135675,0.2960898478546512,0.2943978991276609,0.29309453706496447,0.29112097651747826,0.2893071787092808,0.28827595564258746,0.28739022522804514,0.2878751424587138,0.28841910846616725,0.28750214826136555
MU,0.2536866809611519,0.2580739150384937,0.26270527730916693,0.26800428750492583,0.2724115462110148,0.27661137772788935,0.280836965031978,0.2844461684787398,0.288121116794256,0.2920734234716803,0.2953377974762402,0.2993333494190588,0.30332823581766705,0.3077379987247933,0.31273961744816825,0.3175931337685672,0.3222410795512452,0.3269222036516278,0.33208803028525574,0.3369691818657732,0.34126897830546055,0.34534570929035696,0.3491460896428762,0.35277001369317806,0.35660706280736065,0.36070222583411504,0.36444884274776873,0.36828554566682153,0.37164131031947634,0.37558391243109035,0.3787886291863882,0.3826079186577587,0.38648841559493785,0.3902079857753814,0.3940413846747612,0.39762932023550535
GOOGL,0.3383227361646776,0.3375201474713605,0.3375954555474294,0.3380402780630789,0.3380068563579326,0.33803666549327865,0.3379819975829175,0.3379417772800336,0.3382277571986069,0.3394226790374087,0.33969551796754943,0.34095825938290997,0.3429762415607242,0.3452716265995557,0.34839833685363353,0.3513108784413539,0.3544437208180327,0.3572171099172886,0.3605983666994095,0.3639009440362404,0.3663065320840934,0.3692322632310865,0.3717527139278572,0.37350957225046827,0.3752418020733568,0.3773105065524145,0.3790204539586161,0.3808339100557484,0.3824234438299887,0.38411005010623145,0.3854110421593782,0.3873675806510977,0.38883747537608304,0.3906821163826829,0.39250139513971805,0.39439772601584155
